Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,-0.6023867,0.4629844,-0.650212,1,15.3145,False,0.001196239,-0.00353086,0.002008677,0.004234707,0.02581694,0.04029313,-0.03967216,0.9980662,7.127736,0.4153238,0.6482059,-0.6382161,0.2852613,0.3461257,0.3961518,0.370878,0.281159,0.337591,0.7292678,460.6326,0.407112,222.1103,0.5509752,1132.72,0.5201244,720.9357,0.450006,544.7521,0.273686,47.61082,5.153475,5.793226
1,2,135,0.7849377,0.1472258,0.6018283,1,26.20399,False,0.003298216,0.001834154,-0.003936857,0.005453548,0.07179518,-0.04844628,0.004245571,0.9962332,9.949296,0.8279446,-0.5586843,0.04896009,0.2686929,0.2164572,0.2751087,0.05075983,0.03781997,0.06487508,0.6910815,403.0672,0.1095352,52.34861,0.3958508,802.0302,0.2654674,534.1119,0.05636337,116.3453,0.1850146,34.36752,3.780203,0.5690689
1,3,135,-0.09308787,0.7858343,-0.6113911,1,11.94403,False,0.002893511,0.007855296,0.006471813,0.01058123,-0.05163111,-0.03317518,-0.002122908,0.9981129,7.041065,-0.8408141,-0.5402587,-0.03457162,0.08566886,0.08006848,0.08471589,0,0,0,0.2388687,118.9943,0,0,0.189056,194.7444,0.07212326,157.0692,0,0,0.09938212,14.52969,1.940634,0
1,4,135,-0.2111668,0.05926026,0.975652,1,7.143082,False,0.006386731,-0.005071759,0.00139904,0.008274684,-0.06444642,-0.03601515,-0.03698337,0.9965852,9.472882,-0.7804852,-0.4361652,-0.447891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,135,0.1133592,-0.3397852,-0.9336464,1,18.87856,False,-0.008685373,0.004048824,0.0009684265,0.009631538,0.05106764,0.003093156,-0.022297,0.9984416,6.398576,0.9150435,0.05542398,-0.3995236,0.3634941,0.4064803,0.3254129,0,0,0,0.4084465,194.7831,0,0,0.3407382,904.2695,0.3756995,859.0429,0,0,0.237039,35.89643,11.95934,0
1,6,135,-0.5933623,0.7974696,0.1093777,1,14.44797,False,-0.001114044,-0.003696442,0.005213708,0.00648749,0.02944444,0.02804594,-0.0002413484,0.9991729,4.661067,0.7240801,0.6896889,-0.005935096,0.5502838,0.5708114,0.8079922,0,0,0,1.489279,697.804,0,0,0.5644739,976.9979,1.741317,1354.319,0,0,0.5491458,97.62921,5.94472,0
1,7,135,-0.5923452,0.1494631,0.7916994,1,18.54018,False,0.001531661,0.00138849,-0.006653994,0.006967749,-0.03946604,-0.053318,-0.01926621,-0.9976114,352.0782,-0.5713436,-0.7718762,-0.2789138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,135,-0.0733178,-0.3304815,0.9409604,1,23.64227,False,0.004060443,0.004554331,-0.01057339,0.01220761,-0.03810665,0.01721272,0.06260612,0.997162,8.635216,-0.5061637,0.2286334,0.8315857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,135,0.2264534,-0.1842704,-0.9564326,1,15.53116,False,0.001425281,-0.01550794,0.01164541,0.0194459,-0.0007485712,0.03577779,-0.01326015,0.9992716,4.374266,-0.01961493,0.9374913,-0.3474578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,135,-0.6481051,0.6917294,0.3185439,1,21.51748,False,0.004416063,0.00699383,-0.01249343,0.01498336,0.08450299,0.01957548,-0.004558134,0.9962205,9.965981,0.9728657,0.2253685,-0.05247687,0.04561822,0.03219868,0.02919253,0,0,0,0.06788544,37.36106,0,0,0.05717818,53.65334,0.02931012,63.01392,0,0,0.004297004,0.8845485,0.5693264,0
2,1,135,-0.5007172,-0.7367071,0.4544723,1,11.70071,False,0.0006854869,-0.003718495,0.006117225,0.007191491,0.005532742,0.0476792,-0.03601189,0.9981981,6.88017,0.09220471,0.7945874,-0.6001483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,135,0.9829527,-0.07592025,-0.167452,1,8.794436,False,-0.002201926,0.006516695,-0.001757294,0.007099568,0.003132446,0.04270968,0.05657462,0.9974796,8.137712,0.04414688,0.6019254,0.7973297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,135,0.575062,-0.2498634,-0.7790198,1,24.27996,False,-0.0005920231,-0.007410407,0.00159052,0.007602261,-0.02181863,-0.06744619,-0.0412957,-0.9966292,350.5885,-0.2659571,-0.8221321,-0.5033719,0.2943458,0.2741981,0.2922211,0,0,0,0.811948,514.3804,0,0,0.5537065,822.213,0.2637768,542.9854,0,0,0.1866794,34.1353,10.03723,0
2,4,135,-0.8054123,-0.5034658,-0.3127831,1,18.06747,False,0.001782313,-0.004596591,0.01249614,0.0134335,0.01911513,-0.07195458,-0.0357184,0.9965848,9.473213,0.2314877,-0.8713832,-0.4325565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,135,-0.3190602,0.663379,-0.6768522,1,30.00221,True,0.01084591,0.008110523,9.727478E-05,0.01354341,0.05792475,-0.02925188,-0.04629084,0.9968181,9.143836,0.7266907,-0.3669773,-0.5807382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,135,-0.1070273,-0.471398,0.8754022,1,7.239252,False,0.002043184,-0.003879905,0.0007812083,0.004454048,0.02938236,0.05018155,0.02617192,0.9979647,7.312254,0.4607669,0.7869345,0.4104216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
