Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773051234773,0.013174,0.06387998,0.8561874,0.1930585,0.8800052,-0.7031261,-0.6489246,-0.1794388,0.2287187,153.5567,-0.7222717,-0.6665943,-0.1843248,-0.03462909,0.8808267,0.2068172,0.9054436,0.2972077,0.2312835,-0.742364,0.5541401,112.697,0.3570391,0.2778436,-0.8918106,0.05461486,0.9889917,0.1914321,1.008828,0.07451152,1.021935,0.2639615,1.058102,0.0725518,1.01173,0.2985596,1.057355,0.006344785,1.002782,0.2378454,1.030623,0.02049062,1.016743,0.3118336,1.063685,0.02021825,1.00537,0.3384194,1.060993,0.1085314,-0.01613217,0.07540667,0.1331371,0.1775801,-0.004530966,0.03251866,0.1805899,0.1879221,-0.009008184,-0.001803674,0.1881465,-0.1137892,0.004899427,-0.06740049,0.1323435,-0.1779294,0.01355319,-0.0264078,0.1803883,-0.1886252,0.01609091,0.0003387481,0.1893106,0.1082682,-0.01598608,0.07585482,0.1331597,0.1775355,-0.003779277,0.03280409,0.1805803,0.1879476,-0.008311092,-0.001829761,0.1881402,-0.1139984,0.005147631,-0.06708441,0.1323724,-0.1779384,0.01339751,-0.02660919,0.1804151,-0.1886753,0.01570408,0.0001435589,0.1893278,0.1349086,-0.01306774,0.05143946,0.1449728,-0.1802625,0.903173,-0.0392714,0.3876101,134.3882,-0.1955499,0.9797681,-0.04260188,-0.1361461,0.008241875,-0.04793849,0.1445745,-0.04122869,-0.4069364,-0.03599974,0.9118152,48.48516,-0.1004106,-0.9910756,-0.08767577,-0.04862979,1.000788,0.3006472,1.046103,0.02076088,-0.0154825,-0.0371514,0.9989741,5.191415,0.4584198,-0.3418683,-0.8203378,0.1775867,-0.03745145,-0.006439338,0.1816071,-0.02964803,-0.7114762,0.6840315,-0.1581886,198.2036,-0.03002609,-0.7205486,0.692754,-0.1639295,0.03991246,-0.02981114,0.1713318,-0.6115541,0.1788952,-0.1596899,-0.7539876,277.874,-0.930986,0.2723372,-0.2431003,0.0986298,-0.0007882118,-0.000647217,0.09863507,-0.100056,-0.4269294,-0.7960213,0.4172175,130.6819,-0.110096,-0.4697691,-0.8758972,-0.01478031,1.111538,0.03220338,1.112103,0.06603973,0.02231975,0.00339566,0.9975616,8.004066,0.9462395,0.3198048,0.04865416,False,False,False,False
1773051234786,0.02861499,0.02405909,0.8540435,0.1563508,0.8685705,-0.6698785,-0.6540372,-0.2423685,0.2544713,150.5155,-0.6926814,-0.6763008,-0.2506188,-0.06851184,0.8910182,0.1774865,0.911103,0.3932297,-0.09337489,-0.6531863,0.6403118,100.3699,0.511941,-0.1215637,-0.8503755,-0.007969657,0.9818412,0.182972,0.9987764,-0.005037242,1.003329,0.2477028,1.033465,-0.01555715,0.9848301,0.2762398,1.022957,-0.03023371,1.013534,0.2136322,1.036245,-0.04407546,1.041754,0.26173,1.075033,-0.05389382,1.039948,0.2833136,1.079196,0.1128601,-0.03456391,0.06430175,0.1344127,0.171683,-0.03350075,0.02967326,0.17742,0.1762369,-0.0444216,-0.003900893,0.1817909,-0.1207783,0.03190277,-0.04665562,0.1333489,-0.1672019,0.04684137,-0.01627413,0.1744002,-0.1753344,0.05314492,0.005165108,0.1832845,0.1086192,-0.01740629,0.07497162,0.1331235,0.1770881,-0.006051389,0.03256474,0.180159,0.1870524,-0.01107163,-0.001988093,0.1873903,-0.1145167,0.007192977,-0.06552269,0.1321327,-0.1771176,0.01595419,-0.02581911,0.1796993,-0.1876555,0.01856631,0.0005274404,0.1885724,0.135072,-0.01488951,0.05063335,0.1450168,-0.1794879,0.9040956,-0.04464961,0.3852293,134.684,-0.1944992,0.9797087,-0.04838383,-0.1362787,0.01053183,-0.04665155,0.144427,-0.04717514,-0.406043,-0.03522262,0.9119557,48.44599,-0.1149802,-0.989651,-0.0858483,-0.04844449,1.001001,0.3005018,1.046256,0.02324958,-0.02666795,-0.0507329,0.9980854,7.092156,0.3758966,-0.4311644,-0.8202439,0.2034092,-0.07830302,-0.01151025,0.218264,0.6539284,0.6793451,0.2087161,0.2594334,149.9271,0.677112,0.7034298,0.2161156,-0.1458531,0.07437095,0.02844564,0.1661726,-0.3728889,0.08231716,0.6328773,0.6735311,95.31963,-0.5044773,0.111366,0.8562129,0.09844449,-0.001001,-0.0005018115,0.09845086,-0.09813384,-0.4190626,-0.7922221,0.4325974,128.735,-0.1088456,-0.4648053,-0.8786971,-0.01471575,1.111815,0.03228461,1.112381,0.06523876,0.02266205,0.002107487,0.9976101,7.924005,0.9441918,0.3279849,0.03050137,False,False,False,False
1773051234801,0.04603279,0.02309062,0.8552755,0.159646,0.8703541,-0.6697735,-0.6465598,-0.2733758,0.2421353,151.9748,-0.6903156,-0.66639,-0.2817604,-0.07003745,0.8928031,0.1789528,0.9132507,0.3931017,-0.1016537,-0.6551359,0.6371297,100.8438,0.5100207,-0.1318883,-0.8499908,-0.004828075,0.9841604,0.1859537,1.001586,-0.002890191,1.004121,0.254763,1.03594,-0.01507961,0.9854929,0.2830349,1.025442,-0.03146558,1.015217,0.2141247,1.038029,-0.04775372,1.046746,0.2603724,1.079699,-0.05804317,1.046224,0.2811437,1.084894,0.1120317,-0.03312335,0.06659289,0.1344726,0.1734479,-0.03011361,0.02977042,0.1785421,0.1788093,-0.04059103,-0.004235081,0.1834076,-0.1208718,0.03092042,-0.04630271,0.133079,-0.169512,0.04267071,-0.0163983,0.1755677,-0.1782871,0.04816189,0.004348636,0.1847289,0.108921,-0.01879628,0.07423062,0.1331438,0.1767662,-0.008179414,0.03231762,0.1798822,0.1863234,-0.01368228,-0.002186813,0.1868379,-0.1150788,0.009291396,-0.06382291,0.1319197,-0.176445,0.01831695,-0.02498595,0.1791442,-0.1868269,0.0211837,0.000865381,0.1880261,0.1352264,-0.01664837,0.04993504,0.1451098,-0.1793558,0.9048349,-0.04994542,0.3828979,134.9734,-0.194152,0.9794804,-0.05406573,-0.1364582,0.01278189,-0.04531222,0.1443517,-0.05241172,-0.406141,-0.03276162,0.9117178,48.51235,-0.1275792,-0.9886173,-0.07974745,-0.0485328,1.001017,0.3007674,1.046351,0.03436665,-0.01488469,-0.04808031,0.9981412,6.988031,0.5639029,-0.2442345,-0.7889225,0.2015711,-0.07411973,-0.00830209,0.2149269,0.6486092,0.6792001,0.2276745,0.2572113,150.1907,0.6711913,0.7028473,0.2356013,-0.1432227,0.07525625,0.02776591,0.164156,-0.3652221,0.07975662,0.629678,0.6809971,94.15677,-0.4987425,0.1089146,0.8598799,0.0985328,-0.001016617,-0.0007674098,0.09854104,-0.110621,-0.414933,-0.797286,0.4241802,129.8024,-0.1221551,-0.4581969,-0.8804168,-0.01456315,1.11177,0.03211074,1.112329,0.06470458,0.02189638,0.00166353,0.9976628,7.836033,0.9469584,0.3204558,0.02434594,False,False,False,False
1773051234815,0.0613547,0.01990161,0.8552158,0.1636908,0.8709678,-0.6700596,-0.6388395,-0.2996854,0.2304189,153.3565,-0.6885884,-0.656505,-0.3079725,-0.07918429,0.895107,0.1793932,0.9163343,0.3925827,-0.1004288,-0.6591913,0.6334507,101.3896,0.507355,-0.1297894,-0.8519071,-0.0008810039,0.9855251,0.188886,1.003463,-0.001932021,1.00347,0.262686,1.037285,-0.01633685,0.9848695,0.2902758,1.026886,-0.0401889,1.017036,0.2138588,1.040054,-0.06379011,1.05487,0.2560129,1.087365,-0.07757539,1.05679,0.2748385,1.094696,0.1110141,-0.02890509,0.06991132,0.13434,0.1752604,-0.02587271,0.02950369,0.1795997,0.1810481,-0.03670653,-0.004610956,0.1847892,-0.1205751,0.02957756,-0.04649708,0.1325714,-0.1742236,0.03156741,-0.01677676,0.1778534,-0.1848534,0.03265731,0.004054531,0.1877597,0.1091275,-0.01979345,0.07380455,0.1332205,0.1766176,-0.009924747,0.03204004,0.1797744,0.185803,-0.01595348,-0.00242594,0.1865024,-0.115621,0.0112925,-0.06211383,0.131734,-0.1762259,0.01962403,-0.02417617,0.1789557,-0.1866323,0.0223155,0.001179971,0.1879653,0.1353109,-0.01804092,0.04949588,0.1452045,-0.1797999,0.9055235,-0.05589988,0.3802295,135.3042,-0.1944009,0.9790584,-0.06043936,-0.1367662,0.01452515,-0.04400938,0.144405,-0.04983894,-0.408704,-0.0297534,0.9108193,48.76236,-0.1207323,-0.990065,-0.07207611,-0.0485328,1.001017,0.3007674,1.046351,0.03436665,-0.01488469,-0.04808031,0.9981412,6.988031,0.5639029,-0.2442345,-0.7889225,0.1998109,-0.0691918,-0.004387007,0.2114974,0.6504779,0.6767382,0.2561214,0.2308808,153.3021,0.6685404,0.6955299,0.2632334,-0.140782,0.08083986,0.02309614,0.1639758,-0.3651001,0.0945921,0.6299015,0.678954,94.47609,-0.4972891,0.1288403,0.8579649,0.0985328,-0.001016617,-0.0007674098,0.09854104,-0.110621,-0.414933,-0.797286,0.4241802,129.8024,-0.1221551,-0.4581969,-0.8804168,-0.01442097,1.11201,0.032132,1.112568,0.06330335,0.02250091,0.0004936537,0.9977405,7.704686,0.9422207,0.3349084,0.007347648,False,False,False,False
1773051234831,0.07594959,0.01892576,0.853709,0.1642939,0.8695802,-0.6734313,-0.6252633,-0.3311267,0.2142225,155.2602,-0.6894366,-0.6401238,-0.3389966,-0.08064677,0.8952768,0.1790927,0.916569,0.3904048,-0.09166493,-0.6651998,0.6298341,101.9242,0.5026262,-0.1180139,-0.8564109,0.004533841,0.9841522,0.1921934,1.002753,-1.101955E-06,1.000501,0.2667038,1.035439,-0.01654874,0.9821643,0.2931347,1.025109,-0.04016753,1.016477,0.2138281,1.0395,-0.06443881,1.054921,0.2564375,1.087552,-0.07870486,1.056975,0.2752036,1.095047,0.11128,-0.02713512,0.06986702,0.1341676,0.175925,-0.02430746,0.02921401,0.1799831,0.1819724,-0.03495595,-0.00482554,0.1853622,-0.1202869,0.0293344,-0.04695884,0.1324182,-0.1748465,0.02958748,-0.01686292,0.1781322,-0.1856962,0.029782,0.004164532,0.1881153,0.1093165,-0.02043817,0.07345877,0.1332817,0.1765568,-0.01118778,0.03179187,0.1797448,0.1854666,-0.0176222,-0.002636663,0.1863206,-0.1160307,0.01287687,-0.06078297,0.1316188,-0.1761048,0.02049898,-0.02353394,0.1788489,-0.1865501,0.02297118,0.001442064,0.1879646,0.1354108,-0.01900752,0.04914067,0.1453003,-0.1798421,0.9060698,-0.06063312,0.3781773,135.5583,-0.1942699,0.9787591,-0.0654974,-0.1370118,0.0158352,-0.04299474,0.1444698,-0.04625008,-0.4110149,-0.02742001,0.9100416,48.97778,-0.1115759,-0.991552,-0.06614935,-0.0485328,1.001017,0.3007674,1.046351,0.03436665,-0.01488469,-0.04808031,0.9981412,6.988031,0.5639029,-0.2442345,-0.7889225,0.2006613,-0.06785157,-0.002534195,0.2118378,0.6544074,0.6646709,0.2886993,0.2159083,155.0624,0.6702153,0.6807267,0.2956731,-0.1421644,0.07921562,0.02304609,0.1643683,-0.3625398,0.08620956,0.6363415,0.6754276,95.02528,-0.4916284,0.116906,0.8629221,0.0985328,-0.001016617,-0.0007674098,0.09854104,-0.110621,-0.414933,-0.797286,0.4241802,129.8024,-0.1221551,-0.4581969,-0.8804168,-0.01442967,1.112038,0.03219115,1.112597,0.06317265,0.02206877,0.0002680234,0.9977586,7.67382,0.9440476,0.3297941,0.004005323,False,False,False,False
1773051234845,0.0912573,0.01849793,0.850769,0.1643974,0.8667045,-0.6756553,-0.6121049,-0.3593594,0.1991943,157.0203,-0.6894723,-0.6246223,-0.3667082,-0.08014026,0.8949319,0.178213,0.9160161,0.3883798,-0.08368439,-0.6705885,0.6264734,102.4192,0.4982788,-0.1073644,-0.8603435,0.009993466,0.9800498,0.1979255,0.999886,0.001580889,0.9955541,0.2702406,1.031582,-0.0161481,0.9779094,0.2954272,1.021687,-0.03744801,1.015733,0.2119416,1.038285,-0.0617227,1.053522,0.2571715,1.086212,-0.07537119,1.055162,0.2765342,1.093398,0.1129476,-0.02467239,0.06740986,0.1338282,0.1763675,-0.02314265,0.02847123,0.1801435,0.1828067,-0.03302191,-0.00500942,0.1858328,-0.1196855,0.02900612,-0.04885922,0.1324885,-0.1748124,0.02967656,-0.01686566,0.1781138,-0.1855348,0.0303618,0.004310854,0.1880521,0.1096215,-0.02079384,0.07295066,0.1333081,0.1765409,-0.01219199,0.03151294,0.1797454,0.1852432,-0.01891577,-0.002835974,0.186228,-0.1163377,0.01423172,-0.05978138,0.1315706,-0.1759962,0.02126989,-0.02297381,0.1787592,-0.1864648,0.02359199,0.001683041,0.1879588,0.1356231,-0.01966586,0.0486731,0.1454285,-0.1783889,0.906676,-0.06445879,0.3767774,135.7316,-0.1925814,0.9788106,-0.06958709,-0.1371645,0.01696931,-0.04223515,0.1445194,-0.0437873,-0.4125105,-0.02450899,0.9095697,49.10808,-0.1053716,-0.9926823,-0.05897945,-0.0485328,1.001017,0.3007674,1.046351,0.03436665,-0.01488469,-0.04808031,0.9981412,6.988031,0.5639029,-0.2442345,-0.7889225,0.2027539,-0.06749141,9.806514E-06,0.2136919,0.6571638,0.6528378,0.3180212,0.2019931,156.6929,0.6709951,0.666578,0.3247146,-0.1442785,0.07656574,0.02437157,0.1651441,-0.3601701,0.07857644,0.6421259,0.6721439,95.5345,-0.48644,0.1061241,0.867245,0.0985328,-0.001016617,-0.0007674098,0.09854104,-0.110621,-0.414933,-0.797286,0.4241802,129.8024,-0.1221551,-0.4581969,-0.8804168,-0.01444675,1.112034,0.03218606,1.112593,0.06332252,0.02154326,-0.0004297541,0.9977605,7.670554,0.9466907,0.3220782,-0.006424953,False,False,False,False
1773051234860,0.1061314,0.01759766,0.8494818,0.1651954,0.8655741,-0.6785416,-0.5980238,-0.3845112,0.1846619,158.7171,-0.6904153,-0.6084886,-0.3912397,-0.0797865,0.89491,0.1779903,0.9159205,0.3861831,-0.07213246,-0.675739,0.6237278,102.8223,0.4940667,-0.09228329,-0.8645125,0.014161,0.9782537,0.201288,0.9988482,0.003974769,0.9926632,0.2741666,1.029837,-0.01556801,0.975387,0.2983859,1.020126,-0.03594567,1.015099,0.2124508,1.037716,-0.06005255,1.052611,0.2586123,1.085576,-0.07298879,1.053761,0.2785149,1.092388,0.1130633,-0.02360685,0.06749897,0.1337785,0.1769482,-0.02118745,0.02831303,0.1804473,0.1835822,-0.03101318,-0.005248971,0.1862573,-0.1195477,0.02905135,-0.04918703,0.1324952,-0.1750374,0.02887708,-0.01693793,0.1782102,-0.1856556,0.02997799,0.004294686,0.1881093,0.1099235,-0.02104066,0.07247232,0.1333346,0.1765766,-0.01298127,0.03123217,0.1797867,0.1850974,-0.01997722,-0.003047695,0.1861973,-0.1166193,0.01553202,-0.05885182,0.1315479,-0.1759121,0.02193736,-0.02244421,0.1786898,-0.1863938,0.02415231,0.001912192,0.1879618,0.1358489,-0.02017522,0.04822985,0.1455613,-0.1775267,0.9071004,-0.06799525,0.3755394,135.8847,-0.1915467,0.9787377,-0.0733651,-0.1373017,0.0180454,-0.04153264,0.1445765,-0.04204958,-0.4138596,-0.01970101,0.9091556,49.22216,-0.1009699,-0.9937641,-0.04730627,-0.0485328,1.001017,0.3007674,1.046351,0.03436665,-0.01488469,-0.04808031,0.9981412,6.988031,0.5639029,-0.2442345,-0.7889225,0.2028728,-0.06749895,0.001525168,0.2138126,0.6605967,0.6400024,0.3442659,0.1883883,158.2825,0.6726404,0.6516708,0.3505424,-0.1460002,0.0732768,0.02498138,0.1652562,-0.3574398,0.06736947,0.6477631,0.6694036,95.95789,-0.4811419,0.09068457,0.8719398,0.0985328,-0.001016617,-0.0007674098,0.09854104,-0.110621,-0.414933,-0.797286,0.4241802,129.8024,-0.1221551,-0.4581969,-0.8804168,-0.01447731,1.112035,0.03215782,1.112594,0.06324621,0.02123221,-0.001009749,0.9977716,7.651434,0.9479078,0.3182196,-0.0151337,False,False,False,False
1773051234874,0.1221586,0.01652734,0.8443613,0.1699064,0.8614449,-0.681856,-0.5816362,-0.4098626,0.16966,160.4639,-0.6918865,-0.5901924,-0.4158919,-0.08134799,0.8946242,0.1751017,0.9152216,0.3850798,-0.06323567,-0.6799085,0.6208376,103.2453,0.4912114,-0.080664,-0.8672974,0.02009537,0.9714085,0.2101345,0.9940799,0.006837258,0.9842096,0.2837243,1.024312,-0.01091797,0.9680833,0.3075838,1.015831,-0.03714691,1.014155,0.2106342,1.036464,-0.06175822,1.052351,0.2563697,1.084888,-0.0741509,1.053371,0.2762758,1.091521,0.1134823,-0.02057406,0.06686185,0.1333118,0.1776779,-0.01827697,0.02650412,0.1805712,0.1853976,-0.02468711,-0.005805284,0.1871241,-0.119567,0.02877694,-0.0487802,0.1323022,-0.1756913,0.02655284,-0.01713336,0.1785106,-0.1862984,0.02769835,0.003772341,0.188384,0.1102277,-0.02100078,0.0719928,0.1333197,0.1766708,-0.01343389,0.03082807,0.1798427,0.1851231,-0.02037977,-0.003283384,0.1862704,-0.1168713,0.01666405,-0.05799101,0.1315277,-0.1758932,0.02233184,-0.0219903,0.1786637,-0.1863856,0.02445539,0.002071177,0.1879946,0.1360236,-0.02029713,0.0478539,0.1456172,-0.1736225,0.9079085,-0.0685513,0.3753107,135.913,-0.1873155,0.9795117,-0.07395767,-0.1374275,0.01892515,-0.04090872,0.1446306,-0.04057441,-0.4154862,-0.01296657,0.9086016,49.37436,-0.09714609,-0.9947862,-0.03104548,-0.0485328,1.001017,0.3007674,1.046351,0.03436665,-0.01488469,-0.04808031,0.9981412,6.988031,0.5639029,-0.2442345,-0.7889225,0.2022576,-0.07018138,0.008049747,0.214239,0.6645547,0.6248991,0.3708053,0.1742753,159.927,0.6748824,0.6346105,0.3765679,-0.1487235,0.07347154,0.02590944,0.167893,-0.3559481,0.05872857,0.6523532,0.666549,96.39748,-0.4774869,0.07878149,0.8750998,0.0985328,-0.001016617,-0.0007674098,0.09854104,-0.110621,-0.414933,-0.797286,0.4241802,129.8024,-0.1221551,-0.4581969,-0.8804168,-0.0145583,1.112067,0.03217686,1.112628,0.0638233,0.02053099,-0.002119621,0.9977478,7.692273,0.9514876,0.3060791,-0.03159964,False,False,False,False
1773051234890,0.1358892,0.01672817,0.8426471,0.1719654,0.8601779,-0.6848115,-0.5635146,-0.4356228,0.1540044,162.2819,-0.6930799,-0.5703184,-0.4408825,-0.08210449,0.8943744,0.1738819,0.9148123,0.3845086,-0.05525542,-0.6836689,0.6178162,103.6863,0.4889961,-0.07027069,-0.8694509,0.0264132,0.9679213,0.215745,0.9920257,0.009469443,0.9792035,0.2898163,1.021236,-0.008296787,0.9639666,0.3125456,1.013403,-0.03767712,1.013319,0.2105627,1.035651,-0.06173024,1.051426,0.2564755,1.084014,-0.07347669,1.052236,0.2764596,1.090426,0.1134558,-0.01873647,0.06693882,0.1330567,0.1779478,-0.01692656,0.02524404,0.1805247,0.1859985,-0.02182023,-0.005991518,0.1873699,-0.1196904,0.02842475,-0.04830607,0.1321636,-0.175926,0.02562654,-0.01718741,0.1786115,-0.1864811,0.02702054,0.003419608,0.1884595,0.110523,-0.02079362,0.07153042,0.1332828,0.1767876,-0.01375343,0.0303172,0.1798948,0.1852032,-0.02051155,-0.003531148,0.186369,-0.1171292,0.01774003,-0.05710494,0.1315102,-0.1758962,0.02263327,-0.02155089,0.178651,-0.1863943,0.02469007,0.002194543,0.1880353,0.1361288,-0.02022813,0.04754675,0.1456054,-0.1681504,0.9089428,-0.06798238,0.3754024,135.9016,-0.1814191,0.9806668,-0.07334682,-0.1375539,0.01974418,-0.04028446,0.1446849,-0.03959253,-0.4173734,-0.004926837,0.9078588,49.57777,-0.09443071,-0.9954621,-0.01175082,-0.0485328,1.001017,0.3007674,1.046351,0.03436665,-0.01488469,-0.04808031,0.9981412,6.988031,0.5639029,-0.2442345,-0.7889225,0.2011397,-0.07333367,0.009740009,0.2143126,0.6682214,0.6080716,0.3978492,0.1595161,161.6424,0.6768886,0.6159588,0.4030095,-0.1506826,0.07222389,0.02603914,0.1691141,-0.3550421,0.05096482,0.6565176,0.6635755,96.85373,-0.4745859,0.06812484,0.877569,0.0985328,-0.001016617,-0.0007674098,0.09854104,-0.110621,-0.414933,-0.797286,0.4241802,129.8024,-0.1221551,-0.4581969,-0.8804168,-0.01465629,1.112072,0.03216916,1.112633,0.06394312,0.01974315,-0.002307219,0.9977556,7.678922,0.9549325,0.2948461,-0.03445623,False,False,False,False
1773051234903,0.1497317,0.01763945,0.8419285,0.1750948,0.8601238,-0.6874149,-0.5452432,-0.4588486,0.1401024,163.8925,-0.6942624,-0.5506745,-0.4634193,-0.0831213,0.8929459,0.1725392,0.9132532,0.3858113,-0.050751,-0.6868589,0.6138394,104.2647,0.4887208,-0.06428809,-0.8700685,0.03354573,0.9644287,0.2234117,0.9905357,0.01368776,0.9734679,0.2983342,1.018249,-0.004316546,0.9601861,0.3190433,1.011812,-0.0391289,1.011323,0.2107619,1.033792,-0.06193777,1.049379,0.2563102,1.082001,-0.07276788,1.050075,0.2761716,1.08822,0.113691,-0.01601671,0.06642024,0.1326417,0.1783264,-0.01370806,0.0227584,0.1802946,0.1865878,-0.01828267,-0.00622867,0.1875848,-0.120076,0.02758391,-0.04722653,0.1319449,-0.1761287,0.02481239,-0.01733479,0.1787106,-0.1865879,0.02672812,0.002644867,0.1885111,0.1107746,-0.02041424,0.07112457,0.1332158,0.1769098,-0.01374982,0.02971688,0.1799145,0.1853132,-0.02033454,-0.003745385,0.1864631,-0.1173632,0.01852183,-0.0563204,0.1314883,-0.1759147,0.02280634,-0.02121604,0.1786511,-0.1864097,0.02485193,0.002230308,0.1880723,0.1361305,-0.0199389,0.0473569,0.1455051,-0.1647659,0.9094992,-0.06763268,0.3756185,135.8749,-0.1777842,0.98136,-0.07297643,-0.1376659,0.0203344,-0.03975849,0.1447278,-0.03969173,-0.4193251,0.00267722,0.9069641,49.82174,-0.09423313,-0.99553,0.006356054,-0.0485328,1.001017,0.3007674,1.046351,0.03436665,-0.01488469,-0.04808031,0.9981412,6.988031,0.5639029,-0.2442345,-0.7889225,0.1983168,-0.07768792,0.01079109,0.2132637,0.6715664,0.5909645,0.4222894,0.1463951,163.1638,0.6788805,0.5974007,0.4268886,-0.1535586,0.07141519,0.02525375,0.1712253,-0.3562149,0.04657497,0.6600671,0.6597372,97.44033,-0.4740075,0.06197631,0.878337,0.0985328,-0.001016617,-0.0007674098,0.09854104,-0.110621,-0.414933,-0.797286,0.4241802,129.8024,-0.1221551,-0.4581969,-0.8804168,-0.01477893,1.112101,0.03215714,1.112664,0.06401576,0.01874356,-0.002577629,0.9977695,7.655016,0.9589923,0.280789,-0.03861434,False,False,False,False
