Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773051546399,0,1,1,135,0.07011604,-0.9936619,-0.08786213,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.06477877,-0.9180239,-0.08117403,0.3826834,135,0.07011604,-0.993662,-0.08786214
Trial Start,1773051552882,0,1,1,135,0.07011604,-0.9936619,-0.08786213,1,-1,-0.05019382,1.000252,0.2996065,1.045365,-0.002026009,-0.0005858021,0.001245988,0.999997,0.2797646,-0.8298532,-0.2399446,0.5103568,0.1001938,-0.0002524853,0.0003935397,0.1001949,0.0667453,-0.9178808,-0.07975274,0.3829877,134.9623,0.07225446,-0.9936426,-0.08633552
On Target,1773051558134,5.26017,1,1,135,0.07011604,-0.9936619,-0.08786213,1,-1,0.04430477,1.00911,0.2946703,1.052186,-0.0557059,0.8914323,0.1501717,-0.4239031,230.1625,-0.0615054,0.9842386,0.1658059,0.005695228,-0.009109855,0.005329669,0.01199293,0.05935783,0.05322288,-0.02966482,-0.9963754,350.2405,0.6977962,0.6256752,-0.3487324
Trial End,1773051559135,6.260418,1,2,135,0.07011604,-0.9936619,-0.08786213,1,-1,0.04746425,1.002686,0.3018273,1.048204,0.099772,-0.9041279,-0.03187924,0.4142247,131.059,0.1096185,-0.9933565,-0.03502541,0.002535749,-0.002685666,-0.001827329,0.004120917,0.03277768,-0.02823965,-0.05444942,0.9975789,7.975636,0.4713194,-0.4060658,-0.7829434
Trial Load,1773051559136,6.260418,1,2,135,0.4191012,-0.880258,0.2224864,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.387199,-0.8132523,0.2055506,0.3826834,135,0.4191012,-0.880258,0.2224864
Trial Start,1773051560995,0,1,2,135,0.4191012,-0.880258,0.2224864,1,-1,-0.04302163,0.949791,0.2721914,0.98896,0,0,0,1,0,1,0,0,0.09302163,0.05020899,0.02780861,0.1093036,0.387199,-0.8132523,0.2055506,0.3826834,135,0.4191012,-0.880258,0.2224864
On Target,1773051564092,3.111293,1,2,135,0.4191012,-0.880258,0.2224864,1,-1,0.04923096,1.007313,0.2819457,1.047185,0.3612891,-0.8410495,0.2002752,0.3492791,139.1136,0.3855729,-0.8975802,0.2137366,0.0007690415,-0.007313251,0.01805428,0.01949441,-0.01302281,0.04108684,0.02698688,0.9987062,5.829676,-0.2560942,0.807975,0.5306984
Trial End,1773051565079,4.097448,1,3,135,0.4191012,-0.880258,0.2224864,1,-1,0.04875144,1.003966,0.2954897,1.047683,0.347854,-0.856146,0.1917604,0.3305141,141.4,0.3685671,-0.9071256,0.2031789,0.001248557,-0.003966451,0.004510343,0.006134722,-0.02517495,0.06158935,0.04315966,0.9968503,9.09762,-0.3174306,0.7765793,0.5441995
Trial Load,1773051565080,4.097448,1,3,135,0.8228901,0.3438666,0.4523358,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.7602513,0.3176913,0.4179038,0.3826834,135,0.8228902,0.3438666,0.4523358
Trial Start,1773051566090,0,1,3,135,0.8228901,0.3438666,0.4523358,1,-1,-0.05017345,0.9996566,0.3004479,1.045036,0.0008090292,0.001690946,0.001698414,0.9999968,0.2880353,0.3218631,0.6727239,0.6756949,0.1001734,0.0003433824,-0.0004478991,0.100175,0.7601064,0.3179964,0.416224,0.3845443,134.7691,0.8234222,0.344485,0.4508949
