Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773051583339,0.0138039,0.04995802,0.9158263,0.2420591,0.9485916,-0.5573735,-0.333687,-0.2268743,0.7256141,86.96008,-0.810016,-0.4849384,-0.3297104,-0.05273059,0.976954,0.2890246,1.020174,-0.04316097,1.016725,0.2976148,1.060267,-0.03213141,1.01648,0.3072221,1.062379,-0.03391634,-0.09113756,0.09511129,0.136024,-0.01857144,-0.07839509,0.1346435,0.1569062,-0.003200607,-0.07696491,0.1332784,0.1539382,0,0,0,0,0,0,0,0,0,1,0,0,-0.09006997,0.53092,0.08798689,0.5456467,-0.6299417,-0.1426162,-0.5703518,-0.507477,240.9919,-0.7310747,-0.1655123,-0.6619181,0.03707664,0.5349715,0.1136468,0.548165,0.0544117,0.5096429,0.06254379,0.5163412,0.0322694,0.5137624,0.04774126,0.5169839,0.06043632,-0.03387453,0.1187415,0.1374757,0.01468715,-0.07270474,0.1384172,0.1570382,0.001757749,-0.07785653,0.1134885,0.1376385,0,0,0,0,0,0,0,0,0,1,0,0,-0.02093973,0.9934225,0.2818322,1.032839,0,0,0,1,0,1,0,0,0.07093973,0.006577492,0.01816785,0.07352401,-0.341371,-0.7214705,0.4652952,0.3826834,135,-0.3694973,-0.780914,0.5036319,-0.02771251,1.109686,0.02176997,1.110245,0.06778721,0.04674721,0.01325509,0.9965159,9.568436,0.8127647,0.5604963,0.1589278,False
1773051583353,0.0275841,0.04955159,0.915086,0.2420567,0.9478551,-0.558842,-0.3318232,-0.2267572,0.725376,86.99974,-0.8118539,-0.4820538,-0.3294199,-0.05272546,0.9766736,0.2893157,1.019988,-0.04308518,1.015302,0.2978104,1.058955,-0.03198536,1.014484,0.3072321,1.060468,-0.03382294,-0.09109887,0.09518002,0.1360229,-0.01858212,-0.07874022,0.1335827,0.1561719,-0.003324153,-0.07733709,0.1316183,0.152694,0,0,0,0,0,0,0,0,0,1,0,0,-0.09003246,0.5310128,0.08796528,0.5457273,-0.6299645,-0.1426942,-0.5704605,-0.5073045,240.9689,-0.731015,-0.1655833,-0.6619661,0.03710969,0.5351411,0.1136435,0.5483319,0.05444483,0.5098242,0.06251195,0.5165198,0.03227236,0.5139288,0.04772842,0.5171483,0.06047199,-0.03387078,0.1187264,0.1374775,0.0147019,-0.07271512,0.1383919,0.1570221,0.001767134,-0.07783569,0.1134449,0.1375909,0,0,0,0,0,0,0,0,0,1,0,0,-0.02098013,0.992959,0.2819395,1.032423,-0.000814472,0.00167146,-0.001497966,0.9999971,0.2741122,-0.340487,0.6987476,-0.626219,0.07098013,0.007040977,0.01806054,0.07357946,-0.3413613,-0.7212177,0.4670253,0.3810575,135.2016,-0.3692184,-0.7800732,0.5051372,-0.02783861,1.109669,0.02192031,1.110235,0.0676496,0.04702322,0.01414679,0.9965,9.590196,0.8092793,0.5625298,0.1692354,False
1773051583371,0.0447616,0.0491142,0.9143226,0.2420851,0.9471025,-0.5600917,-0.3302734,-0.2266734,0.7251455,87.03809,-0.8133826,-0.4796334,-0.3291822,-0.05280879,0.9763145,0.2895788,1.019723,-0.04312193,1.013449,0.298059,1.05725,-0.03186443,1.012134,0.3071552,1.058195,-0.03373984,-0.09105651,0.09524946,0.1360225,-0.01856548,-0.07922399,0.1321713,0.1552107,-0.003462052,-0.07765169,0.1296358,0.151153,0,0,0,0,0,0,0,0,0,1,0,0,-0.08999126,0.5311112,0.08794358,0.5458128,-0.6300026,-0.1427736,-0.5705829,-0.5070972,240.9413,-0.7309558,-0.1656519,-0.6620145,0.03714722,0.5353202,0.1136362,0.5485078,0.05447848,0.5100246,0.06247526,0.5167167,0.03227368,0.5141116,0.04771553,0.5173288,0.06050551,-0.03386921,0.1187121,0.1374795,0.01471784,-0.07272749,0.1383604,0.1570016,0.001777667,-0.07781123,0.1133955,0.1375365,0,0,0,0,0,0,0,0,0,1,0,0,-0.02110904,0.9924315,0.2820508,1.031949,-0.001526145,0.00304922,-0.002770451,0.9999903,0.5035766,-0.3472828,0.693867,-0.6304315,0.07110904,0.007568479,0.01794925,0.07372892,-0.3413637,-0.7209746,0.4684929,0.3797117,135.3683,-0.369,-0.7793437,0.5064214,-0.02796107,1.109655,0.02204265,1.110226,0.06762948,0.04726122,0.01484616,0.9964799,9.617692,0.8067297,0.5637635,0.177095,False
1773051583381,0.0553018,0.04865596,0.9135514,0.2421415,0.9463488,-0.5612788,-0.328829,-0.226606,0.724905,87.07811,-0.814807,-0.4773601,-0.3289633,-0.05293319,0.9759328,0.2898408,1.019438,-0.04319484,1.011231,0.2983636,1.055214,-0.03169648,1.009541,0.3070001,1.055664,-0.03366674,-0.09101059,0.0953195,0.1360227,-0.01852186,-0.07982199,0.1304148,0.1540216,-0.003609825,-0.07788409,0.1273879,0.1493541,0,0,0,0,0,0,0,0,0,1,0,0,-0.08994661,0.531215,0.08792183,0.545903,-0.6300554,-0.1428542,-0.5707184,-0.5068564,240.9093,-0.7308969,-0.1657182,-0.6620629,0.03718894,0.5355085,0.1136252,0.5486922,0.05451242,0.5102431,0.06243396,0.516931,0.03227328,0.5143098,0.04770257,0.5175245,0.060537,-0.0338697,0.1186984,0.1374816,0.01473483,-0.07274173,0.1383231,0.1569769,0.001789229,-0.07778335,0.1133406,0.1374756,0,0,0,0,0,0,0,0,0,1,0,0,-0.02127652,0.9918847,0.2821779,1.031461,-0.002216558,0.004324053,-0.003977161,0.9999803,0.7187293,-0.3534005,0.6894123,-0.634105,0.07127652,0.008115292,0.01782215,0.07391772,-0.3413735,-0.720722,0.4698833,0.3784623,135.5231,-0.3688065,-0.7786397,0.5076435,-0.02809346,1.109641,0.02215035,1.110218,0.06794578,0.04751451,0.01557339,0.9964353,9.678444,0.8054262,0.5632348,0.1846063,False
1773051583395,0.0694917,0.04837884,0.9120803,0.241599,0.9447756,-0.5624302,-0.3289917,-0.2275414,0.7236448,87.28754,-0.8149124,-0.4766803,-0.3296877,-0.05309621,0.9749147,0.2889598,1.018222,-0.04333621,1.009753,0.2974544,1.053546,-0.03187577,1.007975,0.3060885,1.053907,-0.03365299,-0.09095177,0.09538875,0.1360285,-0.01853059,-0.07996266,0.1300367,0.1537757,-0.003655745,-0.07804444,0.1269281,0.1490471,0,0,0,0,0,0,0,0,0,1,0,0,-0.08996153,0.5312271,0.08798745,0.5459277,-0.6301652,-0.1429333,-0.5706044,-0.506826,240.9053,-0.7310091,-0.1658066,-0.661917,0.0371778,0.5355464,0.1136704,0.5487378,0.05448173,0.5102755,0.06244639,0.5169613,0.0322034,0.5143369,0.0477398,0.5175506,0.06057298,-0.03385951,0.1186836,0.1374821,0.01474945,-0.07274998,0.1383062,0.1569673,0.001798192,-0.07776024,0.1132986,0.137428,0,0,0,0,0,0,0,0,0,1,0,0,-0.02142087,0.9906897,0.2813246,1.030082,-0.003479076,0.003525249,-0.005235155,0.9999741,0.8251887,-0.4831303,0.4895422,-0.7269924,0.07142088,0.009310305,0.01867545,0.07440696,-0.3421675,-0.7193949,0.471,0.3788819,135.4711,-0.3697329,-0.7773502,0.5089443,-0.02825924,1.10958,0.02221155,1.110162,0.06809606,0.04765527,0.01580678,0.9964146,9.706578,0.8048751,0.563271,0.1868314,False
1773051583409,0.0833303,0.04807021,0.9105625,0.2410743,0.9431604,-0.5638981,-0.3292259,-0.2287483,0.7220135,87.55807,-0.8150241,-0.4758431,-0.3306189,-0.05327636,0.9739538,0.287984,1.017035,-0.04346521,1.008003,0.2964844,1.0516,-0.03204426,1.006305,0.3050756,1.052021,-0.03365515,-0.09088835,0.09545849,0.1360356,-0.01852022,-0.08021627,0.1293286,0.1533086,-0.003709274,-0.07823419,0.1263028,0.1486161,0,0,0,0,0,0,0,0,0,1,0,0,-0.08997711,0.5312381,0.08805817,0.5459524,-0.6302938,-0.1430133,-0.5704712,-0.5067934,240.901,-0.731142,-0.1658957,-0.6617478,0.0371675,0.5355794,0.113714,0.5487782,0.05444748,0.5103059,0.06245619,0.5169888,0.03212779,0.5143619,0.04777756,0.5175741,0.06060791,-0.03384954,0.1186692,0.1374827,0.01476462,-0.07275899,0.1382874,0.1569562,0.001807663,-0.0777351,0.1132539,0.1373771,0,0,0,0,0,0,0,0,0,1,0,0,-0.02156109,0.9895238,0.2803955,1.02871,-0.00510383,0.00247134,-0.006840581,0.9999605,1.017977,-0.5745293,0.2781944,-0.7700323,0.07156108,0.01047623,0.01960447,0.0749338,-0.3431897,-0.7176778,0.4724205,0.3794447,135.4014,-0.37093,-0.7756881,0.5106065,-0.02843399,1.109537,0.02226355,1.110125,0.06828862,0.04778606,0.01647823,0.9963843,9.747504,0.8037683,0.5624497,0.1939515,False
1773051583423,0.09694181,0.04779029,0.9086878,0.2404615,0.9411796,-0.5659775,-0.3300911,-0.2301643,0.7195371,87.96745,-0.8149965,-0.4753247,-0.331432,-0.05345589,0.9728262,0.2866161,1.015577,-0.04363039,1.006083,0.295141,1.049388,-0.03227092,1.004491,0.3037109,1.049897,-0.03367136,-0.09077875,0.09558439,0.1360548,-0.01849634,-0.0804983,0.1286768,0.1529046,-0.003753711,-0.07845822,0.1257499,0.1482661,0,0,0,0,0,0,0,0,0,1,0,0,-0.09003127,0.5313394,0.08809477,0.5460658,-0.6304239,-0.1430886,-0.5703099,-0.5067918,240.9007,-0.7312921,-0.1659828,-0.6615598,0.03711668,0.535696,0.113734,0.5488928,0.05437464,0.5104138,0.06243055,0.5170845,0.03199799,0.5144758,0.04777908,0.5176795,0.06065129,-0.03382752,0.1186539,0.1374832,0.01477994,-0.07276709,0.1382714,0.1569473,0.001820031,-0.0777085,0.1131923,0.1373114,0,0,0,0,0,0,0,0,0,1,0,0,-0.02169571,0.9881024,0.279121,1.026998,-0.00771663,0.0006997089,-0.008641316,0.9999326,1.329993,-0.664865,0.06028692,-0.7445359,0.07169572,0.01189756,0.02087897,0.07561587,-0.3443039,-0.7151492,0.4743769,0.3807663,135.2377,-0.3723527,-0.7734091,0.5130222,-0.02861008,1.10951,0.02231002,1.110103,0.06838727,0.04763477,0.01681773,0.9963791,9.754576,0.8043483,0.5602644,0.1978045,False
1773051583437,0.1110747,0.04751053,0.9069544,0.2399238,0.9393545,-0.5682933,-0.331095,-0.2317493,0.7167364,88.42862,-0.8149395,-0.4747941,-0.3323313,-0.05362263,0.971975,0.2851687,1.014363,-0.04378601,1.004136,0.293809,1.047153,-0.0324937,1.002735,0.3023297,1.047825,-0.03372656,-0.09060785,0.09577333,0.1360874,-0.01845205,-0.08087253,0.1277892,0.1523513,-0.003800973,-0.0787309,0.1250429,0.1478132,0,0,0,0,0,0,0,0,0,1,0,0,-0.09008844,0.5314457,0.08813336,0.546185,-0.6305695,-0.1431639,-0.5701294,-0.5067926,240.9009,-0.7314614,-0.1660703,-0.6613508,0.03706366,0.5358137,0.113752,0.5490078,0.05429642,0.5105241,0.06240055,0.5171816,0.03185882,0.5145937,0.04777867,0.5177881,0.06069496,-0.03380405,0.1186388,0.1374837,0.01479571,-0.07277562,0.1382542,0.1569377,0.001833141,-0.07768001,0.1131262,0.1372409,0,0,0,0,0,0,0,0,0,1,0,0,-0.02181376,0.9868707,0.2778328,1.025466,0.01065692,0.001321244,0.01063997,-0.9998857,358.2677,0.7049621,0.08740108,0.7038407,0.07181376,0.01312929,0.02216724,0.07629535,0.345545,0.7122916,-0.4765514,-0.3822802,224.95,0.3739476,0.7708396,-0.5157223,-0.02881723,1.109506,0.02237893,1.110106,0.06821826,0.04736115,0.01741454,0.9963934,9.735116,0.8039598,0.5581564,0.2052323,False
1773051583451,0.1248436,0.04759029,0.9038568,0.2393336,0.9362171,-0.5717134,-0.3321532,-0.2324498,0.7132918,88.99325,-0.8157229,-0.4739175,-0.3316602,-0.05339575,0.9698323,0.283592,1.011855,-0.04353938,1.001629,0.2921053,1.044261,-0.03229921,1.000203,0.3006613,1.044915,-0.0337682,-0.09045557,0.09594379,0.1361165,-0.01846558,-0.08096621,0.1275785,0.1522261,-0.003841293,-0.07884794,0.1247748,0.1476499,0,0,0,0,0,0,0,0,0,1,0,0,-0.09003669,0.5314443,0.088153,0.5461781,-0.6306403,-0.1431285,-0.5699476,-0.506919,240.9176,-0.7316066,-0.1660435,-0.6611969,0.03711359,0.5357611,0.1137748,0.5489645,0.05432808,0.5104812,0.06238748,0.517141,0.03181768,0.5145805,0.04778752,0.5177732,0.06070942,-0.03376941,0.1186378,0.1374806,0.01480796,-0.07278203,0.1382398,0.1569291,0.001850387,-0.07765264,0.1130386,0.1371535,0,0,0,0,0,0,0,0,0,1,0,0,-0.02155291,0.9843579,0.2763247,1.022634,0.01506495,0.002853268,0.01248121,-0.9998046,357.7344,0.7620354,0.1443278,0.6313409,0.07155292,0.01564211,0.02367526,0.07697411,0.3458716,0.7089672,-0.4798755,-0.3840025,225.1637,0.3745907,0.7678356,-0.5197214,-0.02904465,1.109521,0.02249826,1.110129,0.06810749,0.04681093,0.01764613,0.996423,9.695189,0.8059537,0.5539396,0.2088164,False
1773051583465,0.1385851,0.04763106,0.9010437,0.2388159,0.9333711,-0.5751647,-0.3332415,-0.2331201,0.7097822,89.5656,-0.8165068,-0.4730713,-0.3309385,-0.05320607,0.9679739,0.2820531,1.009633,-0.04333526,0.9992973,0.2904755,1.041561,-0.03214768,0.997884,0.2990516,1.042227,-0.03382001,-0.09029566,0.09611983,0.1361474,-0.01846983,-0.08110407,0.1272632,0.152036,-0.003882999,-0.07898904,0.1244362,0.1474406,0,0,0,0,0,0,0,0,0,1,0,0,-0.08997969,0.5314392,0.08817294,0.5461671,-0.6307128,-0.1430773,-0.5697504,-0.5070649,240.9371,-0.7317636,-0.1660007,-0.6610339,0.03716864,0.5356924,0.1137983,0.5489061,0.05436324,0.5104261,0.06237474,0.5170888,0.03174765,0.5145729,0.04780362,0.5177628,0.0607197,-0.03373188,0.1186391,0.1374771,0.01481993,-0.0727884,0.138225,0.1569201,0.001874128,-0.07761341,0.1129135,0.1370285,0,0,0,0,0,0,0,0,0,1,0,0,-0.0213296,0.9821246,0.2748699,1.020087,0.01954867,0.004404536,0.01430893,-0.9996968,357.178,0.793915,0.178878,0.5811176,0.07132961,0.01787543,0.02513015,0.0777108,0.3461594,0.7055856,-0.4832301,-0.3857606,225.3819,0.3752003,0.7647804,-0.5237705,-0.02932118,1.109529,0.02261577,1.110147,0.0678854,0.04652128,0.01804939,0.9964445,9.666048,0.8057402,0.5521669,0.2142305,False
