Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773052092871,0,1,1,135,-0.3795173,0.6755232,0.6321669,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3506283,0.6241021,0.584046,0.3826834,135,-0.3795173,0.6755233,0.6321669
Grab,1773052097778,3.97331,1,1,135,-0.3795173,0.6755232,0.6321669,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3506283,0.6241021,0.584046,0.3826834,135,-0.3795173,0.6755233,0.6321669
Trial Start,1773052097803,0,1,1,135,-0.3795173,0.6755232,0.6321669,1,-1,-0.05000002,1,0.3,1.045227,-0.005489905,-0.01395118,-0.005022405,0.9998751,1.811373,-0.3473075,-0.8825924,-0.3177321,0.1,0,0,0.1,-0.3534973,0.6343304,0.5775771,0.3729202,136.2083,-0.3809799,0.6836463,0.6224808
Clutch Start,1773052097893,0.0973888,1,1,135,-0.3795173,0.6755232,0.6321669,1,0,-0.06077387,1.006057,0.3001659,1.051639,0.1138966,0.02719545,-0.2149783,0.9695733,28.34016,0.4652617,0.111092,-0.8781754,0.1107739,-0.006057143,-0.0001658797,0.1109395,-0.2334944,0.6035622,0.7291626,0.2225197,154.2859,-0.239499,0.6190837,0.7479142
Clutch End,1773052099014,1.222064,1,1,135,-0.3795173,0.6755232,0.6321669,1,0,-0.05588548,1.031653,0.2445059,1.061703,-0.5541396,0.5848761,0.03336483,0.5913849,107.4893,-0.6871861,0.7253023,0.04137558,0.1058855,-0.03165269,0.0554941,0.1236658,0.3254752,0.4572066,0.1918623,0.8051192,72.75646,0.5487574,0.7708592,0.3234835
Release,1773052099016,1.222064,1,1,135,-0.3795173,0.6755232,0.6321669,1,0,-0.05588548,1.031653,0.2445059,1.061703,-0.5541396,0.5848761,0.03336483,0.5913849,107.4893,-0.6871861,0.7253023,0.04137558,0.1058855,-0.03165269,0.0554941,0.1236658,0.3254752,0.4572066,0.1918623,0.8051192,72.75646,0.5487574,0.7708592,0.3234835
Grab,1773052100055,2.264024,1,1,135,-0.3795173,0.6755232,0.6321669,1,0,-0.05588548,1.031653,0.2445059,1.061703,-0.5541396,0.5848761,0.03336483,0.5913849,107.4893,-0.6871861,0.7253023,0.04137558,0.1058855,-0.03165269,0.0554941,0.1236658,0.3254752,0.4572066,0.1918623,0.8051192,72.75646,0.5487574,0.7708592,0.3234835
Clutch Start,1773052100723,2.930998,1,1,135,-0.3795173,0.6755232,0.6321669,1,0,-0.06369165,1.037289,0.2332686,1.065101,-0.1349553,0.7647052,0.3904456,0.4945354,120.7218,-0.1552714,0.8798236,0.4492231,0.1136917,-0.03728938,0.06673138,0.1370013,0.08119213,-0.04208053,0.3233158,0.941862,39.26672,0.2416432,-0.1252397,0.9622495
On Target,1773052102168,4.389366,1,1,135,-0.3795173,0.6755232,0.6321669,1,-1,0.04981994,1.003758,0.2962852,1.047758,-0.3423714,0.5675148,0.64502,0.3803395,135.2906,-0.3701925,0.613631,0.6974343,0.0001800619,-0.003757954,0.003714859,0.005287232,-0.07344156,-0.006009424,-0.03939065,0.9965032,9.585782,-0.8789685,-0.07192241,-0.4714379
Trial End,1773052103168,5.389377,1,2,135,-0.3795173,0.6755232,0.6321669,1,-1,0.04803737,1.007975,0.2962467,1.051705,-0.3689403,0.6220227,0.5466089,0.422125,130.0624,-0.4069774,0.6861521,0.6029633,0.001962628,-0.007974982,0.003753304,0.009029925,0.01532843,0.04923292,0.0252046,0.9983516,6.580547,0.2670722,0.8578009,0.4391478
Trial Load,1773052103168,5.389377,1,2,135,0.575066,-0.3334069,-0.747087,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.5312917,-0.3080278,-0.6902184,0.3826834,135,0.575066,-0.3334069,-0.747087
Grab,1773052104654,6.861159,1,2,135,0.575066,-0.3334069,-0.747087,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.5312917,-0.3080278,-0.6902184,0.3826834,135,0.575066,-0.3334069,-0.747087
Trial Start,1773052104667,0,1,2,135,0.575066,-0.3334069,-0.747087,1,-1,-0.05000003,1,0.3,1.045227,-0.02685043,0.01382772,0.007664399,0.9995145,3.570843,-0.8617949,0.4438162,0.2459976,0.1,0,0,0.1,0.5341256,-0.3276305,-0.6918922,0.3586828,137.9613,0.5722001,-0.3509853,-0.7412128
Release,1773052104819,0.1526081,1,2,135,0.575066,-0.3334069,-0.747087,1,0,-0.04485676,0.9876072,0.3070755,1.035218,-0.5221326,-0.006010905,0.2022795,0.8285074,68.10857,-0.932416,-0.01073418,0.3612275,0.09485677,0.01239276,-0.007075518,0.09592419,0.7064471,-0.5058192,-0.4852351,-0.09811419,191.2612,0.7098721,-0.5082715,-0.4875876
Grab,1773052105528,0.8610293,1,2,135,0.575066,-0.3334069,-0.747087,1,0,-0.04485676,0.9876072,0.3070755,1.035218,-0.5221326,-0.006010905,0.2022795,0.8285074,68.10857,-0.932416,-0.01073418,0.3612275,0.09485677,0.01239276,-0.007075518,0.09592419,0.7064471,-0.5058192,-0.4852351,-0.09811419,191.2612,0.7098721,-0.5082715,-0.4875876
Release,1773052106027,1.361073,1,2,135,0.575066,-0.3334069,-0.747087,1,0,-0.03558823,0.9901528,0.2926949,1.033121,0.01181376,-0.534718,-0.6980197,0.4761362,123.1333,0.01343432,-0.6080683,-0.793771,0.08558823,0.009847224,0.007305145,0.08646201,0.4025089,-0.3047335,0.2189348,0.83498,66.77249,0.7314617,-0.5537786,0.3978606
Grab,1773052107041,2.374932,1,2,135,0.575066,-0.3334069,-0.747087,1,0,-0.03558823,0.9901528,0.2926949,1.033121,0.01181376,-0.534718,-0.6980197,0.4761362,123.1333,0.01343432,-0.6080683,-0.793771,0.08558823,0.009847224,0.007305145,0.08646201,0.4025089,-0.3047335,0.2189348,0.83498,66.77249,0.7314617,-0.5537786,0.3978606
On Target,1773052107778,3.12458,1,2,135,0.575066,-0.3334069,-0.747087,1,-1,0.04453711,1.016404,0.2944614,1.059135,0.5497102,-0.2388327,-0.6838781,0.416039,130.8305,0.6045111,-0.2626421,-0.7520543,0.005462889,-0.01640379,0.005538583,0.01815499,-0.03513367,-0.02067297,-0.06788516,0.99686,9.083312,-0.4436964,-0.2610749,-0.8573087
Off Target,1773052107834,3.180484,1,2,135,0.575066,-0.3334069,-0.747087,1,-1,0.04851641,1.012347,0.2945552,1.055444,0.4490631,-0.3112364,-0.7481982,0.3763959,135.7788,0.4847091,-0.335942,-0.8075891,0.001483593,-0.01234651,0.005444854,0.01357511,0.01248223,-0.08439521,0.05356109,0.9949135,11.56274,0.1239143,-0.8378127,0.5317146
On Target,1773052108972,4.318851,1,2,135,0.575066,-0.3334069,-0.747087,1,-1,0.05117341,0.9968327,0.2998272,1.042205,0.581898,-0.2420639,-0.6748953,0.3838179,134.8593,0.6301629,-0.2621416,-0.7308738,-0.001173411,0.003167272,0.0001727939,0.003382064,-0.05957311,0.01747766,-0.05728113,0.9964259,9.691309,-0.7052413,0.2069049,-0.6781083
Off Target,1773052109208,4.555136,1,2,135,0.575066,-0.3334069,-0.747087,1,-1,0.0563294,1.002821,0.3008436,1.048489,0.5395051,-0.3167618,-0.6366299,0.4508865,126.3989,0.6044325,-0.3548828,-0.7132458,-0.006329399,-0.002821088,-0.0008435547,0.006980788,0.05562764,0.01647412,-0.06547212,0.9961665,10.03705,0.6359067,0.1883237,-0.7484438
Clutch Start,1773052109375,4.70768,1,2,135,0.575066,-0.3334069,-0.747087,1,0,0.05518508,1.005552,0.2996742,1.050707,0.5379012,-0.3216936,-0.6320146,0.4557776,125.7701,0.6043197,-0.3614154,-0.710054,-0.005185079,-0.005551815,0.0003257692,0.00760354,0.06366567,0.01819979,-0.06749994,0.9955196,10.85142,0.6733193,0.1924785,-0.71387
On Target,1773052109723,5.068789,1,2,135,0.575066,-0.3334069,-0.747087,1,-1,0.05028046,1.002012,0.2977746,1.04653,0.5387749,-0.3237566,-0.6355472,0.4483113,126.7292,0.602739,-0.3621935,-0.7110003,-0.0002804548,-0.002012134,0.002225429,0.003013282,0.05970036,0.02001536,-0.06016776,0.9962003,9.992602,0.6854901,0.2298199,-0.6908569
Trial End,1773052110723,6.069191,1,3,135,0.575066,-0.3334069,-0.747087,1,-1,0.04739159,1.005845,0.2985263,1.05028,0.5327187,-0.3350599,-0.6470521,0.4304292,129.0104,0.5901887,-0.3712063,-0.7168565,0.002608415,-0.00584507,0.001473665,0.006568132,0.05677524,0.01955654,-0.03555173,0.9975622,8.003088,0.8135943,0.2802469,-0.5094595
Trial Load,1773052110724,6.069191,1,3,135,0.7984715,-0.5736576,0.1826481,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.7376915,-0.5299906,0.1687448,0.3826834,135,0.7984715,-0.5736577,0.1826481
Grab,1773052111860,7.191755,1,3,135,0.7984715,-0.5736576,0.1826481,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.7376915,-0.5299906,0.1687448,0.3826834,135,0.7984715,-0.5736577,0.1826481
Trial Start,1773052111874,0,1,3,135,0.7984715,-0.5736576,0.1826481,1,-1,-0.05000002,1,0.3,1.045227,0.009069395,-0.0007826286,0.001060187,0.999958,1.049773,0.990004,-0.08543077,0.1157287,0.1,0,0,0.1,0.7346196,-0.5304172,0.1641026,0.3899515,134.097,0.7977751,-0.5760173,0.1782106
Release,1773052113193,1.319609,1,3,135,0.7984715,-0.5736576,0.1826481,1,0,-0.027452,0.99265,0.2844012,1.032953,0.2149297,-0.7572584,-0.01257683,0.6166092,103.8621,0.2730065,-0.9618796,-0.01597526,0.077452,0.007349968,0.01559877,0.07934833,0.2381683,-0.08255291,0.5535749,0.7937354,74.92807,0.3915545,-0.135719,0.9100909
Grab,1773052113971,2.097372,1,3,135,0.7984715,-0.5736576,0.1826481,1,0,-0.027452,0.99265,0.2844012,1.032953,0.2149297,-0.7572584,-0.01257683,0.6166092,103.8621,0.2730065,-0.9618796,-0.01597526,0.077452,0.007349968,0.01559877,0.07934833,0.2381683,-0.08255291,0.5535749,0.7937354,74.92807,0.3915545,-0.135719,0.9100909
Clutch Start,1773052115916,4.042304,1,3,135,0.7984715,-0.5736576,0.1826481,1,0,0.01640704,1.003844,0.2649606,1.038352,0.7714707,-0.09599726,0.06706481,0.6253957,102.5775,0.9886751,-0.1230249,0.08594662,0.03359296,-0.003843784,0.03503942,0.04869315,0.1854647,-0.3754258,-0.2581882,0.8706304,58.93607,0.3770083,-0.763157,-0.524839
On Target,1773052117124,5.264442,1,3,135,0.7984715,-0.5736576,0.1826481,1,-1,0.05321415,1.001698,0.2999264,1.046989,0.7671742,-0.4612025,0.1886135,0.403932,132.3516,0.8386351,-0.5041627,0.2061825,-0.003214151,-0.001697779,7.358193E-05,0.003635744,0.02653018,-0.0279037,-0.0703878,0.9967765,9.203623,0.3306741,-0.3477938,-0.8773189
Off Target,1773052117207,5.348081,1,3,135,0.7984715,-0.5736576,0.1826481,1,-1,0.05538482,1.003295,0.2918366,1.046345,0.7083764,-0.5378948,0.2551708,0.3791569,135.4371,0.7655372,-0.581299,0.2757612,-0.005384818,-0.003295302,0.008163393,0.0103197,0.05308805,0.07359637,-0.01230131,0.9957982,10.50853,0.5797166,0.8036656,-0.1343292
On Target,1773052117512,5.653094,1,3,135,0.7984715,-0.5736576,0.1826481,1,-1,0.04976541,1.006194,0.2910493,1.048624,0.7054897,-0.5588908,0.2397552,0.363927,137.3169,0.7574285,-0.6000369,0.2574062,0.0002345927,-0.006193519,0.00895074,0.01088717,0.03124475,0.07881799,0.008046519,0.9963669,9.771111,0.3668692,0.9254642,0.09448051
