Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.3795173,0.6755232,0.6321669,1,5.389377,False,0.001962628,-0.007974982,0.003753304,0.009029925,0.01532843,0.04923292,0.0252046,0.9983516,6.580547,0.2670722,0.8578009,0.4391478,0.1719273,0.1748931,0.2175726,0.3854616,325.6097,0.1672591,199.4675,0,0,0,0,0,0,0,0.4244825,399.1924,0.07066859,18.28648
1,3,135,0.575066,-0.3334069,-0.747087,1,6.069191,False,0.002608415,-0.00584507,0.001473665,0.006568132,0.05677524,0.01955654,-0.03555173,0.9975622,8.003088,0.8135943,0.2802469,-0.5094595,0.1447056,0.1115276,0.1314575,0.338824,205.3978,0.1395774,468.7,0,0,0,0,0,0,0,0.3132497,536.8951,0.08556388,21.18176
1,4,135,0.7984715,-0.5736576,0.1826481,1,6.639668,False,0.002121087,-0.001563787,0.005639672,0.006224977,0.01581667,0.02939902,0.01282316,0.9993604,4.098936,0.442273,0.822069,0.3585672,0.3036667,0.1779858,0.1935496,0.2400839,296.6819,0.1930712,640.7781,0,0,0,0,0,0,0,0.3233218,808.328,0.05998115,11.28914
1,5,135,0.6782494,0.1636358,0.7163806,1,7.929775,False,-0.001296293,-0.006721258,0.004806638,0.008364176,0.01569235,-0.005767746,0.005162186,0.9998469,2.004983,0.896882,-0.3296504,0.2950402,0.3149712,0.2486572,0.2248332,0.5435485,334.3607,0.2253824,706.4696,0,0,0,0,0,0,0,0.4128979,838.2455,0.08200011,17.15344
1,6,135,0.2345585,-0.2024305,-0.9507914,1,5.958058,False,0.0003749616,-0.003895402,-0.001414418,0.004161169,0.01074656,0.006522677,-0.02204921,0.9996779,2.908553,0.423445,0.257012,-0.8688012,0.1924011,0.1094847,0.1663285,0.3213221,285.7411,0.1537508,484.2359,0,0,0,0,0,0,0,0.3352293,628.7431,0.0718213,15.46069
1,7,135,-0.6919733,-0.5800898,-0.429731,0.9999999,8.8325,False,0.0007961467,0.0004166961,-0.001236737,0.001528726,0.04672528,-0.01194092,-0.009262297,0.9987935,5.629607,0.9514785,-0.2431559,-0.1886104,0.3506698,0.27779,0.3470897,0.4223744,584.1664,0.2648076,744.144,0,0,0,0,0,0,0,0.5748028,1025.882,0.1175066,22.45427
1,8,135,0.1170339,0.6459221,0.754379,1,8.887724,False,0.001567837,-0.00464499,0.002962112,0.00572784,0.0276094,-0.006686875,0.007423763,0.9995689,3.364748,0.940411,-0.2277634,0.2528628,0.1697302,0.1367524,0.1763699,0.2158025,210.7737,0.2383935,405.0323,0,0,0,0,0,0,0,0.3301479,333.3293,0.09046939,22.1916
1,9,135,0.2653643,0.5389675,0.7994347,1,10.65179,False,-0.001067568,0.001440763,-0.006719708,0.006954853,-0.07424724,0.009802431,-0.01517194,0.9970763,8.764709,-0.9716684,0.1282837,-0.1985541,0.1804044,0.1259549,0.187114,0.4031669,272.1701,0.239809,431.5834,0,0,0,0,0,0,0,0.4103038,532.1245,0.1411171,24.00486
1,10,135,0.9479995,0.3131405,-0.05692136,1,6.735642,False,0.0009381659,-0.003115535,0.0008793771,0.003370462,0.00188361,0.01854501,-0.02649491,-0.9994752,356.2873,0.05814775,0.5724913,-0.817908,0.2875357,0.1924461,0.1799603,0.2914333,176.8768,0.2289775,610.8711,0,0,0,0,0,0,0,0.3362311,677.907,0.04914827,8.577504
1,11,135,0.7840005,-0.3471009,-0.5146496,1,6.332648,False,0.002446208,0.003390551,0.0009208918,0.004281099,-0.03507649,0.01505316,0.004767533,0.9992599,4.409028,-0.911867,0.3913299,0.1239393,0.2430881,0.2262453,0.3010287,0.5358484,409.022,0.2005875,549.6969,0,0,0,0,0,0,0,0.5827405,885.9622,0.3665786,58.78499
2,2,135,-0.4543482,-0.8616168,-0.2262391,1,6.972075,False,-0.0007748045,0.0001536012,0.003119767,0.003218208,-0.05115175,0.03444192,0.006233261,0.9980775,7.107049,-0.8252817,0.5556855,0.1005674,0.167236,0.1364496,0.1992054,0.4028131,301.4383,0.2047253,523.1033,0,0,0,0,0,0,0,0.3560435,640.8395,0.1681084,42.61552
2,3,135,0.9498934,0.2888091,0.1195492,1,7.943822,False,-0.001505367,-0.002296925,0.004367948,0.00515955,-0.04666676,-0.05002627,-0.03565309,0.9970198,8.849042,-0.604917,-0.6484645,-0.4621524,0.1516656,0.1276611,0.2373042,0.3205443,314.4831,0.1305561,513.2046,0,0,0,0,0,0,0,0.3530507,744.5699,0.1650918,38.79939
2,4,135,0.9238499,0.1071328,-0.3674558,1,9.346859,False,0.002787512,-0.0004988909,0.005790889,0.006446201,0.08080138,0.001535341,0.007119226,-0.9967037,350.6932,0.9959717,0.01892488,0.0877528,0.4425164,0.3068599,0.3206557,0.5328132,338.9832,0.4626669,678.3403,0,0,0,0,0,0,0,0.6078889,821.6204,0.145475,27.82344
2,5,135,-0.7848806,-0.2024095,-0.5856559,1,8.055573,False,5.390495E-06,-0.002390146,0.0007310808,0.002499461,-0.0515836,0.01362051,-0.01902772,-0.9983946,353.5057,-0.910675,0.2404612,-0.335922,0.1684112,0.1100094,0.1910573,0.3827487,317.7999,0.2704909,437.8263,0,0,0,0,0,0,0,0.3415136,554.7393,0.244451,54.69045
2,6,135,-0.2061155,0.9632726,-0.1721114,1,5.068671,False,-0.0009529628,0.0008454919,-0.00166136,0.002093588,0.0326803,0.0352049,-0.05188833,0.997497,8.109364,0.4621832,0.4978875,-0.733834,0.1008175,0.1038391,0.117612,0.3502427,210.8264,0.1010544,408.0055,0,0,0,0,0,0,0,0.2891435,427.3779,0.07540962,18.09521
2,7,135,-0.5699211,-0.005740757,0.8216794,1,7.707768,False,0.004443686,-0.002277732,0.005050421,0.007102194,0.01774718,-0.03259398,-0.01198107,-0.9992394,355.53,0.455075,-0.8357782,-0.3072197,0.4320565,0.2610806,0.2646728,0.4344249,372.6812,0.2979392,453.4871,0,0,0,0,0,0,0,0.5860681,695.0044,0.1976415,51.5287
2,8,135,-0.5415031,0.8092305,0.2278606,1,5.624484,False,-0.001496945,-0.001774073,-0.003456205,0.004163356,-0.007839484,0.005467648,0.004962041,0.9999421,1.234145,-0.7279071,0.5076787,0.4607325,0.1457387,0.1465605,0.110961,0.5227581,265.6065,0.1287623,244.6394,0,0,0,0,0,0,0,0.409796,379.0925,0.1463069,35.2561
2,9,135,0.8241212,-0.2492442,-0.5086272,1,5.374434,False,-0.001540836,-0.004468083,0.005587071,0.007318012,-0.01480224,-0.02422583,0.02175725,0.9993602,4.0997,-0.4138299,-0.6772876,0.608273,0.1693435,0.1211963,0.1242395,0.2711445,206.1198,0.1673427,412.1872,0,0,0,0,0,0,0,0.2841349,485.8105,0.1389454,27.98919
