Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773054368360,0,1,1,135,0.5471575,0.8367011,0.02344811,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.5055077,0.7730111,0.02166323,0.3826834,135,0.5471576,0.8367012,0.02344811
Trial Start,1773054374797,0,1,1,135,0.5471575,0.8367011,0.02344811,0.9999999,-1,-0.04274087,0.9956315,0.2784804,1.034727,0,0,0,1,0,1,0,0,0.09274088,0.004368484,0.02151966,0.09530503,0.5055077,0.7730111,0.02166323,0.3826834,135,0.5471576,0.8367012,0.02344811
On Target,1773054386688,11.9161,1,1,135,0.5471575,0.8367011,0.02344811,0.9999999,-1,0.04566725,0.9832967,0.3031957,1.029993,0.5724545,0.728942,0.05306934,0.3716492,136.3653,0.616621,0.7851821,0.0571638,0.004332755,0.01670331,-0.003195643,0.01754951,-0.05642924,0.02276067,0.06177019,0.9962341,9.948114,-0.6508214,0.2625081,0.7124208
Trial End,1773054387675,12.90225,1,2,135,0.5471575,0.8367011,0.02344811,0.9999999,-1,0.05129088,0.995886,0.2978495,1.040737,0.5020708,0.7786968,0.01207328,0.376046,135.822,0.5418414,0.8403798,0.01302964,-0.001290884,0.004113972,0.002150476,0.004818267,0.005496309,-0.01207994,-0.00200481,0.99991,1.537444,0.4096638,-0.9003704,-0.1494272
Trial Load,1773054387677,12.90225,1,2,135,0.2401023,-0.6194331,0.7474313,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2218256,-0.5722815,0.6905365,0.3826834,135,0.2401023,-0.6194331,0.7474313
Trial Start,1773054390701,0,1,2,135,0.2401023,-0.6194331,0.7474313,1,-1,-0.05986005,0.9898111,0.2931365,1.03404,0,0,0,1,0,1,0,0,0.1098601,0.01018894,0.006863505,0.1105448,0.2218256,-0.5722815,0.6905365,0.3826834,135,0.2401023,-0.6194331,0.7474313
On Target,1773054394007,3.319298,1,2,135,0.2401023,-0.6194331,0.7474313,1,-1,0.05478897,0.9995481,0.2962448,1.043963,-0.2741653,0.5478529,-0.6585017,-0.4371111,231.8394,-0.3048288,0.6091265,-0.7321506,-0.004788969,0.0004519224,0.003755242,0.006102483,0.009420133,0.08374495,-0.01447153,-0.9963377,350.1898,0.1101692,0.9794038,-0.1692457
Trial End,1773054395006,4.319395,1,3,135,0.2401023,-0.6194331,0.7474313,1,-1,0.05219035,0.9986824,0.29931,1.043876,-0.2647483,0.5302288,-0.6998905,-0.3986465,226.9872,-0.2886785,0.5781553,-0.7631524,-0.002190348,0.00131762,0.0006899834,0.002647607,-0.02150729,0.05279302,0.02644876,-0.9980235,352.794,-0.3422419,0.8400862,0.4208745
Trial Load,1773054395008,4.319395,1,3,135,-0.339503,-0.9095929,-0.2395381,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.3136598,-0.8403543,-0.2213043,0.3826834,135,-0.339503,-0.909593,-0.2395381
Trial Start,1773054397935,0,1,3,135,-0.339503,-0.9095929,-0.2395381,1,-1,-0.05079402,0.9986917,0.3005051,1.044159,-0.01023379,0.01331762,-0.00183669,-0.9998573,358.0641,-0.605786,0.7883324,-0.1087223,0.100794,0.001308262,-0.0005050898,0.1008038,0.3130407,0.8334493,0.2347528,-0.390204,225.9344,0.3399923,0.9052063,0.2549642
