Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773054604720,0.0138602,-0.02793466,0.8792026,0.223356,0.9075602,-0.3515449,-0.2609923,-0.7368582,0.5151108,117.9903,-0.4101449,-0.3044979,-0.8596873,-0.07517292,0.9923483,0.2615358,1.028984,-0.03158288,1.022451,0.3033698,1.066975,-0.06546833,0.9870782,0.290675,1.031068,-0.02604903,-0.08618691,0.1019807,0.1360397,-0.019788,-0.05228541,0.1646283,0.1738614,-0.0008268729,-0.07394326,0.1194069,0.1404504,0,0,0,0,0,0,0,0,0,1,0,0,-0.1249949,0.5926875,0.159888,0.6264713,-0.09008006,0.05342865,-0.0765307,-0.9915514,345.0937,-0.6944448,0.4118919,-0.5899902,-0.06910042,0.5343695,0.2612277,0.5988035,-0.1140413,0.5372245,0.3211339,0.6361938,-0.1537217,0.5434465,0.3296997,0.653962,0.06225379,-0.05130982,0.1110834,0.1372871,0.02350395,-0.02986848,0.1769758,0.181011,-0.0157757,-0.01513033,0.1884939,0.1897571,0,0,0,0,0,0,0,0,0,1,0,0,-0.0772614,0.9978277,0.2765692,1.038326,0,0,0,1,0,1,0,0,0.1272614,0.002172291,0.02343076,0.1294186,0.8968248,-0.2013766,0.09330694,0.3826834,135,0.9707162,-0.2179685,0.1009947,-0.048962,1.100415,-0.02535412,1.101795,-0.02893216,-0.05732312,0.08387493,0.9944053,12.12705,-0.2738982,-0.5426728,0.7940363,False
1773054604733,0.0282007,-0.02709607,0.8799638,0.2229369,0.9081692,-0.3441892,-0.2662972,-0.7428038,0.508785,118.8341,-0.3998046,-0.3093265,-0.8628287,-0.07270857,0.9942987,0.2601669,1.030341,-0.03355705,1.022941,0.3019645,1.067107,-0.06631064,0.9873403,0.2879358,1.030604,-0.02663804,-0.08482604,0.1032257,0.1362373,-0.01954665,-0.05419453,0.1633328,0.1731956,-0.001067327,-0.07461628,0.1176319,0.1393054,0,0,0,0,0,0,0,0,0,1,0,0,-0.1251617,0.5925577,0.1598841,0.6263809,-0.08956187,0.05272684,-0.07639738,-0.9916461,345.1777,-0.6943411,0.4087723,-0.5922815,-0.06920996,0.5342948,0.2612259,0.5987486,-0.1140586,0.5369676,0.3210149,0.6359199,-0.1537609,0.5434439,0.3297389,0.6539888,0.06217799,-0.05134643,0.1111109,0.1372887,0.02337867,-0.03020577,0.1768726,0.1809499,-0.01588772,-0.01519825,0.1884635,0.1897417,0,0,0,0,0,0,0,0,0,1,0,0,-0.07673595,0.999062,0.2747847,1.038999,0.0007921177,0.01189372,0.003939214,-0.9999212,358.5614,0.06309848,0.9474296,0.3137898,0.126736,0.0009379983,0.0252153,0.1292234,-0.8951542,0.2002681,-0.1056332,-0.3839704,225.1597,-0.9694684,0.216894,-0.1144026,-0.04992709,1.100542,-0.02538373,1.101966,-0.0293504,-0.05826148,0.0849252,0.9942494,12.29511,-0.2740741,-0.5440459,0.7930318,False
1773054604747,0.0421878,-0.02666765,0.8806869,0.2224249,0.9087318,-0.3216854,-0.2809177,-0.7648487,0.4822969,122.3289,-0.3672175,-0.3206795,-0.8731072,-0.06653956,0.9985735,0.2564645,1.033127,-0.03772414,1.023365,0.2983442,1.066634,-0.06872094,0.986402,0.2789984,1.0274,-0.02820236,-0.0815646,0.1059819,0.136676,-0.01898551,-0.05812832,0.1603478,0.1716123,-0.002047348,-0.07597596,0.1110925,0.1346034,0,0,0,0,0,0,0,0,0,1,0,0,-0.1253179,0.5925268,0.1598489,0.6263739,-0.08923785,0.05214036,-0.07650917,-0.9916977,345.2237,-0.6939666,0.4054745,-0.5949809,-0.06927368,0.5343224,0.261176,0.5987589,-0.1140938,0.536938,0.3209377,0.6358622,-0.1538156,0.5434682,0.3297211,0.654013,0.06213633,-0.0513746,0.1111241,0.137291,0.02327624,-0.03033337,0.1768296,0.180916,-0.01600702,-0.01525697,0.1884329,0.1897261,0,0,0,0,0,0,0,0,0,1,0,0,-0.07538041,1.002005,0.269814,1.04043,0.003531615,0.05066999,0.02379947,-0.9984256,353.5689,0.06296134,0.9033403,0.4242949,0.1253804,-0.002004862,0.03018606,0.1289786,-0.8872438,0.2026834,-0.148421,-0.3868967,225.5231,-0.9621751,0.2198008,-0.1609557,-0.05076382,1.100543,-0.02544522,1.102007,-0.03015588,-0.05954884,0.0857693,0.9940766,12.47871,-0.2774687,-0.5479177,0.7891762,False
1773054604761,0.0557919,-0.02627347,0.8814405,0.221956,0.909336,-0.3043018,-0.2916665,-0.7804579,0.4617538,124.9993,-0.3430654,-0.3288206,-0.8798769,-0.06193258,1.001554,0.2537108,1.035044,-0.04031325,1.023912,0.2951833,1.066374,-0.06910005,0.9860818,0.2725438,1.025384,-0.02941448,-0.07940463,0.1076062,0.1369285,-0.01847337,-0.06073176,0.1580768,0.1703464,-0.002710989,-0.07613627,0.1068379,0.131219,0,0,0,0,0,0,0,0,0,1,0,0,-0.1254765,0.5924957,0.1598112,0.6263666,-0.08890347,0.05153662,-0.07664357,-0.991749,345.2694,-0.6935019,0.4020174,-0.5978672,-0.06933302,0.5343497,0.2611198,0.5987656,-0.1141256,0.5369101,0.3208573,0.6358038,-0.153889,0.5434927,0.3296955,0.6540377,0.0620947,-0.05140913,0.1111343,0.1372935,0.02317198,-0.03046372,0.1767852,0.1808811,-0.01615199,-0.01531579,0.1883974,0.1897077,0,0,0,0,0,0,0,0,0,1,0,0,-0.07402316,1.004385,0.2660162,1.041649,0.005645425,0.0798651,0.03866198,-0.9960396,349.7982,0.06349564,0.8982646,0.4348418,0.1240232,-0.004384995,0.03398377,0.1286696,-0.8801959,0.2041623,-0.1804946,-0.3885804,225.7324,-0.9552655,0.2215748,-0.1958885,-0.05158331,1.1005,-0.02555908,1.102005,-0.03069123,-0.06033402,0.08627667,0.993969,12.59163,-0.2798716,-0.5501826,0.7867522,False
1773054604775,0.0694207,-0.02562226,0.8819419,0.2218024,0.909766,-0.2854912,-0.2965308,-0.7918925,0.4510772,126.3744,-0.3198835,-0.332253,-0.8872895,-0.05776669,1.003273,0.2539581,1.036528,-0.04575161,1.02228,0.2922441,1.064216,-0.0695961,0.9860356,0.2705851,1.024854,-0.03090344,-0.07649197,0.1097023,0.1372612,-0.01816371,-0.06504208,0.1535085,0.1677059,-0.002884161,-0.07621235,0.1057542,0.1303863,0,0,0,0,0,0,0,0,0,1,0,0,-0.1256502,0.5923442,0.1598417,0.6262659,-0.08843406,0.05091232,-0.07690727,-0.9918028,345.3175,-0.6920893,0.3984423,-0.60188,-0.06936851,0.5343003,0.2611403,0.5987346,-0.1141629,0.5368328,0.3208725,0.635753,-0.1539924,0.5434474,0.3297482,0.6540509,0.06207813,-0.05144835,0.1111338,0.1373002,0.02306869,-0.03056826,0.1767487,0.1808499,-0.01632362,-0.01536114,0.1883585,0.1896875,0,0,0,0,0,0,0,0,0,1,0,0,-0.07378498,1.005091,0.2648309,1.042011,0.0003090361,0.103038,0.04579965,-0.9936224,347.0513,0.002740687,0.9137923,0.4061743,0.123785,-0.005090594,0.03516906,0.1287847,-0.8723863,0.2017068,-0.2027079,-0.3964416,226.7118,-0.9502499,0.2197099,-0.2208003,-0.05229054,1.100451,-0.02560441,1.10199,-0.03107528,-0.06087766,0.08658045,0.9938974,12.66616,-0.2817136,-0.5518876,0.7848967,False
1773054604788,0.0835082,-0.02499196,0.8824902,0.2216549,0.9102441,-0.270733,-0.3007647,-0.8007747,0.4415929,127.5889,-0.301748,-0.3352201,-0.892511,-0.05432197,1.004663,0.2541028,1.037722,-0.04913972,1.021286,0.2895023,1.062663,-0.06975923,0.9859237,0.2682943,1.024155,-0.03202292,-0.0742285,0.1111862,0.1374689,-0.01793195,-0.06791072,0.1500199,0.1656484,-0.003125705,-0.07629255,0.1042402,0.1292144,0,0,0,0,0,0,0,0,0,1,0,0,-0.1258509,0.5921632,0.1598791,0.6261446,-0.08790977,0.05023229,-0.0772243,-0.9918594,345.3685,-0.6903681,0.3944814,-0.6064535,-0.06941062,0.534236,0.2611653,0.5986929,-0.1142078,0.5367485,0.3209006,0.635704,-0.1541121,0.5433912,0.3298137,0.6540655,0.06206531,-0.05149335,0.1111294,0.1373077,0.02296389,-0.03067115,0.1767123,0.1808184,-0.01650632,-0.01540432,0.1883175,0.1896662,0,0,0,0,0,0,0,0,0,1,0,0,-0.07330271,1.005937,0.2636522,1.042494,-0.003157418,0.1216912,0.05202319,-0.9911987,344.7854,-0.02385075,0.9192407,0.3929769,0.1233027,-0.005936503,0.03634784,0.1286855,-0.8658924,0.1999853,-0.220894,-0.4017985,227.3813,-0.945578,0.2183894,-0.2412222,-0.05294314,1.100423,-0.02567378,1.101995,-0.03124134,-0.06134247,0.08677881,0.9938464,12.71905,-0.2820457,-0.5537975,0.7834359,False
1773054604803,0.0970034,-0.02436404,0.8830925,0.221509,0.9107755,-0.2579608,-0.3046807,-0.8083551,0.4326524,128.728,-0.2861269,-0.337948,-0.8966174,-0.05112725,1.005919,0.2542691,1.038817,-0.05162378,1.020595,0.2867599,1.061372,-0.06968651,0.9857116,0.2657156,1.023273,-0.03297273,-0.07218629,0.1124302,0.1376176,-0.01771571,-0.07020567,0.1469261,0.1637986,-0.003426588,-0.07634451,0.1023519,0.1277346,0,0,0,0,0,0,0,0,0,1,0,0,-0.1260849,0.5919458,0.1599249,0.6259977,-0.08733848,0.04950786,-0.07759146,-0.9919176,345.4209,-0.6883354,0.3901832,-0.6115167,-0.06946851,0.5341477,0.2611966,0.5986345,-0.1142835,0.5366459,0.3209408,0.6356513,-0.1542542,0.5433148,0.3298933,0.6540756,0.06205611,-0.05154391,0.1111213,0.1373159,0.02284399,-0.03077161,0.1766761,0.1807849,-0.01669532,-0.01544541,0.1882753,0.1896441,0,0,0,0,0,0,0,0,0,1,0,0,-0.07267435,1.006884,0.262477,1.043068,-0.005686278,0.1381179,0.05780571,-0.9887111,342.7654,-0.03795043,0.9218042,0.3857975,0.1226743,-0.006884336,0.03752297,0.1284693,-0.8599965,0.19862,-0.2370974,-0.405883,227.8929,-0.9409924,0.2173264,-0.2594276,-0.05358221,1.100461,-0.02564222,1.102063,-0.03163416,-0.06175621,0.08714268,0.9937764,12.79124,-0.2839873,-0.5543999,0.7823002,False
1773054604816,0.1110313,-0.02243765,0.8841024,0.2207498,0.9115213,-0.2266427,-0.3057889,-0.8199045,0.4276481,129.3632,-0.2507261,-0.3382825,-0.9070289,-0.05012704,1.006353,0.2553005,1.039441,-0.05499786,1.018761,0.2867082,1.059765,-0.07084509,0.9857768,0.2654843,1.023356,-0.03410115,-0.07129578,0.1128103,0.1377394,-0.01768692,-0.07127384,0.1450125,0.1625467,-0.003340347,-0.07666226,0.1029003,0.1283617,0,0,0,0,0,0,0,0,0,1,0,0,-0.1261952,0.5917974,0.1599794,0.6258936,-0.08685172,0.04899311,-0.0780792,-0.9919477,345.4481,-0.6857698,0.3868431,-0.6165031,-0.06943488,0.5341172,0.261247,0.5986254,-0.114296,0.536587,0.320987,0.6356272,-0.1543192,0.5432699,0.3299648,0.6540897,0.06204456,-0.05159878,0.1111117,0.1373236,0.02272093,-0.03086762,0.1766427,0.1807531,-0.01686747,-0.01548684,0.1882362,0.1896239,0,0,0,0,0,0,0,0,0,1,0,0,-0.07344548,1.006586,0.262374,1.042809,0.0222571,-0.1671319,-0.05887915,0.9839232,20.57553,0.1246253,-0.9358302,-0.329685,0.1234455,-0.006586432,0.03762603,0.1292203,0.8464378,-0.1890615,0.2597449,0.4246544,129.7424,0.9349231,-0.2088257,0.2868983,-0.05411174,1.100413,-0.02561521,1.102041,-0.03193233,-0.06207774,0.08739503,0.9937247,12.84435,-0.2854836,-0.5549917,0.7813352,False
1773054604830,0.1251412,-0.02050591,0.8851929,0.2199925,0.9123507,-0.2004635,-0.3074179,-0.8294336,0.4211278,130.1884,-0.2210179,-0.3389387,-0.9144788,-0.04811922,1.007152,0.2559959,1.040291,-0.0575349,1.017434,0.285118,1.058194,-0.07135218,0.9864825,0.2647853,1.02389,-0.03524894,-0.06998226,0.113413,0.1378496,-0.01763329,-0.07262563,0.1426119,0.161008,-0.003239641,-0.07704201,0.1035404,0.1290991,0,0,0,0,0,0,0,0,0,1,0,0,-0.1262997,0.5916498,0.1600346,0.6257892,-0.08636137,0.04849321,-0.07859764,-0.9919741,345.472,-0.6830144,0.3835228,-0.6216127,-0.06939226,0.534088,0.2612969,0.5986162,-0.1143121,0.5365316,0.3210347,0.6356073,-0.1543853,0.5432264,0.3300355,0.6541048,0.06203562,-0.05165867,0.111099,0.1373318,0.02259086,-0.03096151,0.1766097,0.1807206,-0.01704338,-0.01552654,0.1881963,0.1896033,0,0,0,0,0,0,0,0,0,1,0,0,-0.07345021,1.006845,0.2616391,1.042874,0.03473682,-0.1923129,-0.06118712,0.9788081,23.6332,0.1696303,-0.9391214,-0.298795,0.1234502,-0.006844759,0.03836095,0.1294541,0.8342604,-0.1816294,0.2802206,0.4387445,127.9524,0.9283879,-0.2021222,0.3118372,-0.05462165,1.100388,-0.02555907,1.10204,-0.03210527,-0.06231255,0.08734668,0.9937087,12.8607,-0.2866661,-0.5563851,0.7799134,False
1773054604847,0.1415445,-0.01669195,0.887323,0.2172537,0.9136848,-0.1747943,-0.2934542,-0.83824,0.4250711,129.6897,-0.1931088,-0.3242015,-0.9260682,-0.04551196,1.007525,0.2581275,1.041061,-0.0571379,1.015637,0.2877453,1.057157,-0.07126655,0.9878798,0.2674769,1.025928,-0.03655642,-0.06941038,0.1134341,0.1379183,-0.01766408,-0.07268496,0.1424569,0.1609009,-0.002731128,-0.07854493,0.106508,0.1323658,0,0,0,0,0,0,0,0,0,1,0,0,-0.126436,0.591508,0.1600244,0.6256801,-0.08584597,0.04811447,-0.07901587,-0.992004,345.4992,-0.6802048,0.3812374,-0.6260862,-0.06942848,0.5340482,0.261295,0.5985841,-0.114383,0.5364911,0.3210273,0.6355821,-0.1544708,0.5431907,0.330049,0.6541023,0.06201409,-0.05172294,0.1110879,0.1373373,0.02248972,-0.03105013,0.1765794,0.1806936,-0.01715451,-0.01558268,0.1881665,0.1895883,0,0,0,0,0,0,0,0,0,1,0,0,-0.07215838,1.006196,0.2633988,1.042601,0.06193313,-0.2061015,-0.06102702,0.97466,25.85187,0.2768687,-0.9213657,-0.272818,0.1221584,-0.006196141,0.03660122,0.1276742,0.8188784,-0.1779115,0.2866616,0.4643391,124.6651,0.9245993,-0.2008806,0.323671,-0.05503621,1.100381,-0.02548259,1.102051,-0.03225838,-0.06244482,0.08764481,0.9936693,12.90101,-0.2871368,-0.5558308,0.7801397,False
