Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773054950400,0,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,-0.3733488,0.715122,-0.450294,0.3826834,135,-0.4041099,0.7740425,-0.4873948
Grab_left,1773054952043,0,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,-0.04829784,0.9959103,0.3027692,1.042036,-0.04942003,0.03993319,0.08935323,0.9939713,12.58914,-0.4507479,0.3642207,0.8149688,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09829785,0.004089713,-0.002769202,0.09842186,-0.4340659,0.6399155,-0.5022057,0.3871492,134.4455,-0.4707786,0.6940387,-0.5446815
Trial Start,1773054952045,0,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,-0.04829784,0.9959103,0.3027692,1.042036,-0.04942003,0.03993319,0.08935323,0.9939713,12.58914,-0.4507479,0.3642207,0.8149688,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09829785,0.004089713,-0.002769202,0.09842186,-0.4340659,0.6399155,-0.5022057,0.3871492,134.4455,-0.4707786,0.6940387,-0.5446815
Release_left,1773054952060,0.0120703,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,-0.04829784,0.9959103,0.3027692,1.042036,-0.04942003,0.03993319,0.08935323,0.9939713,12.58914,-0.4507479,0.3642207,0.8149688,0.3019238,-0.4090734,0.2946947,0.5876598,-0.2374388,0.7649278,0.1224759,0.5860956,108.2392,-0.2930468,0.9440734,0.1511597,-0.1933589,0.05377472,-0.03203696,0.2032381,-0.6295915,-0.2083743,0.7330602,0.1510555,162.6238,-0.6368997,-0.2107931,0.7415694,0.09829785,0.004089713,-0.002769202,0.09842186,-0.4340659,0.6399155,-0.5022057,0.3871492,134.4455,-0.4707786,0.6940387,-0.5446815
Grab,1773054957018,4.97484,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,-0.05740744,1.013708,0.3117161,1.062105,-0.4012395,-0.02791884,0.2239994,0.8877228,54.82304,-0.871543,-0.06064326,0.4865551,0.1388679,-0.04556408,0.008527997,0.1464005,0.5891148,-0.07692426,0.7717154,0.2268957,153.7712,0.604891,-0.07898425,0.7923815,-0.1958163,-0.3247459,-0.2839193,0.4737236,-0.6325721,-0.3699481,0.6377639,-0.2371671,207.4388,-0.6511502,-0.3808132,0.6564945,0.1074074,-0.01370823,-0.01171607,0.1089107,-0.3254978,0.3812086,-0.7828158,0.3686881,136.7305,-0.3501659,0.4100987,-0.8421419
Release,1773054958615,6.572946,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.01513139,1.003688,0.2687081,1.039145,-0.7488352,0.504026,0.2041134,0.3788687,135.4728,-0.8091575,0.5446277,0.2205558,0.1236927,-0.05549946,0.005036694,0.1356667,0.1856459,-0.6115903,0.7690676,0.005299022,179.3928,0.1856485,-0.6115988,0.7690783,-0.1714102,-0.2585082,-0.3482038,0.4663194,-0.7913235,-0.4496363,-0.1513622,-0.3856473,225.3679,-0.8576673,-0.4873333,-0.1640523,0.03486861,-0.003687739,0.03129187,0.04699576,-0.2278092,-0.3353466,-0.5960441,0.6930925,92.24919,-0.3160292,-0.4652108,-0.8268644
Grab,1773054960656,8.613366,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.008496303,1.011503,0.2534337,1.042803,-0.8090149,0.566043,0.02229574,0.1568224,161.955,-0.8191503,0.5731345,0.02257507,0.1084544,-0.05342301,0.01275028,0.1215686,-0.4227233,-0.2571227,0.8621488,-0.1090529,192.5214,-0.4252595,-0.2586654,0.8673214,-0.1555002,-0.267619,-0.353183,0.4696152,-0.6678938,-0.5382544,-0.420519,-0.2955739,214.3839,-0.6991311,-0.5634285,-0.4401866,0.0415037,-0.01150274,0.04656631,0.06342942,-0.01978285,-0.4770868,-0.4463612,0.7568083,81.63277,-0.0302658,-0.7298954,-0.6828884
On Target,1773054962608,10.57342,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.05250211,1.008782,0.2835795,1.049198,-0.3286917,0.7505243,-0.4044887,0.4062807,132.0572,-0.359718,0.8213687,-0.4426697,0.1239841,-0.04642724,0.01661252,0.1334298,-0.4422402,-0.1333754,0.8771706,-0.1311729,195.0747,-0.4460946,-0.1345378,0.8848158,-0.2102128,-0.2337439,-0.3777975,0.491484,-0.7696847,-0.4291287,-0.2610631,0.3940558,133.5858,-0.8374454,-0.4669079,-0.2840463,-0.002502106,-0.008782387,0.01642054,0.01878896,-0.07459736,0.006334506,0.01699806,0.9970488,8.805908,-0.9716932,0.08251225,0.221414
Off Target,1773054962638,10.6011,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.04882841,1.007828,0.2849354,1.04847,-0.346587,0.7204464,-0.3984322,0.4495401,126.5716,-0.3880023,0.8065359,-0.4460427,0.1245397,-0.04563818,0.01640117,0.1336487,-0.4553069,-0.135431,0.8715747,-0.1212922,193.9334,-0.4586934,-0.1364383,0.8780575,-0.2101402,-0.2342573,-0.3766454,0.4908128,-0.758215,-0.4333597,-0.2735265,0.4031042,132.4552,-0.8285106,-0.4735373,-0.2988856,0.001171593,-0.007828236,0.0150646,0.01701752,-0.07468726,0.03846126,-0.02882602,0.9960482,10.19101,-0.8409193,0.4330433,-0.3245581
On Target,1773054962652,10.61832,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.04804658,1.007506,0.2848573,1.048103,-0.352682,0.7147672,-0.4140776,0.4396169,127.8411,-0.3926605,0.7957902,-0.4610157,0.1247569,-0.04528108,0.01651346,0.1337436,-0.4094624,-0.1183631,0.8960554,-0.1241598,194.2645,-0.4126554,-0.1192861,0.9030429,-0.2102616,-0.2359371,-0.37285,0.4887672,-0.7644465,-0.4609464,-0.2272579,0.3892353,134.1862,-0.8298931,-0.5004095,-0.2467141,0.001953423,-0.007505894,0.01514274,0.01701343,-0.05490429,0.03663499,-0.02484937,0.9975099,8.088471,-0.7784901,0.5194489,-0.3523402
Off Target,1773054962723,10.68725,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.04597252,1.007433,0.2816345,1.047069,-0.3650723,0.705373,-0.4191276,0.4398899,127.8063,-0.406516,0.7854482,-0.4667077,0.1250879,-0.04385556,0.01608394,0.1335253,-0.4247532,-0.1277906,0.8908174,-0.09848196,191.3035,-0.4268281,-0.1284149,0.895169,-0.2071539,-0.2361214,-0.3710693,0.4861671,-0.7350203,-0.4870914,-0.2521245,0.3986486,133.0126,-0.8014581,-0.531119,-0.2749138,0.004027478,-0.007433057,0.01836553,0.0202179,-0.04242313,0.03673126,-0.03540764,0.9977964,7.608833,-0.6393742,0.5535899,-0.5336412
Release,1773054963097,11.05024,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.02162564,1.004779,0.3033612,1.049798,-0.4189564,0.8511984,-0.07006863,0.3082649,144.0906,-0.4404038,0.8947734,-0.07365562,0.1423213,-0.02452381,0.008579307,0.1446734,-0.3840553,-0.3695524,0.7681023,-0.3548962,221.5742,-0.4107958,-0.3952831,0.8215827,-0.2187985,-0.2508847,-0.3483624,0.4818427,-0.8803359,-0.2771231,-0.365162,0.1219353,165.9924,-0.8869544,-0.2792065,-0.3679073,0.02837436,-0.00477922,-0.003361195,0.02896969,-0.2879446,-0.267786,-0.09380674,0.9146469,47.68873,-0.7122869,-0.6624207,-0.2320492
On Target,1773054964377,12.34375,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.04843947,1.008118,0.303949,1.054055,-0.4159814,0.7397931,-0.4187436,0.3229852,142.3129,-0.439539,0.7816885,-0.4424575,0.117878,-0.0464455,0.01040136,0.1271244,-0.4848208,-0.06582387,0.8710458,-0.04353569,184.9904,-0.4852809,-0.06588633,0.8718724,-0.2273876,-0.2366869,-0.3721637,0.4962173,-0.7307047,-0.4748339,-0.3595682,0.3336377,141.0206,-0.7751179,-0.503695,-0.3814233,0.001560532,-0.008117676,-0.003948957,0.009161123,0.004931346,-0.08310927,-0.006468677,0.9965073,9.580303,0.05905348,-0.9952437,-0.0774632
Off Target,1773054964531,12.49571,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.0544535,1.005495,0.2965419,1.049725,-0.3726839,0.692347,-0.5229149,0.3291237,141.5688,-0.3946723,0.7331957,-0.5537671,0.1131934,-0.04413237,0.01128487,0.1220154,-0.5146523,0.0139322,0.8566624,0.03268815,176.2536,-0.5149274,0.01393965,0.8571204,-0.2224368,-0.2283308,-0.3766408,0.4934282,-0.6511488,-0.5241981,-0.3395926,0.4311597,128.9176,-0.7216738,-0.5809733,-0.3763734,-0.004453499,-0.005494952,0.003458112,0.007873163,0.08193027,-0.00217378,0.04388096,0.9956693,10.66864,0.8812839,-0.02338229,0.4720061
On Target,1773054964893,12.85753,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.05843157,1.008607,0.2860793,1.05002,-0.324802,0.6970791,-0.4966854,0.4023532,132.5493,-0.354787,0.7614319,-0.5425383,0.1119637,-0.0470196,0.01471485,0.1223243,-0.492334,0.06362043,0.8679827,-0.01287216,181.4751,-0.4923748,0.0636257,0.8680546,-0.213889,-0.2251709,-0.3842085,0.494031,-0.6718139,-0.5006106,-0.2638979,0.4779261,122.8999,-0.7648153,-0.5699118,-0.3004301,-0.008431569,-0.008606553,0.01392072,0.01841061,0.01537829,0.06015152,0.03687664,0.9973894,8.281982,0.2129627,0.8329947,0.5106778
Off Target,1773054965363,13.33056,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.05390503,1.003639,0.2946993,1.047399,-0.3330042,0.7334981,-0.3979211,0.4390303,127.9159,-0.3706338,0.8163837,-0.4428864,0.1150828,-0.04817219,0.01682785,0.125888,-0.4456321,0.04865575,0.8892145,-0.09133515,190.4809,-0.4475026,0.04885998,0.8929469,-0.2193421,-0.2256937,-0.3763437,0.4905947,-0.7581788,-0.4473369,-0.2418585,0.4081165,131.8269,-0.8304896,-0.4900014,-0.2649256,-0.003905032,-0.003638625,0.00530076,0.007522428,-0.08220392,0.03187623,-0.009702869,0.9960585,10.1777,-0.9267597,0.3593697,-0.1093893
On Target,1773054965379,13.3438,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.05394405,1.003556,0.2949198,1.047384,-0.3334126,0.7300573,-0.4028592,0.439951,127.7985,-0.3712746,0.8129617,-0.4486074,0.1152126,-0.04828861,0.01680111,0.1260476,-0.444865,0.04499632,0.8892935,-0.09606086,191.0248,-0.4469319,0.04520537,0.8934252,-0.2194654,-0.225726,-0.3762647,0.4906041,-0.7617722,-0.4439287,-0.2434641,0.4041729,132.3214,-0.8328269,-0.4853363,-0.2661733,-0.003944051,-0.003556013,0.005080193,0.00734909,-0.07731069,0.03551111,-0.00980446,0.9963263,9.825495,-0.9027537,0.4146617,-0.1144863
Off Target,1773054965392,13.35769,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.05388981,1.003488,0.295258,1.047411,-0.3330044,0.7325744,-0.397584,0.440874,127.6807,-0.3710071,0.8161762,-0.4429565,0.1149863,-0.04824446,0.01683791,0.1258289,-0.4448164,0.04858926,0.8896936,-0.0906802,190.4055,-0.4466565,0.04879026,0.8933741,-0.2197475,-0.2254138,-0.3762574,0.4905813,-0.7583718,-0.4477927,-0.242093,0.4071181,131.9521,-0.8302956,-0.4902613,-0.265053,-0.003889814,-0.003488421,0.004742026,0.007055959,-0.08271729,0.03342219,-0.01100709,0.9959517,10.31454,-0.9202073,0.3718128,-0.1224509
On Target,1773054965504,13.46928,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.05373453,1.002946,0.295942,1.047077,-0.3349395,0.7318336,-0.3992952,0.4390881,127.9086,-0.3727996,0.8145568,-0.4444298,0.1150742,-0.04817774,0.01686797,0.1258877,-0.4427556,0.04809766,0.8905734,-0.09237558,190.6006,-0.4446568,0.04830419,0.8943976,-0.2207624,-0.2250553,-0.3750213,0.4899254,-0.7606076,-0.4466116,-0.2425656,0.4039506,132.3492,-0.8314643,-0.4882171,-0.2651626,-0.003734533,-0.0029459,0.004058033,0.006252415,-0.07975276,0.0321961,-0.01120846,0.9962316,9.951422,-0.9195149,0.3712071,-0.1292287
Off Target,1773054965517,13.48372,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.05369471,1.002943,0.2960147,1.047092,-0.3353488,0.7342686,-0.3964347,0.4372989,128.1367,-0.3728932,0.8164744,-0.4408179,0.1150957,-0.04819753,0.01682533,0.1259092,-0.4435726,0.0475413,0.8901829,-0.092507,190.6157,-0.4454829,0.04774604,0.8940164,-0.2208118,-0.2250765,-0.3747281,0.489733,-0.7605582,-0.4461902,-0.2439606,0.403669,132.3845,-0.8312975,-0.4876902,-0.2666512,-0.003694713,-0.00294292,0.003985316,0.006180163,-0.08207022,0.02873249,-0.01088112,0.9961529,10.05476,-0.936534,0.3278772,-0.1241685
On Target,1773054965531,13.49648,1,1,135,-0.4041098,0.7740424,-0.4873947,0.9999999,0.05372168,1.002703,0.2961778,1.04691,-0.33501,0.7320915,-0.3993379,0.4385656,127.9752,-0.3727721,0.8146124,-0.444351,0.1152372,-0.04823234,0.01674525,0.1260412,-0.4442818,0.04447123,0.8897026,-0.09521285,190.9272,-0.4463094,0.04467419,0.893763,-0.2208065,-0.2251286,-0.3746859,0.4897223,-0.762319,-0.4439262,-0.2463477,0.4013878,132.6701,-0.8323094,-0.4846842,-0.2689655,-0.003721677,-0.002703071,0.003822237,0.005980549,-0.07961631,0.03170794,-0.01091099,0.9962615,9.91189,-0.9215925,0.3670328,-0.1262993
