Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773055172332,0.01711351,0.103201,0.9352555,0.2079077,0.9636281,-0.5447423,-0.6802521,0.08322044,0.4833088,122.1966,-0.6222427,-0.7770314,0.09506019,-0.1572359,0.6125002,0.1231946,0.6442488,0.5659031,0.2236879,-0.7837147,0.124534,165.6923,0.5703431,0.2254429,-0.7898635,0.03647033,1.00604,0.299931,1.050431,0.05533747,1.030652,0.3278482,1.082955,0.05820508,1.005929,0.3350184,1.061847,-0.06071886,0.5804892,0.2127207,0.6212122,-0.09230015,0.5829493,0.186711,0.6190398,-0.109019,0.5784803,0.1776467,0.6148845,0.1062723,-0.07516789,0.03142889,0.1339096,0.1434625,-0.07089952,0.0129969,0.1605527,0.1273897,-0.08329999,-0.003088698,0.1522385,-0.1179593,0.05231936,-0.04127301,0.1354813,-0.08292247,0.041475,-0.02297662,0.09552088,-0.06914446,0.03976244,-0.009233017,0.08029481,0.1065404,-0.07508387,0.03154859,0.1341035,0.1434417,-0.07097255,0.0130731,0.1605725,0.1274687,-0.08337953,-0.00306891,0.1523477,-0.1179876,0.05226227,-0.04119062,0.1354588,-0.08292546,0.04144712,-0.02297874,0.09551188,-0.06915622,0.03974186,-0.009233915,0.08029485,0.1211284,-0.07612155,0.01819598,0.144214,-0.1942868,0.9388359,-0.1561605,0.2375996,152.5102,-0.2000146,0.9665139,-0.1607643,-0.1017852,0.04805941,-0.03071322,0.1166758,0.4807226,0.03466974,0.8308802,0.2781042,147.7058,0.5004656,0.0360936,0.8650038,-0.0508361,0.9991027,0.300765,1.044629,-0.03498354,0.004158968,-0.02937678,0.9989474,5.2581,-0.7626802,0.09067015,-0.6404465,0.1061663,-0.0599164,0.01979489,0.1235035,0.3012334,-0.3865848,-0.2360757,0.8390942,65.91082,0.5537519,-0.7106518,-0.4339736,-0.2099704,-0.283894,-0.3257516,0.4804139,0.3924228,-0.06320915,0.76274,-0.510134,241.3455,0.4562552,-0.0734909,0.8868091,0.1008361,0.0008973479,-0.000764966,0.100843,0.2337369,-0.8605125,-0.2480671,0.3786135,135.5043,0.2525371,-0.9297261,-0.2680199,-0.06260256,1.087317,-0.0105719,1.08917,-0.0325102,-0.05730119,0.08525322,0.9941788,12.3704,-0.3017401,-0.5318351,0.7912692,False,False,False,False
1773055172345,0.0289479,0.04153815,0.9412561,0.1800137,0.959215,-0.4152241,-0.7913889,0.2488208,0.3733373,136.1568,-0.4475866,-0.8530696,0.2682138,-0.1609144,0.5886803,0.1274376,0.6234407,0.5803484,0.205612,-0.775106,0.1418813,163.6866,0.5862793,0.2077132,-0.7830273,-0.06029192,0.9765097,0.2552716,1.011123,-0.05945164,1.042837,0.2725872,1.079512,-0.04062716,1.053303,0.2926532,1.093958,-0.07033635,0.5597616,0.2193355,0.6053002,-0.0968956,0.5583903,0.1957828,0.5995994,-0.1138646,0.5542729,0.1854547,0.5954637,0.09696893,-0.0822439,0.03329977,0.1314379,0.15922,-0.05879248,0.01672742,0.1705502,0.168668,-0.05848078,-0.01115057,0.1788665,-0.1144971,0.05269038,-0.04000046,0.1322342,-0.08435962,0.04533904,-0.02268872,0.09842231,-0.0696869,0.04275176,-0.008919662,0.08224072,0.1056111,-0.07577902,0.03171861,0.1337992,0.1449736,-0.06979001,0.01342789,0.1614568,0.1314686,-0.08096217,-0.00385354,0.1544465,-0.1176487,0.05230384,-0.04107507,0.1351447,-0.0830647,0.04182498,-0.02295058,0.09579041,-0.06920774,0.04003408,-0.009203405,0.08048069,0.1208274,-0.07562734,0.01905811,0.1438123,-0.1977677,0.9287341,-0.1243217,0.2878978,146.5357,-0.2065112,0.969794,-0.129818,-0.1014149,0.0481474,-0.03051399,0.1163368,0.4796584,0.03251622,0.8335011,0.2722987,148.3978,0.4984951,0.03379317,0.8662336,-0.05110618,0.9987872,0.3010591,1.044425,-0.04910058,0.004161384,-0.04223989,0.9978916,7.442519,-0.7565296,0.06411759,-0.6508217,0.1299375,-0.09780259,-0.003313156,0.1626655,0.3795128,0.8130112,-0.2301138,0.3768695,135.7202,0.4097232,0.8777294,-0.2484316,-0.189868,-0.3354174,-0.2491012,0.4589185,-0.5818844,-0.2489702,0.7605154,0.1450546,163.3191,-0.5881044,-0.2516315,0.7686448,0.1011062,0.001212835,-0.001059055,0.101119,0.2280412,-0.8668619,-0.2309476,0.3784321,135.5268,0.2463636,-0.9365112,-0.2495034,-0.06457527,1.086908,-0.01015312,1.088872,-0.03165316,-0.05812558,0.08845357,0.993879,12.68528,-0.2865218,-0.5261479,0.8006744,False,False,False,False
1773055172360,0.0462755,0.04148747,0.9412401,0.1798651,0.9591692,-0.407875,-0.7934364,0.2471667,0.3781606,135.5604,-0.4405934,-0.8570834,0.2669937,-0.1609643,0.5887145,0.1274757,0.6234937,0.5788635,0.2042923,-0.7765282,0.1420767,163.6639,0.5847958,0.2063859,-0.7844862,-0.06022109,0.9744703,0.2562564,1.009399,-0.05945743,1.04045,0.2748114,1.077772,-0.0407902,1.05094,0.2947081,1.092242,-0.07009594,0.5599679,0.2191476,0.605395,-0.09676173,0.5586631,0.1957128,0.5998089,-0.1138276,0.5545992,0.1854224,0.5957503,0.0969374,-0.08223164,0.03355016,0.1314706,0.1590793,-0.05891645,0.01643191,0.1704329,0.1686409,-0.05854739,-0.01118731,0.178865,-0.1144943,0.05272205,-0.03998278,0.1322391,-0.08436777,0.04525516,-0.02270285,0.09839395,-0.06964375,0.04258611,-0.008928536,0.08211911,0.1050108,-0.07622562,0.03184538,0.1336104,0.1459499,-0.06903744,0.01363581,0.1620292,0.1340414,-0.07941081,-0.00436112,0.1558595,-0.1174304,0.05233278,-0.04099948,0.1349429,-0.08315489,0.04206239,-0.02293343,0.09596834,-0.06923792,0.04021071,-0.009184381,0.08059245,0.1205367,-0.07541332,0.01955713,0.1435226,-0.1987754,0.9217719,-0.1052493,0.3158285,143.1783,-0.2094983,0.9714967,-0.1109269,-0.101174,0.04820178,-0.03038359,0.1161153,0.4790098,0.0309176,0.8352136,0.2683505,148.8677,0.4972482,0.03209479,0.8670145,-0.05158437,0.9984112,0.3015371,1.044227,-0.06543729,0.004018025,-0.05905368,0.9960997,10.1242,-0.7416211,0.04553752,-0.6692737,0.1315993,-0.09617452,-0.002308172,0.163013,0.355961,0.8227018,-0.2219636,0.3836481,134.8803,0.3854564,0.8908719,-0.2403557,-0.1914248,-0.3355869,-0.2471795,0.4586499,-0.5792212,-0.2658494,0.7564499,0.1470052,163.0932,-0.5855831,-0.2687694,0.7647583,0.1015844,0.001588762,-0.001537085,0.1016084,0.2197271,-0.8741488,-0.2101983,0.3786826,135.4958,0.2374077,-0.9444881,-0.2271121,-0.06635295,1.086503,-0.009740494,1.088571,-0.0304579,-0.0585697,0.09013434,0.9937392,12.82944,-0.272617,-0.5242349,0.8067579,False,False,False,False
1773055172372,0.06147521,0.04097423,0.9408281,0.1800118,0.9587704,-0.3995822,-0.795633,0.2457973,0.383257,134.9289,-0.432616,-0.8614086,0.2661176,-0.1611298,0.5888193,0.1275513,0.6236507,0.5771059,0.2027293,-0.7782179,0.14222,163.6473,0.5830324,0.2048112,-0.7862096,-0.06059802,0.9717292,0.2576161,1.007123,-0.0595188,1.038229,0.2774882,1.076319,-0.04098187,1.049381,0.2969224,1.091349,-0.06998404,0.5600903,0.2189548,0.6054256,-0.09668361,0.5589991,0.195723,0.6001127,-0.1138771,0.5550722,0.1853804,0.5961871,0.09685209,-0.0822698,0.03384633,0.1315075,0.1594627,-0.05841703,0.01570106,0.1705503,0.1695172,-0.05743358,-0.01156799,0.1793558,-0.1144811,0.05287147,-0.03982672,0.1322403,-0.08445298,0.0451881,-0.02270803,0.09843741,-0.06957088,0.04237007,-0.008975342,0.08195052,0.1042097,-0.07681905,0.03204184,0.1333698,0.1472766,-0.06799469,0.01383858,0.1628041,0.1375245,-0.07725302,-0.005068713,0.1578186,-0.1171409,0.05238567,-0.04088433,0.1346765,-0.08328234,0.04236928,-0.0229113,0.09620827,-0.06927061,0.04042273,-0.009163857,0.08072416,0.1200811,-0.07519951,0.02015516,0.1431107,-0.1990637,0.9123753,-0.08079399,0.3484498,139.2149,-0.2123737,0.9733796,-0.08619612,-0.1008455,0.04827486,-0.03019715,0.1158108,0.4783339,0.02856261,0.8373281,0.2631778,149.4826,0.4958126,0.02960631,0.8679247,-0.05171496,0.9983515,0.3016247,1.044202,-0.06894758,0.005156897,-0.06344667,0.9955873,10.76905,-0.734741,0.05495455,-0.6761205,0.1335157,-0.09393035,-0.001396275,0.1632523,0.326947,0.8337508,-0.2138018,0.3901976,134.0664,0.355095,0.9055312,-0.2322087,-0.1932815,-0.3358121,-0.2447639,0.4582978,-0.5753164,-0.2863719,0.7511991,0.1506723,162.6682,-0.5819602,-0.2896789,0.7598739,0.101715,0.001648486,-0.001624703,0.1017413,0.216915,-0.8762473,-0.205693,0.3779271,135.5893,0.2342911,-0.9464397,-0.2221702,-0.06813151,1.086005,-0.0094412,1.088181,-0.02990858,-0.05895092,0.0924644,0.9935193,13.05309,-0.263133,-0.5186448,0.8134933,False,False,False,False
1773055172387,0.0745725,0.04076698,0.9404005,0.1800225,0.958344,-0.3947948,-0.7969097,0.2452556,0.3859038,134.6003,-0.4279438,-0.8638223,0.2658485,-0.1612206,0.5888372,0.1275815,0.6236973,0.5759758,0.2017294,-0.7792883,0.1423625,163.6309,0.5819027,0.2038052,-0.7873073,-0.06076023,0.9699455,0.2582702,1.005579,-0.05960584,1.036505,0.2788537,1.075014,-0.04123931,1.047648,0.2981536,1.090028,-0.0698637,0.560214,0.2188109,0.6054741,-0.09664776,0.559207,0.1956723,0.600284,-0.1138592,0.5552912,0.1854021,0.5963943,0.09679688,-0.0823143,0.03403097,0.1315423,0.1595009,-0.05832015,0.01538417,0.170524,0.1695835,-0.05733623,-0.01165916,0.1793933,-0.1144762,0.05291123,-0.03979661,0.1322428,-0.08445888,0.04510881,-0.02271211,0.09840705,-0.06959643,0.04227344,-0.008996703,0.08192465,0.1035635,-0.07729811,0.03221525,0.1331849,0.1483423,-0.06715129,0.01397332,0.1634319,0.1403193,-0.07551674,-0.005643248,0.1594495,-0.1169086,0.05243149,-0.04078951,0.1344636,-0.0833849,0.0426081,-0.02289394,0.09639826,-0.06929901,0.04058407,-0.009149284,0.08082777,0.1197103,-0.07509143,0.02056178,0.1428007,-0.1988492,0.9049829,-0.06284016,0.3708317,136.4662,-0.2141156,0.9744619,-0.06766465,-0.1005838,0.04833319,-0.03004691,0.1155683,0.4778135,0.02656376,0.8389903,0.2590056,149.9779,0.4946946,0.02750226,0.8686317,-0.05211975,0.9983428,0.3019968,1.044321,-0.07632033,0.003829988,-0.07173088,0.9944924,12.03221,-0.7281918,0.0365429,-0.6844027,0.1347863,-0.0923584,-0.0009583661,0.1633963,0.3171491,0.8373415,-0.2116768,0.3917509,133.873,0.3447005,0.9100833,-0.2300656,-0.1943462,-0.3360193,-0.2435267,0.4582408,-0.5744694,-0.2903789,0.7499381,0.1525057,162.4557,-0.5812687,-0.2938157,0.7588142,0.1021197,0.001657248,-0.001996785,0.1021527,0.2128694,-0.8789834,-0.1956687,0.3791945,135.4324,0.2300502,-0.9499269,-0.2114613,-0.06949065,1.085358,-0.009058576,1.087618,-0.02905466,-0.0594736,0.09452788,0.9933193,13.25323,-0.2517768,-0.515376,0.8191432,False,False,False,False
1773055172400,0.0887791,0.04009294,0.9392389,0.1799474,0.9571615,-0.3883515,-0.7986413,0.2448461,0.3891088,134.2019,-0.421575,-0.8669652,0.2657928,-0.1615202,0.5888677,0.1276255,0.6238126,0.5743213,0.2002686,-0.7808352,0.1426326,163.5996,0.580254,0.2023374,-0.788901,-0.06144871,0.9669557,0.2589292,1.002908,-0.05974321,1.033728,0.2806999,1.072825,-0.04206708,1.044538,0.2996643,1.087487,-0.06994268,0.5603333,0.2186264,0.6055269,-0.09671197,0.5594656,0.1956949,0.6005427,-0.1140583,0.5556572,0.1853463,0.5967558,0.09670778,-0.08236451,0.03436181,0.1315942,0.1595659,-0.05810013,0.01447567,0.1704302,0.1695196,-0.05739836,-0.01178043,0.1793607,-0.1144643,0.05299738,-0.03963619,0.1322188,-0.08457261,0.04505438,-0.02270698,0.09847858,-0.06953017,0.0420894,-0.009016631,0.08177568,0.1030422,-0.07768334,0.03237846,0.1330442,0.1491957,-0.06646308,0.01401152,0.1639299,0.1425396,-0.0741391,-0.006109892,0.1607839,-0.1167227,0.05247452,-0.04070181,0.1342922,-0.08347521,0.04279411,-0.02287972,0.09655531,-0.06931659,0.04069852,-0.009139198,0.08089922,0.1194082,-0.07503763,0.02085517,0.1425619,-0.1991335,0.8992093,-0.04990058,0.3863657,134.5429,-0.215899,0.9749157,-0.05410181,-0.1003657,0.04837745,-0.02991433,0.1153626,0.4775192,0.02485216,0.8402088,0.2557481,150.3642,0.4939461,0.02570709,0.8691125,-0.05224765,0.9983037,0.3021306,1.044329,-0.08014153,0.002631619,-0.07595292,0.9938821,12.68206,-0.725617,0.02382719,-0.6876925,0.1370449,-0.09005813,-0.0008621513,0.1639894,0.3001662,0.8422766,-0.2089688,0.395983,133.3454,0.3268866,0.9172549,-0.2275709,-0.1961484,-0.3364011,-0.2416689,0.4583053,-0.5706691,-0.2994095,0.7488193,0.1547916,162.1906,-0.5776312,-0.3030623,0.7579548,0.1022476,0.001696348,-0.002130538,0.1022839,0.2109694,-0.8801523,-0.1903625,0.3802446,135.3023,0.2281032,-0.9516334,-0.2058226,-0.07104393,1.084823,-0.008700878,1.087181,-0.0279513,-0.05993219,0.09716638,0.9930688,13.49971,-0.2378128,-0.5099098,0.8267025,False,False,False,False
1773055172415,0.1022595,0.03964893,0.938229,0.1801185,0.9561843,-0.383468,-0.7999221,0.2446865,0.3914149,133.9149,-0.4167159,-0.8692779,0.2659016,-0.1616194,0.5888197,0.1276334,0.6237947,0.573083,0.1990889,-0.7820152,0.1427999,163.5802,0.579017,0.2011503,-0.7901126,-0.06176822,0.9646415,0.2597262,1.000903,-0.06008169,1.031681,0.2820673,1.071232,-0.04259911,1.042464,0.3008666,1.085849,-0.0698401,0.560407,0.2184646,0.605525,-0.09664461,0.5596182,0.1956916,0.6006729,-0.1140702,0.5558289,0.1853505,0.5969192,0.09669001,-0.08237075,0.03444631,0.1316072,0.1597832,-0.05781521,0.01413466,0.1705083,0.1697243,-0.05712046,-0.01186585,0.1794711,-0.1144673,0.05302634,-0.03957905,0.1322159,-0.08465943,0.04498113,-0.02271236,0.09852092,-0.06955192,0.04197476,-0.009012941,0.08173484,0.1025217,-0.07806746,0.03254792,0.1329082,0.1500633,-0.06575441,0.01402161,0.1644361,0.1447673,-0.07274446,-0.00658158,0.1621501,-0.1165379,0.05251974,-0.04060981,0.1341214,-0.08357225,0.04297333,-0.02286601,0.09671547,-0.06933587,0.04080311,-0.009128852,0.08096723,0.1191298,-0.0749965,0.02111182,0.142345,-0.1995181,0.8935971,-0.03787357,0.4003029,132.8058,-0.2177236,0.9751351,-0.04132941,-0.1001451,0.04841876,-0.02977607,0.1151522,0.4772517,0.02311999,0.84135,0.2526389,150.7325,0.4932525,0.02389514,0.8695579,-0.05245206,0.9982369,0.3022487,1.044309,-0.08471478,0.003886259,-0.08312462,0.9929243,13.63979,-0.7133951,0.03272673,-0.7000041,0.1385821,-0.08795114,-0.0007080358,0.1641368,0.2896409,0.8447934,-0.2078025,0.3990622,132.9609,0.3158832,0.9213341,-0.22663,-0.1974134,-0.3367127,-0.2402938,0.4583542,-0.5679578,-0.3036943,0.7489215,0.1559187,162.0598,-0.5749899,-0.3074545,0.7581942,0.1024521,0.001763105,-0.002248645,0.1024919,0.2060799,-0.8829111,-0.1837985,0.3797594,135.3624,0.2227685,-0.9544105,-0.1986828,-0.07253709,1.084225,-0.008410702,1.086681,-0.02678533,-0.06041421,0.09919682,0.9928709,13.69123,-0.2247197,-0.5068545,0.8322272,False,False,False,False
1773055172429,0.115937,0.03902538,0.9363372,0.1806431,0.9544016,-0.379579,-0.8009183,0.2446843,0.3931656,133.6968,-0.4128248,-0.8710674,0.2661152,-0.1617434,0.5887064,0.1276374,0.6237207,0.5721381,0.1981193,-0.7829344,0.1429005,163.5686,0.5780708,0.2001737,-0.791053,-0.06232347,0.9616889,0.2607208,0.9983512,-0.06059941,1.029078,0.2834978,1.069132,-0.04328225,1.039803,0.3021813,1.083687,-0.06979787,0.5604086,0.2183388,0.6054761,-0.09661569,0.559643,0.1957468,0.6007093,-0.1141573,0.5559378,0.185307,0.5970238,0.0966605,-0.0823992,0.03455213,0.131631,0.1600197,-0.05750749,0.01383939,0.1706017,0.1699278,-0.05685887,-0.01195623,0.1795866,-0.1144728,0.05303217,-0.03956084,0.1322176,-0.08479051,0.04494033,-0.0227186,0.09861642,-0.06951634,0.04183308,-0.009026594,0.08163337,0.102064,-0.07840571,0.03270442,0.1327934,0.1508407,-0.06511044,0.01400738,0.1648894,0.146732,-0.07150402,-0.007001265,0.1633772,-0.1163766,0.05255975,-0.0405279,0.1339722,-0.08366738,0.04312692,-0.0228545,0.09686325,-0.06934996,0.04088353,-0.009120867,0.08101895,0.1189107,-0.07496656,0.02130993,0.1421755,-0.2000521,0.8888036,-0.02805404,0.411364,131.4189,-0.2194826,0.9751308,-0.03077886,-0.09994465,0.04844974,-0.02964953,0.1149583,0.4770536,0.02154393,0.8422992,0.2499755,151.0479,0.4926957,0.02225033,0.8699173,-0.05320004,0.9980173,0.3028288,1.044306,-0.09876915,0.00374175,-0.1024581,0.9898146,16.36911,-0.6937875,0.0262833,-0.7196996,0.1403793,-0.08532799,-0.0006311222,0.164279,0.2779612,0.84906,-0.20631,0.3990878,132.9577,0.303149,0.9259987,-0.225005,-0.1983926,-0.337041,-0.23915,0.4584201,-0.5667697,-0.310047,0.746509,0.1592719,161.6707,-0.5740982,-0.314056,0.7561615,0.1032,0.001982749,-0.002828836,0.1032578,0.194445,-0.8890513,-0.1636279,0.3807951,135.2341,0.2102882,-0.9614905,-0.1769601,-0.0739838,1.083803,-0.008076921,1.086355,-0.02573847,-0.06123965,0.1013132,0.9926344,13.91682,-0.2124532,-0.505491,0.8362705,False,False,False,False
1773055172442,0.1302697,0.03735192,0.9325143,0.1820699,0.9508562,-0.3754205,-0.8019559,0.2448058,0.3949639,133.4725,-0.4086447,-0.8729278,0.2664708,-0.1620069,0.5884482,0.1276257,0.623543,0.5711932,0.1970758,-0.7838739,0.1429729,163.5602,0.5771222,0.1991214,-0.7920104,-0.06396358,0.9567059,0.2626662,0.9941686,-0.06189761,1.024466,0.2860029,1.065438,-0.04517166,1.034133,0.3046848,1.079029,-0.06998271,0.5601491,0.2182314,0.6052186,-0.09674153,0.5595911,0.1958509,0.6007152,-0.1143615,0.5559739,0.1853201,0.5971006,0.09663408,-0.0824883,0.03468968,0.1317036,0.1601933,-0.05718956,0.01323134,0.1706095,0.1694918,-0.05744466,-0.01198176,0.1793625,-0.1144843,0.05309344,-0.03940979,0.132207,-0.0849781,0.04482241,-0.02273023,0.09872684,-0.0695558,0.04162807,-0.009077575,0.08156782,0.1016343,-0.0787288,0.03286152,0.1326938,0.1515809,-0.0644836,0.01394596,0.165316,0.1485331,-0.0703914,-0.007395408,0.1645349,-0.1162269,0.05260199,-0.04043941,0.133832,-0.08377111,0.0432611,-0.02284466,0.09701031,-0.06936625,0.04094245,-0.00911744,0.08106225,0.1187206,-0.07495553,0.02147993,0.1420363,-0.2016842,0.884345,-0.02032297,0.4205287,130.2641,-0.2222956,0.974722,-0.02239991,-0.09975163,0.0484742,-0.02951966,0.1147674,0.4769734,0.02015119,0.8429736,0.2479634,151.2859,0.4923498,0.02080081,0.8701489,-0.0532813,0.9979526,0.3030103,1.044301,-0.1004389,0.004288272,-0.1040248,0.9894809,16.63559,-0.6942927,0.02964307,-0.719081,0.143187,-0.08105382,-0.0008953157,0.1645388,0.2513356,0.8579096,-0.2021664,0.399938,132.8514,0.2742215,0.9360283,-0.220575,-0.1997189,-0.3376412,-0.2374716,0.4585651,-0.5622378,-0.3304795,0.7396389,0.166152,160.8717,-0.5701629,-0.3351378,0.7500646,0.1032813,0.00204736,-0.003010303,0.1033454,0.1935243,-0.8898466,-0.1616602,0.3802466,135.3021,0.2092414,-0.9621158,-0.1747895,-0.07531757,1.083208,-0.007785378,1.085851,-0.02494228,-0.06177371,0.1025125,0.9924985,14.04478,-0.2040149,-0.5052767,0.8384985,False,False,False,False
1773055172457,0.1436973,0.03708795,0.9307909,0.1827249,0.9492816,-0.3720802,-0.8027678,0.2447208,0.3965247,133.2778,-0.4053055,-0.8744519,0.2665734,-0.1620799,0.5883816,0.12762,0.6234979,0.5704137,0.1962218,-0.7846375,0.1430712,163.5488,0.5763429,0.1982615,-0.7927934,-0.0641448,0.9540499,0.2637227,0.9919049,-0.06197975,1.024225,0.2869008,1.065453,-0.04540917,1.031878,0.3060062,1.077253,-0.06995073,0.5601352,0.2181315,0.6051661,-0.09674648,0.559706,0.1958153,0.6008114,-0.1144034,0.556111,0.1852865,0.5972258,0.09659261,-0.0825208,0.0347832,0.1317182,0.1617838,-0.05525474,0.01303211,0.1714553,0.1697534,-0.0570983,-0.01209277,0.1795068,-0.1144884,0.05312548,-0.03934539,0.1322043,-0.08499752,0.04471887,-0.02273744,0.09869826,-0.06953529,0.04149657,-0.009096209,0.08148535,0.1012178,-0.07904207,0.03302028,0.132601,0.1524238,-0.06372116,0.01387047,0.1657884,0.1502862,-0.06929319,-0.007783481,0.1656746,-0.1160832,0.05264523,-0.04034903,0.133697,-0.08387243,0.04338153,-0.0228358,0.09714945,-0.06938021,0.04098823,-0.009115687,0.08109713,0.1185876,-0.07491823,0.02163889,0.1419296,-0.2053224,0.8796977,-0.01422522,0.4286869,129.2315,-0.227264,0.9737058,-0.01574538,-0.09956405,0.04849496,-0.02939078,0.11458,0.4769563,0.01885195,0.8434992,0.2463058,151.482,0.4921174,0.0194512,0.8703116,-0.05328028,0.9975556,0.3036836,1.044117,-0.09480198,0.01386171,-0.09820073,0.9905439,15.77126,-0.6909959,0.1010357,-0.7157688,0.1447579,-0.07868061,-0.0006336268,0.1647601,0.2458814,0.8593089,-0.2011703,0.4008254,132.7404,0.2683842,0.937952,-0.2195812,-0.2006619,-0.3378622,-0.2364983,0.4586366,-0.5617362,-0.3316895,0.7393464,0.1667377,160.8036,-0.5697114,-0.3363987,0.7498433,0.1032803,0.002444446,-0.003683567,0.1033748,0.1937782,-0.891346,-0.1713046,0.3723,136.2849,0.2087874,-0.9603856,-0.1845731,-0.07672532,1.082809,-0.007475477,1.08555,-0.02347255,-0.06204733,0.1038842,0.9923745,14.16045,-0.190433,-0.5033905,0.842813,False,False,False,False
