Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773055658941,0,1,1,135,0.01434445,-0.7844749,0.6199946,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.01325255,-0.7247604,0.5728003,0.3826834,135,0.01434445,-0.784475,0.6199946
Grab,1773055663903,4.071542,1,1,135,0.01434445,-0.7844749,0.6199946,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.01325255,-0.7247604,0.5728003,0.3826834,135,0.01434445,-0.784475,0.6199946
Trial Start,1773055663925,0,1,1,135,0.01434445,-0.7844749,0.6199946,1,-1,-0.05,1,0.3,1.045227,-0.001265562,-0.00437274,0.001393718,0.9999887,0.545362,-0.2659204,-0.9188017,0.2928484,0.09999999,0,0,0.09999999,0.01224211,-0.7223354,0.5732357,0.3866298,134.5101,0.01327439,-0.7832444,0.6215723
Release,1773055664208,0.291167,1,1,135,0.01434445,-0.7844749,0.6199946,1,0,-0.04096106,0.9739993,0.263217,1.00977,0.1931338,-0.5683364,0.2505701,0.7595444,81.15189,0.296921,-0.8737515,0.3852226,0.09096105,0.02600068,0.03678301,0.1015034,-0.2077832,-0.4403012,0.2067344,0.8486589,63.8678,-0.3928291,-0.8324209,0.3908463
Grab,1773055665610,1.693997,1,1,135,0.01434445,-0.7844749,0.6199946,1,0,-0.04096106,0.9739993,0.263217,1.00977,0.1931338,-0.5683364,0.2505701,0.7595444,81.15189,0.296921,-0.8737515,0.3852226,0.09096105,0.02600068,0.03678301,0.1015034,-0.2077832,-0.4403012,0.2067344,0.8486589,63.8678,-0.3928291,-0.8324209,0.3908463
Release,1773055665665,1.749441,1,1,135,0.01434445,-0.7844749,0.6199946,1,0,-0.04104193,0.9714903,0.2608178,1.006729,0.2713056,-0.6139985,0.2790689,0.686673,93.26535,0.3732024,-0.8446036,0.3838814,0.09104192,0.02850968,0.03918225,0.1031343,-0.2441645,-0.4144119,0.09803703,0.8712264,58.7971,-0.4973998,-0.8442195,0.1997162
Grab,1773055666901,2.985762,1,1,135,0.01434445,-0.7844749,0.6199946,1,0,-0.04104193,0.9714903,0.2608178,1.006729,0.2713056,-0.6139985,0.2790689,0.686673,93.26535,0.3732024,-0.8446036,0.3838814,0.09104192,0.02850968,0.03918225,0.1031343,-0.2441645,-0.4144119,0.09803703,0.8712264,58.7971,-0.4973998,-0.8442195,0.1997162
Clutch Start,1773055668069,4.152538,1,1,135,0.01434445,-0.7844749,0.6199946,1,0,0.03072809,0.9958806,0.2778307,1.034366,0.03564978,-0.7730001,0.4421473,0.4535481,126.0569,0.04000057,-0.867339,0.4961081,0.01927191,0.004119396,0.02216926,0.0296623,-0.1299558,-0.04745998,0.07499672,0.9875397,18.10855,-0.8257977,-0.3015821,0.4765631
Clutch End,1773055668985,5.069152,1,1,135,0.01434445,-0.7844749,0.6199946,1,0,0.05465334,0.9948524,0.2960029,1.039392,0.1035823,-0.6930937,0.544784,0.4605457,125.1553,0.1166946,-0.780831,0.6137471,-0.004653338,0.005147636,0.003997087,0.008008023,-0.03570227,-0.1206621,-0.01056616,0.9919952,14.50884,-0.2827332,-0.9555463,-0.08367544
Release,1773055668985,5.069152,1,1,135,0.01434445,-0.7844749,0.6199946,1,0,0.05465334,0.9948524,0.2960029,1.039392,0.1035823,-0.6930937,0.544784,0.4605457,125.1553,0.1166946,-0.780831,0.6137471,-0.004653338,0.005147636,0.003997087,0.008008023,-0.03570227,-0.1206621,-0.01056616,0.9919952,14.50884,-0.2827332,-0.9555463,-0.08367544
Grab,1773055671527,7.61062,1,1,135,0.01434445,-0.7844749,0.6199946,1,0,0.05465334,0.9948524,0.2960029,1.039392,0.1035823,-0.6930937,0.544784,0.4605457,125.1553,0.1166946,-0.780831,0.6137471,-0.004653338,0.005147636,0.003997087,0.008008023,-0.03570227,-0.1206621,-0.01056616,0.9919952,14.50884,-0.2827332,-0.9555463,-0.08367544
Release,1773055671694,7.777244,1,1,135,0.01434445,-0.7844749,0.6199946,1,0,0.05538553,0.9944372,0.2960362,1.039043,0.04618124,-0.5850929,0.6089003,0.5336422,115.4962,0.05460645,-0.691836,0.7199868,-0.005385529,0.005562842,0.003963768,0.00869831,0.09556472,-0.1812405,0.04693803,0.9776585,24.26809,0.4546381,-0.8622308,0.2233023
