Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.01434445,-0.7844749,0.6199946,1,12.38809,False,-0.003787402,-0.002801061,0.005573481,0.007297537,0.01007878,-0.0746509,-0.01815581,0.9969935,8.888,0.1300747,-0.9634294,-0.2343152,0.07073276,0.09876084,0.2018002,0.2787814,99.52614,0.166376,344.1507,0,0,0,0,0,0,0,0.2480871,340.5579,0.1291025,30.02845
1,3,135,-0.3660053,0.3525001,-0.8612688,1,3.30528,False,0.00147232,-0.004564762,0.009083748,0.01027226,-0.02334239,-0.03588109,0.0185747,0.9989108,5.348893,-0.5002561,-0.7689757,0.3980786,0.05063627,0.05861938,0.09739214,0.2501356,129.266,0.04357824,151.0191,0,0,0,0,0,0,0,0.2025437,234.2558,0.05386494,11.86377
1,4,135,-0.6935983,-0.7101827,0.1206728,1,20.08211,False,-0.00279985,-0.004248261,0.005002141,0.007135005,0.01923081,0.04583969,0.03506258,-0.9981481,353.025,0.3161365,0.7535616,0.5763959,0.2572287,0.3519352,0.5610647,0.9483626,728.3477,0.3934397,1026.395,0,0,0,0,0,0,0,0.8945473,1279.933,0.530486,100.6137
1,5,135,0.787681,0.433598,0.4376659,1,15.58135,False,-0.004135553,-0.002573967,0.006052345,0.007769105,-0.03622383,-0.02270269,0.001255681,0.999085,4.902405,-0.846974,-0.530827,0.02935994,0.2335879,0.2112793,0.300723,0.6658442,587.8341,0.3136989,610.6343,0,0,0,0,0,0,0,0.6661506,832.2792,0.387673,107.7817
1,6,135,0.8957128,0.3924721,-0.2089597,0.9999999,5.583126,False,0.003842223,-0.003834486,0.006448984,0.008429434,0.02815969,0.03998283,0.06541292,0.9966593,9.369334,0.3447905,0.4895544,0.8009235,0.05444143,0.07087225,0.1108252,0.2159112,80.50533,0.09255585,154.9119,0,0,0,0,0,0,0,0.2353427,174.2334,0.08235846,23.08035
1,7,135,0.7051011,0.5711651,-0.4202415,1,6.110121,False,0.00157186,0.003317416,-0.001680553,0.004037357,-0.01593968,0.03515425,0.01131132,0.9991908,4.610233,-0.3963023,0.8740271,0.2812291,0.05258097,0.06818779,0.1235842,0.2505242,127.9969,0.06203208,140.3313,0,0,0,0,0,0,0,0.2097068,188.7032,0.1096669,27.54799
1,8,135,-0.3074513,0.6496477,0.6952925,1,12.7073,False,0.0003773235,-0.002539635,0.009492874,0.009833961,-0.03210628,-0.02988327,-0.01924712,0.9988523,5.490757,-0.6703105,-0.6238987,-0.4018386,0.08288676,0.1017822,0.1926865,0.2104707,185.7315,0.1452015,558.7958,0,0,0,0,0,0,0,0.2826018,326.0121,0.1354079,32.5786
1,9,135,-0.9163663,-0.2190288,0.3351106,1,8.471463,False,-0.004311983,-0.008209467,-0.007712424,0.0120611,0.06545024,-0.006162593,0.006846194,0.9978133,7.579439,0.9902455,-0.09323848,0.1035812,0.1341537,0.1404215,0.1913086,0.3440803,247.2039,0.1170188,275.2172,0,0,0,0,0,0,0,0.2648943,401.6305,0.1052826,29.71989
1,10,135,-0.1105831,-0.8406174,0.5302205,1,10.72052,False,-0.004333664,0.0008122921,0.00128901,0.004593692,0.0008669282,-0.06383554,0.02395123,0.9976727,7.819522,0.01271432,-0.9362081,0.3512672,0.1808715,0.1715608,0.2187691,0.3439083,231.6088,0.1497309,275.1953,0,0,0,0,0,0,0,0.3568893,388.7559,0.1226302,27.59135
1,11,135,0.7191155,0.2712142,0.6397779,1,9.123665,False,-0.003314491,-0.00283742,0.007558227,0.008727175,-0.0005157907,2.530519E-05,-0.05114483,0.9986913,5.86356,-0.01008453,0.0004947566,-0.9999626,0.201169,0.2252874,0.374016,0.4025627,349.7534,0.2307714,799.7368,0,0,0,0,0,0,0,0.408234,895.1641,0.1267762,29.56737
