Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773055685998,0.0139872,0.05806978,0.9362599,0.2508432,0.9710186,-0.1239697,-0.403802,-0.5970359,0.6819997,93.99979,-0.1695075,-0.5521305,-0.816345,-0.05486622,0.9906301,0.276182,1.029871,-0.05925759,1.023281,0.3048717,1.069375,-0.06539016,1.003901,0.3150672,1.054211,-0.01771221,-0.08623765,0.1029603,0.1354676,-0.02099696,-0.07210938,0.1469077,0.1649925,0.001468076,-0.0799322,0.1430997,0.1639171,-0.01993343,-0.08753385,0.1016439,0.1356134,-0.02181798,-0.0706712,0.1486923,0.1660718,0.001088859,-0.08049686,0.140772,0.1621657,-0.01626484,-0.08167095,0.1218669,0.1476016,-0.1236807,0.2228761,-0.1765445,0.9507163,36.12597,-0.39889,0.7188109,-0.5693842,5.858445,-0.006975785,-0.06661171,0.1168746,0.1347051,0.1179393,0.3904586,0.6027312,0.6858191,93.3999,0.1620552,0.5365121,0.8281865,1.295573,True,True,False,-0.09846237,0.6060861,0.1206454,0.6257719,-0.1318936,-0.2242486,-0.3176361,-0.9118245,311.5175,-0.3212373,-0.5461751,-0.7736278,0.01204048,0.605779,0.1867794,0.6340345,0.01907963,0.5524386,0.2052554,0.5896458,0.006881312,0.5331069,0.2054729,0.5713751,0.05867849,-0.03430065,0.1182882,0.1364251,0.02144222,-0.07382121,0.1444272,0.163611,-0.0007218829,-0.08264615,0.1402675,0.1628062,0.05877863,-0.03410687,0.118297,0.1364272,0.0214357,-0.07380931,0.144451,0.1636257,-0.0007030197,-0.08273689,0.1400543,0.1626686,0.04100891,-0.04918432,0.1255455,0.1409344,-0.4832883,-0.3608282,0.7968706,-0.03510952,184.0241,-0.4835865,-0.3610508,0.7973623,5.041103,0,0,0,0,0,0,0,0,0,1,0,0,0.3674659,False,True,False,-0.05000002,1,0.3,1.045227,-0.005982152,-0.002439188,0.001433759,0.9999781,0.7579517,-0.9044183,-0.3687714,0.2167645,0.1,0,0,0.1,-0.6378292,-0.6554273,0.113298,0.3882687,134.3064,-0.6921293,-0.7112256,0.1229434,-0.01169438,1.105393,-0.03775475,1.1061,0.006838038,-0.03437603,0.02365563,0.9991056,4.846833,0.1617158,-0.8129742,0.5594427,False
1773055686011,0.0277834,0.05808087,0.9362003,0.2509991,0.971002,-0.1253572,-0.4041222,-0.5988373,0.6799741,94.31676,-0.1709643,-0.5511488,-0.8167045,-0.05436211,0.9912801,0.27669,1.030606,-0.05879834,1.023764,0.3047663,1.069782,-0.06502906,1.004849,0.3152985,1.05516,-0.01734104,-0.08587669,0.1032404,0.1354035,-0.02086151,-0.07220513,0.146733,0.1648616,0.001523523,-0.07978794,0.1434171,0.1641247,-0.01937753,-0.08718891,0.1019794,0.1355625,-0.02161797,-0.07099923,0.1482748,0.1658121,0.001178568,-0.08034864,0.141319,0.162568,-0.01580426,-0.08163161,0.1218652,0.1475284,-0.1199477,0.2182525,-0.174615,0.9526217,35.41499,-0.3943603,0.7175636,-0.5740936,5.711599,-0.006540996,-0.06657457,0.116873,0.1346635,0.1167531,0.3863766,0.6051739,0.6861824,93.34266,0.1605009,0.5311534,0.8319348,0.7535936,True,True,False,-0.09850314,0.606095,0.1206483,0.6257875,-0.1321206,-0.2241074,-0.3175716,-0.9118489,311.5243,-0.3218324,-0.5459031,-0.7735724,0.01200141,0.6056705,0.1867746,0.6339286,0.01902206,0.5523908,0.2052729,0.5896053,0.006830558,0.5330657,0.2055522,0.5713645,0.05865358,-0.03435903,0.118281,0.1364228,0.02144801,-0.07380193,0.1444541,0.1636268,-0.0007296731,-0.08260158,0.1403663,0.1628688,0.05875277,-0.03415903,0.1182937,0.1364262,0.02143824,-0.07380778,0.1444516,0.163626,-0.0007085225,-0.08270892,0.140119,0.1627101,0.04098757,-0.04921331,0.1255596,0.1409509,-0.4826048,-0.3610454,0.7972412,-0.03384193,183.8788,-0.4828814,-0.3612523,0.7976981,5.027017,0,0,0,0,0,0,0,0,0,1,0,0,0.3697602,False,True,False,-0.04964486,1.000282,0.3002821,1.045561,-0.01485252,-0.006336057,0.000822856,0.9998693,1.852391,-0.9188083,-0.3919618,0.0509036,0.09964485,-0.00028193,-0.0002820492,0.09964565,-0.6352002,-0.6524843,0.1168426,0.3963999,133.2934,-0.6918805,-0.7107068,0.1272687,-0.01162916,1.105399,-0.03780203,1.106107,0.006940669,-0.03404337,0.02356368,0.9991184,4.811978,0.1653323,-0.8109403,0.5613056,False
1773055686026,0.0419267,0.05804296,0.9361417,0.2512009,0.9709954,-0.1269768,-0.404395,-0.6009108,0.6776782,94.67505,-0.1726733,-0.549929,-0.8171671,-0.05397693,0.9918525,0.2770174,1.031224,-0.05829046,1.024458,0.30474,1.070411,-0.06460463,1.005992,0.3156595,1.056331,-0.01699693,-0.08575866,0.1032947,0.1353264,-0.02077828,-0.07224855,0.1466494,0.1647957,0.001579861,-0.07955579,0.1438321,0.1643755,-0.01885741,-0.08688509,0.1022613,0.1355064,-0.02143895,-0.07127122,0.147922,0.1655902,0.001263068,-0.08017991,0.1418502,0.1629475,-0.01537541,-0.08158268,0.1218698,0.1474598,-0.1167734,0.2135973,-0.172335,0.9544846,34.70628,-0.3915153,0.716144,-0.5778009,5.588977,-0.006136163,-0.06652842,0.1168773,0.1346254,0.1153981,0.3829807,0.6074368,0.6863161,93.32162,0.1586657,0.526576,0.8351902,0.677728,True,True,False,-0.09850241,0.606048,0.1206453,0.6257413,-0.1324311,-0.2239932,-0.3174421,-0.911877,311.5321,-0.3226379,-0.5457079,-0.7733746,0.0120106,0.6054866,0.1867518,0.6337464,0.01900992,0.5522615,0.2052667,0.5894815,0.0068231,0.5329458,0.2056238,0.5712783,0.0586305,-0.03441303,0.1182738,0.1364203,0.02145552,-0.07378224,0.1444835,0.1636449,-0.0007402495,-0.08254934,0.1404834,0.1629433,0.05872698,-0.03421262,0.1182895,0.1364249,0.02144188,-0.0738024,0.1444583,0.1636299,-0.0007152029,-0.08267528,0.140196,0.1627594,0.04096559,-0.04924184,0.1255769,0.1409698,-0.4818505,-0.361241,0.7976657,-0.03247446,183.722,-0.4821048,-0.3614316,0.7980866,5.012522,0,0,0,0,0,0,0,0,0,1,0,0,0.3725292,False,True,False,-0.04927986,1.000622,0.3005749,1.045953,-0.01981636,-0.008628612,-0.0006615941,0.9997662,2.477821,-0.9165217,-0.3990798,-0.03059923,0.09927987,-0.0006221533,-0.0005748868,0.09928348,-0.6344641,-0.6500347,0.119187,0.40088,132.7336,-0.6925477,-0.7095436,0.1300983,-0.01156854,1.105435,-0.03785465,1.106143,0.006665247,-0.03391152,0.02355983,0.9991249,4.794374,0.1593546,-0.8107664,0.5632753,False
1773055686039,0.0555001,0.05800202,0.9360784,0.2514091,0.9709859,-0.1285753,-0.4046951,-0.6029412,0.6753904,95.03106,-0.1743488,-0.5487686,-0.8175912,-0.05357988,0.992436,0.2773679,1.031859,-0.05779238,1.025126,0.304712,1.071015,-0.06418873,1.007116,0.3160154,1.057482,-0.01665683,-0.08560758,0.1033772,0.1352515,-0.02068762,-0.07229448,0.1465606,0.1647255,0.001638501,-0.07933072,0.1442455,0.1646294,-0.01839225,-0.08662225,0.1024927,0.1354491,-0.02128393,-0.07148656,0.1476362,0.1654079,0.001339614,-0.08000527,0.1423413,0.1632902,-0.01499245,-0.08152575,0.121883,0.1473997,-0.1141511,0.2092221,-0.1699486,0.9561972,34.04213,-0.3899625,0.7147436,-0.5805777,5.490191,-0.005774667,-0.06647465,0.1168898,0.1345936,0.1140471,0.3801819,0.6094599,0.6863045,93.32344,0.1568058,0.5227201,0.8379592,0.6306805,True,True,False,-0.09850258,0.6059949,0.1206418,0.6256893,-0.1327688,-0.2238741,-0.317298,-0.9119073,311.5406,-0.3235138,-0.5455073,-0.7731504,0.01201983,0.605289,0.1867262,0.6335503,0.01899662,0.5521192,0.2052601,0.5893456,0.006813698,0.5328129,0.2056975,0.5711808,0.05860789,-0.03446764,0.118266,0.1364176,0.02146371,-0.07376004,0.144517,0.1636655,-0.0007514178,-0.08249358,0.1406073,0.163022,0.05870267,-0.0342647,0.1182847,0.1364234,0.02144633,-0.07379377,0.1444703,0.1636372,-0.0007225837,-0.0826382,0.1402802,0.1628131,0.04094426,-0.04926845,0.125596,0.1409899,-0.4810726,-0.3614047,0.7981161,-0.0310896,183.5632,-0.4813052,-0.3615795,0.7985021,4.998465,0,0,0,0,0,0,0,0,0,1,0,0,0.3753824,False,True,False,-0.04889555,1.00109,0.3008986,1.046476,-0.0244506,-0.01021872,-0.002731301,0.9996451,3.052987,-0.9178391,-0.3835956,-0.102529,0.09889555,-0.00109005,-0.0008985996,0.09890564,-0.6341483,-0.6475037,0.1219872,0.4046158,132.2659,-0.6934472,-0.7080515,0.1333942,-0.01152655,1.105513,-0.03791071,1.106223,0.006277762,-0.03382905,0.02344107,0.999133,4.772114,0.1507909,-0.8125685,0.5630507,False
1773055686052,0.0694211,0.05797066,0.9359707,0.2515658,0.9709207,-0.1311017,-0.4054778,-0.6037291,0.6737294,95.28888,-0.1774095,-0.5487006,-0.8169782,-0.05325003,0.9927975,0.277651,1.032266,-0.05737308,1.025669,0.3045579,1.071468,-0.06382461,1.008033,0.3161443,1.058372,-0.01628947,-0.08548095,0.1034277,0.1351652,-0.02057731,-0.07233773,0.1464746,0.1646541,0.001679034,-0.07920431,0.1444955,0.164788,-0.01793923,-0.08638261,0.1026904,0.135385,-0.02113523,-0.07166897,0.1473877,0.1652461,0.00141024,-0.07983747,0.1427927,0.1636025,-0.01462641,-0.08146292,0.1219005,0.1473427,-0.1117668,0.2048781,-0.1676016,0.9578324,33.39605,-0.3889875,0.7130474,-0.583312,5.40377,-0.005429104,-0.06641534,0.1169064,0.1345644,0.1127068,0.3776616,0.6112959,0.6862845,93.32658,0.154959,0.5192414,0.8404619,0.5938787,True,True,False,-0.09852451,0.6059901,0.120695,0.6256983,-0.1329596,-0.2238108,-0.3172354,-0.9119168,311.5432,-0.3239954,-0.545381,-0.7730375,0.01199812,0.6052094,0.1867693,0.6334864,0.01897434,0.5520731,0.2053143,0.5893205,0.006797865,0.5327721,0.2058328,0.5711913,0.05859203,-0.0344919,0.1182612,0.1364127,0.02147382,-0.07374416,0.1445411,0.163681,-0.0007616468,-0.08244571,0.1407172,0.1630926,0.05867962,-0.03431204,0.1182798,0.1364212,0.02145204,-0.07378346,0.144485,0.1636463,-0.0007307065,-0.08259813,0.1403714,0.1628715,0.0409239,-0.04929069,0.1256169,0.1410104,-0.4802216,-0.3616123,0.7985912,-0.02959742,183.3921,-0.4804321,-0.3617708,0.7989413,4.984538,0,0,0,0,0,0,0,0,0,1,0,0,0.3767328,False,True,False,-0.04851498,1.001581,0.3011986,1.047014,-0.02863356,-0.01137508,-0.00490567,0.9995132,3.575663,-0.9177877,-0.3646038,-0.1572408,0.09851497,-0.001580954,-0.00119856,0.09853495,-0.6340186,-0.645115,0.1248082,0.4077621,131.8713,-0.6943673,-0.70652,0.136688,-0.01148665,1.105591,-0.03796403,1.106302,0.005986993,-0.03387178,0.0234903,0.9991322,4.774411,0.1437375,-0.8132035,0.563962,False
1773055686067,0.0832407,0.0579375,0.9358561,0.2517241,0.9708493,-0.1336277,-0.4062875,-0.6044517,0.6720954,95.54201,-0.1804647,-0.5486928,-0.8163141,-0.05291522,0.9931563,0.2779446,1.032673,-0.05696534,1.026184,0.3043976,1.071894,-0.06346865,1.008939,0.3162751,1.059252,-0.0159244,-0.08533332,0.1034946,0.1350796,-0.02046097,-0.07238288,0.146385,0.1645798,0.001722618,-0.0790756,0.1447589,0.1649577,-0.01750802,-0.0861635,0.1028594,0.1353172,-0.0209942,-0.07182083,0.1471747,0.1651042,0.001474879,-0.079679,0.1432028,0.163884,-0.01428274,-0.0813955,0.121922,0.1472895,-0.1096039,0.200694,-0.1653654,0.9593556,32.78308,-0.3883912,0.7111771,-0.5859869,5.328864,-0.005104658,-0.0663517,0.1169266,0.1345378,0.1114243,0.3753882,0.612953,0.6862631,93.32995,0.1531914,0.5161015,0.842717,0.569796,True,True,False,-0.09854868,0.6059835,0.1207517,0.6257067,-0.1331518,-0.2237512,-0.3171723,-0.9119253,311.5456,-0.3244786,-0.5452609,-0.7729193,0.01197367,0.6051317,0.1868161,0.6334257,0.01895141,0.5520264,0.2053727,0.5892964,0.006781131,0.53273,0.2059741,0.5712028,0.05857757,-0.03451212,0.1182565,0.1364076,0.02148471,-0.07372734,0.1445671,0.1636978,-0.0007722942,-0.08239637,0.1408305,0.1631655,0.05865849,-0.03435349,0.118275,0.1364183,0.02145879,-0.07377186,0.144502,0.1636569,-0.0007393044,-0.08255636,0.1404667,0.1629325,0.04090511,-0.04930811,0.1256389,0.1410307,-0.4793254,-0.3618551,0.7990754,-0.02804594,183.2142,-0.479514,-0.3619975,0.7993898,4.971159,0,0,0,0,0,0,0,0,0,1,0,0,0.3780628,False,True,False,-0.04817278,1.001982,0.3014019,1.047441,-0.0339008,-0.01173385,-0.006293838,0.9993365,4.174446,-0.9307995,-0.3221713,-0.1728072,0.09817278,-0.001982093,-0.001401842,0.09820279,-0.6328405,-0.643385,0.1285458,0.4111504,131.4458,-0.6942332,-0.7058007,0.1410162,-0.01147281,1.105661,-0.03805409,1.106375,0.00571996,-0.03401884,0.02368036,0.9991242,4.79617,0.1367032,-0.8130276,0.5659449,False
1773055686080,0.0971528,0.05790266,0.9357352,0.2518839,0.9707721,-0.1361724,-0.407126,-0.6051231,0.6704712,95.79311,-0.1835368,-0.5487351,-0.8156006,-0.05256476,0.9935361,0.2782533,1.033103,-0.05656368,1.026682,0.3042274,1.072301,-0.06311295,1.009849,0.3164158,1.060141,-0.01557008,-0.08515178,0.1035906,0.1349973,-0.02034193,-0.07242975,0.1462917,0.1645027,0.001769987,-0.0789359,0.1450465,0.1651438,-0.01709145,-0.08595108,0.1030138,0.1352462,-0.0208571,-0.07195082,0.1469864,0.1649756,0.001536279,-0.07952382,0.1435899,0.1641476,-0.01395255,-0.08132008,0.1219505,0.1472398,-0.107546,0.1966385,-0.1631782,0.9608018,32.19065,-0.3879218,0.7092814,-0.5885888,5.261432,-0.004793008,-0.06628053,0.1169536,0.1345148,0.1102014,0.3732618,0.6145092,0.686229,93.33536,0.1515033,0.5131551,0.8448187,0.5536051,True,True,False,-0.09857497,0.6059754,0.1208118,0.6257146,-0.1333452,-0.2236954,-0.3171088,-0.9119328,311.5477,-0.3249631,-0.5451472,-0.7727962,0.01194657,0.6050565,0.1868662,0.633368,0.01892787,0.5519792,0.2054348,0.5892731,0.006763473,0.532687,0.2061213,0.5712155,0.05856451,-0.03452833,0.1182517,0.1364019,0.02149633,-0.07370953,0.1445948,0.1637157,-0.0007833204,-0.08234545,0.1409469,0.1632404,0.05863893,-0.03438991,0.1182702,0.1364149,0.02146659,-0.07375891,0.1445213,0.1636691,-0.0007484527,-0.08251246,0.1405669,0.1629967,0.04088754,-0.04932124,0.1256622,0.1410509,-0.4783764,-0.362134,0.7995731,-0.02641922,183.0278,-0.4785434,-0.3622604,0.7998523,4.958161,0,0,0,0,0,0,0,0,0,1,0,0,0.3792852,False,True,False,-0.04783531,1.002384,0.3015891,1.047864,-0.03894719,-0.01196655,-0.007741957,0.9991397,4.753705,-0.9391134,-0.2885432,-0.1866778,0.09783532,-0.002384424,-0.001589119,0.09787727,-0.6317593,-0.6416762,0.1322399,0.4143,131.0495,-0.6941339,-0.70503,0.1452962,-0.01147248,1.105731,-0.03816548,1.106449,0.00544072,-0.03413437,0.02369082,0.9991216,4.803348,0.1298352,-0.8145693,0.5653485,False
1773055686094,0.111084,0.05779108,0.9355609,0.2520602,0.9706433,-0.1381713,-0.4077732,-0.6057407,0.6691099,96.0032,-0.1859232,-0.5486991,-0.8150839,-0.05232754,0.9937741,0.2786034,1.033414,-0.0563174,1.027007,0.3041316,1.072572,-0.06293264,1.010598,0.3166867,1.060924,-0.01524322,-0.08495664,0.1036915,0.1349145,-0.02024894,-0.07247404,0.1462088,0.164437,0.001832458,-0.07879597,0.145428,0.165413,-0.0166941,-0.08574203,0.1031569,0.135173,-0.02072917,-0.07206245,0.1468206,0.1648605,0.001597981,-0.07937182,0.1439765,0.1644131,-0.01363508,-0.08123783,0.1219901,0.1471974,-0.1055315,0.1927164,-0.1610892,0.9621714,31.61961,-0.38735,0.7073591,-0.5912726,5.202973,-0.004493293,-0.06620289,0.1169909,0.1344986,0.1090617,0.3712502,0.6159591,0.6862023,93.33956,0.1499313,0.510372,0.8467827,0.5390789,True,True,False,-0.09856518,0.6059417,0.1208001,0.6256781,-0.1334491,-0.2236173,-0.3171017,-0.9119393,311.5495,-0.3252277,-0.5449758,-0.7728059,0.01194689,0.6049816,0.1868629,0.6332955,0.0189358,0.5519273,0.2054394,0.5892263,0.006773353,0.5326347,0.2061763,0.5711867,0.05855037,-0.03453915,0.1182512,0.1363982,0.02150426,-0.07369717,0.1446165,0.1637304,-0.0007926892,-0.08231333,0.1410219,0.1632889,0.05862048,-0.03442102,0.1182662,0.1364114,0.02147443,-0.07374607,0.1445411,0.1636819,-0.000757657,-0.08247097,0.140662,0.1630578,0.04087037,-0.04933181,0.1256852,0.1410701,-0.4774764,-0.3624071,0.8000363,-0.02488755,182.8522,-0.4776244,-0.3625194,0.8002842,4.946695,0,0,0,0,0,0,0,0,0,1,0,0,0.3777747,False,True,False,-0.04749729,1.002792,0.3017679,1.04829,-0.04387198,-0.01212656,-0.009204439,0.9989212,5.323215,-0.9447674,-0.2611412,-0.1982143,0.09749728,-0.002792239,-0.001767933,0.09755328,-0.6307121,-0.6399854,0.135904,0.4173141,130.6697,-0.6940342,-0.7042385,0.1495484,-0.01148042,1.10582,-0.03824919,1.106541,0.005205946,-0.03426076,0.0236259,0.9991201,4.807584,0.1241232,-0.816865,0.5633023,False
1773055686109,0.1251808,0.05765814,0.9353542,0.252261,0.9704883,-0.1401093,-0.4084153,-0.6063042,0.6678036,96.20445,-0.1882335,-0.5486964,-0.8145554,-0.05211109,0.9939764,0.278984,1.0337,-0.05610909,1.027269,0.3040643,1.072793,-0.06278344,1.011308,0.3170065,1.061687,-0.01492773,-0.08474524,0.103805,0.1348335,-0.02015291,-0.07251922,0.1461244,0.1643701,0.001898707,-0.0786429,0.1458403,0.1657037,-0.01631117,-0.0855305,0.103295,0.1350977,-0.02060685,-0.07216065,0.146671,0.1647549,0.001661228,-0.07921834,0.1443726,0.1646869,-0.01332469,-0.08114727,0.1220419,0.147162,-0.103521,0.1888953,-0.1590248,0.9634901,31.06014,-0.3866415,0.7055069,-0.5939432,5.151073,-0.004200374,-0.0661174,0.1170399,0.1344897,0.1079896,0.3693152,0.6173521,0.6861643,93.34555,0.1484501,0.5076867,0.8486559,0.5276076,True,True,False,-0.09855498,0.605905,0.1207868,0.6256384,-0.133543,-0.2235394,-0.3171011,-0.9119449,311.5511,-0.3254663,-0.5448024,-0.7728277,0.01194612,0.6049101,0.1868604,0.6332265,0.01894473,0.5518759,0.2054445,0.5891802,0.00678353,0.5325818,0.2062289,0.5711565,0.05853714,-0.03454607,0.1182513,0.1363943,0.02151234,-0.07368468,0.1446387,0.1637455,-0.0008021684,-0.08228248,0.141094,0.1633357,0.05860295,-0.03444733,0.1182631,0.1364078,0.02148239,-0.07373318,0.1445616,0.1636952,-0.0007670055,-0.08243132,0.1407531,0.1631164,0.04085345,-0.04933997,0.125708,0.1410884,-0.4766149,-0.3626773,0.8004714,-0.02343208,182.6854,-0.4767458,-0.3627769,0.8006913,4.936565,0,0,0,0,0,0,0,0,0,1,0,0,0.3763698,False,True,False,-0.04729305,1.003031,0.3020101,1.048579,-0.04812943,-0.01236292,-0.01034001,0.9987111,5.818652,-0.9482619,-0.2435783,-0.2037223,0.09729305,-0.003031015,-0.002010047,0.09736101,-0.6297196,-0.6385548,0.1389571,0.4199904,130.332,-0.6938841,-0.7036196,0.1531159,-0.01150521,1.105915,-0.03831757,1.106639,0.005010866,-0.03433346,0.02342546,0.9991233,4.798619,0.1196953,-0.8201282,0.5595672,False
1773055686122,0.1390548,0.0574187,0.9350036,0.2526758,0.9702442,-0.1439339,-0.4099985,-0.6061603,0.6661485,96.45901,-0.1929877,-0.5497292,-0.8127444,-0.05191454,0.9941852,0.2794766,1.034024,-0.05588743,1.027681,0.303929,1.073138,-0.06261309,1.012164,0.3172143,1.062555,-0.01453851,-0.08451399,0.103911,0.1347275,-0.02003822,-0.07256358,0.1460391,0.1642998,0.001946371,-0.07853905,0.1461244,0.1659051,-0.01593196,-0.08531746,0.1034245,0.1350168,-0.02048771,-0.07224607,0.1465371,0.1646583,0.001720456,-0.07907723,0.1447406,0.1649424,-0.01302231,-0.08104922,0.1221006,0.1471296,-0.1014503,0.1851699,-0.1570939,0.9647494,30.51649,-0.3854932,0.7036129,-0.5969293,5.103259,-0.003914905,-0.06602481,0.1170952,0.1344838,0.1069841,0.3673748,0.6186931,0.6861553,93.34693,0.1470663,0.5050138,0.8504898,0.5290959,True,True,False,-0.09852016,0.6058788,0.1207906,0.6256083,-0.1336559,-0.2236141,-0.3171593,-0.9118898,311.5357,-0.3256443,-0.544822,-0.772739,0.01199161,0.604878,0.18684,0.6331906,0.01901448,0.5518574,0.2054388,0.5891631,0.006854795,0.5325571,0.2062619,0.5711462,0.05853095,-0.03454795,0.11825,0.136391,0.02151877,-0.07367026,0.1446675,0.1637653,-0.0008131868,-0.08225507,0.1411595,0.1633786,0.058588,-0.03446824,0.1182604,0.1364043,0.02148994,-0.07372013,0.1445835,0.1637097,-0.0007765834,-0.08239472,0.1408378,0.163171,0.04083804,-0.04934554,0.1257297,0.1411052,-0.4758377,-0.3629064,0.8008667,-0.02213489,182.5367,-0.4759543,-0.3629954,0.801063,4.928411,0,0,0,0,0,0,0,0,0,1,0,0,0.3749872,False,True,False,-0.04711885,1.003229,0.3022838,1.048839,-0.05224087,-0.01258771,-0.01139412,0.9984902,6.29767,-0.9510443,-0.2291591,-0.2074297,0.09711885,-0.003229022,-0.002283752,0.09719935,-0.6287214,-0.63719,0.1418894,0.4225705,130.006,-0.6937002,-0.7030441,0.1565538,-0.01151873,1.105999,-0.03840907,1.106726,0.004551109,-0.03425928,0.02324283,0.9991323,4.773919,0.1092756,-0.8225916,0.5580782,False
