Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773058014289,0,1,1,135,0.8526532,0.230009,0.469125,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.7877489,0.2125007,0.433415,0.3826834,135,0.8526533,0.2300091,0.4691251
Trial Start,1773058018389,0,1,1,135,0.8526532,0.230009,0.469125,0.9999999,-1,-0.05026851,0.999372,0.3013844,1.045038,0.001507948,0.0002497996,0.001522106,0.9999977,0.2470814,0.6993572,0.1158522,0.7059234,0.1002685,0.0006279945,-0.001384377,0.10028,0.7869549,0.2129501,0.4329552,0.3845832,134.7643,0.852522,0.2306925,0.4690279
On Target,1773058025585,7.201353,1,1,135,0.8526532,0.230009,0.469125,0.9999999,-1,0.05023369,1.001299,0.2957554,1.045272,0.7346295,0.2583978,0.4703647,0.4150991,130.9489,0.8074837,0.2840235,0.5170114,-0.0002336912,-0.001298904,0.004244626,0.004445066,0.05790401,0.04145404,-0.04753396,0.996328,9.823341,0.676291,0.4841633,-0.5551739
Trial End,1773058026583,8.198771,1,2,135,0.8526532,0.230009,0.469125,0.9999999,-1,0.05134712,1.000174,0.3000494,1.045473,0.7839023,0.204198,0.4277734,0.4010116,132.7171,0.8557205,0.2229058,0.4669643,-0.001347121,-0.0001735687,-4.935265E-05,0.001359153,0.01351041,0.004295027,0.01582571,0.9997744,2.434801,0.6359081,0.2021584,0.7448847
Trial Load,1773058026585,8.198771,1,2,135,-0.4350142,0.3872751,0.8128841,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.4019008,0.3577956,0.7510071,0.3826833,135,-0.4350143,0.3872752,0.8128842
Trial Start,1773058027640,0,1,2,135,-0.4350142,0.3872751,0.8128841,1,-1,-0.05094212,1.000619,0.3025444,1.046597,0.006131389,-0.002351787,-0.006299953,-0.9999586,358.9577,0.6740996,-0.2585611,-0.692632,0.1009421,-0.0006186962,-0.002544343,0.1009761,0.4000257,-0.3589536,-0.7473165,-0.3907045,225.9967,0.4345666,-0.3899481,-0.811845
On Target,1773058032276,4.652048,1,2,135,-0.4350142,0.3872751,0.8128841,1,-1,0.05063824,1.000427,0.2921838,1.043451,-0.4710085,0.3674488,0.7277527,0.3369102,140.6225,-0.500255,0.390265,0.7729413,-0.0006382391,-0.0004270077,0.007816255,0.007853886,0.06041263,0.04117479,-0.04632371,0.9962476,9.930374,0.6980041,0.4757312,-0.5352216
Trial End,1773058033262,5.638434,1,3,135,-0.4350142,0.3872751,0.8128841,1,-1,0.04976567,1.003094,0.2931883,1.046247,-0.4603625,0.3901572,0.7164544,0.3500525,139.019,-0.4914569,0.4165097,0.7648462,0.0002343319,-0.003093839,0.006811708,0.00748506,0.07215324,0.03373247,-0.01919445,0.9966382,9.398892,0.8806829,0.4117294,-0.2342823
Trial Load,1773058033263,5.638434,1,3,135,-0.2697855,0.146784,0.9516671,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.2492493,0.1356108,0.8792258,0.3826834,135,-0.2697855,0.1467841,0.9516671
Trial Start,1773058034874,0,1,3,135,-0.2697855,0.146784,0.9516671,1,-1,-0.05117569,0.9981921,0.3012199,1.043906,0.001798729,0.003608091,0.01324609,0.9999042,1.586551,0.1299175,0.260603,0.9567305,0.1011757,0.001807868,-0.001219928,0.1011992,-0.2485377,0.129334,0.8752157,0.394334,133.5511,-0.2704534,0.1407384,0.9523906
On Target,1773058042302,7.440265,1,3,135,-0.2697855,0.146784,0.9516671,1,-1,0.03879827,1.002314,0.2879661,1.043582,-0.1766992,0.1145721,0.8908183,0.4026082,132.5173,-0.1930353,0.1251644,0.9731758,0.01120173,-0.002313972,0.01203388,0.01660263,-0.05279981,-0.05592415,0.01767684,0.9968813,9.052466,-0.6690668,-0.7086577,0.2239968
Trial End,1773058043289,8.426264,1,4,135,-0.2697855,0.146784,0.9516671,1,-1,0.04619703,0.9999241,0.2933538,1.043091,-0.1923631,0.1356868,0.893257,0.3829851,134.9626,-0.2082405,0.1468862,0.9669852,0.003802974,7.587671E-05,0.006646216,0.007657712,-0.02368053,-0.0535013,0.00262907,0.9982836,6.71496,-0.4043408,-0.913525,0.04489089
Trial Load,1773058043290,8.426264,1,4,135,-0.7984585,0.600943,0.03648937,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.7376795,0.555199,0.03371178,0.3826834,135,-0.7984585,0.600943,0.03648937
Trial Start,1773058044956,0,1,4,135,-0.7984585,0.600943,0.03648937,1,-1,-0.05042212,0.9989328,0.3016976,1.044716,-8.990528E-06,-0.0002680124,0.0006977661,-0.9999998,359.9209,-0.01301968,-0.3881234,1.010473,0.1004221,0.001067221,-0.00169754,0.1004421,0.7372863,-0.5556107,-0.03418149,-0.382802,225.0147,0.7980754,-0.6014207,-0.03699975
On Target,1773058055524,10.58248,1,4,135,-0.7984585,0.600943,0.03648937,1,-1,0.05360417,0.998612,0.2977331,1.043429,-0.7208119,0.5583369,0.1139868,0.3945848,133.5198,-0.7844637,0.6076413,0.1240525,-0.00360417,0.001387954,0.002266884,0.004478306,-0.05969721,-0.05437909,-0.01863906,0.99656,9.507642,-0.7203327,-0.6561619,-0.224907
Trial End,1773058056525,11.58261,1,5,135,-0.7984585,0.600943,0.03648937,1,-1,0.05270359,0.9979784,0.3004416,1.043553,-0.6983588,0.570631,0.1000608,0.4203133,130.2913,-0.769644,0.6288783,0.1102746,-0.002703588,0.002021551,-0.000441581,0.003404564,-0.07912283,-0.03528342,0.009092577,0.9961988,9.994562,-0.9083238,-0.4050508,0.1043821
Trial Load,1773058056525,11.58261,1,5,135,0.6335596,0.1595772,0.7570584,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.5853328,0.1474302,0.6994308,0.3826834,135,0.6335596,0.1595773,0.7570584
Trial Start,1773058058344,0,1,5,135,0.6335596,0.1595772,0.7570584,1,-1,-0.05060182,0.9999282,0.3011977,1.045532,0.0004611593,-0.001773254,-0.003281263,-0.999993,359.5702,0.1229575,-0.4727972,-0.8748729,0.1006018,7.176399E-05,-0.001197696,0.100609,-0.5862616,-0.1489937,-0.6970642,-0.3849672,225.2834,-0.6352177,-0.1614355,-0.7552729
On Target,1773058066523,8.19311,1,5,135,0.6335596,0.1595772,0.7570584,1,-1,0.04246958,0.9999865,0.2951881,1.04351,0.5916547,0.2210566,0.6783392,0.3754127,135.9004,0.6383446,0.2385011,0.7318698,0.007530425,1.347065E-05,0.004811943,0.008936569,0.04793108,-0.04601485,-0.03917792,0.9970208,8.847713,0.621399,-0.5965561,-0.5079193
Trial End,1773058067524,9.193062,1,6,135,0.6335596,0.1595772,0.7570584,1,-1,0.05194101,1.00204,0.2933168,1.045378,0.6273553,0.1558567,0.6874496,0.3309789,141.3436,0.6648261,0.1651658,0.7285098,-0.001941014,-0.002039552,0.00668323,0.007252094,-0.03868548,-0.04725232,-0.03031573,0.9976732,7.818721,-0.5674171,-0.6930707,-0.4446542
Trial Load,1773058067524,9.193062,1,6,135,-0.6375992,0.2738077,0.720067,0.9999999,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.589065,0.2529653,0.6652552,0.3826834,135,-0.6375993,0.2738077,0.7200671
Trial Start,1773058068467,0,1,6,135,-0.6375992,0.2738077,0.720067,0.9999999,-1,-0.05011897,0.9890575,0.258955,1.023623,0,0,0,1,0,1,0,0,0.100119,0.01094246,0.04104501,0.1087577,-0.589065,0.2529653,0.6652552,0.3826834,135,-0.6375993,0.2738077,0.7200671
On Target,1773058076453,7.999336,1,6,135,-0.6375992,0.2738077,0.720067,0.9999999,-1,0.0529208,1.004462,0.295131,1.048259,-0.6420181,0.2404633,0.6100296,0.3973086,133.1799,-0.6996062,0.2620326,0.6647484,-0.002920803,-0.004462481,0.004868984,0.007221622,0.01730223,0.07624279,0.01010368,0.996888,9.042682,0.2194862,0.9671727,0.1281696
