Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.8526532,0.230009,0.469125,0.9999999,8.198771,False,-0.001347121,-0.0001735687,-4.935265E-05,0.001359153,0.01351041,0.004295027,0.01582571,0.9997744,2.434801,0.6359081,0.2021584,0.7448847,0.4216986,0.3283721,0.4103996,1.428724,732.6743,0,0,0.07034694,0.04166424,0.04188436,0.1210656,15.44184,0,0,0.7195609,545.6702,0.2674848,77.79194
1,3,135,-0.4350142,0.3872751,0.8128841,1,5.638434,False,0.0002343319,-0.003093839,0.006811708,0.00748506,0.07215324,0.03373247,-0.01919445,0.9966382,9.398892,0.8806829,0.4117294,-0.2342823,0.3158158,0.3329718,0.4170589,0.6842098,511.4275,0,0,0.03811762,0.04896815,0.06717819,0.1472976,45.20374,0,0,0.4077288,291.5121,0.3656343,70.77245
1,4,135,-0.2697855,0.146784,0.9516671,1,8.426264,False,0.003802974,7.587671E-05,0.006646216,0.007657712,-0.02368053,-0.0535013,0.00262907,0.9982836,6.71496,-0.4043408,-0.913525,0.04489089,0.4450016,0.4273468,0.5508759,1.124605,782.913,0,0,0.0272344,0.02823084,0.0303815,0.09969692,35.88653,0,0,0.904507,596.0462,0.2101755,64.35596
1,5,135,-0.7984585,0.600943,0.03648937,1,11.58261,False,-0.002703588,0.002021551,-0.000441581,0.003404564,-0.07912283,-0.03528342,0.009092577,0.9961988,9.994562,-0.9083238,-0.4050508,0.1043821,0.5628892,0.5130032,0.5528976,1.15031,859.6655,0,0,0.03952497,0.02460624,0.02408095,0.1266049,20.75806,0,0,0.6943392,508.9648,0.2209052,74.40704
1,6,135,0.6335596,0.1595772,0.7570584,1,9.193062,False,-0.001941014,-0.002039552,0.00668323,0.007252094,-0.03868548,-0.04725232,-0.03031573,0.9976732,7.818721,-0.5674171,-0.6930707,-0.4446542,0.3324943,0.36829,0.4911397,1.500455,732.9431,0,0,0.02980153,0.02188268,0.02265419,0.08691859,8.935012,0,0,0.634561,444.392,0.2177804,74.06796
1,7,135,-0.6375992,0.2738077,0.720067,0.9999999,11.01306,False,0.0007362626,-0.001303196,0.003583044,0.003883118,0.01731153,0.06424489,0.005705441,0.9977677,7.658086,0.2592343,0.9620453,0.08543703,0.4348723,0.3285417,0.3932062,1.070733,790.0866,0,0,0.0285263,0.02667148,0.03125509,0.08804272,9.681188,0,0,0.6674098,453.4261,0.2662319,93.48246
1,8,135,-0.1162569,-0.05358904,-0.9917724,1,8.832561,False,-0.004111927,0.0001851916,-0.000919193,0.004217482,-0.03377108,-0.04459722,-0.001758099,0.9984326,6.416786,-0.6034012,-0.7968361,-0.03141264,0.497811,0.5631808,0.5297192,1.395273,931.9523,0,0,0.07591198,0.07304286,0.1313751,0.231783,87.28722,0,0,0.6638765,391.7081,0.6495565,128.8619
1,9,135,-0.2646397,0.922479,-0.2810663,1,7.790915,False,0.001108263,-0.006167173,0.005654603,0.00844019,-0.01105204,0.01236604,0.03785429,-0.9991457,355.2629,-0.2674297,0.2992252,0.9159725,0.2406369,0.3498572,0.4874325,0.8941728,562.0174,0,0,0.02920252,0.0447798,0.06358019,0.1255091,21.62708,0,0,0.6989264,387.3478,0.3450111,114.3239
1,10,135,0.8887361,0.2724611,-0.3686639,0.9999999,7.607139,False,0.004699405,-0.004427552,0.009740174,0.01168583,0.007588896,0.06827959,0.04345214,0.9966906,9.325241,0.09335791,0.8399693,0.5345443,0.4532034,0.5704099,0.5569999,1.229457,756.4493,0,0,0.02390965,0.02115932,0.04929097,0.08602348,15.72957,0,0,0.5223793,380.8099,0.2080361,68.21615
1,11,135,0.358293,0.7897553,-0.4979082,1,10.52476,False,-0.0005739518,0.003681183,-0.0003989637,0.003746959,0.02980027,0.06509153,-0.01054525,0.9973785,8.299179,0.4118288,0.899541,-0.1457314,0.7195685,0.7960498,0.9010059,1.639302,1218.235,0,0,0.04027125,0.04085126,0.04628544,0.1397479,23.59429,0,0,0.9836397,696.509,0.3640483,120.6294
