Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773058207815,0.0139098,0.03431516,0.9105392,0.231118,0.9400398,-0.5774093,-0.3063731,-0.08798682,0.7516598,82.53129,-0.8754581,-0.4645176,-0.1334041,-0.05298749,0.9705737,0.3010332,1.017567,-0.06286772,1.004133,0.2946124,1.048348,-0.04655591,1.015771,0.3029394,1.061005,-0.01796317,-0.08504624,0.1026065,0.1344754,-0.02225094,-0.0733011,0.1381508,0.1579677,-0.0007921209,-0.0681662,0.1445974,0.1598614,0,0,0,0,0,0,0,0,0,1,0,0,-0.1157543,0.6381302,0.1454836,0.6646613,-0.2578193,-0.2967888,-0.03389629,-0.9188563,313.5189,-0.6533812,-0.7521401,-0.08590202,-0.03229742,0.5399618,0.1623507,0.5647651,-0.00655286,0.5315669,0.2088835,0.571173,-0.0444869,0.5229896,0.2085896,0.5648069,0.04080589,-0.07308257,0.1092905,0.1376612,0.03527199,-0.05395076,0.1627339,0.1750346,0.0004659748,-0.06560866,0.144021,0.1582617,0,0,0,0,0,0,0,0,0,1,0,0,-0.0697465,0.9880307,0.308142,1.037314,0,0,0,1,0,1,0,0,0.1197465,0.01196927,-0.008141994,0.1206183,-0.2697714,0.4037719,0.7859676,0.3826834,135,-0.2919985,0.4370396,0.8507252,-0.06143229,1.100744,-0.04418131,1.103342,-0.004764083,-0.04061341,0.01080067,-0.9991052,355.152,-0.1126417,-0.9602606,0.2553703,False
1773058207828,0.0278192,0.03496277,0.9114372,0.2321685,0.941192,-0.5730488,-0.31075,-0.07512378,0.7545899,82.0209,-0.8732883,-0.4735624,-0.1144836,-0.05347682,0.9688346,0.3029952,1.016517,-0.06449997,1.00287,0.2968567,1.047871,-0.04808384,1.015113,0.3045716,1.06091,-0.01812766,-0.08519153,0.1025577,0.1345522,-0.02227417,-0.07338563,0.1389183,0.1586817,-0.000753462,-0.0676019,0.1453083,0.1602657,0,0,0,0,0,0,0,0,0,1,0,0,-0.1158652,0.6379452,0.145425,0.6644902,-0.2567677,-0.2969365,-0.03439864,-0.9190843,313.5851,-0.6515937,-0.753529,-0.08729265,-0.03226662,0.5399222,0.1624501,0.5647541,-0.006497152,0.5316722,0.2090177,0.5713195,-0.04442604,0.5230301,0.2087694,0.5649061,0.04080797,-0.07311723,0.1092691,0.1376632,0.03528842,-0.05395588,0.1627255,0.1750317,0.0004528649,-0.06559788,0.1440368,0.1582716,0,0,0,0,0,0,0,0,0,1,0,0,-0.07047348,0.9859397,0.3102649,1.036006,0.0006435053,0.00465132,0.01378969,0.9998939,1.669251,0.04417607,0.319309,0.94665,0.1204735,0.01406032,-0.01026484,0.1217248,-0.2719012,0.3977233,0.7821217,0.3951856,133.4449,-0.2959947,0.4329661,0.8514267,-0.06272522,1.100935,-0.04548468,1.103658,-0.003236937,-0.04076463,0.009696415,-0.9991165,355.1826,-0.07702051,-0.9699641,0.230719,False
1773058207843,0.0415992,0.03606041,0.9123528,0.2334903,0.9424466,-0.5689008,-0.3163511,-0.07400838,0.7555109,81.85994,-0.8683704,-0.4828784,-0.1129664,-0.0536721,0.9682908,0.3039933,1.016307,-0.06495605,1.002365,0.2980988,1.047768,-0.04861908,1.014987,0.3057676,1.061158,-0.01829677,-0.0853004,0.1025424,0.1346323,-0.02228157,-0.07352855,0.1390165,0.1588348,-0.0007433671,-0.06739722,0.145561,0.1604086,0,0,0,0,0,0,0,0,0,1,0,0,-0.115973,0.6377472,0.1452549,0.6642817,-0.2559842,-0.2970494,-0.03479318,-0.9192515,313.6338,-0.6502494,-0.754563,-0.08838141,-0.03224945,0.5398404,0.1623631,0.5646498,-0.006480694,0.5316935,0.2089801,0.5713253,-0.0444259,0.5230157,0.2087354,0.5648802,0.04084297,-0.07315484,0.109236,0.1376673,0.03530284,-0.05396582,0.1627106,0.1750238,0.0004475491,-0.0656008,0.1439986,0.158238,0,0,0,0,0,0,0,0,0,1,0,0,-0.07073632,0.9852567,0.311246,1.035668,0.003458587,0.001002455,0.01921404,0.9998089,2.240249,0.1769277,0.05128163,0.9829144,0.1207363,0.01474333,-0.01124597,0.1221519,-0.2780136,0.3954094,0.7801314,0.3971837,133.1955,-0.3029331,0.4308516,0.8500578,-0.0640147,1.101124,-0.04674819,1.103973,-0.001158884,-0.04114624,0.008606286,-0.9991154,355.1797,-0.02755805,-0.9784499,0.2046559,False
1773058207859,0.0584773,0.0370159,0.9133965,0.2351361,0.9439027,-0.5653642,-0.3215819,-0.07064975,0.7562785,81.72559,-0.864141,-0.4915277,-0.1079859,-0.05391596,0.9678006,0.305442,1.016287,-0.0656136,1.002008,0.2997292,1.047932,-0.04932332,1.015027,0.3072483,1.061656,-0.01846867,-0.08541258,0.1025258,0.1347143,-0.0222967,-0.07363257,0.1392668,0.1591042,-0.0007291837,-0.06712556,0.1458978,0.1606006,0,0,0,0,0,0,0,0,0,1,0,0,-0.1160962,0.6375246,0.1450599,0.6640469,-0.2552115,-0.2971821,-0.03516413,-0.9194093,313.6797,-0.6488943,-0.7556076,-0.08940741,-0.03224717,0.5397322,0.1622414,0.5645113,-0.006479681,0.5316856,0.2089077,0.5712915,-0.04444736,0.5229766,0.2086619,0.5648185,0.0408837,-0.07319295,0.1092011,0.137672,0.03531955,-0.0539771,0.1626941,0.1750154,0.0004439184,-0.06560636,0.143949,0.1581952,0,0,0,0,0,0,0,0,0,1,0,0,-0.07106481,0.9846053,0.3126882,1.035506,-0.005070931,0.001066225,-0.02591001,-0.9996509,356.972,-0.1919252,0.04035461,-0.9806456,0.1210648,0.01539469,-0.01268819,0.1226975,0.2829176,-0.3930636,-0.7775377,-0.4011157,227.2959,0.3088527,-0.4290959,-0.8488149,-0.0652706,1.101366,-0.04793224,1.104339,0.0007944007,-0.04137241,0.007400697,-0.9991161,355.1815,0.01889771,-0.9841932,0.1760525,False
1773058207871,0.0697332,0.03783545,0.9145365,0.2370395,0.9455138,-0.5619177,-0.3270404,-0.06530676,0.7569862,81.60155,-0.8599497,-0.5004973,-0.09994441,-0.05429256,0.9672059,0.307247,1.016285,-0.06659159,1.001612,0.3016575,1.048169,-0.05034107,1.015077,0.3089456,1.062244,-0.01861257,-0.08553103,0.1025072,0.1347951,-0.0223175,-0.07370346,0.1396507,0.159476,-0.0007099964,-0.0667778,0.1463285,0.1608471,0,0,0,0,0,0,0,0,0,1,0,0,-0.1162335,0.63728,0.144842,0.6637886,-0.254432,-0.2973354,-0.03552198,-0.919562,313.7242,-0.6475003,-0.7566844,-0.09039938,-0.03225578,0.5396031,0.1620907,0.564345,-0.006490007,0.5316561,0.2088065,0.5712272,-0.04448584,0.5229191,0.208555,0.5647288,0.04092991,-0.07323161,0.1091647,0.1376774,0.03533856,-0.05398969,0.1626763,0.1750065,0.0004419728,-0.06561439,0.1438887,0.1581436,0,0,0,0,0,0,0,0,0,1,0,0,-0.07158326,0.9838033,0.3144741,1.03532,-0.005952933,0.002170406,-0.03419608,-0.9993951,356.014,-0.1711704,0.06240775,-0.9832724,0.1215833,0.01619667,-0.01447406,0.1235084,0.2873996,-0.3904543,-0.774224,-0.4068467,228.0138,0.3146149,-0.4274284,-0.8475391,-0.06655984,1.101577,-0.04908597,1.104678,0.002833544,-0.04186794,0.006533087,-0.9990978,355.1319,0.0667199,-0.9858415,0.153831,False
1773058207885,0.0834135,0.03863758,0.9161035,0.2374571,0.9471664,-0.5596473,-0.3280329,-0.0671209,0.7580793,81.40968,-0.858141,-0.5029926,-0.1029205,-0.0538929,0.9683031,0.3076227,1.017422,-0.06601211,1.002778,0.3022516,1.049417,-0.04977723,1.016304,0.3096422,1.063593,-0.01881527,-0.08560238,0.1025156,0.1348749,-0.02233987,-0.07373057,0.1396318,0.1594751,-0.0007127509,-0.06674024,0.1463993,0.160896,0,0,0,0,0,0,0,0,0,1,0,0,-0.1162945,0.6371936,0.1447648,0.6636994,-0.2539788,-0.2974669,-0.03561842,-0.919641,313.7473,-0.6466515,-0.7573758,-0.0906875,-0.03224254,0.5395725,0.1620193,0.5642946,-0.006475151,0.5316894,0.2087936,0.5712532,-0.04450936,0.5229387,0.2085302,0.5647396,0.04098589,-0.07326427,0.1091308,0.1376845,0.03535982,-0.05398349,0.1626724,0.1750053,0.0004404811,-0.06561885,0.1438392,0.1581005,0,0,0,0,0,0,0,0,0,1,0,0,-0.07102278,0.9849274,0.3149447,1.036492,-0.008759157,0.003828683,-0.03419727,-0.9993694,355.9302,-0.2466813,0.107826,-0.9630868,0.1210228,0.01507258,-0.0149447,0.12287,0.2897704,-0.3888726,-0.7748891,-0.4054112,227.8338,0.3169888,-0.4253998,-0.8476751,-0.06788356,1.101768,-0.05021312,1.104998,0.004743324,-0.04220141,0.005317028,-0.9990838,355.0942,0.1108311,-0.9860651,0.124236,False
1773058207898,0.09740409,0.03933357,0.9176568,0.2381446,0.9488698,-0.5575628,-0.3291837,-0.06779698,0.7590557,81.23796,-0.8564374,-0.5056386,-0.1041387,-0.05362914,0.9693066,0.3082858,1.018564,-0.06563064,1.00383,0.3031145,1.050648,-0.04942827,1.017457,0.3105726,1.064949,-0.01902824,-0.085671,0.1025266,0.1349566,-0.02236078,-0.07375678,0.1396229,0.1594824,-0.0007155608,-0.06669705,0.1464822,0.1609536,0,0,0,0,0,0,0,0,0,1,0,0,-0.1163577,0.6371062,0.1446846,0.6636091,-0.2536001,-0.2975893,-0.03568302,-0.9197034,313.7655,-0.6459277,-0.7579696,-0.09088581,-0.03223781,0.5395317,0.1619278,0.564229,-0.006470799,0.5317031,0.2087626,0.5712547,-0.04454948,0.5229436,0.2084807,0.564729,0.0410476,-0.07329668,0.1090959,0.1376925,0.03538319,-0.05397604,0.1626693,0.1750048,0.0004403272,-0.06562488,0.1437824,0.1580513,0,0,0,0,0,0,0,0,0,1,0,0,-0.07061353,0.9859351,0.3157086,1.037654,-0.01099571,0.004968334,-0.03507817,-0.9993117,355.7483,-0.2964209,0.1339357,-0.9456327,0.1206135,0.01406491,-0.01570857,0.1224427,0.2918622,-0.3872899,-0.7751023,-0.4050179,227.7845,0.3192162,-0.4235877,-0.8477467,-0.06922698,1.101987,-0.05127662,1.105349,0.00670065,-0.04221082,0.003733551,-0.9990793,355.0823,0.1561846,-0.9838868,0.08702488,False
1773058207913,0.1111491,0.03972335,0.9189692,0.2382803,0.9501893,-0.5578036,-0.3304759,-0.07256235,0.7578757,81.44543,-0.8550039,-0.5065549,-0.1112239,-0.05348729,0.9711279,0.3077486,1.020127,-0.06519905,1.00553,0.3025692,1.052088,-0.04902138,1.019198,0.3101365,1.066467,-0.01902008,-0.08566827,0.102558,0.1349776,-0.022351,-0.07384955,0.1394556,0.1593775,-0.0007269185,-0.06672332,0.1464712,0.1609544,0,0,0,0,0,0,0,0,0,1,0,0,-0.1164612,0.6370271,0.1446806,0.6635504,-0.2531077,-0.2978818,-0.03554747,-0.9197496,313.779,-0.6448511,-0.7589235,-0.09056548,-0.03228962,0.5394824,0.1619016,0.5641772,-0.00648842,0.5317389,0.2088255,0.5713112,-0.04462419,0.5229602,0.2085324,0.5647694,0.0411107,-0.07333788,0.1090554,0.1377012,0.03540655,-0.05393806,0.162688,0.1750152,0.0004330303,-0.06562414,0.1437415,0.1580137,0,0,0,0,0,0,0,0,0,1,0,0,-0.07042355,0.9878213,0.3150495,1.039234,-0.0114796,0.009031575,-0.03206469,-0.9993791,355.9617,-0.325809,0.2563301,-0.9100457,0.1204236,0.01217872,-0.01504946,0.1219698,0.2940423,-0.3893047,-0.7754076,-0.4009041,227.2694,0.3209648,-0.4249494,-0.846404,-0.07057326,1.102074,-0.05227903,1.105568,0.008568068,-0.04222506,0.002480101,-0.9990683,355.0531,0.1985358,-0.9784216,0.05746787,False
1773058207926,0.1248979,0.04007411,0.9202889,0.2386275,0.9515675,-0.5580754,-0.3324612,-0.07810265,0.7562549,81.72971,-0.8529649,-0.5081353,-0.1193724,-0.05352175,0.9730146,0.3071942,1.021758,-0.06487496,1.007199,0.3020355,1.053511,-0.04875607,1.020995,0.3097062,1.068048,-0.0190374,-0.08566351,0.1025968,0.1350065,-0.02232338,-0.07400361,0.1391918,0.1592144,-0.0007394602,-0.06675416,0.1464574,0.1609547,0,0,0,0,0,0,0,0,0,1,0,0,-0.1165692,0.6369477,0.144679,0.6634928,-0.2524984,-0.2982712,-0.03533916,-0.9197989,313.7934,-0.6434884,-0.7601396,-0.09006131,-0.03234112,0.5394367,0.1618825,0.564131,-0.006495178,0.5317932,0.2088998,0.5713889,-0.04469391,0.5229937,0.2085993,0.5648307,0.04117857,-0.07338011,0.1090134,0.1377107,0.03543166,-0.05389482,0.1627103,0.1750277,0.0004258636,-0.06562376,0.1436968,0.1579728,0,0,0,0,0,0,0,0,0,1,0,0,-0.07039577,0.9897809,0.314349,1.040883,-0.01186219,0.01419535,-0.0288208,-0.9994134,356.0749,-0.3463829,0.4145124,-0.8415843,0.1203958,0.0102191,-0.01434895,0.1216777,0.2969468,-0.3918691,-0.7754374,-0.3961794,226.6791,0.3234104,-0.4267921,-0.8445438,-0.07197493,1.102233,-0.05333279,1.105867,0.0101087,-0.04209049,0.0009570412,-0.9990622,355.037,0.2334736,-0.9721351,0.02210413,False
1773058207943,0.1415327,0.04040629,0.9216628,0.2391577,0.9530432,-0.5583094,-0.3347348,-0.08303469,0.7545519,82.02753,-0.8507697,-0.5100796,-0.1265309,-0.05364657,0.9748719,0.3067905,1.023413,-0.06464638,1.008776,0.3016812,1.054903,-0.04861411,1.022768,0.3094274,1.069656,-0.01909293,-0.08565944,0.1026433,0.1350472,-0.02228567,-0.07418535,0.1388819,0.159023,-0.0007531226,-0.06678936,0.1464411,0.1609546,0,0,0,0,0,0,0,0,0,1,0,0,-0.1166814,0.636868,0.1446796,0.6634362,-0.2517798,-0.2987602,-0.03504954,-0.9198483,313.8078,-0.6418461,-0.7616103,-0.08934956,-0.03239397,0.5393931,0.1618686,0.5640884,-0.006492399,0.5318631,0.2089829,0.5714843,-0.04475978,0.5230423,0.2086794,0.5649104,0.041251,-0.07342318,0.1089697,0.1377207,0.03545838,-0.05384658,0.1627358,0.175042,0.0004188312,-0.06562371,0.1436484,0.1579288,0,0,0,0,0,0,0,0,0,1,0,0,-0.07044568,0.9916958,0.3138148,1.042546,-0.0120139,0.01925344,-0.0262048,-0.9993989,356.0268,-0.3465591,0.5553944,-0.7559167,0.1204457,0.008304238,-0.01381484,0.1215194,0.2999201,-0.3943853,-0.7751239,-0.3920345,226.1623,0.3260177,-0.4287028,-0.8425713,-0.07336553,1.102222,-0.05429638,1.105994,0.01151343,-0.04170841,-0.0002439533,-0.9990635,355.0403,0.2660955,-0.9639544,-0.005638189,False
