Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773058567612,0,1,1,135,0.922685,0.2209107,0.3159918,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.8524498,0.2040949,0.2919384,0.3826835,135,0.9226851,0.2209107,0.3159919
Grab,1773058570796,2.273177,1,1,135,0.922685,0.2209107,0.3159918,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.8524498,0.2040949,0.2919384,0.3826835,135,0.9226851,0.2209107,0.3159919
Trial Start,1773058570829,0,1,1,135,0.922685,0.2209107,0.3159918,1,-1,-0.05000002,1,0.3,1.045227,-0.007301871,-0.001534355,0.00155552,0.999971,0.8731186,-0.958329,-0.2013754,0.2041532,0.1,0,0,0.1,0.854454,0.2081338,0.2911524,0.3765888,135.7549,0.9223575,0.2246742,0.3142903
Release,1773058571003,0.1932301,1,1,135,0.922685,0.2209107,0.3159918,1,0,-0.03918198,1.014775,0.3265733,1.066749,-0.07323626,0.03495249,-0.03105989,0.996218,9.969519,-0.8428544,0.4022579,-0.3574591,0.08918199,-0.01477528,-0.0265733,0.09422249,0.8937953,0.1848507,0.257978,0.3168719,143.0523,0.9423563,0.1948939,0.2719943
Grab,1773058572363,1.55534,1,1,135,0.922685,0.2209107,0.3159918,1,0,-0.03918198,1.014775,0.3265733,1.066749,-0.07323626,0.03495249,-0.03105989,0.9962179,9.969439,-0.8428612,0.4022611,-0.357462,0.08918199,-0.01477528,-0.0265733,0.09422249,0.8937953,0.1848507,0.257978,0.3168719,143.0523,0.9423563,0.1948939,0.2719943
Clutch Start,1773058573142,2.333319,1,1,135,0.922685,0.2209107,0.3159918,1,0,-0.03891091,1.019842,0.2917947,1.061478,0.8959406,-0.2501387,-0.2343594,0.2824834,147.183,0.9339795,-0.2607588,-0.2443096,0.08891091,-0.01984167,0.008205354,0.09146676,-0.1272523,-0.3079618,0.5682408,0.7523756,82.40686,-0.1931768,-0.4675051,0.8626248
On Target,1773058576394,5.598139,1,1,135,0.922685,0.2209107,0.3159918,1,-1,0.04583523,1.007322,0.2820194,1.04706,0.8896819,0.1770826,0.2473016,0.3405142,140.1836,0.9462291,0.1883378,0.2630198,0.004164774,-0.007322192,0.01798061,0.01985603,-0.04897103,-0.04718954,0.03539639,0.9970568,8.793979,-0.6387517,-0.6155151,0.4616915
Trial End,1773058577394,6.59811,1,2,135,0.922685,0.2209107,0.3159918,1,-1,0.04924922,0.9992194,0.3003458,1.044544,0.8622572,0.1996335,0.270864,0.3785388,135.5136,0.9315805,0.2156835,0.2926408,0.0007507838,0.0007805824,-0.0003457963,0.001136908,-0.004287493,-0.01996665,0.01265958,0.9997114,2.753154,-0.1784672,-0.8311132,0.5269559
Trial Load,1773058577394,6.59811,1,2,135,0.07900646,-0.9652143,-0.2492374,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.07299245,-0.8917418,-0.2302654,0.3826834,135,0.07900646,-0.9652144,-0.2492374
Grab,1773058578949,8.140048,1,2,135,0.07900646,-0.9652143,-0.2492374,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.07299245,-0.8917418,-0.2302654,0.3826834,135,0.07900646,-0.9652144,-0.2492374
