Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.922685,0.2209107,0.3159918,1,6.59811,False,0.0007507838,0.0007805824,-0.0003457963,0.001136908,-0.004287493,-0.01996665,0.01265958,0.9997114,2.753154,-0.1784672,-0.8311132,0.5269559,0.07831629,0.07756756,0.1251537,0.4340409,269.6117,0.0832792,134.8093,0,0,0,0,0,0,0,0.4087041,348.5316,0.4175176,109.7984
1,3,135,0.07900646,-0.9652143,-0.2492374,1,8.290425,False,-0.001267042,-0.003685474,0.0008571446,0.00399034,-0.02818794,-0.03926006,0.04024867,0.9980202,7.211955,-0.4481779,-0.6242206,0.6399391,0.1658473,0.26384,0.2651159,0.4285846,348.6807,0.2212478,342.5041,0,0,0,0,0,0,0,0.4818555,494.4169,0.2644763,51.41115
1,4,135,0.9067638,0.2890935,0.3069272,0.9999999,5.568657,False,0.004893705,-0.002763629,0.008864403,0.01049589,-0.006323455,-0.03355901,0.008977709,0.9993764,4.047041,-0.1790873,-0.9504285,0.2542587,0.08626208,0.09764806,0.1672753,0.5599518,293.8651,0.07802334,111.4757,0,0,0,0,0,0,0,0.4486815,390.2432,0.2832209,92.805
1,5,135,-0.8955001,-0.2986589,-0.3299733,0.9999999,12.20732,False,0.0001087897,-0.0005042553,0.003563166,0.003600314,0.05847971,-0.03071138,-0.01567814,-0.997693,352.2147,0.8614229,-0.4523874,-0.2309436,0.2989281,0.3957442,0.4840544,1.297482,720.8091,0.3134278,714.8552,0,0,0,0,0,0,0,0.9899705,1019.524,0.457317,153.8387
1,6,135,-0.8872961,-0.4114957,0.2082711,1,13.4853,False,-0.00353574,-0.001893163,0.00371331,0.005465729,0.08461109,0.00277648,0.01369503,-0.9963161,350.1609,0.9866379,0.03237614,0.1596958,0.2233085,0.2059029,0.250083,0.6913261,420.359,0.2410562,532.8093,0,0,0,0,0,0,0,0.6306762,607.5064,0.3623443,96.83325
1,7,135,0.993111,-0.0728297,-0.09179556,1,3.930157,False,-0.001226287,-0.001347542,0.001685262,0.002481886,0.004850267,0.02155351,0.03798441,0.9990341,5.036944,0.1103807,0.4905074,0.8644363,0.07490999,0.06553855,0.09315747,0.3920398,207.6444,0.06238614,70.57922,0,0,0,0,0,0,0,0.3492743,269.2192,0.1178172,33.52526
1,8,135,0.9947613,-0.03395339,0.0964216,1,3.581242,False,-0.0007328056,-0.003517747,0.00119102,0.003785509,0.006951082,0.03116377,0.03531891,0.998866,5.458004,0.1459949,0.6545387,0.7418098,0.04295018,0.058624,0.1288381,0.3036445,194.3824,0.07452828,209.7364,0,0,0,0,0,0,0,0.2382162,344.6923,0.06575935,19.37789
1,9,135,0.9565464,-0.2225851,-0.1883482,1,8.680591,False,-0.00364108,-0.003491402,0.003690064,0.006250114,0.0002664694,-0.05691566,-0.05182013,0.9970332,8.829099,0.003461897,-0.7394325,-0.6732327,0.1632324,0.185814,0.2598168,0.3669506,238.1203,0.1579814,573.8629,0,0,0,0,0,0,0,0.3940341,650.0284,0.09952198,20.30416
1,10,135,0.5396488,0.7624733,0.3569505,1,9.387864,False,-0.001759391,-0.0002799034,0.001253754,0.002178463,-0.03890042,-0.05851625,-0.03619683,0.9968714,9.066909,-0.4921534,-0.7403254,-0.4579485,0.2145985,0.1753265,0.3000455,0.7394652,370.0788,0.2683071,272.964,0,0,0,0,0,0,0,0.6270317,483.7846,0.322161,85.92715
1,11,135,0.4150007,0.6316177,0.6548538,1,12.27643,False,-0.002940316,-0.001192212,0.003238171,0.004533495,-0.02379107,0.02364596,-0.06377127,-0.9974007,351.736,-0.3301812,0.3281674,-0.8850412,0.1701366,0.2720791,0.3946032,0.8267741,476.7093,0.3646888,877.6183,0,0,0,0,0,0,0,0.8329733,850.773,0.2712599,74.03812
2,2,135,0.4367185,-0.716363,0.5441518,1,8.707841,False,-0.0002154075,-0.002774596,0.005264252,0.00595459,-0.02594143,-0.01366484,-0.0007588379,0.9995698,3.361256,-0.8845159,-0.4659254,-0.02587383,0.1543076,0.1772443,0.2478212,0.7592652,320.0844,0.1811539,462.0973,0,0,0,0,0,0,0,0.5288041,587.7318,0.2277338,42.51923
2,3,135,-0.8875553,-0.458892,0.04079044,1,25.40001,False,-0.002556618,-0.0006139278,0.001448452,0.003001869,0.07976653,-0.01120249,-0.007886777,-0.9967195,350.7155,0.9855796,-0.1384157,-0.09744746,0.4584628,0.5773993,0.5381948,1.572241,960.3064,0.5496461,1035.086,0,0,0,0,0,0,0,1.39316,1291.716,1.055086,247.1496
2,4,135,-0.4119777,0.903846,-0.1154846,0.9999999,14.67914,False,-0.001143452,0.003492296,-0.00532791,0.006472267,-0.0455861,-0.02719809,0.00140741,-0.9985892,353.9122,-0.8584791,-0.5121955,0.0265044,0.2813925,0.3478467,0.5264097,0.8585638,557.1682,0.3763,1300.317,0,0,0,0,0,0,0,0.7684008,1321.021,0.3783825,93.62533
2,5,135,0.6484489,0.05678408,-0.7591374,1,10.13831,False,5.625188E-07,-0.001280904,0.00567624,0.00581897,-0.04721168,-0.008952334,-0.04404392,0.9978733,7.474758,-0.7242914,-0.137341,-0.6756938,0.113352,0.1922853,0.1576867,0.3352345,191.9985,0.1882041,274.9951,0,0,0,0,0,0,0,0.4031304,341.9826,0.1193469,26.6901
2,6,135,-0.8227915,0.07240294,0.5637126,1,9.957449,False,-0.001315411,-0.006039858,0.006994843,0.009334775,-0.04471343,-0.03111455,-0.02639559,-0.9981663,353.0594,-0.738685,-0.5140257,-0.4360665,0.148148,0.1556366,0.2703521,0.3485473,267.0352,0.1586984,363.0296,0,0,0,0,0,0,0,0.3827858,454.5044,0.1452089,39.66867
2,7,135,-0.3347473,0.7535083,-0.5658352,1,5.153145,False,-0.001846503,-0.004775167,0.006895453,0.008588309,-0.05979472,-0.02196917,0.03267775,0.9974338,8.211119,-0.835187,-0.306856,0.4564288,0.08310101,0.1227609,0.1544247,0.4036197,167.4577,0.1257941,194.209,0,0,0,0,0,0,0,0.3013453,210.8573,0.142024,25.95405
2,8,135,-0.4966256,-0.4356369,0.7507219,1,16.73472,False,-0.0007363595,0.002475977,-0.003744006,0.004548656,0.01966332,-0.02281192,-0.04938794,0.9983255,6.632349,0.3399261,-0.3943569,-0.853785,0.3071069,0.4392191,0.442332,1.538878,791.3414,0.355164,587.0648,0,0,0,0,0,0,0,1.101457,1082.924,0.4776235,129.1543
2,9,135,0.3871397,0.03463618,0.9213703,1,6.596527,False,-0.0002422146,-0.005595565,0.009023875,0.0106207,-0.02775672,-0.07712778,-0.009902027,0.9965856,9.472138,-0.3361772,-0.9341377,-0.119929,0.1101897,0.1828407,0.1901547,0.5633723,398.8001,0.1370676,202.0832,0,0,0,0,0,0,0,0.4884256,459.5023,0.1545186,50.53976
2,10,135,0.9802383,-0.1636112,-0.111195,1,3.710641,False,0.002510142,0.001424193,0.009530872,0.009958246,0.0831142,0.00429475,0.004351683,0.9965213,9.560981,0.9973081,0.05153378,0.05221694,0.05878106,0.08941624,0.09769297,0.3005437,179.4572,0.05345717,90.47249,0,0,0,0,0,0,0,0.2908393,248.083,0.1047502,33.55162
2,11,135,0.3321,0.894151,-0.3003391,1,11.91574,False,-0.001489777,-0.005860806,0.002717376,0.006629676,-0.03433065,0.04389217,0.03704537,-0.9977589,352.3265,-0.5130553,0.6559476,0.5536254,0.2488165,0.3667471,0.3022104,0.7469867,566.2307,0.2576801,619.2144,0,0,0,0,0,0,0,0.8179447,873.5768,0.311173,69.85658
3,2,135,-0.8281408,0.4979247,0.2573979,0.9999999,12.81896,False,-0.002924014,-0.0010432,0.003223449,0.004475349,0.02584219,0.03322982,-0.0123412,0.9990374,5.028543,0.5890906,0.7574968,-0.2813263,0.3128056,0.3795849,0.3921649,0.6376575,427.6915,0.2840877,615.2724,0,0,0,0,0,0,0,0.7633004,760.0827,0.4036801,92.37482
