Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773058919874,0.0140526,0.01255168,0.9621705,0.1881986,0.9804837,-0.2657042,-0.2174582,-0.3656104,0.8651257,60.20588,-0.5297606,-0.433568,-0.7289535,-0.07220344,0.9897315,0.2795071,1.030973,-0.0740274,1.004161,0.2895524,1.047692,-0.06522332,0.996925,0.3060392,1.04488,-0.01719875,-0.07899343,0.1083256,0.1351673,-0.02026336,-0.07459847,0.1262675,0.1480508,-0.0003843041,-0.0774065,0.1331752,0.1540375,-0.01870544,-0.07905345,0.1082523,0.1353437,-0.0204407,-0.07251154,0.1314144,0.1514777,0.0001953579,-0.07551448,0.1377887,0.1571248,-0.01158942,-0.07658204,0.1236643,0.1459177,-0.09250386,0.2691092,-0.1394594,0.948459,36.9511,-0.2919024,0.8491929,-0.4400739,2.590259,0.005085903,-0.05744701,0.11994,0.133085,0.2784109,0.2188688,0.3650683,0.8609932,61.14346,0.5473885,0.4303216,0.7177671,1.3,True,True,False,-0.1062659,0.6871092,0.03828391,0.6963313,0.03583303,-0.1741619,-0.27911,-0.9436532,321.3488,0.1082778,-0.5262704,-0.8433953,-0.01541802,0.6555395,0.1222446,0.6670183,-0.009432971,0.6678398,0.1577998,0.6862943,-0.033467,0.6461082,0.1303287,0.6599707,0.02719272,-0.07741205,0.1075154,0.1352466,0.02572791,-0.06874964,0.1469045,0.1642235,0.004086921,-0.07525685,0.1079885,0.1316883,0.02596487,-0.07753874,0.1076495,0.1351845,0.025762,-0.06862615,0.1470861,0.1643397,0.004117448,-0.07496401,0.107614,0.1312148,0.02021999,-0.07189184,0.1296903,0.1496558,-0.697624,0.1188586,0.7056015,-0.03633266,184.1643,-0.6980848,0.1189372,0.7060676,4.445309,0,0,0,0,0,0,0,0,0,1,0,0,0.4599474,False,True,False,-0.05000001,1,0.3,1.045227,0.007586109,-0.002634379,0.003003474,0.9999632,0.9819726,0.8852658,-0.3074205,0.3504923,0.1,0,0,0.1,-0.3740147,-0.7362994,-0.4161225,0.38055,135.2645,-0.4044451,-0.7962056,-0.4499788,-0.007793596,1.231254,-0.07593673,1.233618,-0.06003623,-0.05786274,0.03483173,-0.9959088,349.6309,-0.6643819,-0.6403294,0.38546,False
1773058919889,0.0275604,0.01284152,0.9613533,0.1881701,0.9796801,-0.2689972,-0.2164402,-0.3665409,0.8639687,60.46969,-0.5342064,-0.4298324,-0.7279202,-0.07143141,0.9898154,0.2796067,1.031027,-0.07321603,1.004365,0.2896167,1.047849,-0.06450314,0.996381,0.305326,1.044107,-0.01717984,-0.07890648,0.1083526,0.1351357,-0.02029571,-0.07452923,0.1263727,0.1481101,-0.0005329294,-0.07766453,0.1321416,0.1532758,-0.0183893,-0.07902347,0.1082727,0.1352991,-0.02041123,-0.07293245,0.1303361,0.1507424,4.711824E-05,-0.07595597,0.1366162,0.1563115,-0.01135608,-0.07676563,0.1233448,0.1457253,-0.08757702,0.2736996,-0.1382156,0.9477949,37.19046,-0.2746391,0.8583146,-0.4334402,2.451675,0.005306193,-0.05762034,0.1196383,0.1328969,0.2858266,0.2202373,0.3645334,0.8584371,61.71691,0.557255,0.4293803,0.7107037,1.160033,True,True,False,-0.1061972,0.6871391,0.03823921,0.6963478,0.03598308,-0.1741709,-0.2788486,-0.943723,321.373,0.1087967,-0.5266147,-0.8431134,-0.01529291,0.6556088,0.1221531,0.6670669,-0.009387456,0.6678346,0.157735,0.6862737,-0.03339654,0.646103,0.1303332,0.659963,0.02731334,-0.07741416,0.1074828,0.1352462,0.02572319,-0.06878,0.1468608,0.1641964,0.004084821,-0.0753048,0.1080185,0.1317403,0.02624229,-0.07751343,0.1076156,0.1351966,0.02575412,-0.06865741,0.1470403,0.1643106,0.004110824,-0.07503337,0.1076965,0.1313219,0.02023522,-0.07195625,0.1295141,0.1495362,-0.6962392,0.1159135,0.7073802,-0.03779393,184.3319,-0.6967369,0.1159963,0.7078859,4.49609,0,0,0,0,0,0,0,0,0,1,0,0,0.4407379,False,True,False,-0.04900782,0.9997755,0.3000374,1.044976,0.01272454,-0.002670838,0.003430327,0.9999096,1.540496,0.9465365,-0.1986749,0.2551707,0.09900782,0.0002245307,-3.737211E-05,0.09900808,-0.3756306,-0.7343071,-0.4200765,0.3784581,135.5236,-0.4058158,-0.7933152,-0.4538334,-0.008777527,1.231188,-0.07583203,1.233552,-0.06026735,-0.05600554,0.03356434,-0.9960446,349.8045,-0.6782654,-0.6303018,0.3777423,False
1773058919902,0.041469,0.01392707,0.9601365,0.187983,0.978465,-0.275585,-0.2171001,-0.3774388,0.8570067,62.03573,-0.5347994,-0.4213038,-0.7324566,-0.06997199,0.9918522,0.2786618,1.032627,-0.07147673,1.006594,0.288528,1.049566,-0.06305011,0.9976748,0.3032807,1.044658,-0.01716343,-0.07884406,0.1083743,0.1351146,-0.02032363,-0.07449523,0.1264505,0.1481631,-0.0007332248,-0.07779404,0.1307558,0.1521497,-0.01812944,-0.07898603,0.1082938,0.1352591,-0.02039301,-0.07326586,0.1294861,0.150168,-0.000115537,-0.07634259,0.1353661,0.1554097,-0.01124382,-0.07691839,0.122938,0.1454531,-0.08306621,0.2796432,-0.1363499,0.9467357,37.56926,-0.2579602,0.8684254,-0.4234313,2.33419,0.00541212,-0.0577645,0.1192543,0.1326184,0.2937013,0.2233121,0.3639798,0.8552135,62.43335,0.5666891,0.430875,0.7022896,1.168257,True,True,False,-0.1060917,0.6872207,0.03824148,0.6964123,0.03604862,-0.1742163,-0.2786429,-0.943773,321.3903,0.1090419,-0.5269791,-0.8428546,-0.01514523,0.6557074,0.1221124,0.6671529,-0.009285957,0.6678864,0.1577177,0.6863187,-0.03327761,0.6461513,0.1303796,0.6600134,0.02739429,-0.077415,0.1074585,0.1352437,0.02572328,-0.0687971,0.1468363,0.1641817,0.004081435,-0.07534155,0.1080596,0.1317948,0.02648486,-0.07749295,0.107583,0.1352061,0.02574772,-0.06868646,0.1469978,0.1642837,0.004104717,-0.07509757,0.1077723,0.1314205,0.02025105,-0.07201474,0.1293593,0.1494325,-0.6949406,0.1133694,0.7089969,-0.03909474,184.4811,-0.6954722,0.1134562,0.7095394,4.540447,0,0,0,0,0,0,0,0,0,1,0,0,0.4229608,False,True,False,-0.04813099,0.9994037,0.2999561,1.044556,0.0178544,-0.002230834,0.002914269,0.9998339,2.08873,0.9795389,-0.1223894,0.1598844,0.09813099,0.0005963445,4.392862E-05,0.09813281,-0.3781266,-0.7321312,-0.4234759,0.3763939,135.779,-0.4081414,-0.7902462,-0.4570905,-0.009299183,1.231196,-0.0758049,1.233562,-0.0605075,-0.0541792,0.03211335,-0.9961788,349.9792,-0.6928033,-0.620345,0.3676938,False
1773058919917,0.0555783,0.01497783,0.9589244,0.1878031,0.9772565,-0.2820945,-0.217795,-0.3888832,0.8495634,63.67159,-0.5347899,-0.412892,-0.737238,-0.06843325,0.9939473,0.2776614,1.034268,-0.0696761,1.008887,0.2873553,1.051324,-0.06161678,0.9989703,0.301169,1.045199,-0.01709726,-0.07877067,0.1083912,0.135077,-0.0203504,-0.07446415,0.1265171,0.1482081,-0.0009281769,-0.07796504,0.1293321,0.1510172,-0.0179083,-0.07894061,0.1083143,0.1352195,-0.02038405,-0.07352415,0.1288302,0.1497282,-0.0002869437,-0.07668793,0.1340596,0.1544445,-0.0112293,-0.07704204,0.1224703,0.1451225,-0.07882942,0.2867918,-0.1342619,0.9452567,38.09209,-0.2415651,0.8788458,-0.4114327,2.234628,0.00542589,-0.05788128,0.1188128,0.1322731,0.3020715,0.2277867,0.3630461,0.8515067,63.24816,0.5760943,0.4344225,0.6923819,1.177889,True,True,False,-0.1059806,0.6873057,0.03824681,0.6964796,0.03609448,-0.1742682,-0.2784304,-0.9438244,321.4081,0.1092291,-0.5273702,-0.8425857,-0.01499061,0.6558074,0.1220723,0.6672403,-0.009175889,0.6679387,0.1577032,0.6863648,-0.03315093,0.646199,0.1304298,0.6600637,0.02747665,-0.07741354,0.1074351,0.135241,0.02572462,-0.06881199,0.1468151,0.1641692,0.004077789,-0.07537831,0.1081046,0.1318527,0.02669604,-0.07747625,0.1075519,0.1352134,0.02574286,-0.06871287,0.1469594,0.1642596,0.004099058,-0.07515673,0.1078424,0.1315117,0.02026713,-0.07206736,0.1292243,0.1493432,-0.6937203,0.1111641,0.7104744,-0.04025833,184.6145,-0.6942832,0.1112543,0.7110509,4.579084,0,0,0,0,0,0,0,0,0,1,0,0,0.4102032,False,True,False,-0.04656214,1.000625,0.2988404,1.045335,0.02128662,-0.004833893,-0.008636548,0.9997244,2.690169,0.9068034,-0.2059224,-0.3679143,0.09656213,-0.0006251335,0.001159638,0.09657112,-0.3868756,-0.7253277,-0.422523,0.3817087,135.1209,-0.4185685,-0.7847466,-0.4571362,-0.009917098,1.231145,-0.07577034,1.233514,-0.06070488,-0.05215963,0.03061957,-0.9963216,350.1683,-0.7084023,-0.6086826,0.3573184,False
1773058919930,0.0693713,0.0158939,0.9578364,0.1876474,0.9761735,-0.2876009,-0.2184193,-0.3991594,0.8427637,65.13377,-0.5342923,-0.4057698,-0.7415408,-0.06699698,0.9957444,0.2767493,1.035657,-0.06803292,1.010863,0.2862755,1.052818,-0.06035998,0.9999205,0.29915,1.045455,-0.01700193,-0.07869045,0.1084052,0.1350294,-0.020376,-0.07443612,0.1265731,0.1482453,-0.001118149,-0.07816004,0.1278874,0.1498847,-0.01771767,-0.07888881,0.108333,0.1351792,-0.02038239,-0.07371703,0.1283412,0.1494025,-0.0004592386,-0.07699585,0.132742,0.1534569,-0.01128868,-0.07713669,0.1219816,0.1447653,-0.07483464,0.2948848,-0.1322518,0.9433728,38.74815,-0.225586,0.8889183,-0.3986678,2.151107,0.005369808,-0.0579706,0.1183515,0.1318958,0.310819,0.2333496,0.361512,0.8474955,64.1194,0.5855642,0.4396166,0.6810668,1.189879,True,True,False,-0.1058642,0.6873939,0.03825513,0.6965494,0.03612132,-0.1743265,-0.2782114,-0.9438771,321.4264,0.1093602,-0.5277875,-0.8423073,-0.01482952,0.6559089,0.1220324,0.6673293,-0.009057686,0.6679913,0.1576915,0.6864117,-0.03301693,0.6462461,0.1304835,0.6601137,0.02756041,-0.07740961,0.1074124,0.1352377,0.02572706,-0.06882486,0.146797,0.1641587,0.004073803,-0.07541522,0.1081535,0.1319137,0.02687679,-0.07746248,0.1075231,0.1352184,0.0257396,-0.068736,0.1469258,0.1642387,0.004093845,-0.07521023,0.1079069,0.131595,0.02028294,-0.07211357,0.1291092,0.149268,-0.6925883,0.1092693,0.7118123,-0.04129066,184.7329,-0.6931795,0.1093625,0.7124198,4.612236,0,0,0,0,0,0,0,0,0,1,0,0,0.4013885,False,True,False,-0.04501026,1.001918,0.2975716,1.046143,0.02593628,-0.006991812,-0.02117365,0.9994149,3.92029,0.7582801,-0.2044145,-0.6190386,0.09501027,-0.001918316,0.002428383,0.09506065,-0.3969265,-0.7176799,-0.4218443,0.3865647,134.5182,-0.4303836,-0.7781733,-0.4574017,-0.01055905,1.23107,-0.07583011,1.233449,-0.06088065,-0.05040995,0.02912442,-0.9964458,350.3357,-0.7227336,-0.5984325,0.3457452,False
1773058919943,0.0831301,0.01697471,0.9576641,0.1873994,0.975975,-0.2815413,-0.2157937,-0.4260966,0.8322316,67.3427,-0.5078046,-0.3892183,-0.7685331,-0.0655075,0.9985456,0.27557,1.037942,-0.06610775,1.013387,0.2853476,1.054868,-0.05927271,1.001594,0.2978428,1.04662,-0.01700532,-0.07846466,0.1085764,0.135036,-0.02038579,-0.07442116,0.1266624,0.1483154,-0.001176133,-0.07815082,0.1275529,0.149595,-0.01756826,-0.07880122,0.1083832,0.1351488,-0.02038309,-0.07386547,0.127979,0.149165,-0.0006075998,-0.07723697,0.1316339,0.1526218,-0.01135327,-0.07718722,0.1216018,0.1444776,-0.07065098,0.3027509,-0.1300798,0.9415039,39.38865,-0.2096456,0.8983652,-0.3859911,2.080187,0.005308792,-0.05801828,0.1179931,0.1315928,0.3188388,0.2381558,0.3603057,0.8436846,64.93748,0.5939185,0.4436258,0.6711611,1.086305,True,True,False,-0.1058051,0.6874726,0.03824019,0.6966172,0.03609962,-0.1743062,-0.2779108,-0.9439702,321.4587,0.1093826,-0.5281515,-0.8420755,-0.01475243,0.6559696,0.1219839,0.6673784,-0.009014264,0.6680054,0.1576689,0.6864197,-0.03295647,0.6462628,0.1305369,0.6601376,0.02763199,-0.07740482,0.107391,0.1352326,0.02573293,-0.06883725,0.1467811,0.1641506,0.004068858,-0.07545137,0.1082212,0.1319898,0.02703435,-0.07745059,0.1074958,0.1352213,0.02573823,-0.06875688,0.1468959,0.1642205,0.004088697,-0.07526004,0.1079719,0.1316766,0.02029913,-0.07215534,0.1290095,0.1492043,-0.6914494,0.1075765,0.7131205,-0.04224123,184.8419,-0.6920671,0.1076726,0.7137575,4.641206,0,0,0,0,0,0,0,0,0,1,0,0,0.3941119,False,True,False,-0.04364333,1.002999,0.2963311,1.046768,0.03238899,-0.008545937,-0.03283929,0.9988992,5.377361,0.6904594,-0.1821799,-0.7000589,0.09364332,-0.002999067,0.003668875,0.09376314,-0.4071926,-0.7097008,-0.4225219,0.3898644,134.1079,-0.4421813,-0.7706832,-0.4588279,-0.01116984,1.231124,-0.0758485,1.233508,-0.06125691,-0.04842044,0.02719235,-0.996576,350.5145,-0.7408714,-0.5856207,0.3288777,False
1773058919957,0.097197,0.01793243,0.9574997,0.18718,0.9757887,-0.2767392,-0.2136242,-0.4485017,0.8225731,69.31359,-0.4866518,-0.3756629,-0.7887001,-0.06395788,1.001134,0.2746029,1.04008,-0.06429709,1.015602,0.2845555,1.056671,-0.05819186,1.003078,0.2966034,1.047629,-0.01703604,-0.0781362,0.1088291,0.1350528,-0.02039251,-0.07441022,0.1267476,0.1483836,-0.001242701,-0.07813618,0.1271405,0.1492364,-0.01745478,-0.07866158,0.1084767,0.1351278,-0.02038506,-0.07398218,0.1277093,0.1489919,-0.0007413891,-0.07742798,0.1306561,0.1518771,-0.01142192,-0.07719442,0.1213087,0.1442402,-0.06583145,0.3110336,-0.1275129,0.9395025,40.06366,-0.192185,0.9080158,-0.3722548,2.015167,0.005244016,-0.05802509,0.1177163,0.1313452,0.3267153,0.242519,0.3593601,0.8398228,65.75719,0.60184,0.4467425,0.6619746,0.9726906,True,True,False,-0.1057448,0.6875534,0.03822637,0.6966871,0.03605659,-0.174282,-0.2775952,-0.9440693,321.4931,0.1093461,-0.528532,-0.8418425,-0.0146765,0.6560273,0.1219362,0.6674246,-0.008969486,0.6680159,0.1576487,0.6864246,-0.03289205,0.6462744,0.1306009,0.6601583,0.02770307,-0.07739797,0.1073705,0.135227,0.02574013,-0.06884789,0.146768,0.1641445,0.004062923,-0.07549062,0.1083013,0.1320777,0.02717627,-0.07743955,0.1074695,0.1352225,0.02573863,-0.06877597,0.1468691,0.1642046,0.004083293,-0.07530851,0.1080413,0.131761,0.02031617,-0.07219432,0.1289212,0.1491491,-0.690249,0.10599,0.7144643,-0.04316543,184.9479,-0.6908929,0.1060889,0.7151309,4.667414,0,0,0,0,0,0,0,0,0,1,0,0,0.3884725,False,True,False,-0.04240729,1.003783,0.2953972,1.047205,0.05154138,-0.01827625,-0.05788065,0.9968247,9.13432,0.6472799,-0.2295214,-0.7268913,0.09240729,-0.003782868,0.004602849,0.09259915,-0.4282846,-0.6872457,-0.4298946,0.3993199,132.9287,-0.4671457,-0.7496041,-0.4689018,-0.01172359,1.231204,-0.07583606,1.233593,-0.0614108,-0.04647611,0.02530913,-0.9967086,350.7002,-0.7575296,-0.5733035,0.3121994,False
1773058919971,0.1107881,0.02039744,0.9571964,0.1874469,0.9755908,-0.2478747,-0.2106796,-0.4890153,0.8093431,71.9364,-0.4220321,-0.3587037,-0.8325987,-0.06187937,1.002933,0.2736923,1.041446,-0.06270339,1.015322,0.2845954,1.056317,-0.05804532,1.001385,0.2956721,1.045736,-0.0177211,-0.07660431,0.1100434,0.1352472,-0.02037837,-0.07440606,0.1272055,0.1487709,-0.001250945,-0.07816351,0.1270036,0.1491342,-0.01750995,-0.07824187,0.1087971,0.1351488,-0.0203837,-0.07407045,0.1276022,0.1489438,-0.0008458561,-0.07757997,0.1298821,0.1512902,-0.01147741,-0.0770809,0.1212547,0.1441385,-0.0556912,0.3236343,-0.1231119,0.9364843,41.06144,-0.1587958,0.9227985,-0.3510366,1.940689,0.00519169,-0.05791795,0.1176653,0.13125,0.3386547,0.2469088,0.358458,0.8341805,66.93883,0.6140703,0.4477107,0.6499789,0.8190053,True,True,False,-0.1057574,0.6875868,0.03826129,0.6967239,0.03608818,-0.1743809,-0.2772558,-0.9441494,321.521,0.1095182,-0.5292007,-0.841399,-0.01465562,0.6560664,0.1219306,0.6674616,-0.008975103,0.6679906,0.1576473,0.6863998,-0.03288975,0.6462614,0.1306985,0.6601648,0.02778074,-0.07738122,0.1073571,0.1352227,0.02574557,-0.06887015,0.1467374,0.1641273,0.004057252,-0.07552294,0.1083702,0.1321525,0.02730107,-0.07742764,0.1074466,0.1352226,0.02574004,-0.0687952,0.1468422,0.1641888,0.00407798,-0.07535237,0.1081086,0.1318411,0.02033202,-0.07223016,0.1288416,0.1490998,-0.6891173,0.1045257,0.7157201,-0.04400596,185.0443,-0.6897855,0.1046271,0.7164141,4.689913,0,0,0,0,0,0,0,0,0,1,0,0,0.3848633,False,True,False,-0.04123557,1.004607,0.2945651,1.047714,0.06833753,-0.02700029,-0.07838223,0.9942119,12.33523,0.6360683,-0.2513119,-0.7295618,0.09123558,-0.004607439,0.00543496,0.09151337,-0.4453281,-0.6674398,-0.4366659,0.4068536,131.9853,-0.4875001,-0.7306455,-0.4780176,-0.01228731,1.231215,-0.07591103,1.233614,-0.06129985,-0.04459524,0.02369121,-0.9968412,350.8895,-0.7718363,-0.5615059,0.2982998,False
1773058919986,0.1246683,0.02280385,0.9568866,0.1877084,0.9753904,-0.2276683,-0.2082092,-0.5181863,0.7976835,74.18108,-0.3775116,-0.3452453,-0.8592385,-0.0594382,1.00453,0.273166,1.042705,-0.06073863,1.015472,0.2846856,1.05637,-0.05719315,1.000547,0.2948418,1.044652,-0.01828918,-0.07549705,0.1109016,0.1354011,-0.020358,-0.07440102,0.1276255,0.1491249,-0.001260606,-0.07820696,0.1268206,0.1490013,-0.01767377,-0.07767089,0.1092354,0.1351943,-0.02037837,-0.07414035,0.1276073,0.1489822,-0.0009323176,-0.07771165,0.1292225,0.1507926,-0.01153034,-0.07691099,0.1213195,0.1441065,-0.0419551,0.339025,-0.1176976,0.9324425,42.36236,-0.1161167,0.9383001,-0.3257449,1.866419,0.005141696,-0.05775753,0.1177265,0.1312322,0.3528307,0.2512923,0.3573259,0.8274543,68.32375,0.6283351,0.4475114,0.6363402,0.7522941,True,True,False,-0.1057737,0.6876191,0.03830019,0.6967604,0.03611742,-0.1745176,-0.2768219,-0.9442504,321.5561,0.1097033,-0.530081,-0.8408208,-0.01464024,0.6560935,0.1219266,0.6674871,-0.008980677,0.6679513,0.1576447,0.686361,-0.03289323,0.6462383,0.1308016,0.6601628,0.02785899,-0.07736152,0.1073455,0.1352183,0.02575181,-0.06889269,0.1467066,0.1641103,0.004051095,-0.07555486,0.108443,0.1322303,0.02741814,-0.07741391,0.1074256,0.1352218,0.02574248,-0.06881545,0.146814,0.1641725,0.004072403,-0.07539448,0.1081783,0.1319222,0.02034763,-0.07226509,0.1287653,0.1490529,-0.6879841,0.1030792,0.7169683,-0.04482254,185.138,-0.6886762,0.1031829,0.7176896,4.710481,0,0,0,0,0,0,0,0,0,1,0,0,0.381996,False,True,False,-0.04085088,1.001985,0.2945412,1.045178,0.112538,-0.05266555,-0.1076663,0.9863922,18.92585,0.684499,-0.320332,-0.6548673,0.09085087,-0.001984954,0.005458772,0.09103636,-0.4704834,-0.6228213,-0.4645533,0.4182455,130.5523,-0.517963,-0.6856743,-0.5114344,-0.0128628,1.231219,-0.07606882,1.233634,-0.0613001,-0.04305539,0.02239404,-0.9969388,351.0315,-0.7840405,-0.5506871,0.2864242,False
1773058920000,0.138513,0.02492217,0.9566021,0.1879394,0.9752076,-0.2128616,-0.2061449,-0.5402979,0.7875738,76.0813,-0.345431,-0.3345312,-0.8767933,-0.05705481,1.005964,0.2728533,1.043871,-0.05880489,1.015813,0.2847987,1.056619,-0.05616163,1.000119,0.2940442,1.043961,-0.01877278,-0.07462837,0.1115611,0.1355274,-0.02033124,-0.07439619,0.1279916,0.1494322,-0.001280488,-0.07828183,0.1265226,0.1487873,-0.01790386,-0.07703749,0.1097199,0.1352545,-0.0203686,-0.07419427,0.1276896,0.1490782,-0.001004747,-0.07783111,0.1286422,0.1503579,-0.01158339,-0.07672409,0.1214349,0.1441083,-0.02610001,0.3557708,-0.1119832,0.9274727,43.91156,-0.0698065,0.9515367,-0.2995077,1.799132,0.005091593,-0.05758112,0.1178355,0.1312506,0.3705151,0.2561697,0.3555886,0.8189339,70.04359,0.6456226,0.4463757,0.6196131,0.8363979,True,True,False,-0.1057936,0.6876501,0.03834286,0.6967964,0.03614083,-0.1746941,-0.2762953,-0.9443711,321.5982,0.10989,-0.5311758,-0.8401051,-0.01462965,0.6561082,0.1219231,0.6675007,-0.008985259,0.6678974,0.15764,0.6863075,-0.03290167,0.6462048,0.1309088,0.6601517,0.02793769,-0.07733891,0.1073354,0.1352136,0.02575891,-0.06891546,0.1466755,0.1640932,0.004044651,-0.07558613,0.1085195,0.1323106,0.0275269,-0.07739837,0.1074069,0.1352201,0.02574588,-0.06883617,0.1467853,0.164156,0.004066657,-0.07543426,0.1082492,0.1320029,0.02036281,-0.07229849,0.1286931,0.1490088,-0.6868672,0.101664,0.7181908,-0.04560765,185.2281,-0.6875826,0.1017698,0.7189388,4.72906,0,0,0,0,0,0,0,0,0,1,0,0,0.379855,False,True,False,-0.03981301,1.000534,0.29446,1.043725,0.1488799,-0.07331222,-0.1274912,0.9778579,24.15912,0.7114255,-0.3503239,-0.6092194,0.08981301,-0.0005344152,0.005540013,0.0899853,-0.4874203,-0.586346,-0.4880797,0.424733,129.7325,-0.5383964,-0.6476681,-0.5391248,-0.01347239,1.23115,-0.07624058,1.233582,-0.06115562,-0.04187199,0.02124213,-0.9970233,351.1562,-0.7931974,-0.5430859,0.2755135,False
