Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773059128842,0,1,1,135,0.3139143,0.2910399,-0.9037442,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.290019,0.2688858,-0.8349508,0.3826834,135,0.3139143,0.2910399,-0.9037443
Trial Start,1773059131945,0,1,1,135,0.3139143,0.2910399,-0.9037442,1,-0.05000792,0.9999583,0.3000616,1.045205,0.0007501235,-0.002004695,-0.001254921,0.999997,0.2825484,0.3042234,-0.813033,-0.5089512,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1000079,4.172325E-05,-6.15716E-05,0.100008,0.2917423,0.2699145,-0.8336849,0.3834086,134.91,0.3158824,0.2922485,-0.9026678
Grab,1773059132362,0.420205,1,1,135,0.3139143,0.2910399,-0.9037442,1,-0.05226406,0.9902995,0.3079754,1.038399,0.1872508,0.1141811,-0.05253738,0.974238,26.06717,0.8302993,0.5062967,-0.2329589,0.1265153,-0.08255468,0.008601918,0.1513122,0.6327752,0.7118859,-0.2811431,0.1173567,166.5209,0.6371782,0.7168394,-0.2830994,0.01382508,-0.4203999,-0.1490222,0.4462452,0.5247108,0.2176156,-0.8205945,0.06282189,172.7964,0.5257493,0.2180463,-0.8222187,0.1022641,0.009700537,-0.00797537,0.1030323,0.1296807,0.359372,-0.7761012,0.5016989,119.7751,0.1499125,0.4154386,-0.8971829
Release,1773059132500,0.5607459,1,1,135,0.3139143,0.2910399,-0.9037442,1,-0.04377855,0.9933068,0.3009625,1.038823,0.3291513,0.07558735,-0.05149404,0.9398374,39.95147,0.9634955,0.2212602,-0.1507339,0.1223326,-0.1028108,0.01040071,0.1601359,0.6441643,0.6959451,-0.3154795,0.03443139,176.0537,0.6445465,0.696358,-0.3156666,0.02295597,-0.4124757,-0.1573669,0.4420719,0.5021432,0.1343048,-0.8542728,-0.005692964,180.6524,0.5021514,0.134307,-0.8542866,0.09377855,0.006693244,-0.0009624958,0.09402203,0.09734421,0.4836738,-0.6984297,0.5184397,117.5447,0.1138377,0.5656249,-0.8167678
Grab,1773059133389,1.449044,1,1,135,0.3139143,0.2910399,-0.9037442,1,-0.04705181,0.988561,0.3050861,1.035637,0.3303008,-0.02237739,-0.181847,0.9259225,44.38427,0.8744742,-0.05924432,-0.4814413,0.1153862,-0.05498346,0.01734624,0.1289885,0.4539094,0.6033759,-0.5426003,0.3680881,136.8045,0.4881843,0.6489372,-0.5835723,0.0006508562,-0.4182294,-0.1613217,0.4482644,0.3752582,0.1390696,-0.9129326,-0.07996754,189.1734,0.3764639,0.1395165,-0.9158658,0.09705181,0.01143897,-0.005086064,0.09785587,0.2097145,0.4805768,-0.6082068,0.595945,106.8399,0.2611556,0.5984579,-0.7573944
Release,1773059134444,2.504221,1,1,135,0.3139143,0.2910399,-0.9037442,1,-0.04792416,1.003998,0.2841277,1.044527,0.1541881,-0.8696742,0.04740354,0.4665252,124.382,0.1743208,-0.9832295,0.05359312,0.1306346,-0.06568414,-0.002606725,0.1462416,0.5930758,0.3562718,-0.2992317,0.6571088,97.84052,0.7867858,0.4726371,-0.3969665,0.01456334,-0.412568,-0.1755194,0.4485884,-0.4664638,-0.1444719,-0.7877794,0.3754236,135.899,-0.5032769,-0.1558736,-0.8499506,0.09792417,-0.00399816,0.01587236,0.09928273,0.789685,0.6007394,-0.1139851,-0.05017373,185.7519,0.7906808,0.6014969,-0.1141289
Grab,1773059136571,4.630393,1,1,135,0.3139143,0.2910399,-0.9037442,1,-0.04599584,0.9903974,0.285983,1.031886,0.01448908,-0.903852,0.1591662,0.3968725,133.2344,0.01578548,-0.9847237,0.1734075,0.1292835,-0.06413729,0.02677562,0.1467813,-0.003865332,0.02043267,-0.4859735,0.8737263,58.21085,-0.007946522,0.0420064,-0.9990859,0.05666741,-0.3870355,-0.1528815,0.4199767,-0.5330445,-0.1467234,-0.659245,0.509639,118.7204,-0.6195394,-0.1705316,-0.7662179,0.09599584,0.009602606,0.01401702,0.09748789,0.8214303,0.5108615,-0.1262491,-0.2198503,205.4005,0.8420317,0.5236738,-0.1294154
Release,1773059137626,5.684871,1,1,135,0.3139143,0.2910399,-0.9037442,1,-0.03507097,1.000768,0.2599972,1.034585,-0.02626612,-0.2061053,-0.9654095,-0.1575288,198.127,-0.02659822,-0.2087112,-0.9776157,0.1399657,-0.04770331,0.0367264,0.1523641,-0.4857284,0.06913225,-0.5110046,0.7058067,90.21049,-0.6856652,0.09758867,-0.7213458,0.06614645,-0.3932077,-0.1374747,0.4217664,-0.5514848,0.2440085,-0.1579843,-0.7818985,282.8695,-0.8846323,0.391412,-0.2534213,0.08507097,-0.0007681847,0.04000276,0.09401,0.396038,-0.2654022,0.5536869,0.6827493,93.88229,0.542033,-0.3632398,0.7577975
Grab,1773059140223,8.282063,1,1,135,0.3139143,0.2910399,-0.9037442,1,-0.04110709,1.00156,0.2521434,1.033629,0.000497003,-0.05309496,-0.9925683,-0.1094942,192.5723,0.0005000093,-0.05341613,-0.9985722,0.1134621,-0.05237177,0.02853279,0.1281818,-0.6495756,0.4278503,-0.5832278,-0.2341821,207.0868,-0.6681551,0.4400879,-0.5999095,0.02194165,-0.3935167,-0.07633508,0.4014522,-0.3497538,0.3785984,-0.1644685,-0.8410028,294.4923,-0.6464584,0.6997724,-0.303991,0.09110709,-0.00156045,0.04785666,0.1029233,0.2792736,-0.2965716,0.4867939,0.7727117,78.80395,0.4399692,-0.4672205,0.7668979
Release,1773059140863,8.920921,1,1,135,0.3139143,0.2910399,-0.9037442,1,0.005782276,1.017479,0.2675241,1.052077,0.5601225,0.1509601,-0.8035553,0.1333149,164.6776,0.5651673,0.1523197,-0.8107926,0.109734,-0.071123,0.03041732,0.1342581,-0.3610011,0.4869031,-0.7183906,-0.3413478,219.918,-0.3840695,0.5180168,-0.7642967,0.01006012,-0.4127551,-0.1122997,0.4278776,0.07703236,-0.06428834,-0.3860494,-0.9170054,312.9843,0.1931242,-0.1611743,-0.9678463,0.04421772,-0.0174787,0.03247592,0.05757949,-0.08566532,0.212705,0.3030236,0.9249837,44.66823,-0.2254309,0.5597397,0.7974159
Grab,1773059141251,9.310716,1,1,135,0.3139143,0.2910399,-0.9037442,1,0.02615769,1.005727,0.2801116,1.044334,0.6500652,0.07311735,-0.6813578,0.3283606,141.6614,0.6882256,0.07740952,-0.7213552,0.1168939,-0.07036196,0.03470545,0.1407816,-0.1768261,0.4546065,-0.8490786,-0.202808,203.4024,-0.1805788,0.4642543,-0.8670982,-0.02737671,-0.4028384,-0.145843,0.4293,0.1337373,-0.151356,-0.5761384,-0.7920039,284.7464,0.2190562,-0.2479149,-0.9436911,0.02384231,-0.005727291,0.0198884,0.03157224,-0.0313803,0.4054765,0.1401672,0.9027499,50.95617,-0.07294931,0.9426051,0.3258447
Release,1773059142208,10.26805,1,1,135,0.3139143,0.2910399,-0.9037442,1,0.04496632,1.01934,0.3097194,1.066303,0.6153035,-0.06867332,-0.6303782,0.4683042,124.1515,0.6963856,-0.0777228,-0.7134468,0.1285486,-0.06935744,0.04304496,0.1522763,0.05576966,0.2271462,-0.9722548,-0.003905044,180.4475,0.05577008,0.2271479,-0.9722621,-0.06734008,-0.4361863,-0.1570105,0.4684501,0.06239834,-0.1392151,-0.7310548,-0.6650448,263.3715,0.0835539,-0.1864147,-0.9789119,0.005033683,-0.01934016,-0.009719402,0.02222265,0.1271893,0.483127,0.03558725,0.8655315,60.1131,0.2539446,0.9646056,0.07105308
