Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.3139143,0.2910399,-0.9037442,1,15.39224,False,-0.004740015,-0.0002151728,-0.0002675056,0.004752431,0.04698991,-0.04367218,0.03960945,0.9971539,8.647727,0.6232578,-0.5792526,0.525366,0.4097176,0.3791938,0.3419242,0,0,0,0.739221,523.5792,0,0,0.4593192,842.2789,0.3506112,637.0036,0,0,0.2449459,43.15771,7.443931,0
1,2,135,-0.5082536,0.6148672,-0.6030064,1,7.060923,False,-0.0009774789,-0.0003721714,-0.00353685,0.003688263,0.05444793,-0.02735011,-0.009588523,0.998096,7.072472,0.8827528,-0.4434216,-0.1554567,0.1433654,0.1153705,0.1445212,0,0,0,0.3991121,206.8712,0,0,0.2456001,342.3464,0.1419823,243.6411,0,0,0.1094534,25.55156,4.419164,0
1,3,135,0.8749749,0.1340619,-0.465238,1,14.39129,False,-0.004146077,0.0003999472,0.004996538,0.006505021,-0.06468127,0.0167585,0.02058202,0.9975531,8.018245,-0.9251348,0.2396965,0.2943842,0.1671551,0.1431741,0.1283076,0,0,0,0.3429853,192.1424,0,0,0.2487505,325.0898,0.1729718,301.0572,0,0,0.1139162,27.73812,5.541364,0
1,4,135,-0.1269244,0.3577483,-0.9251521,1,3.423384,False,-0.0006672926,-0.007017136,0.01315096,0.0149209,-0.07920781,-0.002364078,0.02031179,0.9966484,9.384542,-0.9682606,-0.02889922,0.2482976,0.07865343,0.07460439,0.06413202,0,0,0,0.2541679,114.2763,0,0,0.121799,186.7445,0.07919322,145.6385,0,0,0.05090631,13.84245,2.628108,0
1,5,135,0.3692086,0.66619,0.6479783,1,8.53132,False,0.001516227,0.0007303357,0.00410223,0.004434031,0.06608787,-0.02889273,0.006674478,0.9973731,8.307765,0.9123706,-0.3988761,0.09214395,0.1286095,0.1185545,0.1315127,0,0,0,0.4385152,209.1027,0,0,0.2707874,304.9686,0.1177078,220.7307,0,0,0.1282042,37.33649,6.513122,0
1,6,135,0.9838221,0.176205,0.03233945,1,19.71222,False,-0.006695688,-0.005298018,-0.0009837747,0.00859471,-0.02011415,-0.01135983,0.04225832,0.9988397,5.520764,-0.4176624,-0.2358825,0.8774774,0.3190139,0.3346717,0.3199198,0,0,0,0.8437354,527.2387,0,0,0.630978,854.8436,0.3040768,573.8938,0,0,0.2409601,58.94781,10.70581,0
1,7,135,0.7989857,-0.5648711,-0.2062584,1,7.380045,False,-0.002433646,0.0004863739,-0.0001246631,0.002484902,0.02922087,0.004314539,-0.009187642,0.9995215,3.545101,0.9446884,0.1394857,-0.2970294,0.1656261,0.1568047,0.1946573,0,0,0,0.4510537,219.3323,0,0,0.3063979,415.4346,0.1537593,309.2564,0,0,0.1485658,31.98532,4.917401,0
1,8,135,-0.6563599,-0.340837,0.673069,1,19.9488,False,0.002514854,0.002760172,0.0005920827,0.003780688,0.05059266,-0.03895327,0.00055672,-0.9979593,352.678,0.792331,-0.6100467,0.008718786,0.4387109,0.5312034,0.4631187,0.0313939,0.02209654,0.02134144,0.7649073,505.9472,0.08247329,42.08558,0.618506,1046.992,0.3416558,701.8252,0.0247305,60.03398,0.2880494,57.20827,9.153161,1.779314
1,9,135,-0.5365407,0.02696219,0.8434436,1,29.72836,False,-0.001152884,-0.003432631,-0.009040207,0.009738452,0.02244181,0.02228276,0.03515458,-0.9988813,354.5794,0.4745992,0.4712356,0.7434487,0.4251692,0.3995598,0.3644484,0.1100512,0.1175423,0.198136,0.6651244,434.6438,0.156809,110.4879,0.7484882,1134.803,0.3476505,647.0226,0.1174702,211.5152,0.4452993,100.4881,9.947926,4.027186
1,10,135,-0.3114394,-0.9025976,0.2971921,1,5.79317,False,-0.00687268,-0.0008645058,-0.003473103,0.007748777,-0.0170867,-0.02395128,-0.02924236,-0.9991393,355.2453,-0.4119172,-0.5774046,-0.7049592,0.1366993,0.1775633,0.1550028,0,0,0,0.2623106,245.8654,0,0,0.2312967,375.4237,0.1307354,247.3569,0,0,0.1267038,26.63852,4.231711,0
2,1,135,0.5458856,0.001165707,-0.8378589,1,7.879129,False,-0.001280896,-0.00612545,0.006820083,0.009256098,-0.003544526,-0.03973931,0.02104235,0.9989823,5.170409,-0.0785834,-0.8810349,0.4665165,0.1310767,0.1618968,0.1608662,0,0,0,0.3003263,201.0747,0,0,0.2437833,382.7935,0.1544883,292.4062,0,0,0.1375571,33.93413,4.345571,0
2,2,135,0.9687401,0.2140642,0.1253759,1,9.296776,False,0.001246497,-0.001606822,0.0002361536,0.002047291,0.02300558,-0.004765472,0.05243623,0.9983479,6.587803,0.4003919,-0.08293886,0.9126064,0.2745531,0.2586591,0.2798149,0,0,0,0.5411636,268.1667,0,0,0.4347232,585.7336,0.2270751,475.4178,0,0,0.2332319,50.6071,8.333551,0
2,3,135,-0.2394805,-0.6740721,-0.6987674,1,5.356632,False,0.0005961172,-5.400181E-05,0.004310369,0.00435173,-0.03014862,-0.01546623,0.0386547,0.9986781,5.892998,-0.5865074,-0.300878,0.7519838,0.1320467,0.1597966,0.1352896,0,0,0,0.2024651,232.8523,0,0,0.2106704,363.2755,0.1035264,226.9085,0,0,0.05626386,16.94254,3.5878,0
2,4,135,-0.2109306,0.2497685,-0.9450524,1,13.9337,False,-0.0007339269,0.0006195307,0.0009159148,0.001327165,0.0009594404,-0.07834561,-0.01319876,0.9968385,9.114571,0.01207516,-0.986029,-0.1661147,0.1920412,0.1937461,0.2172125,0,0,0,0.4587742,305.1272,0,0,0.3307702,548.931,0.2011865,401.4522,0,0,0.1757551,33.38415,6.250867,0
2,5,135,-0.4847426,-0.46487,0.7408917,1,10.05995,False,-0.0008688048,-0.002543449,0.006136119,0.006698949,0.0463444,-0.02659451,-0.007757965,0.9985414,6.190192,0.8583379,-0.4925531,-0.1436841,0.2808261,0.2638634,0.3217172,0,0,0,0.6195766,338.5683,0,0,0.4319339,741.1912,0.2496741,609.8123,0,0,0.1662875,38.6414,6.981704,0
2,6,135,0.262099,-0.737554,0.622349,1,7.531393,False,-0.003467683,-0.001341224,0.00052917,0.003755493,-0.007022807,0.06296138,-0.01529592,0.9978741,7.473395,-0.1077591,0.9660895,-0.2347031,0.2053907,0.2348498,0.2504407,0,0,0,0.610912,240.6524,0,0,0.340957,449.5808,0.1857876,392.0204,0,0,0.1864919,33.90517,5.580219,0
2,7,135,-0.1862669,-0.9803274,-0.06528962,1,14.35249,False,-0.000791721,-0.002326846,0.00777176,0.008151153,0.07639714,-0.02900469,-0.01223849,0.9965804,9.479332,0.9245856,-0.3510251,-0.1481145,0.3225258,0.3313602,0.353168,0,0,0,0.5789597,358.8627,0,0,0.4377529,710.2687,0.2898244,566.5024,0,0,0.239371,42.45294,9.638026,0
2,8,135,0.9381567,0.284398,-0.1974331,1,5.975181,False,0.004768118,-0.003771663,0.004810125,0.00775227,-0.04178085,0.0006300149,0.04484848,0.9981196,7.028484,-0.6816154,0.0102781,0.731661,0.134568,0.1242328,0.1456066,0,0,0,0.425138,138.2294,0,0,0.2507937,286.0863,0.1258384,236.0117,0,0,0.2647802,60.05236,3.455525,0
2,9,135,-0.7376426,0.6741641,0.03723323,1,10.72519,False,-0.002353128,-0.002774,0.0004735589,0.003668317,-0.03437261,0.01016588,-0.001190587,-0.9993567,355.8896,-0.9584665,0.2834715,-0.03319905,0.3108423,0.33305,0.3312342,0,0,0,0.9151527,577.8549,0,0,0.5456108,923.6185,0.2783088,626.8627,0,0,0.2441545,58.81792,5.872483,0
2,10,135,0.6433389,0.6433737,0.4149522,1,12.57207,False,0.0009724349,-0.005865455,0.006093681,0.008513644,-0.05487797,-0.05313685,-0.004555568,0.9970679,8.777571,-0.7171343,-0.6943817,-0.05953125,0.2535403,0.2787542,0.3137128,0,0,0,0.8372946,427.3627,0,0,0.6694766,801.9065,0.2912985,597.2566,0,0,0.7125223,167.5317,9.348818,0
3,1,135,0.3131298,0.6327101,-0.7082567,1,8.58828,False,-0.00178862,0.001170456,0.003095567,0.00376187,-0.01309488,-0.00894297,0.02820833,0.9994764,3.708916,-0.4046577,-0.2763555,0.8716933,0.2105542,0.2342727,0.2447583,0,0,0,0.5277655,307.3692,0,0,0.2958238,570.8705,0.2231917,450.8008,0,0,0.1051735,20.46187,5.417897,0
3,2,135,-0.1507469,0.4532473,-0.8785455,1,3.207961,False,-0.002735373,0.0008256435,0.0009765923,0.00301955,0.07077357,0.04606953,-0.01809285,0.9962637,9.908807,0.8194894,0.5334405,-0.2094977,0.110614,0.1024035,0.1113158,0,0,0,0.3234881,177.38,0,0,0.225043,321.6409,0.1180684,250.886,0,0,0.08921744,20.82427,3.036536,0
3,3,135,-0.3823072,-0.8441863,0.3757536,1,19.07227,False,-0.002986047,-0.0002605915,-0.005193442,0.005996351,0.02459859,-0.03327138,0.006953323,-0.9991195,355.1908,0.5862952,-0.7930068,0.165729,0.4774581,0.5209742,0.6110059,0,0,0,1.272857,639.3483,0,0,0.9076732,1208.55,0.5057078,994.8242,0,0,0.6025162,123.5347,12.94142,0
