Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773059356120,0.013495,0.1278614,0.912374,0.2785673,0.9624836,-0.527877,-0.6535477,0.4995036,0.2114649,155.5836,-0.5400908,-0.6686693,0.511061,-0.1072672,0.6466724,0.1244749,0.6672221,-0.3673741,-0.2053178,0.9054261,0.0555362,173.6327,-0.367942,-0.2056351,0.9068257,0.03478565,1.000525,0.3127346,1.048838,0.03307952,1.019728,0.3125753,1.067072,0.04260355,1.02895,0.3211457,1.078744,-0.0005886425,0.5685642,0.1479982,0.5875109,0.04337145,0.5822528,0.194877,0.6155294,0.01047226,0.5555899,0.2083564,0.5934663,0.1037503,-0.07945824,0.02287518,0.1326688,0.1217,-0.08121689,0.01606138,0.1471905,0.1244963,-0.08468582,0.0009168461,0.1505718,-0.111976,0.06669996,-0.032358,0.1342928,-0.1704748,0.03711815,-0.03686379,0.1783209,-0.1620226,0.05415244,0.003302814,0.1708646,0.103721,-0.07918236,0.02287059,0.13248,0.1214749,-0.08096191,0.01604357,0.1468618,0.1242808,-0.08465381,0.0008681121,0.1503753,-0.1119682,0.06663994,-0.0328064,0.1343652,-0.1705041,0.03705782,-0.03686084,0.1783358,-0.1616729,0.05436561,0.003245782,0.1705998,0.1138588,-0.08156925,0.01330691,0.1406927,-0.03939295,0.9262241,-0.1117245,0.3578755,138.0604,-0.04218703,0.9919196,-0.1196489,-0.1412358,0.05512195,-0.02477024,0.1536214,-0.02504674,-0.4598886,0.2593497,0.8488893,63.81787,-0.04738578,-0.8700606,0.4906623,-0.05010747,0.999931,0.3001001,1.045195,-0.0002925028,-0.005106297,-0.003836513,0.9999796,0.7316805,-0.04581018,-0.79972,-0.6008536,0.1011562,-0.05883997,0.01291274,0.1177347,0.253934,-0.3563957,-0.5533981,0.7086961,89.74214,0.3599277,-0.5051576,-0.7843902,-0.1396693,-0.3866412,-0.1150819,0.426899,-0.3834372,-0.3875528,-0.5672106,0.6172931,103.7625,-0.487379,-0.4926102,-0.7209695,0.1001075,6.902218E-05,-0.0001000762,0.1001076,-0.1751395,-0.9030894,-0.05946416,0.3875821,134.3917,-0.18999,-0.9796645,-0.06450627,-0.05109367,1.107479,0.02339324,1.108904,0.01321263,-0.1206176,0.0386999,-0.9918564,345.3657,0.1037414,-0.9470516,0.3038595,False,False,False,False
1773059356134,0.0283531,-0.04918195,0.8893654,0.2171007,0.9168001,-0.7358252,-0.5226262,0.09359476,0.4203131,130.2913,-0.8109348,-0.5759733,0.1031485,-0.08550473,0.6439614,0.09153888,0.6560311,-0.3125363,-0.08456836,0.9339418,0.1513994,162.5839,-0.316181,-0.08555458,0.9448333,-0.08455313,1.009115,0.2690578,1.047785,-0.03210878,1.03753,0.2862413,1.07677,-0.01998298,1.019442,0.3042098,1.064051,0.002077211,0.5478057,0.1166308,0.5600876,0.0442493,0.5452528,0.1535061,0.5681749,0.01132294,0.5298175,0.1653089,0.5551232,0.1017644,-0.07366556,0.050079,0.1352424,0.1539137,-0.05261849,0.02380019,0.1643916,0.1492874,-0.05530268,-0.003920913,0.1592498,-0.1127382,0.06389586,-0.02745095,0.1324618,-0.166178,0.04728365,-0.02384449,0.1744117,-0.1529626,0.06638014,0.006526154,0.1668726,0.1035681,-0.07875115,0.02499731,0.1324876,0.1240104,-0.07874648,0.01664986,0.1478405,0.1262354,-0.08235961,0.000493783,0.1507273,-0.1120284,0.06642546,-0.0323878,0.1342076,-0.170166,0.03785711,-0.03584343,0.1779729,-0.1609921,0.05530471,0.003502189,0.1702626,0.1143674,-0.08010995,0.01484369,0.1404202,-0.08573002,0.9260466,-0.09099606,0.3561009,138.2782,-0.09174407,0.9910098,-0.09737954,-0.1410174,0.0554738,-0.02423568,0.1534621,-0.031892,-0.4563209,0.2569295,0.8513175,63.28949,-0.06078709,-0.8697609,0.4897151,-0.05102563,0.9996437,0.30058,1.045103,-0.001819913,-0.02512495,-0.01843977,0.9995126,3.577852,-0.05829775,-0.8048339,-0.590686,0.1183661,-0.07119897,0.005888878,0.1382552,0.7332043,0.5233197,-0.09880986,0.4228294,129.9733,0.8090894,0.5774821,-0.1090365,-0.02378887,-0.3953804,0.1207204,0.4140833,0.3073922,0.08526578,-0.9360748,0.1483365,162.9389,0.310831,0.08621964,-0.9465466,0.1010256,0.000356257,-0.0005800128,0.1010279,-0.1864933,-0.8925847,-0.05590915,0.4066781,132.0074,-0.2041365,-0.9770277,-0.06119844,-0.05181624,1.107559,0.02403623,1.109031,0.01333395,-0.1151741,0.0390292,-0.9924887,345.9461,0.1089946,-0.9414577,0.3190331,False,False,False,False
1773059356149,0.0474338,-0.04879452,0.8897517,0.2186672,0.9175262,-0.7354725,-0.5248602,0.089154,0.4191105,130.4431,-0.8100495,-0.5780811,0.09819423,-0.08560605,0.6446722,0.09191479,0.6567944,-0.3126352,-0.0852574,0.9338846,0.1511614,162.6115,-0.3162694,-0.08624849,0.9447408,-0.08332752,1.010088,0.2700908,1.04889,-0.03443915,1.035985,0.2893196,1.076177,-0.02267239,1.018095,0.3068163,1.063563,0.002047633,0.5484731,0.1168048,0.5607765,0.04440513,0.5461921,0.1539823,0.5692172,0.01187517,0.5305188,0.1662957,0.5560985,0.1028199,-0.07235613,0.05010509,0.1353435,0.1518623,-0.05445072,0.02355899,0.1630401,0.1472129,-0.05692102,-0.003587708,0.157875,-0.1126944,0.06401326,-0.02755387,0.1325026,-0.1663525,0.04702182,-0.02386233,0.1745096,-0.1538015,0.06607656,0.00671314,0.1675294,0.1035042,-0.07820511,0.02714114,0.132536,0.1263886,-0.07667198,0.01723979,0.1488283,0.1280266,-0.08018754,0.000145285,0.1510658,-0.1120853,0.06621949,-0.03197505,0.1340542,-0.1698404,0.03863964,-0.03482042,0.1776267,-0.1603781,0.05622447,0.003776356,0.16999,0.1148612,-0.07873841,0.01637788,0.140218,-0.1123805,0.9257034,-0.07227548,0.3538644,138.5523,-0.1201549,0.9897431,-0.07727546,-0.1408004,0.05583043,-0.02369146,0.1533072,-0.03897915,-0.4527833,0.2546842,0.853583,62.79292,-0.0748222,-0.8691376,0.4888777,-0.05195637,0.9993339,0.3010784,1.044996,-0.003157031,-0.04726842,-0.03453469,0.9982801,6.721721,-0.05385197,-0.8062945,-0.5890853,0.1173824,-0.07046048,0.006902836,0.1370801,0.722433,0.5277984,-0.1143624,0.4317878,128.8379,0.8009455,0.5851584,-0.126791,-0.02356388,-0.3944592,0.1207824,0.4132091,0.2871717,0.08888242,-0.9439166,0.1365782,164.3002,0.2898882,0.08972321,-0.9528455,0.1019564,0.0006661415,-0.001078367,0.1019643,-0.1990111,-0.8803054,-0.05227515,0.4274628,129.3867,-0.220137,-0.9737536,-0.05782438,-0.0526562,1.107779,0.02469813,1.109304,0.01284454,-0.1098116,0.03911244,-0.9930995,346.5303,0.1095252,-0.9363625,0.3335114,False,False,False,False
1773059356161,0.06147061,-0.04883399,0.889475,0.2202931,0.9176489,-0.735221,-0.5266047,0.08562968,0.4180971,130.571,-0.8093562,-0.5797042,0.09426405,-0.0856153,0.6453328,0.09238084,0.6575094,-0.312703,-0.08587803,0.9338293,0.1510114,162.6289,-0.3163307,-0.08687431,0.9446629,-0.08209119,1.009383,0.273446,1.048983,-0.03689957,1.034066,0.2923366,1.075228,-0.02436674,1.017022,0.3092031,1.063266,0.002103221,0.5491132,0.1170727,0.5614585,0.04447297,0.5469013,0.1544315,0.5700245,0.01213978,0.5311409,0.1669635,0.5568975,0.1038242,-0.0723255,0.04794542,0.1353115,0.1501088,-0.05624871,0.02329481,0.1619852,0.146392,-0.05769964,-0.003465667,0.1573909,-0.1126486,0.06409088,-0.02766053,0.1325234,-0.1663918,0.04697469,-0.0238569,0.1745337,-0.154142,0.06597286,0.006800689,0.1678047,0.1035385,-0.07757568,0.0293683,0.1326676,0.1289279,-0.0744856,0.017888,0.1499683,0.1299926,-0.07778013,-0.0002412791,0.1514856,-0.1121456,0.06599162,-0.03151317,0.1338828,-0.1694712,0.03953193,-0.03364674,0.1772438,-0.1597105,0.05726806,0.004100121,0.1697171,0.1154958,-0.07728644,0.01795173,0.140124,-0.1285619,0.9253805,-0.05179479,0.3527891,138.684,-0.1373961,0.9889682,-0.05535388,-0.1405472,0.05624623,-0.02306564,0.1531312,-0.04732594,-0.4486248,0.252199,0.856091,62.23906,-0.0915705,-0.8680396,0.4879774,-0.05223395,0.9992143,0.3012498,1.044945,-0.003540343,-0.05739164,-0.04218552,0.9974538,8.179096,-0.04964346,-0.8047581,-0.5915346,0.116991,-0.06966633,0.008042993,0.1364001,0.7104028,0.5315971,-0.1330115,0.4416337,127.5837,0.7918039,0.5925099,-0.1482525,-0.02315763,-0.3935024,0.120929,0.4123157,0.264582,0.09233949,-0.9519482,0.1235487,165.8061,0.2666247,0.09305241,-0.9592979,0.1022339,0.0007857084,-0.00124976,0.1022446,-0.2050409,-0.8743895,-0.05069239,0.4368427,128.1948,-0.2279403,-0.9720429,-0.0563538,-0.05336165,1.107722,0.0251756,1.109292,0.01285401,-0.1043934,0.03948376,-0.993669,347.0987,0.1144128,-0.9291991,0.3514426,False,False,False,False
1773059356175,0.0754204,-0.04881087,0.8893374,0.2210507,0.9176965,-0.7350215,-0.5281724,0.08240807,0.4171164,130.6947,-0.8087353,-0.5811418,0.0906726,-0.08561026,0.645716,0.09267275,0.6579258,-0.312751,-0.08652872,0.9337672,0.1509246,162.639,-0.316375,-0.08753138,0.9445873,-0.08186532,1.008658,0.275532,1.048814,-0.038473,1.032901,0.2939722,1.074609,-0.0256603,1.016277,0.3105827,1.062986,0.002203521,0.5494957,0.1172269,0.5618652,0.04447772,0.547254,0.1546321,0.5704176,0.01231541,0.5314658,0.1673241,0.5573195,0.1040896,-0.07276925,0.0465631,0.1352706,0.1490637,-0.05725452,0.02316888,0.1613532,0.1458104,-0.05825408,-0.003379837,0.1570529,-0.1126629,0.06411199,-0.02773504,0.1325613,-0.1663648,0.04701509,-0.02385214,0.1745182,-0.1543456,0.06592284,0.006852956,0.1679743,0.1035831,-0.07718612,0.0307619,0.132791,0.1305599,-0.07308906,0.018316,0.1507427,0.1312746,-0.07619759,-0.0004956522,0.1517872,-0.1121875,0.06583928,-0.03120696,0.1337711,-0.1692194,0.04013842,-0.03285291,0.1769904,-0.1592757,0.05796951,0.004323232,0.1695521,0.1159376,-0.07637717,0.01893017,0.140119,-0.1352971,0.9251199,-0.03878025,0.3526243,138.7042,-0.1445845,0.9886243,-0.0414423,-0.1403739,0.05653179,-0.02264089,0.153014,-0.05309986,-0.4457192,0.2505309,0.8577582,61.86842,-0.1032964,-0.8670678,0.4873635,-0.05332183,0.9988021,0.3018849,1.044789,-0.003427383,-0.08598962,-0.06201923,0.9943579,12.17841,-0.0323104,-0.8106357,-0.5846636,0.1170211,-0.0689192,0.008529538,0.1360755,0.7046625,0.5341876,-0.1401087,0.4454928,127.0902,0.7870814,0.5966674,-0.1564961,-0.02293435,-0.393097,0.1205324,0.4118001,0.2541796,0.09414601,-0.9553995,0.1172222,166.5364,0.2559442,0.09479959,-0.962032,0.1033218,0.001197934,-0.001884878,0.103346,-0.2207899,-0.8572217,-0.04793929,0.4627362,124.8724,-0.2490591,-0.9669774,-0.05407728,-0.05392271,1.107799,0.0257387,1.109409,0.01240939,-0.099154,0.03944365,-0.9942126,347.6656,0.1155112,-0.9229621,0.3671561,False,False,False,False
1773059356188,0.0899606,-0.04883415,0.8889134,0.2231635,0.9177983,-0.7348692,-0.5297754,0.07903059,0.4160041,130.8349,-0.8081146,-0.5825788,0.08690766,-0.08559087,0.6468225,0.09351908,0.659129,-0.3127797,-0.08732373,0.9336861,0.1509095,162.6407,-0.3164033,-0.08833539,0.944503,-0.08115142,1.007123,0.280213,1.048523,-0.04084915,1.03067,0.2971392,1.073425,-0.0275788,1.014958,0.313303,1.062572,0.002230656,0.5505716,0.1179581,0.5630704,0.04478547,0.548573,0.1555714,0.571962,0.01283058,0.532532,0.1685804,0.5587257,0.1045606,-0.0736376,0.0437842,0.1351757,0.1471147,-0.05885285,0.02290794,0.1600974,0.1447503,-0.05917478,-0.00314109,0.1564103,-0.11265,0.06415559,-0.0277157,0.1325674,-0.1665903,0.04668093,-0.02387517,0.1746467,-0.1549953,0.06565671,0.006997777,0.1684735,0.1036619,-0.07690016,0.03181132,0.1329338,0.1318939,-0.07194182,0.01868605,0.1513962,0.1323606,-0.07482579,-0.0007088371,0.1520484,-0.1122248,0.06570359,-0.03092561,0.1336703,-0.1690076,0.04066566,-0.03212944,0.1767754,-0.1589308,0.05858899,0.004538762,0.1694469,0.1163595,-0.07563695,0.01965641,0.1401673,-0.1388711,0.9247597,-0.02721968,0.3532613,138.6262,-0.1484419,0.988493,-0.02909563,-0.1402221,0.05678646,-0.02224847,0.1529115,-0.05845893,-0.4431882,0.249194,0.8591094,61.56652,-0.114224,-0.865954,0.486905,-0.05368717,0.9986746,0.3021311,1.044757,-0.002011718,-0.1008865,-0.06776544,0.9925854,13.96303,-0.01655065,-0.8300052,-0.5575146,0.1164306,-0.06809368,0.009994331,0.1352506,0.6896452,0.5368612,-0.1657603,0.4568294,125.6346,0.7752704,0.6035171,-0.1863409,-0.02227863,-0.3915583,0.1205527,0.4103013,0.2247947,0.09645285,-0.9643739,0.1007325,168.4373,0.225944,0.09694597,-0.9693044,0.1036872,0.001325428,-0.002131045,0.1037175,-0.2253324,-0.8488413,-0.04947914,0.475653,123.1963,-0.2561663,-0.9649947,-0.05624975,-0.05448711,1.107648,0.02616293,1.109295,0.01273781,-0.09477597,0.03972656,-0.9946241,348.1125,0.1230092,-0.9152535,0.3836402,False,False,False,False
1773059356202,0.1013857,-0.04857451,0.8886428,0.2238249,0.9176836,-0.7350451,-0.5305161,0.07724369,0.4150841,130.9508,-0.8079345,-0.5831238,0.08490341,-0.08556066,0.6471558,0.09371117,0.6594794,-0.3127789,-0.08784626,0.9336278,0.1509684,162.6339,-0.3164054,-0.08886478,0.9444526,-0.08072441,1.006471,0.2817174,1.048268,-0.04205031,1.029436,0.2984051,1.072638,-0.02824744,1.014452,0.3144258,1.062438,0.002287556,0.5508736,0.1180341,0.5633818,0.04489277,0.548932,0.1557371,0.5723598,0.01290142,0.5327709,0.1687183,0.5589966,0.1047046,-0.07398468,0.0428009,0.1351617,0.1459852,-0.05997783,0.02276947,0.15946,0.1444435,-0.05980077,-0.003101178,0.1563639,-0.1126483,0.06418398,-0.02774787,0.1325865,-0.1666493,0.04659301,-0.02388177,0.1746804,-0.1550567,0.06567298,0.007016537,0.1685371,0.1037492,-0.0766561,0.03273126,0.1330841,0.1330735,-0.0709403,0.01902788,0.1519972,0.1333721,-0.07356803,-0.0009091024,0.1523194,-0.1122602,0.06557638,-0.0306596,0.1335763,-0.1688101,0.04116184,-0.03143902,0.1765774,-0.1586065,0.059182,0.00474618,0.1693548,0.1167673,-0.07498315,0.02027587,0.1402433,-0.14049,0.9244593,-0.01663371,0.3540636,138.5279,-0.1502211,0.9884925,-0.01778586,-0.1400789,0.05702904,-0.02187509,0.1528167,-0.06369709,-0.4407012,0.2480022,0.8603604,61.28585,-0.1249732,-0.8646523,0.4865782,-0.05399077,0.9985854,0.3024001,1.044765,-0.00151987,-0.1122182,-0.07368933,0.9909464,15.43148,-0.01132048,-0.8358366,-0.5488616,0.1162919,-0.06804032,0.01056863,0.135148,0.6850165,0.5346723,-0.1778882,0.4617726,124.9969,0.772286,0.6027883,-0.2005507,-0.02197232,-0.391174,0.1204998,0.4099026,0.2100127,0.09503804,-0.9683142,0.09607304,168.9738,0.2109887,0.0954797,-0.9728141,0.1039908,0.001414597,-0.00240007,0.1040281,-0.2299203,-0.8419712,-0.04950882,0.4855616,121.9015,-0.2630058,-0.9631307,-0.05663313,-0.05494288,1.107796,0.02666344,1.109478,0.012327,-0.09117332,0.03951946,-0.9949743,348.5066,0.1231087,-0.9105405,0.3946776,False,False,False,False
1773059356217,0.1157446,-0.04820649,0.8881399,0.2247007,0.9173912,-0.7355441,-0.5309237,0.075895,0.4139263,131.0966,-0.8080146,-0.5832337,0.08337266,-0.08551265,0.6475006,0.09381981,0.659827,-0.3127591,-0.08835521,0.9335663,0.1510922,162.6196,-0.3163914,-0.08938134,0.9444085,-0.08116832,1.005876,0.2826398,1.047979,-0.04325181,1.0278,0.2997162,1.071481,-0.02864532,1.013994,0.3158189,1.062425,0.002311011,0.5511483,0.1180385,0.5636514,0.04492417,0.5492035,0.1557503,0.5726262,0.01297123,0.5330051,0.1687589,0.5592337,0.1043512,-0.07463974,0.04295413,0.1352971,0.1445544,-0.0612336,0.02261021,0.1586088,0.1443879,-0.06055433,-0.003133632,0.156603,-0.1126356,0.06424238,-0.02773915,0.1326021,-0.1666379,0.04661605,-0.02387918,0.1746753,-0.1551093,0.06569469,0.007035193,0.1685947,0.1037895,-0.07652105,0.03341597,0.133208,0.1338425,-0.07029016,0.01926781,0.1524,0.1341099,-0.0726964,-0.001058097,0.1525495,-0.1122854,0.06548703,-0.030464,0.1335088,-0.1686646,0.04152716,-0.03093267,0.1764344,-0.1583722,0.0596182,0.004899493,0.1692929,0.1170383,-0.07456143,0.02071866,0.1403091,-0.1410034,0.9242671,-0.009190967,0.3546323,138.4582,-0.1508048,0.9885147,-0.00982985,-0.1399726,0.0572101,-0.02160054,0.1527478,-0.06758402,-0.4388558,0.247154,0.8612508,61.08538,-0.1329922,-0.8635831,0.486351,-0.05498512,0.9984151,0.3034011,1.044944,-0.01366623,-0.1281212,-0.08444569,0.9880623,17.72395,-0.08871028,-0.8316609,-0.5481541,0.1162204,-0.06806333,0.01136111,0.1351624,0.6806154,0.5339839,-0.1874443,0.4652833,124.5429,0.7689164,0.6032613,-0.2117627,-0.02170203,-0.3908466,0.1205311,0.4095849,0.1984239,0.0950659,-0.971211,0.09132079,169.5208,0.1992566,0.09546481,-0.9752863,0.1049851,0.001584888,-0.003401101,0.1050522,-0.2335586,-0.8321549,-0.03695429,0.5016005,119.7881,-0.2699789,-0.9619184,-0.04271682,-0.05540188,1.107776,0.02706181,1.109491,0.01215285,-0.08732237,0.03881218,-0.9953496,348.9444,0.1261604,-0.9065055,0.4029146,True,True,False,False
1773059356230,0.1302006,-0.04769271,0.8872225,0.2256511,0.9167097,-0.7366027,-0.5308949,0.07488734,0.4122606,131.3062,-0.8085065,-0.5827184,0.08219749,-0.08552595,0.6479785,0.09401985,0.6603261,-0.3127571,-0.088825,0.9334957,0.1512574,162.6004,-0.3163975,-0.08985889,0.9443612,-0.08280614,1.004578,0.2838146,1.047179,-0.04375503,1.026128,0.300702,1.070175,-0.02845348,1.013938,0.3175679,1.062887,0.002122712,0.551439,0.1181476,0.5639578,0.04506066,0.5497667,0.1559948,0.5732436,0.01300303,0.5334007,0.1689338,0.5596642,0.1031493,-0.07655606,0.0434477,0.1356035,0.1434636,-0.06210105,0.02246241,0.1579332,0.1452036,-0.06148785,-0.003301546,0.1577205,-0.1125575,0.06443287,-0.02763199,0.1326059,-0.1667783,0.04640527,-0.02389307,0.1747551,-0.1551978,0.06566592,0.00705648,0.1686658,0.1037365,-0.07652395,0.03424613,0.1333791,0.1346387,-0.06961248,0.01953218,0.1528234,0.1350279,-0.07176886,-0.00124375,0.1529211,-0.1123079,0.0653998,-0.03022964,0.1334317,-0.1685085,0.04193084,-0.03035012,0.1762795,-0.1581095,0.06011868,0.005077992,0.1692296,0.1172814,-0.07420784,0.02125004,0.1404041,-0.1435245,0.9233426,-0.001210197,0.3561428,138.273,-0.1535955,0.988133,-0.001295115,-0.1398513,0.0574191,-0.02128405,0.1526707,-0.07207904,-0.436811,0.2463625,0.8621522,60.88181,-0.1422661,-0.8621563,0.4862584,-0.05523134,0.9984802,0.3035664,1.045067,-0.02010877,-0.1328416,-0.08373363,0.9873893,18.21777,-0.1270205,-0.8391168,-0.5289178,0.1161876,-0.06937371,0.0122381,0.1358751,0.6677489,0.5349643,-0.1959261,0.4791008,122.7466,0.7607421,0.6094655,-0.2232115,-0.02137044,-0.3903325,0.1215025,0.4093642,0.1798549,0.1075537,-0.9739819,0.0862766,170.1011,0.1805281,0.1079563,-0.9776273,0.1052313,0.001519799,-0.003566384,0.1053027,-0.2300477,-0.8302501,-0.03216347,0.5066839,119.1136,-0.2668357,-0.9630195,-0.03730689,-0.05600545,1.107821,0.02754917,1.109578,0.01154735,-0.08356364,0.03885106,-0.9956779,349.3421,0.1243336,-0.8997535,0.4183204,False,False,False,False
1773059356244,0.1433275,-0.04755219,0.8869846,0.2258065,0.9165105,-0.7377883,-0.5305771,0.07434047,0.4106458,131.5092,-0.8091603,-0.5819039,0.081532,-0.0855645,0.6480698,0.09410174,0.6604323,-0.3127683,-0.08914798,0.9334366,0.1514086,162.5829,-0.3164161,-0.09018774,0.9443235,-0.083083,1.004138,0.2841764,1.046877,-0.04389345,1.025801,0.3006024,1.06984,-0.02865927,1.014114,0.3179233,1.063167,0.002071504,0.5514461,0.1180898,0.5639524,0.04502815,0.5498197,0.1560441,0.5733053,0.01298179,0.5334208,0.1689966,0.5597018,0.102772,-0.07730331,0.04308754,0.135626,0.1431028,-0.06242344,0.02242458,0.1577275,0.1453753,-0.06212296,-0.003332682,0.1581276,-0.1125312,0.06450929,-0.02769328,0.1326334,-0.1668012,0.04637727,-0.02389329,0.1747695,-0.155257,0.0656524,0.007072223,0.1687157,0.1036562,-0.07658885,0.03498233,0.1335449,0.1353435,-0.06901387,0.01977302,0.1532049,0.1358895,-0.07096568,-0.001417689,0.1533105,-0.1123265,0.06532565,-0.03001844,0.1333634,-0.1683664,0.04230107,-0.02981248,0.1761403,-0.157872,0.06057945,0.005244045,0.1691773,0.1174886,-0.0739411,0.02172016,0.1405085,-0.146739,0.9221266,0.005335956,0.3579411,138.0524,-0.1571512,0.9875581,0.005714581,-0.1397374,0.05761483,-0.02099421,0.1526,-0.07624091,-0.4348872,0.2457016,0.8629549,60.70001,-0.1508882,-0.8606841,0.4862672,-0.05541602,0.9986302,0.3036175,1.045235,-0.02608589,-0.1393685,-0.0795311,0.986697,18.71224,-0.1604591,-0.8572811,-0.4892104,0.116182,-0.06991312,0.01227754,0.1361501,0.665924,0.5326079,-0.1951276,0.4845611,122.0326,0.761267,0.6088634,-0.2230647,-0.02107129,-0.3903566,0.1214934,0.4093689,0.1743155,0.1128699,-0.9740993,0.08947118,169.7336,0.1750174,0.1133244,-0.9780216,0.105416,0.001369774,-0.003617465,0.105487,-0.2234412,-0.828209,-0.02943965,0.5131055,118.2582,-0.2603222,-0.9649125,-0.03429893,-0.05658579,1.107856,0.02803435,1.109654,0.01121199,-0.0793756,0.03880778,-0.996026,349.7806,0.1258881,-0.8912283,0.4357333,False,False,False,False
