Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772977839022,0,1,1,135,0.3857762,0.7082403,0.5912464,0.9999999,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.3564107,0.6543288,0.5462405,0.3826834,135,0.3857762,0.7082404,0.5912465
Trial Start,1772977840630,0,1,1,135,0.3857762,0.7082403,0.5912464,0.9999999,-0.04729372,0.973994,0.2990244,1.019959,0.07148151,0.00591053,0.265447,0.9614538,31.92004,0.2599644,0.02149545,0.9653792,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09729372,0.02600598,0.0009756088,0.1007141,0.1448567,0.6824071,0.4682687,0.5422745,114.3228,0.1724071,0.8121947,0.5573291
Grab,1772977842346,1.747655,1,1,135,0.3857762,0.7082403,0.5912464,0.9999999,-0.02986496,0.9429411,0.2733853,0.9822268,0.4320898,-0.3018693,0.6011131,0.6006966,106.1604,0.5404655,-0.3775834,0.7518829,0.1092358,-0.08277761,0.03432333,0.1412894,0.9700478,0.0552063,-0.23631,0.01082567,178.7595,0.9701047,0.05520953,-0.2363239,-0.07482341,0.1852132,0.04366854,0.2044735,0.09551674,-0.2374928,0.9656801,0.04399705,174.9567,0.09560932,-0.237723,0.9666162,0.07986496,0.05705887,0.02661467,0.1016979,-0.5094777,0.4867917,0.4884071,0.5147086,118.044,-0.5942364,0.5677763,0.5696605
Release,1772977843443,2.84547,1,1,135,0.3857762,0.7082403,0.5912464,0.9999999,0.02515163,1.028596,0.2154632,1.051222,0.5452745,0.4585601,0.5439248,0.443333,127.3665,0.6083229,0.511582,0.6068172,0.1470231,-0.06935163,0.02039713,0.1638337,0.9061593,-0.00266169,-0.03037132,-0.4218364,229.9012,0.9994345,-0.002935671,-0.03349758,-0.08582888,0.2917206,-0.008064155,0.3041916,-0.1592991,0.4316834,0.8217931,0.3360497,140.7272,-0.1691353,0.4583384,0.8725362,0.02484837,-0.02859604,0.08453684,0.0926372,-0.1560804,0.01061184,0.2273685,0.9611607,32.04195,-0.5655304,0.03845019,0.8238309
Grab,1772977844193,3.595342,1,1,135,0.3857762,0.7082403,0.5912464,0.9999999,0.02290447,1.02551,0.2196137,1.049012,0.5625429,0.430256,0.4986058,0.4998176,120.0241,0.6494896,0.4967565,0.5756704,0.1142887,-0.06164084,0.03381608,0.1341828,0.7390226,0.2230585,0.1182952,-0.6245773,257.3024,0.9462966,0.2856199,0.1514736,-0.0898819,0.278767,-0.02820629,0.294254,-0.1462753,0.3886842,0.8404635,0.3480653,139.2619,-0.1560319,0.4146095,0.8965226,0.02709553,-0.02551019,0.08038628,0.08858269,-0.1283643,0.03281792,0.2969526,0.9456558,37.95168,-0.3947612,0.1009256,0.9132242
Release,1772977845092,4.495747,1,1,135,0.3857762,0.7082403,0.5912464,0.9999999,0.0428742,1.017298,0.2390447,1.045885,0.03076751,0.696625,0.3876153,0.6029274,105.8403,0.03856564,0.8731869,0.4858576,0.1105564,-0.07208048,0.0554872,0.1431682,0.6413263,0.4821833,0.4354759,-0.4081186,228.1734,0.7024931,0.5281717,0.4770095,-0.1044848,0.3007419,-0.001749966,0.31838,-0.5950415,0.243511,0.5295824,0.553327,112.8089,-0.7143661,0.2923427,0.6357805,0.007125802,-0.01729763,0.06095535,0.06376158,0.3300126,0.2492698,-0.04714308,0.9092491,49.19641,0.7928185,0.5988428,-0.113256
Grab,1772977846092,5.494681,1,1,135,0.3857762,0.7082403,0.5912464,0.9999999,0.03609117,1.012211,0.2555754,1.044602,0.03670223,0.6740277,0.3272448,0.6612492,97.20958,0.04892545,0.8985044,0.4362297,0.1297103,-0.06832061,0.01737105,0.1476287,0.6892874,0.5950415,0.05843927,-0.4091374,228.3013,0.755406,0.6521197,0.06404494,-0.1154866,0.2979414,0.002166235,0.319548,-0.5681345,0.1828696,0.4877212,0.6371106,100.8466,-0.7370977,0.2372551,0.6327694,0.01390883,-0.01221144,0.04442462,0.04812611,0.3756865,0.2713205,0.01975453,0.8859202,55.27005,0.8099527,0.5849471,0.04258931
On Target,1772977848093,7.501105,1,1,135,0.3857762,0.7082403,0.5912464,0.9999999,0.04630361,1.00245,0.2891573,1.044348,0.3951283,0.5992297,0.5743433,0.393608,133.6416,0.4298244,0.651848,0.6247762,0.129947,-0.05592769,0.04349712,0.1480072,0.8641754,0.2990105,-0.2396747,-0.3261133,218.0661,0.9141513,0.3163025,-0.2535352,-0.1369144,0.2962898,0.009975439,0.3265466,-0.3432418,0.4825,0.7391614,0.3209663,142.5573,-0.362417,0.509455,0.7804548,0.003696393,-0.002450109,0.01084271,0.01171455,-0.05940867,0.01710085,0.0401849,0.997278,8.45692,-0.8057194,0.2319272,0.5450005
Off Target,1772977848631,8.046815,1,1,135,0.3857762,0.7082403,0.5912464,0.9999999,0.04559836,0.9967071,0.2908033,1.039265,0.3158666,0.7205517,0.5077787,0.3509906,138.9042,0.3373278,0.7695087,0.5422791,0.1284795,-0.05957595,0.04690026,0.1491841,0.811625,0.3319971,-0.1597095,-0.4533606,233.919,0.9105802,0.372475,-0.1791817,-0.1335286,0.2927529,0.01349313,0.32205,-0.4406579,0.5444377,0.5985443,0.3887841,134.2423,-0.4782851,0.5909266,0.6496533,0.004401639,0.003292918,0.009196699,0.01071434,0.06556025,-0.03764128,-0.05272495,0.9957435,10.57663,0.7113161,-0.4084007,-0.5720555
Release,1772977848755,8.156407,1,1,135,0.3857762,0.7082403,0.5912464,0.9999999,0.04281523,0.9899855,0.2879423,1.031899,0.3236648,0.7678152,0.4502688,0.3208722,142.5686,0.3417349,0.8106821,0.4754072,0.1257529,-0.06230846,0.05387494,0.1503285,0.7749442,0.3183421,-0.1705138,-0.5186954,242.4896,0.9064107,0.3723477,-0.1994408,-0.1269131,0.2883586,0.01576259,0.3154458,-0.4202843,0.5919005,0.5477893,0.4158629,130.8527,-0.4621417,0.6508496,0.6023453,0.007184766,0.01001447,0.01205766,0.01724233,0.1152891,-0.1001924,-0.05891138,0.9865087,18.84445,0.7042338,-0.6120163,-0.3598551
