Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.3857762,0.7082403,0.5912464,0.9999999,12.74612,False,0.007665519,8.72016E-05,0.003347188,0.008364893,-0.03351434,-0.02913201,-0.01501655,0.9989008,5.373428,-0.7149725,-0.6214828,-0.3203532,0.3262997,0.3414337,0.3066902,0,0,0,0.5568118,338.6981,0,0,0.4522187,729.7215,0.304576,633.7729,0,0,0.1770319,41.22578,7.898886,0
1,2,135,-0.9254082,-0.3789588,-0.003116727,0.9999999,12.13665,False,0.004264314,-0.005687475,0.005984813,0.009292455,0.007388225,0.03958664,-0.04235794,0.9982907,6.701067,0.1264143,0.6773371,-0.7247546,0.1712957,0.1856048,0.2666065,0,0,0,0.3994163,214.3653,0,0,0.3027902,457.3404,0.1956494,351.3948,0,0,0.149313,30.4923,3.730702,0
1,3,135,-0.9092677,-0.4161282,-0.008334517,0.9999999,8.601212,False,0.007748708,-0.001017094,0.01693988,0.01865573,0.01773606,-0.0005040795,-0.0494382,-0.9986197,353.9782,0.3376625,-0.009596761,-0.9412138,0.2839303,0.2913343,0.3726732,0,0,0,0.3867198,250.6875,0,0,0.308856,569.2754,0.2760012,498.3355,0,0,0.1548751,31.56837,4.944934,0
1,4,135,-0.846445,0.4516467,-0.282039,1,10.60183,False,0.006391954,0.0001124144,0.01238257,0.01393548,0.0250838,0.04432254,0.002162287,0.9987,5.843628,0.4920961,0.8695233,0.04241993,0.1738853,0.1665675,0.1874867,0,0,0,0.3293567,230.49,0,0,0.2979164,425.1898,0.1751142,345.8927,0,0,0.06966795,19.06137,7.748073,0
1,5,135,0.7538086,0.6089476,0.2468916,1,5.880805,False,-0.001109201,-0.0027982,0.008365571,0.008890615,-0.03832749,0.0125557,0.02084455,0.998969,5.204218,-0.8442241,0.2765592,0.4591345,0.2048645,0.2154957,0.2517774,0,0,0,0.3093781,268.9956,0,0,0.2341084,487.7589,0.1790423,325.4997,0,0,0.04963951,13.44281,3.430658,0
1,6,135,0.6487855,-0.6172253,0.4450957,1,13.22643,False,0.002319377,0.0005005598,0.01221016,0.01243857,0.005889991,0.002895412,0.008727627,0.9999405,1.251151,0.5394604,0.2651889,0.7993576,0.3676334,0.3245299,0.3162419,0,0,0,0.6124037,361.0614,0,0,0.4354064,766.9977,0.2838,604.387,0,0,0.1644273,42.73514,8.888714,0
1,7,135,-0.6666743,0.3133209,-0.6762953,1,9.740232,False,0.001904991,-0.004454255,0.006864876,0.008402136,-0.0005760228,0.02320161,-0.001236907,-0.9997299,357.3364,-0.02478356,0.9982563,-0.0532183,0.1386376,0.1218977,0.1353568,0,0,0,0.2435394,166.5205,0,0,0.1969771,292.7305,0.1266787,253.032,0,0,0.08051199,32.75473,3.790759,0
1,8,135,0.03553821,-0.8555238,-0.5165424,1,10.4326,False,0.005618833,-0.003327131,0.007805675,0.01017692,-0.03482438,-0.03923903,-0.02346643,0.9983471,6.589467,-0.6059345,-0.6827483,-0.4083095,0.2705604,0.2326088,0.275268,0,0,0,0.5352003,316.6551,0,0,0.307481,505.633,0.2570917,393.606,0,0,0.09079199,25.21555,5.956196,0
1,9,135,0.1694452,0.7302833,-0.6617966,1,6.07379,False,0.003014624,-0.001793504,0.009095967,0.009748909,0.0377339,-0.003173326,-0.04608816,0.9982195,6.839184,0.6326116,-0.05320105,-0.7726715,0.2190448,0.2243458,0.2756436,0,0,0,0.3921302,284.0404,0,0,0.2728268,432.576,0.2334588,335.0764,0,0,0.05421863,15.25406,4.291683,0
1,10,135,-0.4112296,0.3210564,0.8531196,1,13.7102,False,-0.003770374,0.004847765,0.01331031,0.01465882,-0.006502436,0.005948531,0.03782759,0.9992455,4.451966,-0.1674133,0.1531523,0.9739183,0.2906073,0.334709,0.3562689,0,0,0,0.7765044,378.3146,0,0,0.4949463,609.1922,0.2940103,509.4185,0,0,0.1509074,41.22438,9.823021,0
2,1,135,0.4540723,0.2013855,0.8679068,1,7.574468,False,0.0001800098,-0.003814459,0.006334692,0.007396677,0.003262608,-0.01714781,0.04032932,0.999034,5.037255,0.07424475,-0.3902199,0.9177444,0.2677579,0.2499169,0.256398,0,0,0,0.4016074,250.0291,0,0,0.2779915,490.8187,0.2070666,413.4183,0,0,0.130113,28.74814,5.332279,0
2,2,135,0.4679218,0.8647622,0.1823059,1,8.890882,False,-0.001556564,-5.722046E-05,0.00907734,0.009210009,0.01248705,0.04720851,0.00835593,0.9987721,5.679319,0.2520534,0.9529123,0.1686659,0.1707919,0.1633107,0.1758571,0,0,0,0.3288261,161.288,0,0,0.2400732,292.9,0.1529856,257.2409,0,0,0.09572267,20.47189,5.542038,0
2,3,135,-0.3462479,-0.8866492,0.3065381,1,19.11828,False,0.00614031,0.005270183,0.01620701,0.01811478,-0.04150565,-0.03362945,0.04762688,0.9974358,8.207969,-0.5799556,-0.469902,0.6654871,0.7065645,0.6263359,0.7794774,0,0,0,1.537289,929.6324,0,0,0.8387859,1432.808,0.6682068,1172.771,0,0,0.2024667,55.54039,11.51379,0
2,4,135,-0.3514519,0.1341398,-0.9265463,1,7.770041,False,0.004114546,-0.001950979,0.01567772,0.01632565,-0.06675011,0.02740276,0.01969232,0.997199,8.578783,-0.8924534,0.3663767,0.2632876,0.260178,0.2068101,0.1874911,0,0,0,0.5281917,328.5807,0,0,0.2633071,444.0712,0.2563458,530.5378,0,0,0.07732867,24.84966,3.538932,0
2,5,135,-0.5432399,0.2405399,-0.8043823,1,21.19281,False,0.002921268,0.001460254,0.003701836,0.004936572,0.01659441,-0.009285014,-0.01081316,-0.9997607,357.4933,0.7586566,-0.4244884,-0.4943515,0.3914464,0.335828,0.4931219,0,0,0,1.037403,450.4395,0,0,0.5344725,813.0759,0.3975877,663.8892,0,0,0.1463406,38.69222,11.358,0
