Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1772977854108,0.0134858,0.1429057,0.9183226,0.3394786,0.9894362,-0.6169549,-0.769046,0.1373014,-0.09530564,190.9378,-0.6197762,-0.7725627,0.1379293,-0.2073731,0.7935722,0.2735713,0.8646396,0.1933011,0.4405735,-0.5210844,0.7049829,90.34368,0.2725528,0.6212046,-0.7347243,0.04244715,0.9937844,0.2912593,1.036456,0.04145664,1.015461,0.292436,1.057543,0.03832378,1.018819,0.3090453,1.06535,-0.2029315,0.914258,0.3354274,0.9947665,-0.174893,0.9149942,0.3734952,1.003644,-0.1532779,0.9027492,0.386693,0.9939727,0.1070288,-0.07827502,0.02300817,0.134579,0.1268774,-0.07499342,0.01479314,0.1481241,0.1254192,-0.07892742,-0.001921071,0.1481999,-0.1186935,0.03860466,-0.05322111,0.135687,-0.1484982,0.05715835,-0.02154624,0.160571,-0.1509588,0.06957783,0.003574237,0.1662601,0.1069763,-0.07838915,0.02298796,0.1346003,0.1271602,-0.07517387,0.01464055,0.1484425,0.1252906,-0.07892825,-0.001819752,0.1480902,-0.1184746,0.03911992,-0.05338326,0.1357069,-0.1482768,0.05741432,-0.02175222,0.1604854,-0.1507814,0.06969522,0.003543865,0.1661476,0.116629,-0.07809107,0.01281556,0.1409424,-0.1412238,0.9392825,-0.05557753,0.3077585,144.1516,-0.1484278,0.9871967,-0.05841263,-0.1313844,0.05082152,-0.03172306,0.1443989,-0.2247106,-0.2356185,0.003628043,0.945503,38.00549,-0.6901149,-0.7236143,0.01114218,-0.0505804,1.000642,0.2994722,1.045718,0.02309246,0.02045534,7.88743E-06,0.9995241,3.535594,0.7485693,0.663084,0.0002556804,0.1110151,-0.07764398,0.01598,0.1364122,0.6988333,-0.1960533,0.01330157,-0.6877633,266.9066,0.9626664,-0.27007,0.01832336,-0.1182097,0.3005713,-0.033799,0.3247445,-0.3900963,0.6117485,0.6149579,0.3088943,144.0148,-0.4101543,0.6432034,0.6465779,0.1005804,-0.0006415844,0.0005278289,0.1005838,-0.8634521,-0.3577139,0.006522532,0.3555964,138.34,-0.9238342,-0.3827292,0.006978659,0.003213914,1.065499,0.06897184,1.067733,0.0178531,0.00529688,-0.005690318,-0.9998104,357.7685,0.9168764,0.2720304,-0.2922361,False,False,False,False
1772977854122,0.0282445,0.05647727,0.8593551,0.2566657,0.8986424,-0.658036,-0.7432882,-0.05205437,0.1086359,167.5266,-0.6619537,-0.7477134,-0.05236428,-0.2295622,0.7812412,0.2692832,0.8576422,0.1741343,0.4521464,-0.4956377,0.7208219,87.75524,0.2512324,0.6523346,-0.7150818,-0.02745624,0.9626042,0.2340644,0.9910332,-0.01617684,1.007125,0.2800342,1.045458,-0.03576911,0.9737262,0.2949035,1.018033,-0.2285145,0.9029685,0.3295199,0.9880053,-0.2023673,0.9040222,0.3673627,0.9965761,-0.1804931,0.8932501,0.3800574,0.987379,0.1038983,-0.06829888,0.05250174,0.1349668,0.1562747,-0.05442916,0.01662771,0.1663154,0.1295631,-0.07908533,-0.0033479,0.1518298,-0.1173675,0.04357604,-0.05266019,0.1358201,-0.146544,0.05938737,-0.02079187,0.1594814,-0.1488261,0.07113237,0.003957257,0.164999,0.1067358,-0.07760095,0.02529342,0.1343659,0.1294345,-0.0735534,0.01479577,0.1496072,0.1256243,-0.07894052,-0.001939123,0.1483807,-0.1183881,0.03946801,-0.05332677,0.13571,-0.1481414,0.05756845,-0.0216772,0.1604054,-0.1506287,0.06980748,0.003576157,0.1660568,0.1167653,-0.07737631,0.01451084,0.1408254,-0.1696385,0.9390076,-0.07387358,0.2898796,146.2985,-0.177249,0.9811345,-0.07718778,-0.131272,0.05107618,-0.03167499,0.1443759,-0.2240348,-0.2348981,0.006339333,0.9458283,37.89085,-0.6900441,-0.7235039,0.01952563,-0.05055819,1.000852,0.299656,1.045971,0.01814419,0.01444296,0.008081994,0.9996984,2.814452,0.7388397,0.5881237,0.3291025,0.1582734,-0.09058102,-0.0004757238,0.1823613,0.6591725,0.7463535,0.04832645,0.07818395,171.0316,0.6611965,0.7486452,0.04847484,-0.1292446,0.2484206,-0.0516276,0.2847497,-0.1675479,-0.4257397,0.5022867,0.7337449,85.59746,-0.2466025,-0.6266176,0.739282,0.1005582,-0.0008523464,0.0003440082,0.1005624,-0.8588634,-0.3623914,2.427109E-05,0.3619754,137.5569,-0.9213418,-0.3887537,2.60367E-05,0.003239789,1.065625,0.06811234,1.067804,0.01932708,0.002313786,-0.0055944,-0.9997949,357.6791,0.9543341,0.1142503,-0.2762407,False,False,False,False
1772977854136,0.0450469,0.05569851,0.8639289,0.2538618,0.9021758,-0.659898,-0.7383107,-0.06705666,0.1222106,165.9606,-0.6648818,-0.7438867,-0.0675631,-0.2293959,0.7813743,0.2685444,0.8574873,0.1740212,0.4522893,-0.4951789,0.7210749,87.71341,0.2511646,0.6527886,-0.7146912,-0.02370327,0.9709417,0.2297969,0.9980462,-0.01398733,1.011033,0.2824233,1.049831,-0.03519902,0.9743578,0.2952421,1.018715,-0.2283227,0.9032115,0.3285964,0.9878754,-0.2024218,0.9041972,0.366794,0.9965365,-0.1805342,0.8934411,0.3795016,0.9873455,0.1039254,-0.0643237,0.05828777,0.1354086,0.1555244,-0.05316042,0.01724929,0.1652617,0.1259407,-0.07937925,-0.002667613,0.1488934,-0.1172392,0.04381565,-0.05279042,0.1358369,-0.1466841,0.05930829,-0.02079253,0.1595808,-0.148976,0.07105149,0.003968149,0.1650997,0.1064973,-0.07647421,0.0280934,0.1340866,0.1316485,-0.07182281,0.01500398,0.1507149,0.1256512,-0.07897775,-0.002000944,0.1484241,-0.1182906,0.03983695,-0.05328126,0.1357149,-0.1480177,0.05771609,-0.02160213,0.1603342,-0.1504884,0.06991305,0.003609422,0.1659748,0.1169621,-0.07643222,0.01634436,0.140674,-0.1910399,0.9403623,-0.09131268,0.2662413,149.1185,-0.1981934,0.9755743,-0.09473189,-0.1311567,0.05133912,-0.03163595,0.1443559,-0.2232651,-0.2341855,0.009641173,0.9461591,37.77392,-0.6897241,-0.7234601,0.0297841,-0.05068056,1.003202,0.2983176,1.047844,0.03444839,0.02386179,0.04626064,0.99805,7.157341,0.5518905,0.3822848,0.7411321,0.154034,-0.09169079,0.001399225,0.1792641,0.6669149,0.7357365,0.06415897,0.09899505,168.6374,0.670207,0.7393683,0.06447568,-0.1298729,0.248288,-0.05106427,0.2848183,-0.1716926,-0.4313474,0.5065503,0.7265452,86.80492,-0.2498733,-0.6277626,0.7372094,0.1006806,-0.003202081,0.00168246,0.1007455,-0.8503538,-0.3980132,-0.01223684,0.3439975,139.7588,-0.9056235,-0.4238825,-0.01303219,0.003192135,1.065756,0.06730199,1.067884,0.02035339,-0.0006488638,-0.005458243,-0.9997777,357.5839,0.9654165,-0.03077736,-0.2588992,False,False,False,False
1772977854149,0.0594235,0.05336192,0.8720715,0.2469747,0.9079387,-0.6609137,-0.7326878,-0.08595039,0.1377469,164.165,-0.6672745,-0.7397394,-0.0867776,-0.228644,0.7822611,0.265746,0.8572232,0.1739186,0.4523821,-0.494795,0.7213049,87.67536,0.2511033,0.6531484,-0.7143841,-0.0175126,0.9839867,0.2164649,1.007667,-0.01311943,1.017619,0.2811175,1.055817,-0.03461444,0.9800951,0.2926404,1.023437,-0.2277545,0.9044414,0.3252848,0.9877735,-0.201607,0.9050241,0.3637886,0.9960202,-0.1798025,0.8943009,0.3765091,0.9868445,0.1023818,-0.0561158,0.06962809,0.1359378,0.1541652,-0.05163207,0.01835638,0.1636146,0.1242479,-0.0777936,-0.00222088,0.1466094,-0.1169989,0.04402318,-0.0533562,0.1359179,-0.1464357,0.05948703,-0.02078439,0.159418,-0.1487561,0.07115505,0.003928065,0.164945,0.1061043,-0.07453016,0.0320596,0.1335691,0.1337987,-0.06989477,0.01532411,0.1517307,0.1255171,-0.07886467,-0.002021946,0.1482507,-0.1181673,0.0402367,-0.05328842,0.1357282,-0.1478667,0.0578852,-0.02152404,0.1602452,-0.150323,0.07003165,0.00363985,0.1658755,0.1170087,-0.07498233,0.01875855,0.1402329,-0.2037245,0.9435735,-0.1093891,0.237064,152.5734,-0.2097022,0.9712601,-0.1125989,-0.1310068,0.05161878,-0.03164306,0.1443211,-0.2223365,-0.233262,0.01335982,0.9465606,37.63153,-0.6893597,-0.7232344,0.04142246,-0.05066199,1.003587,0.2988056,1.04835,0.02350041,0.007932362,0.06088602,0.9978365,7.539132,0.3574551,0.1206559,0.9261122,0.1492913,-0.0914735,0.0009365551,0.175089,0.6962138,0.7069325,0.08268572,0.09325154,169.2986,0.6992607,0.7100264,0.08304758,-0.1318185,0.2480164,-0.05156103,0.285564,-0.1814658,-0.4091979,0.538632,0.7137947,88.91099,-0.2591055,-0.584272,0.7690843,0.100662,-0.003586531,0.001194388,0.1007329,-0.8408152,-0.4043783,-0.02761921,0.3588109,137.9456,-0.9007993,-0.4332267,-0.02958957,0.00309283,1.066011,0.0665268,1.068089,0.02092626,-0.00327691,-0.005632307,-0.9997598,357.4883,0.9547967,-0.1495147,-0.2569838,False,False,False,False
1772977854164,0.0725627,0.05409912,0.8765695,0.2448014,0.9117174,-0.657864,-0.7287959,-0.1117114,0.1535968,162.3292,-0.6657643,-0.737548,-0.113053,-0.2284831,0.7824038,0.264917,0.8570538,0.1737935,0.4525159,-0.4944007,0.7215215,87.63952,0.2510045,0.6535545,-0.7140473,-0.01387076,0.9912325,0.2175487,1.01492,-0.009538919,1.020906,0.2863605,1.06035,-0.03151339,0.9789437,0.2936682,1.022529,-0.2277585,0.9047235,0.324266,0.9876978,-0.2015368,0.9051592,0.3629514,0.9958233,-0.1797002,0.8944365,0.3756003,0.9866024,0.1018383,-0.05388639,0.07235646,0.1360523,0.1544155,-0.04903726,0.01900425,0.1631256,0.1202454,-0.07574318,-0.001399364,0.1421195,-0.1169086,0.04409236,-0.05360194,0.1359593,-0.1463965,0.05951303,-0.02078436,0.1593917,-0.148648,0.07120635,0.003914028,0.1648693,0.1057509,-0.07281988,0.03539808,0.1331879,0.1355067,-0.06816678,0.015629,0.1524895,0.1250804,-0.07860606,-0.001970367,0.1477427,-0.118063,0.04055614,-0.05331439,0.1357428,-0.1477449,0.05802006,-0.02146276,0.1601734,-0.1501842,0.07012897,0.003662565,0.1657914,0.1170505,-0.07362659,0.02072498,0.1398257,-0.2111675,0.9462404,-0.1197061,0.2137939,155.3104,-0.2161655,0.9686365,-0.1225393,-0.1308788,0.05184093,-0.03166598,0.1442895,-0.2216108,-0.232412,0.01657011,0.946889,37.51464,-0.6891732,-0.7227631,0.05153031,-0.05052537,1.005392,0.3003221,1.050504,0.0001072148,-0.02140129,0.1046779,0.9942759,12.2667,0.001003483,-0.2003065,0.9797387,0.1466056,-0.09226587,0.004299049,0.1732763,0.7035377,0.6910082,0.108913,0.1252216,165.6129,0.7091193,0.6964903,0.1097771,-0.1328986,0.2478629,-0.05091688,0.2858157,-0.1879351,-0.4236133,0.5465173,0.6975322,91.54132,-0.2622764,-0.5911816,0.7627026,0.1005254,-0.005391955,-0.0003221035,0.1006704,-0.8134023,-0.4294141,-0.06125641,0.3875927,134.3904,-0.882377,-0.4658274,-0.06645082,0.003099783,1.066046,0.06567832,1.068071,0.02141549,-0.005781006,-0.005535478,-0.9997386,357.38,0.9367267,-0.2528648,-0.2421252,False,False,False,False
1772977854176,0.08704291,0.05789042,0.8857977,0.2469116,0.9213871,-0.6505673,-0.7258717,-0.1454972,0.1694197,160.4918,-0.6601099,-0.7365189,-0.1476314,-0.2287943,0.7820027,0.2639665,0.8564773,0.1737935,0.4525159,-0.4944007,0.7215215,87.63952,0.2510045,0.6535545,-0.7140473,-0.01038781,1.001698,0.2261434,1.02696,0.0001597172,1.032209,0.2986149,1.074535,-0.02543982,0.9857313,0.301781,1.031206,-0.2281228,0.9044008,0.323179,0.98713,-0.2018102,0.9047263,0.3619158,0.9951081,-0.1800165,0.8940354,0.3746671,0.9859415,0.1012717,-0.05477424,0.07259366,0.1361103,0.1591144,-0.04156789,0.01992385,0.165657,0.1213485,-0.07220436,-0.001538869,0.1412137,-0.1168451,0.04410835,-0.05375458,0.1359701,-0.1463048,0.05954836,-0.020789,0.1593213,-0.1486628,0.07119854,0.003920734,0.1648794,0.1054093,-0.07144371,0.03823463,0.1329557,0.137307,-0.06613834,0.01595652,0.1532388,0.1247958,-0.07811786,-0.001937461,0.1472418,-0.1179701,0.04082703,-0.05334796,0.1357564,-0.147635,0.05813661,-0.02141138,0.1601075,-0.1500682,0.07021054,0.003682253,0.1657213,0.1173106,-0.07228975,0.02232043,0.1395915,-0.2218637,0.9466388,-0.12453,0.1978477,157.1777,-0.2263377,0.9657286,-0.1270413,-0.1307659,0.05202801,-0.03169448,0.1442608,-0.2209315,-0.2317139,0.01923734,0.9471683,37.41499,-0.6888248,-0.7224424,0.05997857,-0.05062976,1.005489,0.300818,1.050744,-0.01636667,-0.04154672,0.1062395,0.9933374,13.23522,-0.1420195,-0.360516,0.9218786,0.1407241,-0.09493388,0.009682137,0.1700278,0.7259581,0.6500066,0.1483981,0.1686844,160.5773,0.7365123,0.6594566,0.1505555,-0.1361152,0.2487623,-0.05093443,0.2881047,-0.209509,-0.4471218,0.5708659,0.6559728,98.01309,-0.2775745,-0.5923833,0.7563296,0.1006298,-0.005489349,-0.0008179545,0.1007827,-0.8056909,-0.4227587,-0.07330725,0.4083668,131.7954,-0.8826415,-0.4631359,-0.08030874,0.003109224,1.066155,0.06481358,1.068127,0.02163317,-0.00840518,-0.005476634,-0.9997157,357.2674,0.9072535,-0.3524971,-0.2296795,False,False,False,False
1772977854191,0.1005998,0.05928242,0.8874706,0.2479933,0.9233738,-0.639978,-0.7265214,-0.1726246,0.1810957,159.1328,-0.6507376,-0.738736,-0.1755268,-0.229201,0.7818393,0.2637066,0.8563567,0.1737935,0.4525159,-0.4944007,0.7215215,87.63952,0.2510045,0.6535545,-0.7140473,-0.01117744,1.002982,0.2331056,1.029774,0.00215382,1.032729,0.3079198,1.077659,-0.02529875,0.9863151,0.3091976,1.033954,-0.2285018,0.9041921,0.3229778,0.9869605,-0.2022358,0.9045736,0.3616852,0.9949718,-0.1804002,0.893886,0.3744105,0.9857786,0.101108,-0.05620386,0.0717451,0.1361215,0.1615909,-0.03794213,0.02009127,0.1671972,0.1251148,-0.07079083,-0.002268985,0.1437713,-0.1168655,0.04410052,-0.05367859,0.1359551,-0.1463369,0.05953097,-0.02079001,0.1593444,-0.1486709,0.07122415,0.003923699,0.1648979,0.1050506,-0.07017279,0.04102921,0.1328279,0.1393322,-0.06378694,0.01630134,0.1541038,0.1248224,-0.07750683,-0.001965108,0.1469415,-0.117878,0.04110002,-0.05337553,0.1357696,-0.1475268,0.05825289,-0.02135956,0.1600431,-0.1499517,0.07029507,0.003702388,0.1656521,0.1177534,-0.07088541,0.02383676,0.1394948,-0.2349847,0.9453522,-0.1274105,0.186703,158.4791,-0.2391906,0.9622724,-0.1296909,-0.1306546,0.05221833,-0.03171764,0.1442338,-0.2202908,-0.2310072,0.02199172,0.9474302,37.32132,-0.6884893,-0.7219821,0.06873218,-0.05078747,1.005603,0.3011292,1.05095,-0.02850827,-0.05628969,0.1068661,0.9922693,14.25792,-0.2297147,-0.4535725,0.8611081,0.1406096,-0.0937648,0.01538425,0.1697043,0.7171074,0.6433407,0.1760157,0.2022085,156.6677,0.7322335,0.6569108,0.1797284,-0.1368529,0.2489944,-0.05057051,0.2885902,-0.2119788,-0.4691058,0.5675751,0.6425444,100.0364,-0.2766451,-0.6122111,0.7407194,0.1007875,-0.005603075,-0.00112921,0.1009494,-0.7998695,-0.4173135,-0.08189776,0.4234987,129.8887,-0.8829588,-0.4606635,-0.09040518,0.003118627,1.066264,0.06394887,1.068184,0.0218507,-0.01102933,-0.005417752,-0.9996858,357.1272,0.8716934,-0.4399949,-0.2161312,False,False,False,False
1772977854206,0.114809,0.06029828,0.8880582,0.2494102,0.9243856,-0.6284294,-0.7282201,-0.196031,0.1906405,158.0197,-0.6401702,-0.7418252,-0.1996934,-0.2299864,0.7817093,0.2632372,0.8563042,0.1737419,0.4523192,-0.4947689,0.7214049,87.65881,0.2508859,0.6531558,-0.7144537,-0.01247689,1.002638,0.2390579,1.030818,0.002850419,1.031621,0.3164597,1.079072,-0.02631582,0.9864882,0.317457,1.036644,-0.2290565,0.9039703,0.322601,0.9867627,-0.2029794,0.9045112,0.3611867,0.9948854,-0.1811031,0.8937829,0.3738651,0.985607,0.1008861,-0.05725048,0.07124744,0.1361316,0.1637017,-0.03466022,0.0201607,0.1685409,0.1302988,-0.06950538,-0.003475033,0.1477188,-0.1169141,0.04414232,-0.05343444,0.1359143,-0.1463909,0.05950177,-0.02080969,0.1593857,-0.148658,0.07123207,0.003922269,0.1648896,0.1047237,-0.06915846,0.04340117,0.1327916,0.1412451,-0.06150066,0.01660428,0.1549458,0.1252523,-0.07687876,-0.002083629,0.146979,-0.1178023,0.04133882,-0.05338016,0.1357782,-0.1474376,0.05835092,-0.0213164,0.1599909,-0.1498501,0.07036862,0.003719647,0.1655918,0.1182703,-0.06962189,0.0251029,0.1395178,-0.2483681,0.9427034,-0.1289479,0.1816486,159.0684,-0.2525699,0.958652,-0.1311294,-0.1305645,0.05238751,-0.03172082,0.1442142,-0.2197758,-0.2304289,0.02437257,0.9476324,37.24884,-0.6881688,-0.7215261,0.07631613,-0.05257219,1.006066,0.3023499,1.05183,-0.05442742,-0.07585128,0.1142359,0.9890574,16.9678,-0.3689208,-0.5141364,0.7743157,0.1411729,-0.09193411,0.02121384,0.169799,0.7069929,0.6391131,0.2002747,0.2271243,153.7444,0.7259655,0.6562641,0.2056492,-0.1377424,0.2493865,-0.05009887,0.2892689,-0.213452,-0.484968,0.5649227,0.63254,101.5245,-0.2755898,-0.6261467,0.7293769,0.1025722,-0.006065607,-0.002349883,0.1027782,-0.784568,-0.4150787,-0.09235871,0.451257,126.3513,-0.8791721,-0.4651294,-0.1034954,0.003128026,1.066373,0.06308417,1.068241,0.02206807,-0.0136534,-0.005358831,-0.9996489,356.9632,0.8328211,-0.5152621,-0.2022355,False,False,False,False
1772977854219,0.1285242,0.06159689,0.890331,0.2515461,0.9272318,-0.6145607,-0.7304759,-0.2205158,0.200232,156.899,-0.6272638,-0.745575,-0.2250739,-0.2317478,0.7814752,0.2620612,0.8562047,0.1737515,0.4520109,-0.4954507,0.7211278,87.70467,0.2507953,0.6524386,-0.7151403,-0.01352861,1.003686,0.245314,1.033319,0.002669579,1.031064,0.3258448,1.08133,-0.02762096,0.9941608,0.3351374,1.049493,-0.2305167,0.9037599,0.3213028,0.9864864,-0.2045605,0.904332,0.3597751,0.9945349,-0.1826583,0.8935401,0.3724746,0.9851474,0.1006067,-0.05785336,0.07115716,0.1361325,0.1654908,-0.03172005,0.02012557,0.1697009,0.1458348,-0.06632297,-0.007838108,0.1603994,-0.1168692,0.04425093,-0.05336742,0.1358847,-0.1462859,0.05954139,-0.02088623,0.1593141,-0.1485353,0.07128445,0.003902689,0.1648012,0.1043863,-0.06823188,0.0456761,0.1328096,0.1432323,-0.05905979,0.01689289,0.155849,0.1269392,-0.07601359,-0.002555275,0.1479803,-0.1177259,0.0415775,-0.05337911,0.1357844,-0.1473432,0.0584485,-0.02128114,0.1599348,-0.1497423,0.07044368,0.00373465,0.1655265,0.1188658,-0.06836201,0.0264125,0.1396426,-0.2655931,0.9368183,-0.1301436,0.1868004,158.4678,-0.2703519,0.9536038,-0.1324754,-0.1304751,0.05256027,-0.03171571,0.1441951,-0.2192644,-0.2298696,0.02663107,0.9478259,37.17934,-0.6878054,-0.7210728,0.0835384,-0.05257219,1.006066,0.3023499,1.05183,-0.05442742,-0.07585128,0.1142359,0.9890574,16.9678,-0.3689208,-0.5141364,0.7743157,0.1410972,-0.09166781,0.02643293,0.1703235,0.6971107,0.6250877,0.2341191,0.2617066,149.6573,0.7222841,0.6476604,0.2425735,-0.1404141,0.2489966,-0.04952314,0.2901171,-0.2251546,-0.5088806,0.5609854,0.612896,104.4016,-0.2849468,-0.6440192,0.7099609,0.1025722,-0.006065607,-0.002349883,0.1027782,-0.784568,-0.4150787,-0.09235871,0.451257,126.3513,-0.8791721,-0.4651294,-0.1034954,0.003137425,1.066481,0.06221947,1.0683,0.0222853,-0.01627739,-0.005299874,-0.9996051,356.7796,0.7930848,-0.5792764,-0.1886109,False,False,False,False
1772977854232,0.141764,0.06106579,0.8914022,0.2517779,0.9282883,-0.6012118,-0.7325748,-0.241841,0.2083063,155.9538,-0.6146961,-0.7490053,-0.2472651,-0.2322852,0.7814085,0.2616363,0.8561596,0.1738225,0.4516439,-0.496328,0.7207372,87.76925,0.2507506,0.6515267,-0.7159867,-0.01563352,1.003861,0.2488947,1.034374,-0.001289164,1.027964,0.3313361,1.080044,-0.02872393,0.9958736,0.3458998,1.054626,-0.2306877,0.9036502,0.3208447,0.9862767,-0.2048823,0.9043219,0.3592426,0.9943994,-0.1829915,0.8934916,0.3719679,0.9849737,0.1006081,-0.05758274,0.07141613,0.1361544,0.1658163,-0.03108031,0.02014396,0.1699024,0.154683,-0.06163637,-0.01046569,0.1668395,-0.1168678,0.04431278,-0.05319326,0.1358353,-0.1463028,0.05953315,-0.02090255,0.1593286,-0.1485601,0.07127538,0.003905907,0.1648197,0.1040865,-0.067387,0.04771826,0.132861,0.1450241,-0.05683995,0.01715082,0.1567064,0.1291404,-0.07487293,-0.003182873,0.1493095,-0.1176578,0.04179452,-0.05336437,0.1357862,-0.1472607,0.05853455,-0.0212511,0.1598862,-0.1496485,0.07050966,0.003748237,0.1654701,0.1193725,-0.0671754,0.02769836,0.1397481,-0.2799893,0.9307816,-0.1293176,0.1962871,157.3602,-0.2855441,0.9492479,-0.1318832,-0.1303988,0.05271842,-0.03169902,0.1441801,-0.2187984,-0.2294416,0.02860613,0.9479797,37.124,-0.6873305,-0.720765,0.08986295,-0.05257219,1.006066,0.3023499,1.05183,-0.05442742,-0.07585128,0.1142359,0.9890574,16.9678,-0.3689208,-0.5141364,0.7743157,0.1412168,-0.08793751,0.03071837,0.1691709,0.6853257,0.6269154,0.2572601,0.2666891,149.0653,0.7110791,0.6504738,0.2669275,-0.1411317,0.2491366,-0.04937608,0.2905601,-0.2250951,-0.5085276,0.5618338,0.6124334,104.4687,-0.2847423,-0.6432807,0.7107123,0.1025722,-0.006065607,-0.002349883,0.1027782,-0.784568,-0.4150787,-0.09235871,0.451257,126.3513,-0.8791721,-0.4651294,-0.1034954,0.003146822,1.06659,0.06135477,1.068358,0.02250236,-0.01890125,-0.005240879,-0.9995545,356.5792,0.7538954,-0.6332476,-0.1755849,False,False,False,False
