Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772978665690,0,1,1,135,-0.7387851,0.5737898,0.3534994,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.6825485,0.5301126,0.3265909,0.3826834,135,-0.7387851,0.5737898,0.3534994
Trial Start,1772978669264,0,1,1,135,-0.7387851,0.5737898,0.3534994,1,-1,-0.05462907,1.013618,0.2763962,1.052046,0,0,0,1,0,1,0,0,0.1046291,-0.01361823,0.02360383,0.1081196,-0.6825485,0.5301126,0.3265909,0.3826834,135,-0.7387851,0.5737898,0.3534994
On Target,1772978677425,8.182567,1,1,135,-0.7387851,0.5737898,0.3534994,1,-1,0.05687261,1.000829,0.2968715,1.045479,-0.715913,0.5452376,0.3101541,0.3065764,144.2939,-0.752131,0.5728212,0.3258448,-0.006872606,-0.0008291006,0.003128499,0.007596553,0.0783678,-0.02401794,-0.02592922,0.9962978,9.863465,0.9115852,-0.27938,-0.3016123
Trial End,1772978678412,9.168822,1,2,135,-0.7387851,0.5737898,0.3534994,1,-1,0.05336229,1.003035,0.2937667,1.04653,-0.7135153,0.5455089,0.2764063,0.3419293,140.0111,-0.7592804,0.580498,0.2941351,-0.003362287,-0.003034592,0.006233305,0.007705051,0.07129895,0.01687068,-1.231576E-05,0.9973124,8.403301,0.9731386,0.230263,-0.0001680943
Trial Load,1772978678413,9.168822,1,2,135,-0.7720793,-0.2071961,-0.6008022,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.7133083,-0.1914243,-0.5550689,0.3826834,135,-0.7720794,-0.2071961,-0.6008022
Trial Start,1772978679355,0,1,2,135,-0.7720793,-0.2071961,-0.6008022,1,-1,-0.05047534,1.000026,0.2999332,1.045256,0.007698772,-0.007149891,-0.002508176,0.9999417,1.237312,0.7130123,-0.6621783,-0.2322916,0.1004753,-2.598763E-05,6.6787E-05,0.1004754,-0.7127244,-0.1826145,-0.5606505,0.3799303,135.3413,-0.7705002,-0.1974178,-0.6060987
On Target,1772978692496,13.15444,1,2,135,-0.7720793,-0.2071961,-0.6008022,1,-1,0.04348318,1.010165,0.2842398,1.050294,-0.7394297,-0.2151295,-0.5319941,0.3520589,138.7734,-0.7900077,-0.2298446,-0.5683832,0.006516825,-0.01016545,0.01576024,0.01985424,0.04941595,-0.01602468,-0.003740544,0.9986428,5.97088,0.9488083,-0.3076811,-0.07182011
Off Target,1772978692524,13.18243,1,2,135,-0.7720793,-0.2071961,-0.6008022,1,-1,0.0453112,1.011829,0.2836995,1.051825,-0.737154,-0.2128274,-0.5299774,0.3611543,137.6578,-0.7905086,-0.2282317,-0.5683367,0.004688803,-0.01182914,0.01630053,0.02067899,0.04116559,-0.01882206,-0.008354364,0.9989401,5.276383,0.8943449,-0.4089196,-0.1815031
On Target,1772978692997,13.65479,1,2,135,-0.7720793,-0.2071961,-0.6008022,1,-1,0.05603223,1.010168,0.290824,1.052691,-0.7484252,-0.2258055,-0.4874132,0.3889729,134.2188,-0.8124027,-0.245108,-0.5290785,-0.006032225,-0.01016808,0.009175986,0.01496584,0.04098715,-0.05579851,-0.04718405,0.996484,9.61215,0.4892023,-0.6659834,-0.5631654
Trial End,1772978693996,14.65468,1,3,135,-0.7720793,-0.2071961,-0.6008022,1,-1,0.04919337,1.006087,0.2940726,1.049338,-0.7083266,-0.1833911,-0.5690571,0.3752534,135.92,-0.7641704,-0.1978495,-0.613921,0.0008066259,-0.006087065,0.005927384,0.008534453,-0.003743228,0.01109129,0.01425365,0.9998299,2.113688,-0.2029384,0.601312,0.772759
Trial Load,1772978693997,14.65468,1,3,135,-0.98728,-0.01375716,0.1583952,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.9121277,-0.01270996,0.1463381,0.3826835,135,-0.98728,-0.01375716,0.1583952
Trial Start,1772978694940,0,1,3,135,-0.98728,-0.01375716,0.1583952,1,-1,-0.0500018,1.000031,0.2996252,1.04515,0.004999335,-0.005871419,-0.002581664,0.999967,0.9312446,0.6151802,-0.7224922,-0.3176799,0.1000018,-3.147125E-05,0.0003747642,0.1000025,-0.9149028,-0.008839433,0.1419022,0.3778076,135.6041,-0.9881397,-0.009547019,0.1532613
On Target,1772978700399,5.471753,1,3,135,-0.98728,-0.01375716,0.1583952,1,-1,0.05651741,1.005787,0.2899105,1.048261,-0.9116023,0.06495052,0.1801902,0.3637227,137.342,-0.9786314,0.06972626,0.1934394,-0.006517407,-0.005787373,0.01008952,0.01333299,0.0288885,-0.06043277,0.05510026,0.9962316,9.951344,0.3330746,-0.6967694,0.6352873
Trial End,1772978701384,6.457823,1,4,135,-0.98728,-0.01375716,0.1583952,1,-1,0.0545239,1.005184,0.2883961,1.047158,-0.9231103,0.02417546,0.109289,0.3678843,136.8296,-0.9927289,0.02599871,0.1175313,-0.004523899,-0.005183816,0.01160395,0.01349034,0.02262841,0.0214733,0.04579618,0.9984636,6.352886,0.4083756,0.3875292,0.826485
Trial Load,1772978701384,6.457823,1,4,135,-0.120676,0.53369,0.8370259,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.1114901,0.4930653,0.7733111,0.3826834,135,-0.120676,0.53369,0.8370259
