Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,-0.7387851,0.5737898,0.3534994,1,9.168822,False,-0.003362287,-0.003034592,0.006233305,0.007705051,0.07129895,0.01687068,-1.231576E-05,0.9973124,8.403301,0.9731386,0.230263,-0.0001680943,0.8979585,0.9866166,1.057561,1.398132,1299.175,0,0,0.1228169,0.09037255,0.1053047,0.261968,95.89792,0,0,0.8608916,626.2811,0.2918967,80.66309
1,3,135,-0.7720793,-0.2071961,-0.6008022,1,14.65468,False,0.0008066259,-0.006087065,0.005927384,0.008534453,-0.003743228,0.01109129,0.01425365,0.9998299,2.113688,-0.2029384,0.601312,0.772759,1.223284,1.19885,1.742666,2.20364,1738.264,0,0,0.1224592,0.1142135,0.1530662,0.5596989,168.9664,0,0,1.48776,1052.464,0.3202974,81.58143
1,4,135,-0.98728,-0.01375716,0.1583952,1,6.457823,False,-0.004523899,-0.005183816,0.01160395,0.01349034,0.02262841,0.0214733,0.04579618,0.9984636,6.352886,0.4083756,0.3875292,0.826485,0.6815001,0.7673187,1.000705,1.172409,1019.677,0,0,0.03865519,0.02282288,0.0390173,0.1416743,42.72801,0,0,0.5041422,496.314,0.138171,43.14383
1,5,135,-0.120676,0.53369,0.8370259,1,6.943496,False,0.003622402,-0.001864195,-0.001834035,0.00446774,-0.004689668,-0.04735754,-0.002927588,-0.9988627,354.5344,-0.09836104,-0.9932764,-0.06140319,0.4186231,0.7452115,0.9370847,0.7521243,795.8733,0,0,0.02343396,0.01890008,0.02114768,0.1317207,27.46914,0,0,0.4064086,346.9783,0.1851506,32.79384
1,6,135,0.4217018,-0.1556457,-0.893276,1,7.305957,False,-0.002833735,-0.004957318,0.001079619,0.005811251,0.03675701,0.01808344,-0.01320548,0.9990734,4.933448,0.854031,0.4201597,-0.3068228,0.5158275,0.7482578,0.7859142,0.9256757,816.6898,0,0,0.02310826,0.01864766,0.02148516,0.09152523,28.97904,0,0,0.825455,501.2831,0.1099633,30.92116
1,7,135,-0.7913802,0.1180938,-0.5998094,1,10.10872,False,-5.860254E-05,0.0008325577,0.006029129,0.006086623,-0.03619121,-0.01964526,-0.007464275,0.9991239,4.796987,-0.8647987,-0.4694288,-0.1783608,0.9680703,0.9631432,1.129894,1.377722,1201.398,0,0,0.04812306,0.05463473,0.07488143,0.3577156,108.3675,0,0,0.9014234,712.4399,0.4796908,98.69755
1,8,135,0.7907434,0.6119305,0.01631057,1,11.01476,False,0.0007908456,-0.005386949,0.01783699,0.01864947,-0.04948045,-0.04368149,0.002135808,0.9978172,7.572822,-0.7492812,-0.6614677,0.03234249,0.8467098,1.166096,1.267846,2.236715,1229.919,0,0,0.1401827,0.1764616,0.1715379,1.268458,299.3093,0,0,1.005493,600.5986,0.4565702,123.617
1,9,135,0.9813527,0.09494141,-0.1671315,1,6.0279,False,0.00163034,-0.0007761717,0.01389241,0.01400927,0.006783273,0.0328419,0.008426026,0.9994021,3.962793,0.1961901,0.9498742,0.2437029,0.5850373,0.6704655,0.8429772,1.178992,872.6526,0,0,0.01921472,0.0199491,0.02979353,0.1201562,35.94098,0,0,0.5681829,472.2278,0.1445862,40.8163
1,10,135,0.3773458,-0.1810196,0.9082081,1,7.458839,False,-0.0004539378,-0.002220869,0.0104292,0.0106727,-0.02232338,0.01055401,0.0002408415,0.9996951,2.829984,-0.9040285,0.4274051,0.009753344,0.4615779,0.5716122,0.6648626,1.287198,635.3279,0,0,0.03079768,0.0297773,0.02913778,0.1183532,45.61953,0,0,0.7058701,353.3365,0.1211881,37.98035
1,11,135,0.05431158,-0.06422172,0.9964566,1,9.346707,False,-0.005537014,-0.003426552,0.01011956,0.0120335,-0.005708231,-0.04598475,0.0440086,0.997956,7.32809,-0.08932214,-0.7195673,0.6886446,0.5006511,0.5279397,0.7359335,1.999448,1016.565,0,0,0.06623393,0.05111195,0.07782277,0.3168764,92.9315,0,0,1.067815,529.7433,0.4532124,104.2751
