Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1772978702357,0.0139382,0.05002932,0.9117287,0.2557986,0.9482538,-0.425117,-0.4323841,-0.4346473,0.6658839,96.49966,-0.5698195,-0.5795603,-0.5825938,-0.05442327,0.9975849,0.2791373,1.037331,-0.05229535,1.02795,0.2877222,1.068738,-0.04819795,1.023669,0.3092238,1.070439,-0.02188884,-0.08050633,0.108048,0.1365092,-0.01966976,-0.0722515,0.1383308,0.1572977,0.002465649,-0.07357444,0.139138,0.1574124,0,0,0,0,0,0,0,0,0,1,0,0,-0.2250645,0.8140379,0.1711087,0.8617366,0.206267,-0.2525169,-0.6118935,-0.7206078,272.2094,0.2974964,-0.3642019,-0.8825263,-0.1472307,0.8890948,0.2457215,0.9341015,-0.1364348,0.9009786,0.2718225,0.9509281,-0.1356515,0.8866558,0.2912182,0.943063,0.02189478,-0.06308165,0.1123585,0.1307023,0.01641218,-0.07140379,0.1411709,0.1590506,-0.006467162,-0.07431207,0.1478121,0.1655672,0,0,0,0,0,0,0,0,0,1,0,0,-0.05021919,0.9997631,0.2995631,1.044886,0.004434957,-0.005500772,-0.0009105804,0.9999746,0.8166075,0.6223426,-0.7719048,-0.1277787,0.1002192,0.0002368689,0.000436902,0.1002204,-0.1169893,0.4918298,0.7752134,0.3787628,135.4859,-0.1264074,0.5314242,0.8376214,0.02738331,1.065508,-0.04366266,1.066754,0.07840403,0.01675687,0.008580906,-0.9967439,350.7502,0.9723659,0.2078185,0.1064203,False
1772978702371,0.0278701,0.04991654,0.9115061,0.254176,0.9475971,-0.422834,-0.4294584,-0.4404341,0.6654282,96.56963,-0.5664509,-0.5753254,-0.5900289,-0.05354887,0.9979453,0.2787247,1.037521,-0.0514859,1.027518,0.2867526,1.068022,-0.04770071,1.022915,0.3081067,1.069374,-0.02115049,-0.08034375,0.1081015,0.1363392,-0.01967194,-0.0723818,0.1375642,0.1566844,0.002320424,-0.07389026,0.1383171,0.1568336,0,0,0,0,0,0,0,0,0,1,0,0,-0.2253067,0.814093,0.1711631,0.8618627,0.2060629,-0.2528813,-0.6117497,-0.7206604,272.2181,0.2972255,-0.3647564,-0.8823887,-0.1474087,0.8890951,0.2457443,0.9341358,-0.1365942,0.9010226,0.2718407,0.9509979,-0.1357976,0.8866941,0.2912403,0.9431269,0.0218462,-0.06305999,0.1123672,0.1306913,0.01639375,-0.07136925,0.1412098,0.1590677,-0.00649281,-0.0742863,0.1478475,0.1655883,0,0,0,0,0,0,0,0,0,1,0,0,-0.04972152,0.9999523,0.2985005,1.044739,0.009512782,-0.007216126,-0.005239049,0.999915,1.494069,0.7296133,-0.5534639,-0.4018257,0.09972152,4.768372E-05,0.001499474,0.09973281,-0.1181181,0.4890126,0.7791361,0.3739809,136.0773,-0.1273598,0.5272735,0.8400965,0.02705976,1.065349,-0.04359412,1.066584,0.07791831,0.01728472,0.008454846,-0.996774,350.7931,0.9708338,0.2153613,0.1053443,False
1772978702384,0.0418658,0.04943497,0.9112633,0.2538301,0.9472457,-0.4226987,-0.4236951,-0.4458106,0.6656284,96.53889,-0.5664051,-0.5677403,-0.5973745,-0.05270248,0.9988142,0.2797632,1.038593,-0.05050088,1.027755,0.2877818,1.06848,-0.04697163,1.021576,0.3084778,1.068167,-0.02095928,-0.08012372,0.1082574,0.1363039,-0.01969446,-0.07245576,0.13719,0.1563931,0.001981261,-0.0744295,0.1365904,0.1555655,0,0,0,0,0,0,0,0,0,1,0,0,-0.2254621,0.8140392,0.171281,0.861876,0.2059662,-0.2527096,-0.6121522,-0.7204065,272.1761,0.2969729,-0.36437,-0.8826334,-0.147629,0.8890506,0.2459118,0.9341723,-0.1368248,0.9009813,0.2719921,0.9510353,-0.136015,0.8866476,0.2914019,0.9431645,0.02180552,-0.06305565,0.1123716,0.1306862,0.01636864,-0.07136066,0.1412015,0.1590539,-0.006526392,-0.07427406,0.1478536,0.1655896,0,0,0,0,0,0,0,0,0,1,0,0,-0.04901809,1.000421,0.2993612,1.0454,0.01448345,-0.005657539,-0.01115821,0.9998169,2.192931,0.7569058,-0.2956632,-0.5831287,0.09901808,-0.0004208088,0.000638783,0.09902104,-0.1158856,0.4851839,0.7839501,0.3695803,136.6205,-0.1247156,0.5221528,0.8436838,0.0268269,1.065054,-0.04353968,1.066281,0.07702827,0.01759129,0.008175728,-0.9968402,350.888,0.9697243,0.2214603,0.1029259,False
1772978702398,0.0558477,0.04955009,0.911267,0.253703,0.9472212,-0.420863,-0.4217557,-0.4470918,0.6671621,96.30318,-0.5649831,-0.5661815,-0.6001937,-0.05243834,0.998757,0.2803686,1.038688,-0.05029088,1.027401,0.2884504,1.06831,-0.04714457,1.020364,0.3086473,1.067066,-0.02091806,-0.08003721,0.1083176,0.1362946,-0.01972899,-0.07247767,0.1370018,0.1562426,0.001597271,-0.0749271,0.1356737,0.1549967,0,0,0,0,0,0,0,0,0,1,0,0,-0.2255239,0.8139638,0.171249,0.8618146,0.2060406,-0.2527806,-0.6123288,-0.7202102,272.1437,0.2969929,-0.3643653,-0.8826285,-0.1477016,0.8889722,0.245876,0.9340997,-0.1369303,0.9009582,0.2719467,0.9510155,-0.1361078,0.8866376,0.2913688,0.9431582,0.02174888,-0.06307764,0.1123584,0.130676,0.0163463,-0.07134428,0.1412077,0.1590497,-0.006547485,-0.07425793,0.1478732,0.1656007,0,0,0,0,0,0,0,0,0,1,0,0,-0.04881213,1.000165,0.2999321,1.04531,0.01775271,-0.00504324,-0.01139592,0.9997647,2.485706,0.8184717,-0.2325137,-0.5253977,0.09881213,-0.0001652241,6.79493E-05,0.0988123,-0.1165386,0.4824214,0.7856811,0.3693149,136.6533,-0.1254041,0.5191211,0.8454509,0.02657593,1.064925,-0.04343657,1.066142,0.07617906,0.01769349,0.007867509,-0.9969061,350.9836,0.9691803,0.2251036,0.1000936,False
1772978702412,0.0692862,0.04951988,0.9112225,0.2535666,0.9471403,-0.4209939,-0.4207296,-0.4509767,0.6651096,96.61852,-0.5637714,-0.5634176,-0.6039228,-0.05101739,1.00063,0.2798431,1.040277,-0.0495123,1.027761,0.288135,1.068534,-0.04715674,1.019575,0.3074913,1.065977,-0.02122033,-0.07891884,0.109189,0.1363845,-0.01974326,-0.07253452,0.1366834,0.1559917,0.0009082112,-0.07571976,0.1342237,0.1541113,0,0,0,0,0,0,0,0,0,1,0,0,-0.2256487,0.8138757,0.1712769,0.8617696,0.2058552,-0.2525087,-0.6124614,-0.7202458,272.1496,0.2967415,-0.3639928,-0.8828669,-0.1478296,0.8887897,0.2459823,0.9339743,-0.1370938,0.9007919,0.2720444,0.9509096,-0.1362708,0.8864587,0.2914546,0.9430401,0.0216969,-0.06310514,0.11234,0.1306648,0.01632671,-0.07133707,0.1411913,0.1590299,-0.006565283,-0.07425128,0.1478553,0.1655824,0,0,0,0,0,0,0,0,0,1,0,0,-0.04829134,1.000799,0.2996554,1.045813,0.01889822,-0.006858507,-0.01536591,0.9996798,2.899929,0.7468585,-0.2710485,-0.6072614,0.09829134,-0.0007990599,0.0003446341,0.09829519,-0.1164138,0.482631,0.7874972,0.3651896,137.1615,-0.1250507,0.5184379,0.8459224,0.0263804,1.064942,-0.04328664,1.066148,0.07565956,0.01784996,0.007159303,-0.9969482,351.0453,0.9691809,0.2286538,0.09170896,False
1772978702426,0.0833119,0.0494682,0.9111692,0.2534255,0.9470485,-0.4207622,-0.4194465,-0.4561925,0.6625045,97.01767,-0.5617219,-0.5599654,-0.6090217,-0.04951327,1.002491,0.2793579,1.041864,-0.04855108,1.028151,0.2877862,1.068772,-0.04693524,1.019104,0.3064001,1.065202,-0.02144258,-0.07792602,0.1099352,0.1364478,-0.01976148,-0.07261133,0.1362397,0.1556412,0.0002766985,-0.07637718,0.1329456,0.1533234,0,0,0,0,0,0,0,0,0,1,0,0,-0.2257723,0.8137807,0.171304,0.8617176,0.2056406,-0.252194,-0.6126013,-0.7202984,272.1583,0.2964555,-0.3635678,-0.8831379,-0.1479534,0.8885866,0.2460963,0.9338307,-0.1372569,0.9006042,0.2721483,0.950785,-0.1364339,0.8862544,0.2915426,0.9428988,0.02164248,-0.06313816,0.1123179,0.1306527,0.01630778,-0.07133209,0.1411693,0.1590062,-0.006582365,-0.07424741,0.1478287,0.1655577,0,0,0,0,0,0,0,0,0,1,0,0,-0.04766149,1.001569,0.299348,1.046433,0.02073194,-0.009468153,-0.02041506,0.9995318,3.506693,0.67759,-0.3094514,-0.6672334,0.0976615,-0.001568913,0.0006519854,0.09767627,-0.1166276,0.4827016,0.7899281,0.3597372,137.8319,-0.1249955,0.5173352,0.8466051,0.02610034,1.064938,-0.04321332,1.066134,0.07572325,0.0179124,0.006657533,-0.9969457,351.0416,0.9696033,0.2293605,0.08524682,False
1772978702440,0.0972263,0.04970916,0.9109633,0.2530137,0.9467529,-0.4194203,-0.4212178,-0.4625864,0.6577812,97.73826,-0.5568445,-0.5592309,-0.614154,-0.04826591,1.003632,0.2779158,1.042518,-0.04757027,1.028795,0.2862573,1.068937,-0.04677701,1.018384,0.3042689,1.063895,-0.02135799,-0.07747488,0.1102579,0.136438,-0.01977815,-0.07264152,0.1361468,0.1555761,-7.965185E-05,-0.07706752,0.1315203,0.1524369,0,0,0,0,0,0,0,0,0,1,0,0,-0.2257039,0.8138059,0.1712129,0.8617054,0.2057156,-0.2519374,-0.6126581,-0.7203185,272.1616,0.2965726,-0.3632087,-0.8832465,-0.1479228,0.8885821,0.2460738,0.9338156,-0.1372554,0.9005923,0.2721085,0.9507621,-0.1364439,0.886257,0.2915158,0.9428944,0.02161327,-0.06315293,0.1123149,0.1306524,0.01628943,-0.07133302,0.1411431,0.1589815,-0.006596412,-0.07423945,0.1478261,0.1655523,0,0,0,0,0,0,0,0,0,1,0,0,-0.0470828,1.002278,0.2978249,1.046651,0.02159005,-0.01601155,-0.02536823,0.9993168,4.23625,0.5841511,-0.4332164,-0.6863754,0.09708279,-0.002278328,0.002175063,0.09713388,-0.1195498,0.4849882,0.7913509,0.3525026,138.7191,-0.12775,0.5182546,0.8456313,0.02591066,1.065078,-0.04302741,1.066262,0.0755657,0.01801751,0.006216057,-0.9969587,351.0606,0.9696349,0.2311949,0.07976245,False
1772978702454,0.1110525,0.0497341,0.9107853,0.253082,0.9466012,-0.39903,-0.4254802,-0.4922062,0.6461229,99.50017,-0.5228151,-0.5574706,-0.6448961,-0.04634324,1.006066,0.27571,1.04419,-0.04606484,1.030056,0.2850614,1.069765,-0.04698811,1.017913,0.3020326,1.062817,-0.0215479,-0.07675894,0.1107861,0.1364911,-0.01981177,-0.0726871,0.1360185,0.1554894,-0.0004549877,-0.07759763,0.1302683,0.1516293,0,0,0,0,0,0,0,0,0,1,0,0,-0.2259662,0.8136443,0.1713955,0.8616578,0.2051382,-0.2510766,-0.6133661,-0.7201813,272.1389,0.2956794,-0.3618934,-0.8840855,-0.148278,0.8883234,0.2464304,0.9337199,-0.137678,0.9003316,0.272542,0.9507005,-0.1368496,0.8859775,0.2919096,0.9428124,0.021593,-0.06317111,0.1122959,0.1306415,0.01626597,-0.0712968,0.1411822,0.1589976,-0.006596916,-0.07420193,0.1478723,0.1655768,0,0,0,0,0,0,0,0,0,1,0,0,-0.04697744,1.003244,0.2956665,1.046959,0.04110665,-0.04538012,-0.03950584,0.9973416,8.357497,0.564124,-0.6227707,-0.5421555,0.09697744,-0.003243923,0.004333556,0.09712841,-0.1425385,0.481737,0.8015823,0.3241574,142.1709,-0.1506745,0.5092341,0.8473358,0.02562545,1.064892,-0.04294601,1.066066,0.07589893,0.01800094,0.00583567,-0.996936,351.0273,0.9703036,0.2301268,0.0746041,False
1772978702467,0.1252285,0.04987681,0.9107625,0.2529134,0.9465417,-0.3759091,-0.4287053,-0.5122477,0.6422666,100.0779,-0.4904348,-0.5593161,-0.6683109,-0.04547937,1.007023,0.2749529,1.044875,-0.04652478,1.029168,0.2851378,1.068951,-0.04842246,1.016218,0.3014235,1.061084,-0.02184013,-0.07551477,0.1116844,0.1365755,-0.01986567,-0.07273357,0.1357167,0.1552541,-0.0005812313,-0.07777322,0.1298167,0.151332,0,0,0,0,0,0,0,0,0,1,0,0,-0.2259563,0.8136895,0.1712995,0.8616788,0.2051123,-0.2510892,-0.6133037,-0.7202373,272.1482,0.2956669,-0.361942,-0.8840697,-0.1482535,0.8883172,0.2463481,0.9336883,-0.1376711,0.9003588,0.2724686,0.9507042,-0.1368484,0.8860223,0.2918397,0.9428326,0.02155715,-0.06317867,0.1122838,0.1306289,0.0162501,-0.07127918,0.1411962,0.1590005,-0.006601478,-0.07417824,0.1478997,0.1655908,0,0,0,0,0,0,0,0,0,1,0,0,-0.04810064,1.002229,0.2947407,1.045776,0.06211657,-0.06774852,-0.04317348,0.9948305,11.65674,0.6116906,-0.667151,-0.4251493,0.09810065,-0.002228618,0.005259305,0.0982668,-0.1657881,0.4732206,0.8089095,0.3069888,144.2443,-0.1741996,0.4972304,0.849951,0.02535477,1.064811,-0.04293375,1.065978,0.07583571,0.01803536,0.005529324,-0.9969419,351.0359,0.9704271,0.2307884,0.07075566,False
1772978702482,0.1388641,0.05042891,0.9104694,0.2523891,0.946149,-0.3576219,-0.4374359,-0.5356927,0.6275268,102.2642,-0.459317,-0.5618272,-0.6880248,-0.04360819,1.00878,0.2710379,1.045467,-0.04507811,1.030342,0.2815812,1.069077,-0.04834547,1.017549,0.2976831,1.0613,-0.02191982,-0.07514963,0.111964,0.1366158,-0.01991642,-0.07272953,0.1356811,0.1552276,-0.0005492794,-0.0777818,0.1303336,0.15178,0,0,0,0,0,0,0,0,0,1,0,0,-0.2260147,0.8135458,0.1713389,0.8615663,0.2049126,-0.2507831,-0.6135808,-0.7201649,272.1362,0.2953469,-0.3614615,-0.8843732,-0.1483463,0.8881163,0.246466,0.9335431,-0.1378126,0.9001902,0.2726092,0.9506053,-0.1369544,0.8858112,0.2919273,0.9426767,0.02151717,-0.06319194,0.1122747,0.1306209,0.01623384,-0.07124409,0.141221,0.1590051,-0.006610421,-0.07417677,0.1478779,0.165571,0,0,0,0,0,0,0,0,0,1,0,0,-0.04783832,1.003249,0.2904769,1.045549,0.07432386,-0.09786452,-0.0535036,0.9909772,15.40511,0.5545302,-0.7301671,-0.3991903,0.09783831,-0.003248811,0.009523094,0.09835435,-0.1882256,0.4745573,0.8125442,0.2813157,147.3225,-0.196147,0.4945287,0.8467395,0.02509419,1.064719,-0.04293025,1.06588,0.07585621,0.01830105,0.005174476,-0.9969374,351.0294,0.9699795,0.234017,0.06616645,False
