Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Thumb Tip Euro Position X,Right Thumb Tip Euro Position Y,Right Thumb Tip Euro Position Z,Right Thumb Tip Euro Position Magnitude,Right Index Tip Euro Position X,Right Index Tip Euro Position Y,Right Index Tip Euro Position Z,Right Index Tip Euro Position Magnitude,Right Middle Tip Euro Position X,Right Middle Tip Euro Position Y,Right Middle Tip Euro Position Z,Right Middle Tip Euro Position Magnitude,Right Triangle Local Position X,Right Triangle Local Position Y,Right Triangle Local Position Z,Right Triangle Local Position Magnitude,Right Triangle Local Rotation X,Right Triangle Local Rotation Y,Right Triangle Local Rotation Z,Right Triangle Local Rotation W,Right Triangle Local Rotation Angle,Right Triangle Local Rotation Axis X,Right Triangle Local Rotation Axis Y,Right Triangle Local Rotation Axis Z,Right Triangle Area,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Right Angle Scale Factor,Right Is Grabbed,Right Is Rotating,Right Is Clutching,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Thumb Tip Euro Position X,Left Thumb Tip Euro Position Y,Left Thumb Tip Euro Position Z,Left Thumb Tip Euro Position Magnitude,Left Index Tip Euro Position X,Left Index Tip Euro Position Y,Left Index Tip Euro Position Z,Left Index Tip Euro Position Magnitude,Left Middle Tip Euro Position X,Left Middle Tip Euro Position Y,Left Middle Tip Euro Position Z,Left Middle Tip Euro Position Magnitude,Left Triangle Local Position X,Left Triangle Local Position Y,Left Triangle Local Position Z,Left Triangle Local Position Magnitude,Left Triangle Local Rotation X,Left Triangle Local Rotation Y,Left Triangle Local Rotation Z,Left Triangle Local Rotation W,Left Triangle Local Rotation Angle,Left Triangle Local Rotation Axis X,Left Triangle Local Rotation Axis Y,Left Triangle Local Rotation Axis Z,Left Triangle Area,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Left Angle Scale Factor,Left Is Grabbed,Left Is Rotating,Left Is Clutching,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1772979664994,0.0226207,0.03503115,0.9021576,0.2245325,0.9303389,-0.1807996,-0.2886125,-0.699695,0.6280456,102.1879,-0.2323375,-0.3708831,-0.8991469,-0.05017081,1.003979,0.2773031,1.042779,-0.04183608,1.019663,0.3079074,1.06596,-0.05284898,0.9787619,0.2945513,1.023488,-0.03291366,-0.07653853,0.1105819,0.138455,-0.02760741,-0.06403033,0.1420668,0.1582562,-0.003319036,-0.07504746,0.1082841,0.1317899,-0.0393221,-0.07743024,0.1086463,0.1390888,-0.03370632,-0.05308862,0.1552358,0.1674893,-0.0002965047,-0.07302404,0.1254141,0.1451251,-0.0261692,-0.06653794,0.1318271,0.1499684,-0.1757672,0.5222809,-0.1757492,0.8157456,70.6777,-0.3038795,0.9029583,-0.3038483,9.835389,-0.01628255,-0.07604886,0.1268576,0.1487999,0.2698697,0.3176447,0.6921558,0.5892305,107.7952,0.3340116,0.3931416,0.8566656,1.3,True,True,False,-0.218585,0.7870854,-0.02624821,0.8172954,0.204508,-0.1620452,-0.7795483,-0.5694053,249.4175,0.2487759,-0.1971216,-0.9482899,-0.2055083,0.8978052,0.05409729,0.9226127,-0.1817416,0.8967975,0.09208257,0.9196494,-0.1663588,0.8806766,0.1042142,0.9022899,0.04555338,-0.04263895,0.1176566,0.1331776,0.02005015,-0.06359366,0.1458882,0.1604043,-0.002695726,-0.07291192,0.1464565,0.1636243,0.04579102,-0.04372075,0.1173034,0.1332982,0.02008166,-0.06357451,0.145907,0.1604177,-0.002542004,-0.07294921,0.1463213,0.1635175,0.02805727,-0.05473088,0.1288247,0.1427533,-0.4719161,-0.2209365,0.8487184,-0.09032881,190.3651,-0.4738532,-0.2218434,0.8522022,3.591587,0,0,0,0,0,0,0,0,0,1,0,0,0.4482868,False,True,False,-0.05,1,0.3,1.045227,0.04393642,-0.0128173,0.02587342,0.998617,6.027398,0.835694,-0.2437918,0.4921263,0.09999999,0,0,0.09999999,0.1083665,0.1790838,-0.9083138,0.362149,137.5356,0.1162581,0.1921252,-0.9744599,0.01067931,1.073551,-0.1254742,1.080911,0.03150974,0.03189567,0.0005479958,-0.9989943,354.8603,0.7027534,0.7113608,0.01222181,False
1772979665000,0.0287204,0.03506818,0.9009122,0.2248237,0.929203,-0.1780228,-0.2989274,-0.706838,0.6158981,103.9656,-0.2259672,-0.3794333,-0.8972008,-0.04868968,1.00307,0.2777229,1.041946,-0.04392389,1.016529,0.3026077,1.061524,-0.05305591,0.9784601,0.2889571,1.021614,-0.02943917,-0.07508998,0.1118606,0.1379056,-0.02528019,-0.06649124,0.1379718,0.1552301,-0.003710207,-0.07551755,0.1052965,0.1296303,-0.03825914,-0.07718839,0.108982,0.1389204,-0.03281807,-0.05455995,0.1533211,0.1660156,-0.0006558209,-0.07328971,0.1230721,0.143243,-0.02531321,-0.06694803,0.1308919,0.1491827,-0.1733637,0.5434391,-0.1675996,0.8040705,72.95882,-0.2915959,0.914059,-0.2819008,8.999729,-0.01539927,-0.07647207,0.1258925,0.1481015,0.2978353,0.3289056,0.6861902,0.5764187,109.6019,0.3644785,0.402501,0.8397312,1.3,True,True,False,-0.2186554,0.7872207,-0.0256972,0.817427,0.205456,-0.1602121,-0.7800375,-0.5689126,249.3489,0.2498255,-0.1948108,-0.9484914,-0.2066472,0.8976326,0.0551075,0.922759,-0.1824317,0.8967812,0.09289402,0.9198517,-0.1670814,0.8806891,0.1051791,0.9025476,0.04542712,-0.04207196,0.117826,0.1331039,0.0200412,-0.06360446,0.1458306,0.160355,-0.002750168,-0.07289509,0.1465199,0.1636745,0.04575344,-0.04354977,0.1173574,0.1332768,0.02007748,-0.0635776,0.1458991,0.1604113,-0.002563514,-0.07294363,0.1463418,0.1635336,0.0280265,-0.054626,0.1288617,0.1427404,-0.471104,-0.2236466,0.8487049,-0.08799573,190.0966,-0.4729386,-0.2245176,0.8520099,3.588831,0,0,0,0,0,0,0,0,0,1,0,0,0.5063559,False,True,False,-0.05126304,0.9981996,0.2984964,1.043135,0.08544735,-0.03424896,0.0428815,0.9948301,11.65721,0.8414055,-0.3372517,0.4222569,0.101263,0.001800418,0.001503646,0.1012902,0.1092386,0.2264276,-0.90342,0.3473183,139.3533,0.1164904,0.241459,-0.9633938,0.01131342,1.073762,-0.1243821,1.081001,0.03193165,0.03152712,0.0009204575,-0.9989923,354.8551,0.7114464,0.7024335,0.02050806,False
1772979665018,0.0455352,0.03550124,0.9007635,0.2249168,0.9290978,-0.165992,-0.3086476,-0.7163039,0.6034005,105.7723,-0.2081566,-0.3870489,-0.8982561,-0.04874765,1.003703,0.2752995,1.041915,-0.04487696,1.016975,0.2991777,1.061018,-0.05599342,0.9807382,0.2866216,1.023296,-0.0285227,-0.07524418,0.1119227,0.1378474,-0.02501339,-0.06706619,0.137137,0.1546935,-0.003346838,-0.07757089,0.1068464,0.132078,-0.03581797,-0.07671884,0.1096986,0.138573,-0.03089403,-0.05775196,0.1491455,0.162893,-0.001315355,-0.07435028,0.1187316,0.140096,-0.0233348,-0.06814629,0.1287708,0.1475477,-0.1625827,0.5892454,-0.1577572,0.7755446,78.29113,-0.2575392,0.9333948,-0.2498954,7.335664,-0.01335779,-0.07770852,0.1237038,0.1466959,0.3470735,0.344039,0.6686546,0.560427,111.8293,0.4190677,0.4154037,0.8073549,1.299999,True,True,False,-0.2188514,0.7873037,-0.02531295,0.8175475,0.2056058,-0.1582417,-0.7791306,-0.5706499,249.5911,0.2503744,-0.1926973,-0.9487783,-0.2068733,0.8972176,0.05601032,0.9224603,-0.1827181,0.8963433,0.09375944,0.9195695,-0.1674754,0.8801829,0.1061447,0.9022397,0.04523693,-0.04194783,0.1178383,0.1330108,0.02002719,-0.06359749,0.145816,0.1603373,-0.002795317,-0.07287388,0.1466011,0.1637385,0.04562895,-0.04316199,0.1174734,0.1332102,0.02006537,-0.06358239,0.1458791,0.1603934,-0.002619401,-0.07292684,0.1464042,0.163583,0.02792444,-0.05439036,0.1289508,0.1427109,-0.4688669,-0.2299681,0.8488171,-0.08238925,189.4518,-0.4704664,-0.2307526,0.8517128,3.582305,0,0,0,0,0,0,0,0,0,1,0,0,0.4695112,False,True,False,-0.05158611,0.9982772,0.2951454,1.042271,0.1081824,-0.0580988,0.04566709,0.9913808,15.05618,0.8257422,-0.4434606,0.3485709,0.1015861,0.001722813,0.004854649,0.1017166,0.1213985,0.2560467,-0.895575,0.3429987,139.8806,0.1292386,0.2725826,-0.9534128,0.01201814,1.073868,-0.1232823,1.080988,0.03241397,0.03118621,0.001829486,-0.9989862,354.8398,0.720044,0.6927706,0.04064021,False
1772979665028,0.0563493,0.03526756,0.900336,0.2256806,0.9288597,-0.1697093,-0.3090028,-0.7147269,0.6040543,105.6784,-0.2129503,-0.3877351,-0.8968354,-0.04912551,1.002868,0.2765162,1.04145,-0.04492275,1.016828,0.3000356,1.061122,-0.05672508,0.9811661,0.2881777,1.024183,-0.02764321,-0.0754137,0.1119716,0.1378006,-0.02473429,-0.06714766,0.1373162,0.1548429,-0.003162982,-0.07820346,0.107825,0.1332367,-0.03436233,-0.07649675,0.1100893,0.1383914,-0.02981815,-0.05945779,0.1469689,0.1613203,-0.001634715,-0.07502504,0.1166507,0.138704,-0.02220936,-0.06888494,0.1276214,0.1467161,-0.1542249,0.6148368,-0.1542853,0.757883,81.44417,-0.2363997,0.9424366,-0.2364922,6.504964,-0.01219648,-0.07847071,0.1225179,0.1460035,0.3835703,0.3526577,0.6524022,0.5503434,113.2189,0.4593995,0.4223757,0.7813777,1.299981,True,True,False,-0.2192101,0.7873292,-0.02445195,0.8176419,0.2067357,-0.1571832,-0.7782075,-0.5717928,249.7507,0.2519944,-0.1915938,-0.9485731,-0.2073064,0.8970326,0.05703875,0.9224407,-0.1833189,0.8962344,0.09483931,0.9196936,-0.1681979,0.8800687,0.107458,0.9024182,0.04509132,-0.04190926,0.1178253,0.1329376,0.0200226,-0.06357738,0.145843,0.1603532,-0.002853499,-0.07282224,0.1468047,0.1638989,0.04553772,-0.04294832,0.1175331,0.1331626,0.02005812,-0.06358154,0.145873,0.1603866,-0.002659122,-0.07290912,0.1464721,0.1636364,0.02784693,-0.05426021,0.1290113,0.1427008,-0.4672318,-0.2335681,0.8490712,-0.07885758,189.0458,-0.4686914,-0.2342978,0.8517236,3.577524,0,0,0,0,0,0,0,0,0,1,0,0,0.449451,False,True,False,-0.05340031,0.9967371,0.2912889,1.039801,0.1564557,-0.1029999,0.0520461,0.98092,22.42076,0.8047636,-0.5298024,0.2677103,0.1034003,0.003262877,0.00871107,0.1038179,0.141584,0.3163825,-0.876923,0.3329602,141.1029,0.1501515,0.3355274,-0.9299871,0.01282323,1.073861,-0.1224418,1.080894,0.03303163,0.03083595,0.002666245,-0.998975,354.8112,0.7297302,0.6812235,0.0589023,False
1772979665042,0.0704438,0.03531225,0.8994395,0.2258691,0.9280384,-0.171759,-0.3114825,-0.713848,0.6032401,105.7954,-0.2153557,-0.3905444,-0.8950403,-0.04923639,1.001999,0.2763072,1.040563,-0.04487686,1.016573,0.2995761,1.060745,-0.05713236,0.9811319,0.2883055,1.024209,-0.02714071,-0.07549475,0.1120052,0.1377724,-0.02469019,-0.06715285,0.1375049,0.1550055,-0.003035896,-0.07856187,0.1085062,0.1339955,-0.0327675,-0.0762853,0.1104976,0.1382132,-0.02870668,-0.0611868,0.1448142,0.1598095,-0.001934587,-0.07579221,0.1147392,0.1375256,-0.02103033,-0.06970727,0.1264618,0.1459245,-0.1430183,0.6414139,-0.1522526,0.7382094,84.8418,-0.2120135,0.9508462,-0.2257027,5.701892,-0.01097984,-0.07931925,0.1213212,0.1453649,0.4227528,0.3589496,0.6323926,0.5408465,114.5174,0.5026062,0.4267513,0.7518447,1.299547,True,True,False,-0.2198811,0.7871675,-0.02269588,0.8176157,0.2070176,-0.1554685,-0.7788318,-0.5713094,249.6832,0.2522345,-0.189426,-0.9489446,-0.2081921,0.896297,0.05925635,0.9220648,-0.1844756,0.895871,0.09692716,0.9197886,-0.1694129,0.8797637,0.1097707,0.9026265,0.04462634,-0.04197091,0.1177602,0.1327423,0.0200181,-0.06357502,0.145847,0.1603554,-0.002910092,-0.07276963,0.1470387,0.1640861,0.04534588,-0.04274165,0.1175809,0.1330728,0.02004972,-0.06358017,0.1458675,0.1603801,-0.002711911,-0.07287984,0.1465912,0.1637309,0.0276875,-0.05414127,0.1290925,0.1426981,-0.4646083,-0.2376519,0.8497809,-0.07438503,188.5318,-0.4658991,-0.2383121,0.8521417,3.570549,0,0,0,0,0,0,0,0,0,1,0,0,0.4378472,False,True,False,-0.05414127,0.9950448,0.2916604,1.038321,0.1887587,-0.1204626,0.05941612,0.9727943,26.79089,0.814772,-0.5199736,0.2564682,0.1041413,0.004955173,0.008339614,0.1045921,0.1431392,0.352157,-0.8660813,0.3246537,142.1108,0.1513366,0.3723246,-0.9156809,0.01373065,1.07394,-0.1216471,1.080895,0.03306407,0.03005272,0.003198507,-0.9989962,354.8652,0.73812,0.6708948,0.07140324,False
1772979665055,0.0839946,0.0350621,0.8986102,0.2258673,0.9272248,-0.1750052,-0.3108602,-0.7125992,0.604104,105.6712,-0.219606,-0.3900841,-0.8942079,-0.04923155,1.001269,0.2765397,1.039922,-0.04472827,1.01598,0.2997181,1.06021,-0.0569992,0.9804729,0.2886404,1.023665,-0.02707672,-0.07549248,0.1120266,0.137776,-0.02467229,-0.06715371,0.1375514,0.1550443,-0.003016462,-0.07852793,0.1085284,0.133993,-0.03154704,-0.07612306,0.1108136,0.1380927,-0.02785768,-0.0624875,0.1432097,0.1587128,-0.002158945,-0.07636759,0.113329,0.1366753,-0.02012732,-0.07036041,0.1255414,0.1453146,-0.1328962,0.6630982,-0.1507616,0.7210481,87.71783,-0.1918013,0.9570106,-0.2175853,5.128153,-0.01004805,-0.07999326,0.1203715,0.1448764,0.4551471,0.3630035,0.614398,0.5325269,115.6473,0.5377362,0.4288727,0.7258842,1.29541,True,True,False,-0.2200762,0.7876382,-0.02201046,0.8181026,0.2069787,-0.1549512,-0.7786251,-0.5717456,249.7441,0.2522805,-0.1888657,-0.949044,-0.2083842,0.8966578,0.06005909,0.9225108,-0.1846701,0.8962027,0.09770364,0.9202328,-0.1696342,0.8800626,0.1106332,0.9030646,0.04461033,-0.04195234,0.1177543,0.1327259,0.02003602,-0.06358785,0.1458121,0.160331,-0.00294215,-0.07277407,0.1470759,0.164122,0.04519573,-0.04257983,0.1176163,0.1330011,0.02004693,-0.06358173,0.1458563,0.1603701,-0.002758856,-0.07285831,0.14669,0.1638106,0.0275564,-0.05405176,0.1291589,0.1426989,-0.4624236,-0.2409757,0.8503622,-0.07056392,188.0928,-0.4635791,-0.2415779,0.8524873,3.564853,0,0,0,0,0,0,0,0,0,1,0,0,0.4168478,False,True,False,-0.05498902,0.9930131,0.2908354,1.036187,0.2213824,-0.1450936,0.06542959,0.9621106,31.64518,0.8119372,-0.5321419,0.2399681,0.104989,0.006986916,0.009164661,0.1056196,0.1509516,0.3904703,-0.8515188,0.3156937,143.1946,0.1590872,0.4115147,-0.8974113,0.01471373,1.074132,-0.120958,1.081021,0.0328862,0.02932294,0.003463847,-0.9990228,354.9338,0.7440844,0.6634619,0.07837312,False
1772979665068,0.0977058,0.03477113,0.8977033,0.225945,0.9263539,-0.1795287,-0.310181,-0.7109857,0.6050261,105.5386,-0.2254802,-0.389574,-0.8929673,-0.04913266,1.000566,0.2768572,1.039325,-0.04444386,1.015432,0.2998833,1.05972,-0.05674704,0.9798256,0.2891006,1.023161,-0.02700442,-0.07548932,0.1120491,0.1377784,-0.02464631,-0.06716643,0.1375697,0.1550619,-0.002967097,-0.07848709,0.1085203,0.1339615,-0.03056355,-0.07599213,0.1110713,0.1380064,-0.02717525,-0.06351591,0.1419535,0.157872,-0.00232799,-0.0768173,0.1122314,0.1360229,-0.01939703,-0.07089899,0.1247792,0.1448198,-0.1236399,0.6813185,-0.149504,0.7058094,90.21005,-0.1745335,0.9617684,-0.2110441,4.693549,-0.009294488,-0.08054896,0.119585,0.1444822,0.4822864,0.3655321,0.5983858,0.525091,116.6513,0.5666984,0.4295092,0.703118,1.272461,True,True,False,-0.2202521,0.7880377,-0.02141029,0.8185186,0.2069202,-0.1545382,-0.7784328,-0.5721402,249.7992,0.2522937,-0.1884254,-0.9491279,-0.208545,0.8969664,0.06075302,0.9228926,-0.1848267,0.8964845,0.09836446,0.920609,-0.1698142,0.8803124,0.1113836,0.9034341,0.0446012,-0.04193726,0.117747,0.1327116,0.02005867,-0.06360327,0.1457711,0.1603027,-0.002972678,-0.07278134,0.1471094,0.1641558,0.04507319,-0.04244686,0.1176432,0.1329408,0.02004934,-0.06358616,0.1458388,0.1603563,-0.002802865,-0.0728425,0.1467763,0.1638816,0.02744248,-0.05398228,0.1292161,0.1427024,-0.4605007,-0.2438513,0.8508676,-0.06708326,187.693,-0.4615404,-0.2444019,0.8527886,3.559739,0,0,0,0,0,0,0,0,0,1,0,0,0.4015088,False,True,False,-0.05560128,0.9910961,0.2907955,1.034372,0.2494453,-0.1630641,0.06964161,0.9520175,35.64193,0.8150646,-0.5328134,0.2275545,0.1056013,0.008903861,0.009204477,0.106375,0.1547748,0.4219651,-0.8381823,0.308935,144.0099,0.1627353,0.4436679,-0.8812923,0.0156292,1.074361,-0.1202567,1.081184,0.03299297,0.02824821,0.003655133,-0.9990496,355.0038,0.7569549,0.6480963,0.08385938,False
1772979665083,0.1114931,0.03508343,0.8972238,0.2260142,0.9259179,-0.1796443,-0.3118436,-0.7113368,0.603723,105.726,-0.2253458,-0.3911765,-0.8923006,-0.04876225,1.000336,0.2764887,1.038988,-0.04413135,1.015252,0.2994378,1.059409,-0.05645506,0.9798424,0.288963,1.023122,-0.02693247,-0.07545172,0.1120801,0.1377689,-0.02459725,-0.06715806,0.1375651,0.1550464,-0.002918713,-0.07842898,0.1088204,0.1341697,-0.02977451,-0.07587998,0.1112826,0.1379424,-0.02662511,-0.06431844,0.1409741,0.1572242,-0.002451989,-0.07716041,0.1114533,0.1355787,-0.01881519,-0.07133363,0.1241733,0.1444352,-0.1153028,0.6954018,-0.1486547,0.6935585,92.17509,-0.1600538,0.9652991,-0.2063502,4.362334,-0.008694092,-0.08099747,0.1189598,0.1441791,0.5026195,0.3661503,0.5859699,0.5195643,117.3939,0.5882503,0.428531,0.685801,1.195835,True,True,False,-0.2199927,0.7883646,-0.02089687,0.8187504,0.207437,-0.1544985,-0.7780721,-0.5724543,249.8431,0.2529915,-0.1884274,-0.9489417,-0.2082832,0.8973142,0.061207,0.9232015,-0.184646,0.8968769,0.09886224,0.9210082,-0.1696444,0.8806683,0.1119596,0.9038202,0.04459571,-0.04194601,0.1177253,0.1326933,0.0200887,-0.06358769,0.1457895,0.160317,-0.002998231,-0.07277032,0.1471556,0.1641928,0.04497432,-0.04234277,0.1176602,0.1328891,0.02005746,-0.06358647,0.1458286,0.1603481,-0.002843254,-0.07282761,0.1468547,0.1639459,0.02734432,-0.05393066,0.1292662,0.1427094,-0.4588805,-0.2461044,0.8513159,-0.06420748,187.3627,-0.4598293,-0.2466133,0.8530761,3.557866,0,0,0,0,0,0,0,0,0,1,0,0,0.3892575,False,True,False,-0.05596402,0.9894667,0.2909199,1.032865,0.2718072,-0.1771881,0.07267946,0.9431028,38.84132,0.8174624,-0.5328947,0.2185841,0.105964,0.01053333,0.009080142,0.1068727,0.1575834,0.4468348,-0.8266653,0.3035304,144.6605,0.1653861,0.4689595,-0.867597,0.01670248,1.074892,-0.1194704,1.08164,0.03325879,0.02753047,0.003436913,-0.9990616,355.0354,0.7679114,0.6356503,0.07935479,False
1772979665097,0.1251209,0.03524046,0.8969696,0.2258876,0.9256466,-0.1803684,-0.31192,-0.7109002,0.6039819,105.6888,-0.2263097,-0.3913686,-0.8919723,-0.04857397,1.000069,0.2764123,1.038702,-0.04394199,1.014979,0.2992795,1.059095,-0.05622287,0.9801089,0.2896127,1.023548,-0.02687342,-0.07541978,0.1121046,0.1377598,-0.0245443,-0.06715584,0.1375269,0.1550031,-0.002815743,-0.07826648,0.1096741,0.1347664,-0.0291506,-0.07578536,0.1114531,0.1378948,-0.0261854,-0.06493653,0.1402137,0.1567237,-0.002527569,-0.07739341,0.1110535,0.1353846,-0.01836698,-0.0716737,0.1237322,0.144167,-0.108165,0.7041245,-0.1481836,0.685967,93.37659,-0.1486533,0.9676922,-0.2036516,4.111145,-0.008231594,-0.08134837,0.1185047,0.1439745,0.5146078,0.3646669,0.5789739,0.5167068,117.7768,0.6010634,0.425932,0.6762432,1.047891,True,True,False,-0.2196965,0.7886811,-0.02038545,0.8189628,0.2082414,-0.1547242,-0.7774304,-0.5729729,249.9156,0.2540849,-0.1887861,-0.9485783,-0.207917,0.8975705,0.06166628,0.9233986,-0.1843498,0.897269,0.09926379,0.9213739,-0.1693744,0.8810557,0.1124072,0.9042025,0.04443619,-0.04193655,0.1177091,0.1326224,0.02007482,-0.06359833,0.1457549,0.160288,-0.003018289,-0.07279467,0.1471223,0.1641741,0.04486389,-0.04225913,0.1176702,0.132834,0.02006101,-0.06358889,0.1458136,0.1603359,-0.002879107,-0.07282087,0.1469095,0.1639926,0.02724056,-0.05389466,0.129305,0.1427111,-0.4574503,-0.2480565,0.8516915,-0.06187756,187.0952,-0.4583285,-0.2485328,0.8533266,3.557132,0,0,0,0,0,0,0,0,0,1,0,0,0.3880734,False,True,False,-0.05615446,0.9884974,0.290298,1.031772,0.2878315,-0.1932349,0.07514012,0.9349692,41.55367,0.8114124,-0.5447397,0.211824,0.1061545,0.01150262,0.009702057,0.1072157,0.1647287,0.4667276,-0.8162439,0.297953,145.3306,0.1725665,0.4889346,-0.8550811,0.0178441,1.075365,-0.1186942,1.082043,0.03400201,0.02671935,0.003281895,-0.9990591,355.0288,0.784026,0.6161008,0.07567467,False
1772979665109,0.1388584,0.03557096,0.896323,0.2258223,0.9250168,-0.1824958,-0.3145884,-0.7104472,0.60249,105.9031,-0.2286553,-0.3941586,-0.8901437,-0.04810395,0.9998506,0.2756444,1.038265,-0.04345892,1.014874,0.2982254,1.058677,-0.05575269,0.9805775,0.2896525,1.023982,-0.02672817,-0.07539791,0.112131,0.137741,-0.02448393,-0.06716552,0.1373957,0.1548814,-0.002679773,-0.07809074,0.1105466,0.1353732,-0.0286272,-0.0757052,0.1115946,0.1378555,-0.02582391,-0.06542378,0.1395902,0.1563092,-0.002559359,-0.07754099,0.1109396,0.1353763,-0.01800722,-0.07193985,0.1234158,0.1439829,-0.1022161,0.7085756,-0.1479854,0.682329,93.94819,-0.1398219,0.9692637,-0.2024299,3.91115,-0.007860336,-0.081623,0.1181782,0.1438408,0.5206689,0.3622425,0.5759462,0.5157231,117.9084,0.6077217,0.4228074,0.6722412,0.8780063,True,True,False,-0.2195641,0.7889082,-0.01998454,0.8191361,0.2083633,-0.1546402,-0.7773877,-0.5730092,249.9207,0.2542414,-0.1886894,-0.9485556,-0.2077177,0.89764,0.06212444,0.923452,-0.1842592,0.8974971,0.09966696,0.9216214,-0.169274,0.8812682,0.11286,0.9044472,0.04426126,-0.04197383,0.1176687,0.1325398,0.02008167,-0.06359157,0.1457498,0.1602815,-0.00304894,-0.07279693,0.1471457,0.1641966,0.0447394,-0.04220004,0.1176699,0.132773,0.02006526,-0.06358945,0.1458004,0.1603247,-0.002914116,-0.07281595,0.1469582,0.1640347,0.02712497,-0.05387685,0.1293391,0.1427133,-0.4560905,-0.2496472,0.8520933,-0.0599551,186.8745,-0.4569125,-0.2500971,0.853629,3.558401,0,0,0,0,0,0,0,0,0,1,0,0,0.3874334,False,True,False,-0.05634071,0.9876553,0.2900566,1.030907,0.2962644,-0.2023251,0.07710485,0.9302402,43.05542,0.8073674,-0.551368,0.2101229,0.1063407,0.01234466,0.009943426,0.1075156,0.1689336,0.4774628,-0.8105335,0.2941538,145.7864,0.1767535,0.4995644,-0.8480528,0.01918519,1.075664,-0.1178851,1.082275,0.03521139,0.02596457,0.003452495,-0.9990366,354.9696,0.80237,0.5916606,0.07867278,False
