Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1772979661731,0,1,1,135,0.1267693,0.1423157,-0.9816699,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.1171196,0.1314825,-0.9069448,0.3826834,135,0.1267693,0.1423157,-0.98167
Grab,1772979664973,2.601798,1,1,135,0.1267693,0.1423157,-0.9816699,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.1171196,0.1314825,-0.9069448,0.3826834,135,0.1267693,0.1423157,-0.98167
Trial Start,1772979664994,0,1,1,135,0.1267693,0.1423157,-0.9816699,1,-1,-0.05,1,0.3,1.045227,0.04393642,-0.0128173,0.02587342,0.998617,6.027398,0.835694,-0.2437918,0.4921263,0.09999999,0,0,0.09999999,0.1083665,0.1790838,-0.9083138,0.362149,137.5356,0.1162581,0.1921252,-0.9744599
Release,1772979666249,1.262844,1,1,135,0.1267693,0.1423157,-0.9816699,1,0,-0.00520267,0.92336,0.2482654,0.9561676,0.08178172,0.1695904,-0.4132299,0.89095,54.01426,0.1800957,0.3734637,-0.9099948,0.05520267,0.07663995,0.05173464,0.1076916,-0.02642543,0.07801913,-0.6590158,0.7476049,83.23335,-0.03978871,0.1174732,-0.9922786
Grab,1772979667150,2.165331,1,1,135,0.1267693,0.1423157,-0.9816699,1,0,-0.00520267,0.92336,0.2482654,0.9561676,0.08178172,0.1695904,-0.4132299,0.89095,54.01426,0.1800957,0.3734637,-0.9099948,0.05520267,0.07663995,0.05173464,0.1076916,-0.02642543,0.07801913,-0.6590158,0.7476049,83.23335,-0.03978871,0.1174732,-0.9922786
Release,1772979667205,2.220773,1,1,135,0.1267693,0.1423157,-0.9816699,1,0,0.004598968,0.9160857,0.2459061,0.9485273,0.1202925,0.3686261,-0.3158674,0.8659517,60.01689,0.2405236,0.7370641,-0.6315737,0.04540103,0.08391428,0.0540939,0.1096768,-0.2374065,0.04489481,-0.6918502,0.6804162,94.24767,-0.3239602,0.06126257,-0.9440851
Grab,1772979668109,3.123759,1,1,135,0.1267693,0.1423157,-0.9816699,1,0,0.004598968,0.9160857,0.2459061,0.9485273,0.1202925,0.3686261,-0.3158674,0.8659517,60.01689,0.2405236,0.7370641,-0.6315737,0.04540103,0.08391428,0.0540939,0.1096768,-0.2374065,0.04489481,-0.6918502,0.6804162,94.24767,-0.3239602,0.06126257,-0.9440851
Release,1772979668317,3.331865,1,1,135,0.1267693,0.1423157,-0.9816699,1,0,0.007060513,0.9087053,0.237662,0.9392968,0.3771164,0.4000225,-0.2407434,0.79988,73.76272,0.6283598,0.6665264,-0.401132,0.04293949,0.09129471,0.06233798,0.118594,-0.3817793,0.2659163,-0.6305847,0.6212054,103.1916,-0.4871822,0.3393313,-0.8046787
Grab,1772979670053,5.067729,1,1,135,0.1267693,0.1423157,-0.9816699,1,0,0.007060513,0.9087053,0.237662,0.9392968,0.3771164,0.4000225,-0.2407434,0.79988,73.76272,0.6283598,0.6665264,-0.401132,0.04293949,0.09129471,0.06233798,0.118594,-0.3817793,0.2659163,-0.6305847,0.6212054,103.1916,-0.4871822,0.3393313,-0.8046787
Clutch Start,1772979670331,5.345381,1,1,135,0.1267693,0.1423157,-0.9816699,1,0,0.007624745,0.9022678,0.2403762,0.9337698,0.7168364,0.4684118,0.02103056,0.5160366,117.8665,0.8368718,0.5468482,0.02455216,0.04237526,0.09773219,0.05962376,0.1220747,-0.6414723,0.5411905,-0.4366735,0.3239486,142.1962,-0.6780355,0.5720378,-0.4615633
