Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.1267693,0.1423157,-0.9816699,1,25.84817,False,-0.003864747,0.001805425,0.007866919,0.00894898,-0.04538182,0.06143517,0.002452479,-0.9970759,351.2347,-0.5938663,0.8039404,0.03209313,0.2091659,0.2849839,0.3322456,0.8586746,380.7538,0.4871818,742.7521,0,0,0,0,0,0,0,1.005157,765.832,0.5987373,119.872
1,3,135,0.9508854,-0.3092436,-0.01361239,0.9999999,7.222546,False,0.0002122037,-0.0004165173,0.01265305,0.01266169,0.02114949,-0.05861118,-0.03721767,0.9973627,8.324156,0.2914037,-0.8075616,-0.5127957,0.1233574,0.102562,0.1668651,0.2875118,225.0681,0.1194016,415.2571,0,0,0,0,0,0,0,0.3710294,441.8831,0.08992889,21.30225
1,4,135,0.6004835,0.1911666,-0.7764502,0.9999999,6.624647,False,0.002125945,-0.00190413,0.01071715,0.01109066,-0.03938206,-0.01097492,0.02130835,0.9989368,5.284687,-0.854252,-0.2380614,0.4622079,0.1285123,0.2085052,0.2577607,0.3768543,256.9242,0.2225015,526.9546,0,0,0,0,0,0,0,0.4569618,505.4846,0.09424851,21.98304
1,5,135,0.4215766,-0.1715743,-0.890413,1,5.499491,False,0.0009628907,-0.00273335,0.01550746,0.01577592,0.0317898,0.02266549,0.003183528,0.9992326,4.489964,0.8115395,0.5786114,0.08127006,0.08056709,0.09604246,0.1514097,0.2852155,165.7089,0.09088222,362.9973,0,0,0,0,0,0,0,0.3352454,403.8343,0.054546,12.78251
1,6,135,0.6910599,0.04189717,0.7215822,1,9.763633,False,-0.0006936304,-0.002029896,0.004570603,0.005048962,0.07541807,0.01682422,-0.006591241,0.9969884,8.895667,0.9724907,0.2169427,-0.08499184,0.2578994,0.3035059,0.4778964,0.5823229,351.9197,0.2572494,866.5035,0,0,0,0,0,0,0,0.574204,1079.07,0.09350619,16.51585
1,7,135,-0.07776842,-0.239442,0.9677911,1,7.469508,False,-0.0009376071,-0.006698966,0.005870789,0.008956641,-0.01076011,-0.01940787,0.02865475,-0.9993431,355.8463,-0.2969067,-0.5355269,0.7906786,0.09908212,0.1591018,0.2615118,0.2919983,272.5049,0.2951099,630.0385,0,0,0,0,0,0,0,0.3626267,693.5751,0.114587,29.10335
1,8,135,-0.7230501,0.6805865,0.1183246,1,4.390404,False,0.001200672,-0.004521251,0.007545024,0.00887754,0.02008007,0.001963308,-0.01498338,-0.9996842,357.1201,0.7990891,0.07813011,-0.5962657,0.1243869,0.08699968,0.1590252,0.2145929,186.0499,0.189773,330.0748,0,0,0,0,0,0,0,0.3037242,385.5865,0.05022113,12.0735
1,9,135,-0.827679,0.2090804,0.5208001,1,7.111662,False,-0.001265679,-0.003821731,0.005746424,0.007016335,0.03830224,0.07073414,-0.0252636,-0.9964394,350.3271,0.4542918,0.8389571,-0.2996442,0.1492715,0.1484076,0.2758966,0.2555803,209.5762,0.2005547,427.6551,0,0,0,0,0,0,0,0.3818034,467.2725,0.06903664,16.1144
1,10,135,-0.2468697,0.9595241,0.135532,1,12.18028,False,-0.00218825,-0.00198102,0.009747595,0.01018472,0.01750062,0.02835837,-2.539514E-05,-0.9994447,356.1809,0.5251925,0.851033,-0.0007621066,0.2145844,0.3239773,0.4145123,0.7018905,360.6375,0.3361722,735.3846,0,0,0,0,0,0,0,0.7394071,808.9981,0.16584,39.71354
1,11,135,0.5941243,-0.1581342,0.788676,1,10.00027,False,-0.004533295,0.001010716,0.01443553,0.01516433,0.008029993,-6.266304E-05,-0.001057438,-0.9999673,359.0721,0.9916963,-0.007738824,-0.1305926,0.2420883,0.2429463,0.401993,0.3499843,358.7881,0.3684624,922.9031,0,0,0,0,0,0,0,0.5363914,956.2809,0.12994,30.6997
2,2,135,-0.1141455,0.3957163,0.9112515,1,7.638493,False,-0.001709294,0.0005630255,0.006698132,0.006935679,0.0002566076,-0.0349971,0.003341281,-0.9993819,355.9704,0.007298708,-0.995425,0.09503629,0.1461506,0.2258772,0.3861439,0.5479807,305.0003,0.3227129,793.5966,0,0,0,0,0,0,0,0.596188,818.5804,0.2475147,40.63684
2,3,135,-0.1312315,0.9912885,0.01119721,0.9999999,9.721869,False,-0.003218234,-0.003267169,0.00748387,0.008777228,0.02954976,0.04355413,0.0169121,-0.9984708,353.6618,0.5345165,0.787837,0.3059177,0.1683567,0.2385533,0.3939977,0.5055692,341.2739,0.4346542,879.7149,0,0,0,0,0,0,0,0.6116328,863.8999,0.5102867,76.81886
2,4,135,-0.2043069,0.06753928,0.9765742,1,7.248828,False,-0.001567472,-0.003591657,0.01527458,0.01576927,0.03485099,-0.02233281,0.01577065,-0.9990185,354.9226,0.786813,-0.5041964,0.3560459,0.1549594,0.2207669,0.2774531,0.333856,329.1641,0.2671538,586.7257,0,0,0,0,0,0,0,0.4836373,614.9249,0.1099735,31.69217
2,5,135,0.7593462,0.06533542,-0.6473982,0.9999999,5.986014,False,0.003249418,0.004364073,0.01100177,0.01227366,-0.02782633,0.008399379,0.05714498,0.9979427,7.351672,-0.4340306,0.1310122,0.8913383,0.08587497,0.1302916,0.1868695,0.2577845,172.6001,0.1841321,424.6007,0,0,0,0,0,0,0,0.3254018,443.2186,0.146956,30.48119
2,6,135,-0.2855597,0.5801898,0.7627814,1,5.028961,False,-0.000502035,0.00296396,0.01269418,0.01304528,-0.007760898,0.007446173,-0.03680044,-0.9992648,355.6056,-0.2024261,0.1942172,-0.9598593,0.1107406,0.1881295,0.2926487,0.3574611,221.5405,0.2850784,451.6981,0,0,0,0,0,0,0,0.4266785,539.6981,0.06803107,19.17939
2,7,135,-0.5015717,0.2726057,-0.8210433,1,9.014311,False,-0.0003902353,0.001674592,0.01395565,0.01406118,-0.03000581,0.01537796,-0.02178572,0.9991941,4.601224,-0.7474842,0.3830852,-0.542711,0.2556431,0.2715839,0.326968,0.5425844,392.301,0.2783082,759.1172,0,0,0,0,0,0,0,0.6794425,823.5743,0.2367354,55.21724
2,8,135,-0.443483,0.2366276,-0.8644826,1,16.01365,False,-0.001248159,-0.003732443,0.0111239,0.01179958,0.03184886,0.04210427,-0.03050677,0.9981395,6.991393,0.5223384,0.6905327,-0.5003274,0.2094495,0.3323428,0.3439441,0.5896979,371.7791,0.3808734,845.3952,0,0,0,0,0,0,0,0.7579916,896.0869,0.2656301,64.94976
2,9,135,-0.9457151,-0.1450417,-0.2908365,1,10.73606,False,-0.001830395,-0.004539847,0.01162651,0.01261493,0.0103862,0.0604179,0.0105692,-0.9980633,352.8668,0.1669568,0.9712093,0.1698985,0.2095551,0.2383568,0.3580226,0.5330935,338.8739,0.3315148,892.4445,0,0,0,0,0,0,0,0.544651,915.7896,0.2635187,62.95343
2,10,135,0.1160898,-0.2376428,-0.9643905,1,4.360999,False,0.001182131,-0.00418067,0.01562321,0.01621605,0.0115945,-0.005719712,-0.03507441,0.9993011,4.284394,0.3101807,-0.153016,-0.9383245,0.07145716,0.1119971,0.1518978,0.2396567,172.1703,0.167928,435.166,0,0,0,0,0,0,0,0.3115095,464.7675,0.08374625,18.79805
2,11,135,-0.1479227,0.3184813,0.9363165,1,6.735123,False,0.0002238713,-0.001567125,0.01355636,0.01364848,0.02785374,0.06052023,0.01079032,-0.9977199,352.2603,0.4127079,0.8967261,0.1598797,0.19093,0.2560205,0.2975128,0.5192785,309.9035,0.2609806,782.8247,0,0,0,0,0,0,0,0.5706668,886.1607,0.262152,43.80887
3,2,135,0.4378594,-0.5427451,0.7167335,1,5.902842,False,-0.0008446313,-0.001005411,0.01404691,0.01410815,0.009939945,0.0002866908,0.01879934,0.9997739,2.437371,0.4673601,0.01347974,0.8839145,0.1248495,0.1329117,0.2156534,0.3852835,195.6401,0.1953762,488.9253,0,0,0,0,0,0,0,0.4313063,505.4449,0.1343368,33.11553
3,3,135,-0.9128804,-0.1763087,-0.3681909,1,5.958878,False,-0.001357313,-0.003689289,0.01422751,0.0147606,0.0009911796,0.06878297,0.0111095,-0.9975694,352.0087,0.01422451,0.987111,0.1594335,0.1737683,0.1371763,0.221791,0.402333,278.6288,0.1885245,381.1432,0,0,0,0,0,0,0,0.4082036,548.4559,0.1022197,25.455
3,4,135,0.5355948,-0.4683149,-0.7027228,0.9999999,6.917293,False,-0.003143426,-0.004662991,0.01375321,0.01485851,0.00551508,0.04051803,0.02304377,0.9988979,5.380564,0.117499,0.863238,0.4909483,0.1396228,0.1717607,0.2651404,0.4045548,250.3771,0.1946017,493.8349,0,0,0,0,0,0,0,0.4768339,585.2396,0.2235972,47.08595
3,5,135,-0.1403195,0.09967364,0.9850764,1,6.721999,False,-0.000251133,-0.001424193,0.01091143,0.01100685,0.01431719,-0.00179921,0.0317694,-0.9993911,356.001,0.4103433,-0.05156694,0.910539,0.1299763,0.2356806,0.3198798,0.4248317,262.7007,0.3423951,709.0007,0,0,0,0,0,0,0,0.4765666,694.6889,0.1352844,38.39576
3,6,135,-0.9905301,0.1339229,0.0302459,1,3.858529,False,0.00137784,-0.003346562,0.01206353,0.01259471,-0.04652698,0.0232807,-0.03822062,-0.9979141,352.5973,-0.7207211,0.3606271,-0.5920523,0.09778653,0.1110484,0.1885728,0.3342493,206.2911,0.117561,282.2767,0,0,0,0,0,0,0,0.3265081,398.7624,0.1704441,34.28751
3,7,135,0.8546363,0.2886745,0.4315829,1,10.53092,False,0.01342053,-0.0001713037,-3.427267E-05,0.01342167,0.00506145,0.03685352,-0.007899291,-0.9992766,355.6411,0.1330953,0.9690958,-0.2077188,0.26606,0.333273,0.5118913,0.6966932,426.2966,0.410762,1167.612,0,0,0,0,0,0,0,0.723872,1244.177,0.326887,51.08115
