Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773104653186,0,1,1,135,0.2982569,-0.5752599,-0.7616553,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2755535,-0.5314709,-0.7036778,0.3826834,135,0.2982569,-0.57526,-0.7616554
Grab,1773104663103,9.026811,1,1,135,0.2982569,-0.5752599,-0.7616553,1,0,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2755535,-0.5314709,-0.7036778,0.3826834,135,0.2982569,-0.57526,-0.7616554
Trial Start,1773104663128,0,1,1,135,0.2982569,-0.5752599,-0.7616553,1,-1,-0.05000001,1,0.3,1.045227,0.007560357,-0.01262466,0.001108465,0.9998912,1.690682,0.5124327,-0.8556858,0.07513056,0.1,0,0,0.1,0.2821031,-0.5209563,-0.7045648,0.3906547,134.0095,0.3064547,-0.5659263,-0.7653842
Clutch Start,1773104664991,1.874761,1,1,135,0.2982569,-0.5752599,-0.7616553,1,0,0.05664054,0.9939778,0.2127279,1.018063,0.1364524,-0.7320832,-0.4091721,0.5272695,116.3577,0.1605893,-0.8615804,-0.48155,-0.006640542,0.006022155,0.08727215,0.08773136,0.3907605,-0.01680255,-0.08523692,0.9163836,47.19407,0.9761651,-0.04197473,-0.2129317
Clutch End,1773104665949,2.833165,1,1,135,0.2982569,-0.5752599,-0.7616553,1,0,0.0670343,0.9990918,0.2337759,1.028265,0.2971517,-0.6694295,-0.4883251,0.4744508,123.3528,0.3375642,-0.7604716,-0.5547372,-0.0170343,0.000908196,0.06622407,0.06838582,0.2285537,0.07856219,-0.1204504,0.9628515,31.33227,0.8463968,0.2909373,-0.4460608
Release,1773104665949,2.833165,1,1,135,0.2982569,-0.5752599,-0.7616553,1,0,0.0670343,0.9990918,0.2337759,1.028265,0.2971517,-0.6694295,-0.4883251,0.4744508,123.3528,0.3375642,-0.7604716,-0.5547372,-0.0170343,0.000908196,0.06622407,0.06838582,0.2285537,0.07856219,-0.1204504,0.9628515,31.33227,0.8463968,0.2909373,-0.4460608
Grab,1773104667575,4.458194,1,1,135,0.2982569,-0.5752599,-0.7616553,1,0,0.0670343,0.9990918,0.2337759,1.028265,0.2971517,-0.6694295,-0.4883251,0.4744508,123.3528,0.3375642,-0.7604716,-0.5547372,-0.0170343,0.000908196,0.06622407,0.06838582,0.2285537,0.07856219,-0.1204504,0.9628515,31.33227,0.8463968,0.2909373,-0.4460608
Release,1773104667740,4.624542,1,1,135,0.2982569,-0.5752599,-0.7616553,1,0,0.0697211,0.999078,0.2374114,1.029263,0.2903899,-0.6714646,-0.4816464,0.4825203,122.2997,0.3315389,-0.7666129,-0.549897,-0.0197211,0.0009220243,0.06258866,0.0656286,0.2383464,0.07213449,-0.1245301,0.9604582,32.33235,0.856055,0.2590813,-0.4472677
Grab,1773104668172,5.055412,1,1,135,0.2982569,-0.5752599,-0.7616553,1,0,0.0697211,0.999078,0.2374114,1.029263,0.2903899,-0.6714646,-0.4816464,0.4825203,122.2997,0.3315389,-0.7666129,-0.549897,-0.0197211,0.0009220243,0.06258866,0.0656286,0.2383464,0.07213449,-0.1245301,0.9604582,32.33235,0.856055,0.2590813,-0.4472677
Clutch Start,1773104668712,5.596883,1,1,135,0.2982569,-0.5752599,-0.7616553,1,0,0.06372232,0.9936248,0.2343782,1.02288,0.3466144,-0.6719032,-0.4968545,0.4260754,129.5625,0.3831315,-0.7426907,-0.5492001,-0.01372232,0.006375194,0.06562181,0.06734364,0.1935026,0.1376744,-0.108752,0.9652853,30.28235,0.7408268,0.5270879,-0.4163583
