Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.2982569,-0.5752599,-0.7616553,1,9.096805,False,0.0001199208,0.00180769,0.006903172,0.007136939,-0.05153508,-0.02553591,0.01192923,0.9982736,6.734757,-0.8773716,-0.4347424,0.203092,0.1145543,0.1538079,0.2363012,0.4530219,224.5338,0.1413218,277.9571,0,0,0,0,0,0,0,0.4437887,379.7473,0.2520213,52.77398
1,3,135,-0.9038101,0.3331926,0.268533,1,10.38825,False,-0.001594301,-0.007132053,0.006462783,0.009755795,-0.04413249,0.0505356,-0.01216768,-0.9976726,352.1802,-0.6472195,0.7411234,-0.1784436,0.1190914,0.1488763,0.1919134,0.4129075,286.9102,0.1088452,241.8285,0,0,0,0,0,0,0,0.4367165,371.9011,0.168796,46.11851
1,4,135,0.5778391,0.3635932,0.7306859,1,8.235901,False,0.001440775,-0.005152464,0.003472626,0.006378311,-0.03931514,-0.01214753,-0.01969293,0.998959,5.229133,-0.8618514,-0.2662936,-0.4317009,0.04845653,0.1021432,0.1582372,0.23142,178.883,0.04699755,210.9028,0.1198172,0.1094913,0.2202117,0.2237923,189.3534,0.2563639,370.8684,0.4456898,811.1783,0.2436347,55.91975
1,5,135,0.7432575,0.1853358,-0.6428211,1,14.19244,False,0.007142734,-0.002754807,0.007423609,0.01066384,0.01029698,0.009104718,0.04987352,0.998661,5.930747,0.199043,0.1759962,0.964066,0.114791,0.1962548,0.2717143,0.5945196,369.9039,0.2139943,629.0779,0.1159754,0.1081043,0.08681532,0.09299038,126.1913,0.08858172,204.7052,0.6729096,816.4852,0.3612512,117.1308
1,6,135,-0.02965495,0.9781861,0.205603,1,7.02728,False,0.002128225,-0.001556277,0.007431507,0.007885343,-0.01670895,-0.05651964,0.007113179,0.9982364,6.806701,-0.2814621,-0.9520726,0.1198214,0,0,0,0,0,0,0,0.1098295,0.1869048,0.2186258,0.4378636,257.7202,0.1354167,355.5693,0.4382886,390.1891,0.1820131,66.04662
1,7,135,-0.725374,-0.3962838,0.5628426,1,13.90178,False,0.001062479,-0.002959609,0.0007801652,0.003239877,-0.01324122,-0.03091426,-0.01726533,0.9992852,4.332907,-0.3502747,-0.8177857,-0.4567259,0,0,0,0,0,0,0,0.194272,0.2320105,0.2619385,0.67038,465.1939,0.1932446,517.7792,0.642375,715.6597,0.2297501,68.92756
1,8,135,0.6537336,0.7151102,0.2474865,0.9999999,7.291271,False,0.00207093,0.0007392168,0.002594322,0.003400838,-0.01103904,-0.0539028,-0.02680876,0.9981253,7.018003,-0.1803607,-0.8806879,-0.4380134,0,0,0,0,0,0,0,0.1616507,0.09510952,0.1765967,0.4252633,300.9361,0.1234893,451.8637,0.424211,520.256,0.1125145,36.37712
1,9,135,0.3568309,-0.9339588,0.01981819,1,13.67972,False,-0.002879348,-0.0006862879,0.003970146,0.004952141,-0.07295609,-0.01877772,0.04185567,0.9962796,9.887748,-0.8465556,-0.2178897,0.4856778,0.1740066,0.2646794,0.2594719,0.7763959,528.7233,0.2079398,400.8775,0,0,0,0,0,0,0,0.7216041,703.4213,0.2510365,61.62592
1,10,135,-0.8294614,0.4659679,-0.3080059,0.9999999,6.652154,False,0.004237745,-0.001340985,0.005522698,0.007089212,-0.0519529,0.03468028,0.03734949,0.9973482,8.347274,-0.7138417,0.476513,0.5131884,0,0,0,0,0,0,0,0.1367224,0.158489,0.1602622,0.3682567,204.6524,0.08997545,160.1703,0.4239775,329.5685,0.1694587,41.45365
1,11,135,0.11074,-0.1586016,-0.9811127,1,8.885151,False,0.00533184,-0.003251791,0.01094356,0.01260017,0.005854951,-0.05670251,-0.04212878,0.9974848,8.129333,0.08260091,-0.7999519,-0.5943475,0,0,0,0,0,0,0,0.1851667,0.1211532,0.2160189,0.5847819,350.7147,0.1508301,313.1477,0.4805399,497.062,0.2384207,61.73038
2,2,135,-0.2605228,0.7197824,-0.6434603,1,8.068629,False,0.004049722,-0.003494859,0.004241973,0.006827051,0.06556003,0.02760467,-0.006425728,0.9974461,8.191442,0.9179103,0.3864948,-0.08996704,0,0,0,0,0,0,0,0.1768977,0.2026848,0.238082,0.6303312,368.2934,0.1785995,592.9089,0.4950582,768.9705,0.1196306,23.26223
2,3,135,-0.4687059,0.6062582,0.6424685,1,4.847006,False,0.0024754,-2.95639E-05,0.0003995299,0.002507609,0.02331799,-0.03167283,-0.02105669,-0.9990044,354.8862,0.5226961,-0.7099784,-0.472007,0.07203542,0.1262174,0.1329527,0.2580149,195.6591,0.08957978,211.8596,0.03078062,0.0270596,0.06365599,0.1405223,95.93095,0.04187183,180.4725,0.4523206,448.4847,0.1452019,37.73889
2,4,135,0.1878397,0.4258519,-0.8850799,1,9.887582,False,-0.000601057,-0.001477599,0.009300351,0.009436159,0.04837866,-0.006882423,-0.04217435,0.9979146,7.401786,0.7495008,-0.1066251,-0.6533813,0.09086973,0.163595,0.2103578,0.4589327,264.3598,0.1581584,548.8698,0.06207283,0.04153809,0.06291153,0.1432014,70.03951,0.02888408,227.8671,0.5438868,688.087,0.2019662,45.96191
2,5,135,-0.9734657,0.1323397,-0.1866835,1,5.944123,False,0.003341664,0.001634181,-0.0006509125,0.003776367,-0.06700136,-0.00728841,0.02224837,0.9974783,8.139832,-0.9440324,-0.1026919,0.313474,0,0,0,0,0,0,0,0.09469295,0.1036638,0.1059339,0.260812,217.4398,0.07651407,226.9074,0.3390605,335.6855,0.08827673,18.27746
2,6,135,0.06649999,0.731051,0.6790745,1,11.22161,False,0.001288142,0.005408525,0.007521152,0.009353031,-0.0546311,0.0388073,0.03871525,0.9970009,8.877329,-0.7059028,0.5014393,0.5002499,0.08798423,0.1176036,0.1540043,0.3749813,249.4337,0.1330071,441.8346,0.163458,0.1683934,0.1927324,0.4605944,239.8474,0.1932215,472.1735,0.6497636,979.993,0.2571031,66.18035
2,7,135,-0.4339368,0.8902038,0.1386944,1,12.99848,False,-0.002284233,-0.00127995,-0.0008487999,0.002752536,0.03498417,-0.005102659,-0.002480401,0.9993718,4.062101,0.9871164,-0.143977,-0.06998721,0.1308982,0.2094054,0.3087642,0.4997811,362.0353,0.1976712,577.5894,0.1057606,0.1016158,0.0819903,0.1751841,121.861,0.08365048,245.5244,0.6773194,893.6151,0.1811241,45.13236
2,8,135,-0.197461,-0.0003705715,0.9803107,1,4.444147,False,0.004056338,2.318621E-05,0.001684904,0.004392416,0.01275327,-0.009468552,-0.01471912,0.9997656,2.481294,0.5890229,-0.4373147,-0.6798177,0,0,0,0,0,0,0,0.05477535,0.09280486,0.1174084,0.4638846,199.2855,0.06110227,168.0598,0.3453858,293.0133,0.1502536,34.08905
