Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Event Hand,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773105298003,0,1,1,135,0.3060095,0.7645184,-0.5673356,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.2827159,0.706323,-0.5241497,0.3826833,135,0.3060095,0.7645186,-0.5673357
Trial Start,1773105307820,0,1,1,135,0.3060095,0.7645184,-0.5673356,1,-1,-0.05035781,1.000676,0.2997487,1.045819,0.000393192,-0.001773016,-0.001863889,0.9999967,0.296075,0.1521793,-0.6862203,-0.7213914,0.1003578,-0.0006762743,0.0002512932,0.1003604,0.2848103,0.7066783,-0.5226557,0.3825178,135.0205,0.3082536,0.7648463,-0.5656765
On Target,1773105323803,15.98964,1,1,135,0.3060095,0.7645184,-0.5673356,1,-1,0.06151423,0.9934727,0.2858609,1.03561,0.3164537,0.7245416,-0.5213786,0.321031,142.5494,0.3341402,0.7650359,-0.5505183,-0.01151423,0.006527305,0.01413912,0.01936744,-0.04184751,-0.03205131,0.04993368,0.9973606,8.327542,-0.5763523,-0.4414324,0.6877205
Trial End,1773105324804,16.9893,1,2,135,0.3060095,0.7645184,-0.5673356,1,-1,0.0506328,0.9997253,0.3030518,1.045875,0.3250596,0.717473,-0.4939386,0.3682302,136.787,0.3496262,0.7716966,-0.5312683,-0.0006328039,0.0002746582,-0.003051788,0.003128783,-0.04747346,0.01626013,0.02277034,0.9984806,6.317782,-0.8615094,0.2950755,0.4132175
Trial Load,1773105324806,16.9893,1,2,135,-0.1086429,-0.09000018,0.9899983,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,-0.1003729,-0.08314933,0.9146392,0.3826834,135,-0.1086428,-0.09000019,0.9899984
Trial Start,1773105327831,0,1,2,135,-0.1086429,-0.09000018,0.9899983,1,-1,-0.04914074,1.000183,0.300017,1.045367,0.0005708376,-0.003231567,-0.005269981,0.9999807,0.7110655,0.09199332,-0.5207831,-0.8492835,0.09914075,-0.0001831055,-1.698732E-05,0.09914092,-0.1039833,-0.08190421,0.9162666,0.3780673,135.572,-0.1123199,-0.08847066,0.9897258
On Target,1773105333552,5.735157,1,2,135,-0.1086429,-0.09000018,0.9899983,1,-1,0.04184486,1.010176,0.2852128,1.050501,-0.1220434,-0.001857892,0.9103327,0.39547,133.4094,-0.1328755,-0.002022792,0.9911308,0.008155141,-0.01017606,0.01478717,0.01971596,0.08100376,-0.01191917,0.02330446,0.9963701,9.766779,0.9515513,-0.1400145,0.2737575
Trial End,1773105334553,6.735357,1,3,135,-0.1086429,-0.09000018,0.9899983,1,-1,0.05119859,1.002355,0.2932615,1.045628,0.06931332,0.06913944,-0.9153395,-0.390601,225.9838,0.07529473,0.07510584,-0.9943289,-0.001198586,-0.002354622,0.006738514,0.007237984,-0.0001915195,0.0344983,-0.005797421,-0.999388,355.9905,-0.005474661,0.9861476,-0.1657216
Trial Load,1773105334553,6.735357,1,3,135,0.8095157,-0.5769918,-0.1084663,1,-1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0.1,0,0,0.1,0.7478949,-0.533071,-0.1002098,0.3826834,135,0.8095157,-0.5769919,-0.1084663
Trial Start,1773105337650,0,1,3,135,0.8095157,-0.5769918,-0.1084663,1,-1,-0.04977737,1.000578,0.2996151,1.045659,0.0004241047,0.0006906377,0.000624862,-0.9999995,359.8813,0.4094462,0.6667668,0.6032646,0.09977737,-0.0005776882,0.0003849268,0.09977978,-0.747793,0.5333163,0.09922799,-0.3827968,225.0141,-0.8094465,0.5772867,0.1074091
On Target,1773105341372,3.736345,1,3,135,0.8095157,-0.5769918,-0.1084663,1,-1,0.04962881,1.012846,0.2851893,1.053401,0.7121832,-0.5588902,-0.03809199,0.4230672,129.9432,0.7859889,-0.6168097,-0.04203958,0.0003711917,-0.01284647,0.01481068,0.01960933,0.07956965,0.03123206,0.01052866,0.9962844,9.881484,0.9238828,0.3626353,0.1222482
Off Target,1773105342011,4.374969,1,3,135,0.8095157,-0.5769918,-0.1084663,1,-1,0.05128385,1.00085,0.2966954,1.045159,0.7335967,-0.5064039,-0.04931325,0.45051,126.4472,0.8217072,-0.5672268,-0.05523614,-0.001283851,-0.0008497238,0.00330466,0.003645694,0.08065799,-0.009728978,-0.03859631,0.9959468,10.32077,0.8967592,-0.1081672,-0.4291155
On Target,1773105343370,5.735886,1,3,135,0.8095157,-0.5769918,-0.1084663,1,-1,0.04812498,1.008707,0.289047,1.050407,0.7314382,-0.5532135,-0.02291683,0.3980301,133.0898,0.7973187,-0.6030414,-0.02498094,0.001875017,-0.008707285,0.01095298,0.01411737,0.06099654,0.0556852,-0.00727951,0.9965569,9.511845,0.7356853,0.6716248,-0.08779889
Off Target,1773105343704,6.069282,1,3,135,0.8095157,-0.5769918,-0.1084663,1,-1,0.05490141,0.9971984,0.3200808,1.048747,0.7625994,-0.4984445,-0.08890319,0.4026058,132.5176,0.8331019,-0.5445259,-0.09712231,-0.004901405,0.002801597,-0.0200808,0.02085933,0.01183001,-0.01394136,-0.04005873,0.9990301,5.047658,0.2686517,-0.3165992,-0.9097074
On Target,1773105343872,6.23624,1,3,135,0.8095157,-0.5769918,-0.1084663,1,-1,0.05306667,0.9959614,0.3191434,1.04719,0.7622967,-0.4916392,-0.07561764,0.4140974,131.075,0.8374746,-0.5401248,-0.08307508,-0.00306667,0.004038572,-0.01914343,0.01980367,0.02694048,-0.0127656,-0.0512228,0.9982423,6.795301,0.4545738,-0.2153974,-0.8642959
