Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Right Total Thumb Tip Translation,Right Total Index Tip Translation,Right Total Middle Tip Translation,Right Total Wrist Translation,Right Total Wrist Rotation,Right Total Die Local Translation,Right Total Die Local Rotation,Left Total Thumb Tip Translation,Left Total Index Tip Translation,Left Total Middle Tip Translation,Left Total Wrist Translation,Left Total Wrist Rotation,Left Total Die Local Translation,Left Total Die Local Rotation,Total Die Translation,Total Die Rotation,Total Head Translation,Total Head Rotation
1,2,135,0.3060095,0.7645184,-0.5673356,1,16.9893,False,-0.0006328039,0.0002746582,-0.003051788,0.003128783,-0.04747346,0.01626013,0.02277034,0.9984806,6.317782,-0.8615094,0.2950755,0.4132175,0.7821988,1.17625,0.9443519,5.788043,1225.038,0,0,0.06121103,0.07011104,0.06699822,1.282919,272.7473,0,0,1.406821,698.1656,0.4098671,98.48531
1,3,135,-0.1086429,-0.09000018,0.9899983,1,6.735357,False,-0.001198586,-0.002354622,0.006738514,0.007237984,-0.0001915195,0.0344983,-0.005797421,-0.999388,355.9905,-0.005474661,0.9861476,-0.1657216,0.2064349,0.2436529,0.2397456,0.7396697,362.1659,0,0,0,0,0,0,0,0,0,0.5181887,309.499,0.06445358,20.40388
1,4,135,0.8095157,-0.5769918,-0.1084663,1,7.235895,False,0.000192482,0.002798855,-0.01226202,0.01257886,0.03021533,-0.02282875,-0.04696335,0.9981787,6.917405,0.5008432,-0.3784047,-0.7784549,0.1308891,0.1195122,0.16902,0.5036396,254.7178,0,0,0,0,0,0,0,0,0,0.5389129,254.6542,0.0895818,21.39181
1,5,135,0.7721791,0.2174664,0.5970325,1,12.41522,False,-0.000585001,0.001689315,-0.001084536,0.002090988,0.04149599,0.02234134,0.03153872,0.9983909,6.501531,0.7317696,0.393983,0.5561761,0.5269395,0.741111,0.4867114,1.693038,885.2755,0,0,0.2698075,0.5193095,0.4296217,20.37674,1893.397,0,0,0.7155474,474.2998,0.2299426,56.96096
1,6,135,-0.05364517,-0.575098,-0.8163238,1,6.638815,False,0.001209412,0.0006064773,-0.000158906,0.001362256,-0.04625954,0.009601287,0.05380305,-0.9974334,351.7879,-0.6460619,0.1340918,0.7514147,0.1493644,0.2018841,0.2352964,0.5160311,322.3262,0,0,0,0,0,0,0,0,0,0.4400035,224.7404,0.1203369,27.942
1,7,135,-0.02340282,0.3981363,-0.9170277,1,19.94224,False,-0.001492646,-0.0005123615,-0.0009913146,0.001863655,0.02798582,0.0251305,-0.03187332,-0.998784,354.3483,0.5676627,0.5097456,-0.6465166,0.8070924,0.902018,0.5435988,1.995337,887.4286,0,0,0.6129279,1.199367,0.8338513,42.16692,4201.296,0,0,1.035154,585.2426,0.3201244,98.40604
1,8,135,-0.5499555,0.3010184,-0.7790616,1,9.609843,False,0.002139449,8.702278E-06,0.00435397,0.004851224,-0.01488485,-0.03953063,-0.003144885,-0.9991026,355.145,-0.3514273,-0.9333079,-0.07424992,0.5550408,0.4851127,0.4172507,1.240698,631.5475,0,0,0.09477398,0.1239418,0.1549827,6.772933,475.126,0,0,0.6613573,333.4096,0.1491231,38.75891
1,9,135,-0.9452107,-0.2215488,-0.2397767,1,12.16587,False,-0.002805661,0.001689792,0.002205789,0.003948751,0.007532849,-0.01506985,0.0210503,0.9996365,3.089688,0.2794127,-0.5589793,0.7808097,0.5842171,0.4676835,0.7820009,1.063023,653.1508,0,0,0.0319835,0.06512344,0.06916442,6.332034,492.3321,0,0,0.8680847,370.514,0.1759258,48.66596
1,10,135,0.6047547,-0.7892803,0.1063405,0.9999999,8.054828,False,0.002215717,0.0008718371,0.002147138,0.003206198,-0.01626144,-0.07075503,0.003197273,0.9973561,8.334689,-0.2237714,-0.97365,0.04399722,0.3040093,0.19653,0.3254074,0.6918897,506.6567,0,0,0.3830154,0.6442579,0.7529465,23.80901,2015.691,0,0,0.6915419,397.4793,0.1300399,41.51173
1,11,135,-0.9716026,-0.1827802,0.1502656,1,14.804,False,-0.001674537,0.0009449124,0.002430201,0.00309884,-0.0148395,0.04136036,-0.003756194,0.9990271,5.055253,-0.3364889,0.9378551,-0.08517251,0.7503487,0.7249417,0.6912861,1.70442,1177.841,0,0,1.701268,1.715137,1.855841,43.6593,3637.027,0,0,1.245749,860.0908,0.3698141,122.3844
