Timestamp,Trial Duration,Right Wrist World Position X,Right Wrist World Position Y,Right Wrist World Position Z,Right Wrist World Position Magnitude,Right Wrist World Rotation X,Right Wrist World Rotation Y,Right Wrist World Rotation Z,Right Wrist World Rotation W,Right Wrist World Rotation Angle,Right Wrist World Rotation Axis X,Right Wrist World Rotation Axis Y,Right Wrist World Rotation Axis Z,Right Thumb Tip World Position X,Right Thumb Tip World Position Y,Right Thumb Tip World Position Z,Right Thumb Tip World Position Magnitude,Right Index Tip World Position X,Right Index Tip World Position Y,Right Index Tip World Position Z,Right Index Tip World Position Magnitude,Right Middle Tip World Position X,Right Middle Tip World Position Y,Right Middle Tip World Position Z,Right Middle Tip World Position Magnitude,Right Thumb Tip Local Position X,Right Thumb Tip Local Position Y,Right Thumb Tip Local Position Z,Right Thumb Tip Local Position Magnitude,Right Index Tip Local Position X,Right Index Tip Local Position Y,Right Index Tip Local Position Z,Right Index Tip Local Position Magnitude,Right Middle Tip Local Position X,Right Middle Tip Local Position Y,Right Middle Tip Local Position Z,Right Middle Tip Local Position Magnitude,Right Die Local Position X,Right Die Local Position Y,Right Die Local Position Z,Right Die Local Position Magnitude,Right Die Local Rotation X,Right Die Local Rotation Y,Right Die Local Rotation Z,Right Die Local Rotation W,Right Die Local Rotation Angle,Right Die Local Rotation Axis X,Right Die Local Rotation Axis Y,Right Die Local Rotation Axis Z,Left Wrist World Position X,Left Wrist World Position Y,Left Wrist World Position Z,Left Wrist World Position Magnitude,Left Wrist World Rotation X,Left Wrist World Rotation Y,Left Wrist World Rotation Z,Left Wrist World Rotation W,Left Wrist World Rotation Angle,Left Wrist World Rotation Axis X,Left Wrist World Rotation Axis Y,Left Wrist World Rotation Axis Z,Left Thumb Tip World Position X,Left Thumb Tip World Position Y,Left Thumb Tip World Position Z,Left Thumb Tip World Position Magnitude,Left Index Tip World Position X,Left Index Tip World Position Y,Left Index Tip World Position Z,Left Index Tip World Position Magnitude,Left Middle Tip World Position X,Left Middle Tip World Position Y,Left Middle Tip World Position Z,Left Middle Tip World Position Magnitude,Left Thumb Tip Local Position X,Left Thumb Tip Local Position Y,Left Thumb Tip Local Position Z,Left Thumb Tip Local Position Magnitude,Left Index Tip Local Position X,Left Index Tip Local Position Y,Left Index Tip Local Position Z,Left Index Tip Local Position Magnitude,Left Middle Tip Local Position X,Left Middle Tip Local Position Y,Left Middle Tip Local Position Z,Left Middle Tip Local Position Magnitude,Left Die Local Position X,Left Die Local Position Y,Left Die Local Position Z,Left Die Local Position Magnitude,Left Die Local Rotation X,Left Die Local Rotation Y,Left Die Local Rotation Z,Left Die Local Rotation W,Left Die Local Rotation Angle,Left Die Local Rotation Axis X,Left Die Local Rotation Axis Y,Left Die Local Rotation Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is On Target
1773105618248,0.0133975,0.0210343,0.8973859,0.2590353,0.9342608,-0.5496655,-0.3520174,-0.3340667,0.679964,94.31834,-0.7496337,-0.4800812,-0.4556,-0.05021647,0.9824795,0.3088851,1.031115,-0.06555607,1.006552,0.2977583,1.051715,-0.04720961,1.031873,0.3121367,1.079083,-0.001312856,-0.07455464,0.1041841,0.1281188,-0.02147605,-0.07776791,0.1291619,0.1522887,-0.000242971,-0.06467096,0.155451,0.1683668,0,0,0,0,0,0,0,0,0,1,0,0,-0.08746541,0.6895857,0.1937647,0.7216117,0.4949064,-0.3073794,-0.3878672,-0.7142441,271.1626,0.7071136,-0.4391783,-0.5541778,-0.03313645,0.7722954,0.2391781,0.8091627,-0.01831198,0.7884961,0.2459748,0.826175,-0.02004912,0.7803646,0.261944,0.8233987,0.01158654,-0.05328489,0.1008576,0.114655,0.01792186,-0.06646722,0.1201463,0.138471,0.001009744,-0.07456769,0.1173508,0.1390416,0,0,0,0,0,0,0,0,0,1,0,0,-0.04856019,1.000989,0.2994558,1.04595,0.0002944521,-0.0043771,-0.008362091,0.9999554,1.082082,0.03118235,-0.4635329,-0.8855417,0.09856018,-0.0009893179,0.0005441904,0.09856665,0.862363,-0.08381702,0.3231624,0.3806189,135.256,0.9325546,-0.09063926,0.3494661,-0.02846172,1.076661,0.03578259,1.077631,0.05947467,-0.02624083,0.01728778,-0.9977351,352.2861,0.884172,-0.3901057,0.2570064,False
1773105618262,0.0276147,0.0213249,0.8973485,0.2589486,0.9342074,-0.5476992,-0.3526467,-0.3492715,0.6735543,95.31603,-0.7409974,-0.4771055,-0.4725391,-0.04914405,0.9838067,0.307593,1.031942,-0.06360574,1.006114,0.2964787,1.050814,-0.04622706,1.030536,0.3115394,1.077589,-0.001380074,-0.0745459,0.1042138,0.1281387,-0.02112163,-0.07817551,0.126969,0.1505944,-0.0004018865,-0.06627664,0.1529862,0.1667259,0,0,0,0,0,0,0,0,0,1,0,0,-0.08747225,0.6894588,0.1936174,0.7214517,0.4944484,-0.3064902,-0.3889198,-0.7143711,271.1834,0.70659,-0.4379888,-0.5557846,-0.03334618,0.7722127,0.2391566,0.8090861,-0.01854143,0.7883805,0.2460466,0.8260911,-0.02026247,0.7802171,0.2619895,0.8232786,0.01161427,-0.05321931,0.1008711,0.1146393,0.01789177,-0.06645287,0.1201329,0.1384486,0.0009884266,-0.07454675,0.1173396,0.1390208,0,0,0,0,0,0,0,0,0,1,0,0,-0.04681724,1.002292,0.2983741,1.046809,0.003298019,-0.01605319,-0.01981203,0.9996694,2.946521,0.1282766,-0.6243892,-0.7705895,0.09681724,-0.002292037,0.001625955,0.09685802,0.8563792,-0.09017526,0.3373135,0.3803983,135.2833,0.9259928,-0.09750545,0.3647331,-0.02885172,1.076617,0.03582335,1.077599,0.05938584,-0.0246827,0.01592154,-0.9978029,352.4025,0.8963612,-0.372557,0.2403174,False
1773105618276,0.0414903,0.0217348,0.8972999,0.2588346,0.9341386,-0.5459974,-0.3528038,-0.3628105,0.6676713,96.22483,-0.7334177,-0.473908,-0.4873497,-0.04791989,0.9850124,0.306452,1.032695,-0.06167275,1.005114,0.295388,1.049434,-0.04532332,1.028865,0.3109704,1.075788,-0.001454393,-0.07453833,0.1042474,0.1281624,-0.02072374,-0.07864793,0.1243806,0.1486119,-0.0005756462,-0.06792263,0.1502696,0.1649084,0,0,0,0,0,0,0,0,0,1,0,0,-0.08747911,0.689325,0.1934682,0.7212846,0.4939833,-0.3055291,-0.3900071,-0.7145116,271.2064,0.7060701,-0.436705,-0.5574528,-0.03356861,0.7721274,0.2391422,0.8090096,-0.01878548,0.788259,0.2461361,0.8260074,-0.02049012,0.7800608,0.2620468,0.8231544,0.0116456,-0.05315077,0.1008873,0.114625,0.01785726,-0.0664405,0.1201212,0.1384281,0.0009669489,-0.07452611,0.1173272,0.1389991,0,0,0,0,0,0,0,0,0,1,0,0,-0.04498851,1.003452,0.2974437,1.047575,0.005974059,-0.02622063,-0.0303028,0.9991789,4.643904,0.1474536,-0.6471859,-0.7479433,0.09498851,-0.003451824,0.002556294,0.09508558,0.8508958,-0.09616203,0.3497541,0.3800016,135.3324,0.9199014,-0.1039605,0.3781183,-0.02932479,1.07655,0.03584236,1.077546,0.05906979,-0.02357361,0.01484192,-0.9978651,352.5109,0.9044745,-0.3609583,0.2272589,False
1773105618289,0.0550798,0.02242206,0.8971289,0.258273,0.9338351,-0.5419208,-0.3536031,-0.3749099,0.6638744,96.80794,-0.7246441,-0.47283,-0.5013209,-0.04690515,0.9855052,0.3052486,1.032762,-0.06003708,1.005664,0.2941833,1.049528,-0.04384834,1.02877,0.3103207,1.075448,-0.001559411,-0.07455643,0.1042897,0.1282086,-0.02067924,-0.07865292,0.1241719,0.1484337,-0.0005906199,-0.06815501,0.1498159,0.1645912,0,0,0,0,0,0,0,0,0,1,0,0,-0.08762348,0.6893238,0.1934098,0.7212853,0.4932597,-0.3055219,-0.3908464,-0.7145561,271.2137,0.7050817,-0.4367231,-0.5586887,-0.03375219,0.7721194,0.2391028,0.808998,-0.01895118,0.7882316,0.2461685,0.8259946,-0.02063345,0.7799962,0.2620508,0.8230981,0.01166573,-0.05308833,0.100898,0.1146075,0.01782569,-0.06643298,0.1201368,0.1384339,0.0009450043,-0.07450753,0.117326,0.138988,0,0,0,0,0,0,0,0,0,1,0,0,-0.04345233,1.00393,0.2965471,1.047714,0.01070008,-0.0360737,-0.03793715,0.9985715,6.125721,0.2002574,-0.6751372,-0.7100124,0.09345233,-0.00393033,0.003452957,0.09359866,0.8448496,-0.1004387,0.3606326,0.3822112,135.0586,0.9142652,-0.108691,0.3902633,-0.02967127,1.076563,0.03589474,1.077569,0.05882532,-0.02228936,0.01372027,-0.9979252,352.617,0.9136543,-0.3461905,0.2130985,False
1773105618303,0.0691133,0.02317232,0.8969432,0.25765,0.9335028,-0.5385292,-0.3540055,-0.3855169,0.6603355,97.34906,-0.7171109,-0.4713973,-0.5133582,-0.04578383,0.9859649,0.3040669,1.032802,-0.0583376,1.005872,0.2929926,1.049298,-0.04259945,1.028092,0.3096355,1.074552,-0.001667454,-0.07457426,0.1043339,0.1282562,-0.02061875,-0.07866171,0.1236814,0.1480199,-0.000646868,-0.06871413,0.1488104,0.1639103,0,0,0,0,0,0,0,0,0,1,0,0,-0.08777651,0.6893253,0.1933554,0.7212908,0.4925245,-0.3055381,-0.3916765,-0.7146017,271.2211,0.7040777,-0.4367754,-0.5599125,-0.03393951,0.7721136,0.2390642,0.8089888,-0.01911759,0.7882079,0.2462057,0.8259869,-0.02077875,0.7799321,0.2620566,0.8230428,0.01168711,-0.05302479,0.1009099,0.1145907,0.01779309,-0.06642777,0.1201577,0.1384453,0.0009228597,-0.07448938,0.1173255,0.1389776,0,0,0,0,0,0,0,0,0,1,0,0,-0.04186416,1.004355,0.2956489,1.047802,0.01470056,-0.04452214,-0.04492652,0.9978894,7.446413,0.2263842,-0.6856274,-0.6918547,0.09186415,-0.004354596,0.004351109,0.09207018,0.8395111,-0.10446,0.370083,0.3838591,134.8541,0.9091604,-0.1131264,0.4007866,-0.02997648,1.076535,0.03597181,1.077552,0.05818664,-0.02127182,0.01312889,-0.9979928,352.7383,0.9188134,-0.3358991,0.2073157,False
1773105618318,0.083069,0.0245344,0.8966425,0.257025,0.9330764,-0.5370699,-0.3583943,-0.3897268,0.6566753,97.90639,-0.7121305,-0.4752147,-0.5167602,-0.04492195,0.9860329,0.3021573,1.032268,-0.0571548,1.005865,0.2909702,1.048663,-0.04174365,1.02776,0.3077639,1.073663,-0.001810833,-0.07460617,0.1044011,0.1283314,-0.02059649,-0.07864782,0.1236784,0.1480069,-0.0006650603,-0.06887614,0.1484763,0.1636752,0,0,0,0,0,0,0,0,0,1,0,0,-0.08788323,0.689288,0.1932355,0.721236,0.492331,-0.3055097,-0.3919937,-0.7145732,271.2165,0.7037718,-0.4367166,-0.5603427,-0.03412053,0.7720588,0.2389364,0.8089065,-0.01925681,0.788205,0.2461438,0.8259689,-0.02091256,0.7798869,0.2619603,0.8229727,0.01166876,-0.05296073,0.100882,0.1145346,0.01775592,-0.06642528,0.1202037,0.1384793,0.0009008877,-0.07447477,0.1173264,0.1389704,0,0,0,0,0,0,0,0,0,1,0,0,-0.04074568,1.004315,0.2938486,1.047214,0.0137508,-0.05160336,-0.04607625,0.9975094,8.089247,0.1949545,-0.7316159,-0.6532543,0.09074567,-0.004315257,0.006151408,0.09105624,0.837217,-0.1024141,0.3765992,0.3830826,134.9505,0.9063594,-0.110872,0.407701,-0.03021708,1.076545,0.03606677,1.077573,0.05761036,-0.02023339,0.0126079,-0.9980544,352.8508,0.9240103,-0.3245224,0.2022176,False
1773105618332,0.09705149,0.02582808,0.8963591,0.2564372,0.9326773,-0.535699,-0.3620383,-0.3940215,0.6532243,98.42971,-0.7075068,-0.4781502,-0.5203909,-0.043977,0.9861392,0.3004236,1.031823,-0.05589636,1.005889,0.2891549,1.048116,-0.04096492,1.027144,0.3061119,1.072571,-0.00194681,-0.07463009,0.1044679,0.1284016,-0.02057156,-0.07863741,0.1236494,0.1479736,-0.0007081883,-0.06926091,0.1478279,0.1632503,0,0,0,0,0,0,0,0,0,1,0,0,-0.08799383,0.6892501,0.1931144,0.7211809,0.4921975,-0.3054942,-0.3922162,-0.7145498,271.2126,0.7035568,-0.4366795,-0.5606416,-0.03430564,0.7719977,0.2388036,0.8088167,-0.01939367,0.7882078,0.2460793,0.8259556,-0.02104761,0.779844,0.2618585,0.8229032,0.01164503,-0.05289524,0.100848,0.114472,0.01771718,-0.06642498,0.1202578,0.1385211,0.0008787549,-0.07446114,0.117328,0.1389643,0,0,0,0,0,0,0,0,0,1,0,0,-0.0395517,1.004317,0.2922354,1.046718,0.01312794,-0.05811857,-0.04765576,0.9970852,8.75147,0.1720646,-0.7617454,-0.624612,0.0895517,-0.004316807,0.007764578,0.08999128,0.8349048,-0.1010562,0.3827509,0.3823916,135.0362,0.9035763,-0.1093682,0.4142324,-0.03049624,1.076524,0.03612138,1.077561,0.05699071,-0.01956258,0.01207909,-0.99811,352.9536,0.9273919,-0.3183357,0.1965592,False
1773105618346,0.11064,0.02697623,0.8961096,0.2559204,0.9323279,-0.5343109,-0.3653597,-0.3985942,0.6497284,98.95774,-0.7028868,-0.4806312,-0.5243512,-0.04308136,0.9863107,0.2988026,1.031479,-0.0546843,1.005961,0.2874625,1.047655,-0.04040543,1.0262,0.3045796,1.071208,-0.002075468,-0.07464637,0.1045344,0.1284672,-0.02054408,-0.07862987,0.1235894,0.1479157,-0.0007826249,-0.06986471,0.1467815,0.1625623,0,0,0,0,0,0,0,0,0,1,0,0,-0.08810814,0.6892117,0.1929923,0.7211254,0.4920651,-0.3054829,-0.3924404,-0.7145228,271.2082,0.7033398,-0.436646,-0.5609398,-0.03449422,0.7719345,0.2386705,0.8087251,-0.01953264,0.7882167,0.246017,0.8259488,-0.02118521,0.7798017,0.2617551,0.8228337,0.01161911,-0.05283106,0.1008128,0.1144087,0.0176768,-0.06642675,0.1203195,0.1385704,0.0008564063,-0.07444845,0.1173303,0.1389594,0,0,0,0,0,0,0,0,0,1,0,0,-0.0384075,1.004383,0.2907436,1.046324,0.01269571,-0.06458733,-0.0496106,0.9965973,9.45591,0.1540277,-0.7835904,-0.6018888,0.0884075,-0.004383326,0.009256423,0.08899877,0.8324501,-0.100096,0.3889711,0.3817187,135.1196,0.9006485,-0.1082964,0.4208375,-0.03082184,1.076544,0.0361688,1.077592,0.05620135,-0.0188749,0.0113285,-0.9981768,353.0792,0.9311249,-0.3127129,0.1876867,False
1773105618360,0.1244891,0.02835761,0.8962153,0.2545735,0.9321018,-0.531027,-0.3654811,-0.4041246,0.6489355,99.07722,-0.6979452,-0.4803631,-0.5311534,-0.04156729,0.9865587,0.2974322,1.031257,-0.05300474,1.006292,0.2861804,1.047536,-0.03939066,1.025273,0.3036154,1.070008,-0.00210284,-0.07456917,0.1046159,0.1284892,-0.02053427,-0.07862227,0.1236185,0.1479346,-0.0008469227,-0.07058197,0.1457515,0.1619445,0,0,0,0,0,0,0,0,0,1,0,0,-0.08815844,0.6891885,0.1928356,0.7210675,0.4918035,-0.305528,-0.3927416,-0.7145181,271.2075,0.702961,-0.4367075,-0.5613666,-0.03455918,0.7719008,0.2384978,0.8086448,-0.01958368,0.7882294,0.2459235,0.8259343,-0.02123503,0.7797515,0.2616176,0.8227437,0.01163233,-0.05279748,0.1008026,0.1143855,0.01764141,-0.06643379,0.120384,0.1386253,0.0008360191,-0.07443886,0.1173262,0.1389506,0,0,0,0,0,0,0,0,0,1,0,0,-0.03677669,1.004577,0.2895898,1.046131,0.01642412,-0.06905349,-0.0524243,0.9960992,10.12482,0.1861282,-0.7825567,-0.5941045,0.08677669,-0.004577041,0.01041019,0.08751865,0.8289604,-0.1019595,0.3934601,0.3842109,134.8105,0.8978766,-0.110436,0.4261707,-0.03109638,1.076463,0.03620955,1.077521,0.05564176,-0.01811325,0.01054336,-0.9982308,353.1826,0.9358218,-0.3046412,0.1773257,False
1773105618373,0.138451,0.02964838,0.8963135,0.2533236,0.9318958,-0.5277128,-0.3656719,-0.4100206,0.6478322,99.24329,-0.6927336,-0.480021,-0.5382379,-0.04005861,0.9869241,0.2960646,1.031154,-0.05137045,1.006657,0.2849316,1.047465,-0.03844639,1.024321,0.3026483,1.068788,-0.002156264,-0.0744118,0.1047683,0.128523,-0.02052457,-0.07861745,0.1236376,0.1479467,-0.000920812,-0.07131001,0.1446506,0.1612754,0,0,0,0,0,0,0,0,0,1,0,0,-0.08820799,0.6891658,0.1926758,0.7210091,0.4914427,-0.3056006,-0.3931483,-0.7145116,271.2064,0.7024387,-0.4368071,-0.5619426,-0.03461784,0.7718587,0.2383254,0.8085563,-0.01962661,0.7882425,0.2458334,0.8259211,-0.02127375,0.7796929,0.2614791,0.8226451,0.01164486,-0.05276546,0.1007885,0.1143596,0.01760536,-0.06644309,0.120455,0.1386869,0.0008157457,-0.0744303,0.1173217,0.1389421,0,0,0,0,0,0,0,0,0,1,0,0,-0.03519486,1.004804,0.2884803,1.045988,0.02010968,-0.07388736,-0.05554029,0.9955157,10.85611,0.2125851,-0.7810841,-0.587132,0.08519486,-0.004804254,0.01151973,0.08610429,0.8252735,-0.1039234,0.3983591,0.3865665,134.5179,0.8948368,-0.1126833,0.4319372,-0.03134757,1.076373,0.03623175,1.077439,0.05528533,-0.01744709,0.009824487,-0.9982699,353.2583,0.9402447,-0.2967248,0.1670863,False
