Event Name,Timestamp,Trial Duration,Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z
Trial Load,1773105991198,0,1,1,135,0.8871384,-0.1458953,0.4378357,1,-0.05,1,0.3,1.045227,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0,0,0.1,0.819609,-0.1347897,0.4045074,0.3826834,135,0.8871384,-0.1458953,0.4378357
Trial Start,1773105992831,0,1,1,135,0.8871384,-0.1458953,0.4378357,1,-0.04928617,0.9949477,0.3007261,1.04057,-0.1609719,0.0006299099,0.1479876,0.9758009,25.26081,-0.7361711,0.00288076,0.6767901,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.09928617,0.005052328,-0.0007260442,0.09941728,0.8815784,0.05463737,0.3592674,0.301266,144.9327,0.9245321,0.0572995,0.3767721
Grab_left,1773105995943,3.11782,1,1,135,0.8871384,-0.1458953,0.4378357,1,-0.03124225,0.9532161,0.2961619,0.9986535,-0.2654851,-0.1238109,0.6771253,0.6750481,95.08424,-0.3598462,-0.1678169,0.9177954,0.2725251,-0.3948207,0.09175295,0.4884383,0.647907,-0.3149347,0.6750565,-0.1591591,198.3162,0.6562725,-0.319001,0.6837726,-0.1136621,0.04795006,-0.003528211,0.1234128,-0.3225373,-0.1709157,0.9225487,-0.1251464,194.3784,-0.3250931,-0.17227,0.9298589,0.08124225,0.04678392,0.003838122,0.0938284,0.6960593,0.6187595,0.1511985,0.3313264,141.3014,0.7377291,0.6558017,0.16025
Release_left,1773105997125,4.298558,1,1,135,0.8871384,-0.1458953,0.4378357,1,-0.01903377,0.9903757,0.1685075,1.004789,0.4186222,0.2620256,0.7490175,0.4416684,127.5792,0.4665986,0.2920552,0.834859,0.1642047,-0.4603294,0.09834051,0.4985351,0.4120491,0.1718482,0.4536819,-0.7712696,280.936,0.6473581,0.2699856,0.712766,-0.1061731,0.04249875,-0.01027653,0.1148236,-0.1976317,-0.03897601,0.9792796,-0.02083679,182.3879,-0.1976746,-0.03898446,0.9794921,0.06903376,0.009624302,0.1314925,0.1488239,0.4087467,0.2847605,-0.3791629,0.7797905,77.51721,0.6529078,0.4548595,-0.6056523
Grab_left,1773105998944,6.118153,1,1,135,0.8871384,-0.1458953,0.4378357,1,-0.001861128,0.9699001,0.2153914,0.9935307,0.3890886,-0.02150874,0.9140295,0.1126837,167.0599,0.3915826,-0.02164661,0.9198884,0.1910206,-0.4180013,0.1302708,0.4776866,0.5202224,-0.1401391,0.1461625,-0.8296785,292.1314,0.9318944,-0.2510366,0.2618266,-0.1110731,0.0487491,0.0001180267,0.1213001,0.5580662,0.4742367,0.6018358,-0.3185208,217.147,0.5887296,0.500294,0.6349041,0.05186113,0.03009987,0.08460863,0.1037025,0.05796012,0.5848001,-0.3390189,0.7346535,85.44411,0.08543112,0.8619743,-0.4997017
Release_left,1773105999527,6.701496,1,1,135,0.8871384,-0.1458953,0.4378357,1,-0.01898278,1.004197,0.1880766,1.021834,0.7960657,0.258937,0.5197772,0.1704781,160.3688,0.8078921,0.2627838,0.527499,0.1894826,-0.4589017,0.1297963,0.5131682,0.2692548,0.4251147,0.05731652,-0.8622612,299.1428,0.5316367,0.8393781,0.11317,-0.09430166,0.05808725,-0.005747178,0.1109052,0.4836474,0.7612991,0.3693598,-0.2237907,205.8636,0.4962333,0.7811102,0.3789716,0.06898278,-0.004197121,0.1119234,0.1315412,0.009886741,-0.01807005,-0.449479,0.8930535,53.48103,0.02197295,-0.04016007,-0.9989519
Grab_left,1773106001942,9.117667,1,1,135,0.8871384,-0.1458953,0.4378357,1,0.006710129,1.001771,0.232358,1.028387,0.9076684,-0.06640308,0.404304,0.090923,169.5666,0.9114437,-0.06667927,0.4059856,0.2488282,-0.4292861,0.1296839,0.5128546,0.4185705,0.4855768,-0.2521403,-0.724872,272.9164,0.607607,0.7048749,-0.3660128,-0.1042498,0.04226987,-0.01652552,0.1137007,0.7142558,0.6758419,0.1417229,0.1139792,166.9105,0.718941,0.6802751,0.1426526,0.04328987,-0.001771092,0.06764197,0.08032799,-0.2451929,-0.02263155,-0.1858612,0.9512224,35.93845,-0.7947748,-0.07335852,-0.6024554
On Target,1773106003972,11.15938,1,1,135,0.8871384,-0.1458953,0.4378357,1,0.04815552,1.001671,0.2867719,1.043026,0.8202504,-0.1611611,0.3384462,0.432054,128.804,0.9095221,-0.1787011,0.3752808,0.2909311,-0.3533435,0.1871018,0.494469,0.6265656,0.5900023,-0.05877728,-0.5058243,240.7722,0.7263379,0.6839523,-0.06813678,-0.1107168,0.04378268,-0.005770405,0.1191991,0.6394923,0.639094,0.2657551,0.3346381,140.8989,0.6786168,0.6781942,0.2820141,0.001844484,-0.001671314,0.01322815,0.01346029,0.0206473,-0.05096658,0.06677914,0.9962513,9.925243,0.2386812,-0.5891699,0.7719618
Off Target,1773106004331,11.52208,1,1,135,0.8871384,-0.1458953,0.4378357,1,0.05205366,1.011751,0.2835608,1.052025,0.8132971,-0.1037253,0.3926902,0.4166334,130.7556,0.8946428,-0.1140999,0.431967,0.2833423,-0.3610625,0.1987161,0.500137,0.6053906,0.5565296,-0.02371365,-0.5685199,249.2941,0.7358855,0.6764922,-0.02882524,-0.1106464,0.04302994,-0.006007761,0.1188709,0.6453114,0.6356255,0.2726878,0.3243373,142.1491,0.6821896,0.6719502,0.2882714,-0.002053659,-0.01175141,0.01643923,0.02031161,0.04121407,-0.02359619,-0.006354619,0.9988515,5.492468,0.8601934,-0.4924844,-0.1326295
On Target,1773106004623,11.81032,1,1,135,0.8871384,-0.1458953,0.4378357,1,0.05206394,1.011148,0.2841102,1.051593,0.8155921,-0.08939338,0.4012417,0.4072143,131.9401,0.8929846,-0.09787604,0.439316,0.2655935,-0.3752202,0.1974978,0.5003354,0.611217,0.5207344,-0.01489819,-0.595842,253.1454,0.7610704,0.648404,-0.01855081,-0.1103622,0.04329704,-0.006445748,0.1187265,0.6464227,0.6328966,0.266518,0.3324872,141.1604,0.6854177,0.6710756,0.2825955,-0.002063941,-0.01114762,0.01588976,0.01951957,0.03956593,-0.02173068,-0.0254931,0.9986553,5.943276,0.763205,-0.4191728,-0.4917478
