Block Num,Trial Num,Current Angle,Current Axis X,Current Axis Y,Current Axis Z,Current Axis Magnitude,Task Completion Time,Is Timeout,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Total Thumb Tip Translation,Total Index Tip Translation,Total Middle Tip Translation,Total Thumb Tip Translation_left,Total Index Tip Translation_left,Total Middle Tip Translation_left,Total Wrist Translation,Total Wrist Rotation,Total Wrist Translation_left,Total Wrist Rotation_left,Total Die Translation,Total Die Rotation,Total Die Local Translation,Total Die Local Rotation,Total Die Local Translation_left,Total Die Local Rotation_left,Total Head Translation,Total Head Rotation,Total Grabbed Time,Total Grabbed Time_left
1,1,135,0.8871384,-0.1458953,0.4378357,1,12.81113,False,-0.0007257238,-0.001621962,0.006433159,0.006674052,0.0256936,-0.02634923,-0.008187807,0.999289,4.321328,0.6814892,-0.6988788,-0.2171709,0,0,0,0.1940395,0.1576348,0.1916077,0,0,0.5758366,265.9282,0.6310517,624.7344,0,0,0.1527982,312.6531,0.1095042,36.47674,0,5.45754
1,2,135,-0.7008793,-0.5714331,-0.4268869,1,13.49014,False,0.002646156,-0.003355742,0.003176183,0.005324591,-0.01216041,-0.04133933,0.03706947,0.9983833,6.51693,-0.2139402,-0.7272903,0.6521698,0.2589532,0.2884727,0.2312804,0.124133,0.2060766,0.1585851,0.7180318,338.9841,0.2346213,128.664,0.921991,848.749,0.211793,374.1631,0.09765562,188.5184,0.152775,51.04803,4.345592,2.211722
1,3,135,0.2613941,-0.7758,0.5742886,1,3.838407,False,-0.002693996,-0.0004813671,-0.008049428,0.008501919,0.03101695,0.06059851,0.04312588,0.9967477,9.244396,0.384896,0.75198,0.5351583,0.1405128,0.07790903,0.1364914,0,0,0,0.5222247,183.8945,0,0,0.3808621,305.9913,0.1059037,222.4643,0,0,0.1305283,32.91051,3.528445,0
1,4,135,-0.3666012,0.386028,-0.846514,1,8.068864,False,-0.0001574345,0.008148015,0.004279137,0.009204669,-0.04665288,0.009372734,0.01842121,0.9986973,5.849655,-0.9142966,0.1836856,0.3610164,0.1794555,0.1694746,0.2229511,0,0,0,0.6198152,305.9239,0,0,0.4769732,449.8566,0.1837227,290.3513,0,0,0.08388914,25.98005,6.246361,0
1,5,135,-0.9960743,-0.07987623,-0.03815639,1,24.53128,False,-0.003671136,-0.001606464,-0.006210983,0.0073915,-0.02087409,-0.07575472,-0.02150427,-0.996676,350.6542,-0.2562266,-0.9298792,-0.2639621,0.5434018,0.4740771,0.4309185,0,0,0,1.151902,593.6518,0,0,0.9697891,1144.129,0.3566311,826.8015,0,0,0.2126603,67.74429,13.20926,0
1,6,135,-0.8585175,-0.2509126,0.4472031,1,22.57263,False,-0.001422275,0.001196265,-0.00148201,0.00237703,0.01581755,-0.03911307,-0.02235569,0.9988595,5.473333,0.3312883,-0.8191981,-0.4682255,0,0,0,0.06114125,0.09592205,0.118582,0,0,0.2240578,90.56618,0.206795,235.8891,0,0,0.07845905,153.7643,0.08353453,19.9067,0,1.636775
1,7,135,-0.2818807,0.06648243,-0.9571433,1,25.88764,False,0.003401387,0.0004928708,0.008125335,0.008822326,-0.04767312,-0.005180552,0.05233601,0.9974775,8.140889,-0.6716149,-0.07298319,0.7373053,0.3067335,0.4282108,0.3328457,0,0,0,0.8280267,448.1591,0,0,0.6700973,714.916,0.2942707,568.6561,0,0,0.2108603,69.15867,8.196025,0
1,8,135,0.5906771,0.8035169,-0.07390058,1,11.14154,False,0.00185803,-9.953976E-05,0.001544833,0.002418407,-0.0002764584,-0.058158,-0.004253946,0.9982983,6.685975,-0.004740953,-0.997345,-0.07295044,0.1112803,0.1322189,0.2106607,0,0,0,0.1727826,152.0743,0,0,0.202144,254.1463,0.1017412,197.08,0,0,0.03467291,12.50373,1.511702,0
1,9,135,-0.9569951,-0.286815,-0.04355824,0.9999999,18.75318,False,0.0004624911,0.005494297,0.005445778,0.00774969,-0.03968887,-0.01947136,-0.06079526,0.9971709,8.621869,-0.527994,-0.2590339,-0.8087793,0.1545447,0.1960723,0.3044314,0.05239046,0.0295807,0.02585448,0.3353378,115.8098,0.1124468,55.12602,0.4041184,494.2952,0.1246223,270.1367,0.05949193,87.33479,0.1111859,26.62589,3.387712,0.9995127
1,10,135,-0.06507936,-0.9172073,-0.3930591,1,28.48984,False,0.001795735,-0.002017856,-0.0009042621,0.002848525,-0.009151832,-0.07188116,-0.04510963,0.9963507,9.792901,-0.1072204,-0.84214,-0.5284921,0.05718025,0.04033288,0.0501113,0.5369159,0.578607,0.5709287,0.1487679,36.8384,0.9922463,582.9659,1.070648,1481.857,0.0390687,80.96782,0.4020947,882.1251,0.4322715,117.428,3.515259,10.36352
