Timestamp,Trial Duration,Wrist World Position X,Wrist World Position Y,Wrist World Position Z,Wrist World Position Magnitude,Wrist World Rotation X,Wrist World Rotation Y,Wrist World Rotation Z,Wrist World Rotation W,Wrist World Rotation Angle,Wrist World Rotation Axis X,Wrist World Rotation Axis Y,Wrist World Rotation Axis Z,Wrist World Position_left X,Wrist World Position_left Y,Wrist World Position_left Z,Wrist World Position_left Magnitude,Wrist World Rotation_left X,Wrist World Rotation_left Y,Wrist World Rotation_left Z,Wrist World Rotation_left W,Wrist World Rotation_left Angle,Wrist World Rotation_left Axis X,Wrist World Rotation_left Axis Y,Wrist World Rotation_left Axis Z,Thumb Tip World Position X,Thumb Tip World Position Y,Thumb Tip World Position Z,Thumb Tip World Position Magnitude,Index Tip World Position X,Index Tip World Position Y,Index Tip World Position Z,Index Tip World Position Magnitude,Middle Tip World Position X,Middle Tip World Position Y,Middle Tip World Position Z,Middle Tip World Position Magnitude,Thumb Tip World Position_left X,Thumb Tip World Position_left Y,Thumb Tip World Position_left Z,Thumb Tip World Position_left Magnitude,Index Tip World Position_left X,Index Tip World Position_left Y,Index Tip World Position_left Z,Index Tip World Position_left Magnitude,Middle Tip World Position_left X,Middle Tip World Position_left Y,Middle Tip World Position_left Z,Middle Tip World Position_left Magnitude,Thumb Tip Local Position X,Thumb Tip Local Position Y,Thumb Tip Local Position Z,Thumb Tip Local Position Magnitude,Index Tip Local Position X,Index Tip Local Position Y,Index Tip Local Position Z,Index Tip Local Position Magnitude,Middle Tip Local Position X,Middle Tip Local Position Y,Middle Tip Local Position Z,Middle Tip Local Position Magnitude,Thumb Tip Local Position_left X,Thumb Tip Local Position_left Y,Thumb Tip Local Position_left Z,Thumb Tip Local Position_left Magnitude,Index Tip Local Position_left X,Index Tip Local Position_left Y,Index Tip Local Position_left Z,Index Tip Local Position_left Magnitude,Middle Tip Local Position_left X,Middle Tip Local Position_left Y,Middle Tip Local Position_left Z,Middle Tip Local Position_left Magnitude,Thumb Tip Euro Position X,Thumb Tip Euro Position Y,Thumb Tip Euro Position Z,Thumb Tip Euro Position Magnitude,Index Tip Euro Position X,Index Tip Euro Position Y,Index Tip Euro Position Z,Index Tip Euro Position Magnitude,Middle Tip Euro Position X,Middle Tip Euro Position Y,Middle Tip Euro Position Z,Middle Tip Euro Position Magnitude,Thumb Tip Euro Position_left X,Thumb Tip Euro Position_left Y,Thumb Tip Euro Position_left Z,Thumb Tip Euro Position_left Magnitude,Index Tip Euro Position_left X,Index Tip Euro Position_left Y,Index Tip Euro Position_left Z,Index Tip Euro Position_left Magnitude,Middle Tip Euro Position_left X,Middle Tip Euro Position_left Y,Middle Tip Euro Position_left Z,Middle Tip Euro Position_left Magnitude,Triangle Local Position X,Triangle Local Position Y,Triangle Local Position Z,Triangle Local Position Magnitude,Triangle Local Rotation X,Triangle Local Rotation Y,Triangle Local Rotation Z,Triangle Local Rotation W,Triangle Local Rotation Angle,Triangle Local Rotation Axis X,Triangle Local Rotation Axis Y,Triangle Local Rotation Axis Z,Triangle Local Position_left X,Triangle Local Position_left Y,Triangle Local Position_left Z,Triangle Local Position_left Magnitude,Triangle Local Rotation_left X,Triangle Local Rotation_left Y,Triangle Local Rotation_left Z,Triangle Local Rotation_left W,Triangle Local Rotation_left Angle,Triangle Local Rotation_left Axis X,Triangle Local Rotation_left Axis Y,Triangle Local Rotation_left Axis Z,Die World Position X,Die World Position Y,Die World Position Z,Die World Position Magnitude,Die World Rotation X,Die World Rotation Y,Die World Rotation Z,Die World Rotation W,Die World Rotation Angle,Die World Rotation Axis X,Die World Rotation Axis Y,Die World Rotation Axis Z,Die Local Position X,Die Local Position Y,Die Local Position Z,Die Local Position Magnitude,Die Local Rotation X,Die Local Rotation Y,Die Local Rotation Z,Die Local Rotation W,Die Local Rotation Angle,Die Local Rotation Axis X,Die Local Rotation Axis Y,Die Local Rotation Axis Z,Die Local_left Position X,Die Local_left Position Y,Die Local_left Position Z,Die Local_left Position Magnitude,Die Local_left Rotation X,Die Local_left Rotation Y,Die Local_left Rotation Z,Die Local_left Rotation W,Die Local_left Rotation Angle,Die Local_left Rotation Axis X,Die Local_left Rotation Axis Y,Die Local_left Rotation Axis Z,Target Offset Position X,Target Offset Position Y,Target Offset Position Z,Target Offset Position Magnitude,Target Offset Rotation X,Target Offset Rotation Y,Target Offset Rotation Z,Target Offset Rotation W,Target Offset Rotation Angle,Target Offset Rotation Axis X,Target Offset Rotation Axis Y,Target Offset Rotation Axis Z,Head World Position X,Head World Position Y,Head World Position Z,Head World Position Magnitude,Head World Rotation X,Head World Rotation Y,Head World Rotation Z,Head World Rotation W,Head World Rotation Angle,Head World Rotation Axis X,Head World Rotation Axis Y,Head World Rotation Axis Z,Is Grabbed,Is Grabbed_right,Is Grabbed_left,Is On Target
1773106357564,0.0140717,0.2786713,0.6797563,0.178062,0.7559314,-0.6097096,-0.5175707,-0.2315062,0.5538771,112.7332,-0.7322974,-0.6216331,-0.2780526,-0.03513347,0.9908431,0.2520703,1.023007,0.2732013,-0.2025671,-0.8808237,0.3293588,141.5403,0.2893454,-0.2145372,-0.9328736,0.2527328,0.7545798,0.2811114,0.8439717,0.2670557,0.745788,0.3186018,0.85383,0.2734576,0.7213213,0.3249349,0.8370581,0.09055497,1.012056,0.298557,1.059053,0.08736735,1.012857,0.3193086,1.065585,0.07663807,1.006189,0.336462,1.063718,0.1069474,-0.0567557,0.04723971,0.1299636,0.1408457,-0.06169267,0.02455704,0.1557131,0.1393831,-0.0624235,-0.001462862,0.1527301,-0.1104834,0.06909975,-0.03777856,0.1356782,-0.1162354,0.07818104,-0.01972645,0.141464,-0.110795,0.08702601,-0.001125541,0.1408912,0.1069699,-0.0563534,0.04745019,0.1298838,0.1408497,-0.06162267,0.02458166,0.1556928,0.1392586,-0.06252173,-0.001434505,0.1526564,-0.1104258,0.06910649,-0.03856411,0.1358556,-0.1160306,0.07828656,-0.01970168,0.1413507,-0.110548,0.08709008,-0.001152503,0.1407368,0.121395,-0.05898416,0.02856351,0.1379556,0.05426136,0.9549711,-0.03839308,0.289157,146.385,0.05668275,0.9975864,-0.04010636,-0.1107493,0.07801299,-0.02004691,0.1369427,-0.2221501,-0.003475619,-0.008627681,0.9749681,25.69356,-0.9991252,-0.01563168,-0.0388032,-0.04996477,1.000315,0.2998262,1.045477,-0.005870094,0.001317482,0.001026439,0.9999814,0.6988527,-0.9625266,0.2160291,0.1683065,0.1434649,-0.2110965,0.322208,0.4110497,0.1386984,-0.9819914,-0.004868801,0.128188,165.2702,0.1398522,-0.9901603,-0.004909304,-0.07495537,0.06244197,-0.01149318,0.09823136,0.7198622,-0.3090738,0.1206481,-0.6096852,255.1335,0.9081788,-0.3899278,0.1522097,0.09996477,-0.0003153086,0.0001737773,0.09996542,-0.8201284,0.1728315,0.3832453,0.388126,134.3241,-0.8898903,0.1875329,0.4158449,0.01363489,1.062818,-0.02840938,1.063285,0.07142679,-0.0442572,0.07204666,-0.9938555,347.2904,0.6453152,-0.3998477,0.6509154,False,False,False,False
1773106357577,0.0289598,-0.0004349817,0.9001482,0.2028829,0.9227287,-0.6381956,-0.4069299,-0.650917,0.05849519,173.2931,-0.6392903,-0.4076279,-0.6520335,-0.206172,0.7293486,0.2072229,0.7857465,0.445082,0.3713431,-0.6575193,0.481326,122.4559,0.5077705,0.4236457,-0.750129,-0.03827662,1.022035,0.2450331,1.051695,-0.02866914,1.004203,0.3429534,1.061538,-0.06947658,0.9994055,0.3312648,1.055166,-0.1394512,0.7849085,0.3082922,0.8547351,-0.1160465,0.7595189,0.3014849,0.825366,-0.1126647,0.7435076,0.3086979,0.8128907,0.0978101,-0.08404044,0.03788828,0.1344066,0.1742065,-0.02195128,0.02036081,0.1767606,0.1690994,-0.04839791,-0.01279607,0.1763539,-0.1214583,0.04374223,-0.03298554,0.1332425,-0.11065,0.07332382,-0.01727366,0.1338588,-0.1130833,0.08032708,-0.0009991825,0.1387129,0.1062259,-0.0586025,0.04667345,0.1299869,0.1435594,-0.05840005,0.02423879,0.1568674,0.1416826,-0.06137441,-0.002357438,0.1544226,-0.111322,0.06704608,-0.03811095,0.135426,-0.1155935,0.07788342,-0.01950444,0.1407413,-0.1107539,0.0865407,-0.001140048,0.1405597,0.1220034,-0.05948659,0.02812319,0.138616,-0.04925233,0.9499003,-0.03995686,0.306051,144.3572,-0.05173482,0.9977785,-0.04197083,-0.1112223,0.0765956,-0.02007639,0.1365297,-0.2397335,-0.01698366,-0.0967691,0.9658546,30.0315,-0.9253101,-0.06555258,-0.373504,-0.04986861,1.000513,0.299751,1.04564,-0.01070844,0.004999754,0.004556549,0.9999198,1.451554,-0.8453736,0.3947035,0.3597149,0.1384018,-0.05168736,0.007618669,0.1479347,0.6374004,0.4025234,0.6541945,0.06103612,173.0014,0.638591,0.4032752,0.6554164,-0.191186,0.07428006,-0.2536325,0.3261887,-0.4491466,-0.3741049,0.6552349,0.4785187,122.8226,-0.5115114,-0.42605,0.7462155,0.09986861,-0.0005127192,0.0002489984,0.09987023,-0.8174207,0.1703633,0.3840683,0.3940701,133.584,-0.8893898,0.1853628,0.4178833,0.01380012,1.062798,-0.02839512,1.063267,0.07173188,-0.04450737,0.07206973,-0.9938207,347.2544,0.6462505,-0.4009781,0.6492943,False,False,False,False
1773106357591,0.0467256,-0.0004594279,0.9000421,0.2030064,0.9226525,-0.6407685,-0.4064421,-0.6488376,0.0568365,173.4835,-0.641806,-0.4071002,-0.6498881,-0.20487,0.726823,0.2088467,0.7834924,0.4428818,0.3797678,-0.6708438,0.4578216,125.5068,0.498155,0.4271642,-0.7545676,-0.03753749,1.022286,0.2449881,1.051902,-0.02829836,1.005331,0.3421767,1.062345,-0.06854131,1.000133,0.3311053,1.055744,-0.1336751,0.7781334,0.3088793,0.8478013,-0.1106779,0.7526034,0.3023865,0.8185958,-0.1072703,0.7361128,0.3087714,0.8054246,0.09789617,-0.08402917,0.03789887,0.1344652,0.1740263,-0.02311059,0.02024715,0.1767179,0.1689214,-0.04862594,-0.01279823,0.1762461,-0.1219032,0.04227569,-0.03256281,0.1330713,-0.1130286,0.0722767,-0.01694268,0.1352274,-0.115103,0.07967307,-0.0006544292,0.139989,0.1055133,-0.06077756,0.04592285,0.1301379,0.1461656,-0.05538129,0.02389733,0.1581219,0.1440127,-0.06028387,-0.003250571,0.156155,-0.1122271,0.06492715,-0.03763635,0.1350072,-0.1153741,0.07740381,-0.0192853,0.1402656,-0.1111259,0.08595322,-0.001098507,0.1404925,0.1225395,-0.05996386,0.02782748,0.1392335,-0.1275668,0.9366992,-0.03985407,0.3236249,142.2354,-0.1348222,0.9899741,-0.04212078,-0.1118237,0.07505742,-0.020144,0.1361762,-0.25508,-0.04141292,-0.2044695,0.9441459,38.48022,-0.7740777,-0.1256736,-0.6204928,-0.04966503,1.00094,0.2993098,1.045913,-0.01150707,0.01344007,0.01259595,0.9997641,2.488853,-0.5298513,0.6188577,0.5799899,0.1383524,-0.05202768,0.006845351,0.14797,0.6387165,0.396826,0.6566005,0.05870501,173.269,0.6398199,0.3975115,0.6577349,-0.1908957,0.05788181,-0.259622,0.3274066,-0.4528333,-0.382614,0.6665951,0.4518843,126.2707,-0.5076171,-0.4289027,0.7472399,0.09966503,-0.0009402037,0.000690192,0.09967186,-0.8151318,0.1607988,0.3877387,0.3992024,132.9433,-0.8890445,0.1753793,0.4228972,0.01399842,1.062829,-0.02836004,1.063299,0.07199538,-0.04434203,0.07244775,-0.9937816,347.2141,0.6465849,-0.3982323,0.6506476,False,False,False,False
1773106357606,0.0626372,-0.0003109537,0.9001245,0.2032973,0.9227968,-0.6437912,-0.4060637,-0.6462009,0.05540393,173.6479,-0.6447815,-0.4066883,-0.6471949,-0.1979099,0.7229604,0.2117499,0.7788954,0.4390598,0.3881299,-0.6840557,0.4343378,128.5137,0.4874381,0.4308964,-0.759429,-0.03717991,1.022054,0.2466364,1.052049,-0.02852112,1.007342,0.3405168,1.063722,-0.0674624,1.001209,0.3307954,1.056597,-0.1209768,0.7706211,0.3093999,0.8391784,-0.0991707,0.7452459,0.3067809,0.8119981,-0.09561389,0.7280277,0.3129818,0.7982004,0.0991095,-0.08323554,0.03679062,0.1345526,0.1733792,-0.02574755,0.01993563,0.1764106,0.1685083,-0.04923153,-0.01282591,0.1760207,-0.1219023,0.04200843,-0.0331792,0.133138,-0.1181876,0.07094586,-0.01659338,0.1388415,-0.1204835,0.0788781,0.000121206,0.1440071,0.1048703,-0.06303272,0.04500582,0.1303703,0.1488983,-0.05240557,0.02349951,0.1595909,0.1464725,-0.05917403,-0.004212095,0.15803,-0.1131987,0.06262573,-0.03718878,0.1346066,-0.1156566,0.07675532,-0.01901499,0.1401049,-0.1120656,0.08524276,-0.0009760273,0.1408048,0.1231316,-0.06046474,0.02748725,0.1399032,-0.1882195,0.9196473,-0.03763211,0.3426457,139.9237,-0.2003476,0.9789057,-0.04005697,-0.1127634,0.07328375,-0.02026268,0.1360025,-0.2649409,-0.07663279,-0.3129447,0.9088451,49.30754,-0.6351461,-0.1837127,-0.7502261,-0.04943231,1.001454,0.298777,1.046242,-0.01076672,0.02130131,0.02118244,0.9994907,3.657268,-0.3374026,0.6675311,0.663806,0.1378376,-0.05275062,0.006017884,0.1477093,0.6394315,0.3911675,0.6600715,0.04920197,174.3596,0.640207,0.3916419,0.6608719,-0.1877137,0.03617061,-0.2652758,0.3269802,-0.4580368,-0.3845419,0.678998,0.4257832,129.5995,-0.5062159,-0.4249904,0.7504191,0.09943232,-0.001454353,0.001223028,0.09945048,-0.8136511,0.1503952,0.3909429,0.4031338,132.4515,-0.8890992,0.164341,0.4271941,0.0141533,1.062858,-0.02833428,1.063329,0.07259244,-0.04445826,0.07295249,-0.993696,347.1263,0.6475232,-0.3965668,0.6507348,False,False,False,False
1773106357618,0.0764074,-0.0001412425,0.9000701,0.2034622,0.92278,-0.6470544,-0.4057729,-0.6432275,0.0541056,173.7969,-0.6480036,-0.4063681,-0.6441711,-0.1925338,0.7194738,0.2145048,0.775064,0.435112,0.3956309,-0.6944993,0.4145172,131.0222,0.4781233,0.4347395,-0.7631513,-0.03774801,1.020892,0.2493003,1.051569,-0.03106917,1.011239,0.3348062,1.065675,-0.06630546,1.002391,0.3296411,1.057283,-0.1091752,0.7650001,0.308317,0.8319879,-0.08991646,0.7386996,0.3097601,0.806048,-0.08625724,0.7204503,0.3136252,0.7904744,0.1011005,-0.08197468,0.03423764,0.1345859,0.1705862,-0.03293685,0.01953821,0.174832,0.1675541,-0.05034454,-0.01262297,0.1754089,-0.1211542,0.04335232,-0.03555595,0.1334991,-0.1217601,0.06982797,-0.01649355,0.1413277,-0.1221557,0.0787299,0.0002981648,0.1453289,0.1045276,-0.06475433,0.04402711,0.1306045,0.1508695,-0.05063608,0.02313947,0.1608137,0.1483885,-0.05837153,-0.004976551,0.1595342,-0.1139217,0.06087399,-0.03704037,0.1343718,-0.1162113,0.0761257,-0.01878582,0.1401895,-0.1129827,0.08465081,-0.0008602174,0.1411793,0.1236332,-0.06093512,0.02703278,0.1404601,-0.2180223,0.907351,-0.03277083,0.3579196,138.055,-0.2334905,0.9717255,-0.03509584,-0.1135775,0.07186493,-0.02046984,0.1359538,-0.2694955,-0.09810476,-0.3629712,0.8865661,55.11027,-0.5825647,-0.2120717,-0.7846298,-0.0491575,1.001751,0.2986003,1.046462,-0.01202843,0.02932974,0.02540066,0.9991747,4.656026,-0.2961163,0.7220404,0.6253142,0.1374355,-0.05363755,0.005271004,0.1476255,0.641036,0.3860871,0.6621979,0.03877608,175.5555,0.6415185,0.3863777,0.6626964,-0.183584,0.01894457,-0.2702422,0.3272504,-0.4625275,-0.3848604,0.6893979,0.4033376,132.426,-0.5054663,-0.4205889,0.7533982,0.0991575,-0.001750708,0.001399696,0.09918284,-0.810554,0.144282,0.3955956,0.4070492,131.9608,-0.8873972,0.1579604,0.4330993,0.01433113,1.062922,-0.02829211,1.063395,0.07297698,-0.04435961,0.07316849,-0.9936564,347.0859,0.6489221,-0.3944522,0.650625,False,False,False,False
1773106357632,0.08760379,-0.0003785044,0.8999158,0.2035547,0.92265,-0.6509247,-0.4055253,-0.639579,0.05277374,173.9498,-0.6518331,-0.4060912,-0.6404715,-0.1903816,0.7176964,0.2158877,0.7732663,0.4307119,0.403158,-0.7039989,0.3953941,133.4189,0.4689238,0.4389253,-0.7664562,-0.03819297,1.020105,0.2507116,1.051156,-0.0312558,1.013068,0.3321092,1.066574,-0.06520624,1.003413,0.3290071,1.057987,-0.1019645,0.7603333,0.3065539,0.8261227,-0.08411475,0.7334425,0.3094811,0.8004947,-0.08054533,0.7146585,0.3122057,0.784026,0.102181,-0.0812837,0.0324221,0.1345332,0.1691794,-0.0358385,0.01941644,0.1740203,0.1670101,-0.05102456,-0.01252323,0.1750792,-0.1207849,0.04389884,-0.03660259,0.1336258,-0.1235076,0.06911173,-0.01642364,0.1424791,-0.1232238,0.0785245,0.0004382804,0.1461177,0.1043408,-0.06607058,0.04310299,0.1308059,0.1523275,-0.04945773,0.022843,0.1617762,0.1498714,-0.05778648,-0.0055775,0.1607228,-0.1144683,0.05952224,-0.03700551,0.134221,-0.1167924,0.07556717,-0.01859771,0.140345,-0.1137982,0.08416297,-0.0007568168,0.1415415,0.124051,-0.06133477,0.02655757,0.140911,-0.2356225,0.8982561,-0.0283717,0.3698825,136.5833,-0.2536088,0.9668247,-0.03053746,-0.1142495,0.07074027,-0.02066519,0.1359565,-0.2723085,-0.1113048,-0.385532,0.8745424,58.01826,-0.5615198,-0.2295185,-0.7949949,-0.04882966,1.002175,0.2983649,1.046786,-0.01424062,0.03830044,0.02837784,0.9987618,5.703121,-0.2862528,0.7698827,0.5704271,0.1372657,-0.05404582,0.00453678,0.147592,0.6412947,0.3825114,0.6643609,0.03242011,176.2843,0.6416319,0.3827125,0.6647102,-0.1806874,0.005987835,-0.2734752,0.32783,-0.4660009,-0.3887561,0.6959791,0.3838295,134.8578,-0.5046555,-0.4210033,0.7537103,0.09882966,-0.002175331,0.001635134,0.09886713,-0.8064387,0.1391772,0.4012979,0.4113956,131.4149,-0.8847799,0.1526975,0.4402819,0.0144999,1.063017,-0.02823664,1.063491,0.07336534,-0.0440309,0.07321966,-0.9936386,347.0678,0.6514673,-0.3909842,0.6501737,False,False,False,False
1773106357648,0.1016254,-0.0006066263,0.8996503,0.2037376,0.9224315,-0.6542247,-0.4053769,-0.6363797,0.05177356,174.0645,-0.6551033,-0.4059213,-0.6372344,-0.1884451,0.715695,0.2177391,0.771454,0.4271418,0.4087745,-0.7103009,0.3820024,135.0845,0.4621941,0.4423194,-0.7685898,-0.03918591,1.018801,0.2524966,1.050355,-0.03185207,1.014675,0.3290232,1.067162,-0.06436604,1.004142,0.3280523,1.05833,-0.09664942,0.7564327,0.3060297,0.8216968,-0.07967823,0.7292969,0.3111433,0.7968894,-0.07602941,0.7100684,0.3132592,0.7798134,0.1033425,-0.08050282,0.03003768,0.1343973,0.1673429,-0.03908212,0.01929511,0.1729258,0.1661082,-0.05189136,-0.01238186,0.1744648,-0.1205382,0.04417869,-0.0374168,0.1337207,-0.1258136,0.06816183,-0.01626262,0.1440124,-0.1252908,0.07806852,0.0007405691,0.1476246,0.1042752,-0.06701914,0.04224427,0.1309559,0.1533144,-0.04877579,0.02260982,0.1624672,0.1509386,-0.05739902,-0.006024718,0.1615964,-0.1148672,0.05851378,-0.03703254,0.1341259,-0.1173853,0.07508045,-0.01844424,0.1405581,-0.1145535,0.08376241,-0.0006584006,0.1419123,0.124391,-0.0616597,0.02607081,0.1412612,-0.2452346,0.8920241,-0.02465381,0.3788738,135.4721,-0.26499,0.9638832,-0.02663986,-0.1148117,0.06987999,-0.02082408,0.1360095,-0.2741164,-0.1188545,-0.3904829,0.8707795,58.9013,-0.5575169,-0.2417344,-0.7941912,-0.04821522,1.003517,0.2973749,1.047761,-0.01593273,0.03992159,0.02770122,0.9986917,5.862224,-0.3115812,0.7807086,0.5417264,0.137075,-0.05462299,0.004237323,0.1476184,0.6398074,0.37923,0.6678908,0.02744082,176.8551,0.6400484,0.3793728,0.6681424,-0.1774497,-0.003118758,-0.2767052,0.3287308,-0.4708579,-0.3916312,0.6980809,0.370946,136.4521,-0.5070324,-0.421719,0.7517122,0.09821522,-0.003517151,0.002625138,0.09831323,-0.8049954,0.1397505,0.4025728,0.4127801,131.2408,-0.8838035,0.1534319,0.4419842,0.01465056,1.063076,-0.02819517,1.063551,0.07369978,-0.0438269,0.07340731,-0.9936091,347.0378,0.652929,-0.388276,0.6503379,False,False,False,False
1773106357660,0.1161441,-0.0005831486,0.8997562,0.2041886,0.9226345,-0.6566595,-0.4053863,-0.6339552,0.05060783,174.1983,-0.657502,-0.4059064,-0.6347687,-0.1830202,0.7115619,0.2213686,0.7673466,0.4245377,0.4125666,-0.7142189,0.3734272,136.1457,0.4576439,0.4447393,-0.769915,-0.04365145,1.014549,0.2571036,1.047529,-0.03311092,1.01674,0.324809,1.067876,-0.06427667,1.005836,0.3258429,1.05925,-0.08934551,0.7505385,0.3083942,0.8163318,-0.07199223,0.723981,0.3174686,0.7937995,-0.06866919,0.7042561,0.3170297,0.7753708,0.1056827,-0.07848713,0.02243033,0.1335372,0.1644612,-0.04335901,0.01910888,0.171151,0.1643873,-0.05422432,-0.01208755,0.1735211,-0.1205096,0.04425094,-0.03724074,0.1336697,-0.1302038,0.06722569,-0.01563137,0.1473657,-0.1273888,0.07779075,0.001124673,0.1492668,0.1043891,-0.06794767,0.04063999,0.1310175,0.1542169,-0.04833721,0.02232635,0.1631497,0.1520275,-0.05714198,-0.006515608,0.1625424,-0.1153241,0.05735896,-0.0370494,0.1340237,-0.1184231,0.07444448,-0.01821649,0.1410598,-0.1155928,0.08327891,-0.0005140303,0.1424687,0.1249302,-0.06201555,0.02505778,0.1417088,-0.2516956,0.8853893,-0.0210612,0.3902455,134.0605,-0.2733709,0.9616367,-0.02287493,-0.1155391,0.06888743,-0.02097113,0.1361417,-0.2785371,-0.1209412,-0.3703905,0.877839,57.23447,-0.5815507,-0.2525101,-0.7733292,-0.0479685,1.003974,0.2969659,1.048071,-0.02268631,0.04346365,0.02880388,0.998382,6.519574,-0.3989623,0.7643536,0.5065463,0.1363036,-0.05583792,0.004719528,0.1473731,0.6409153,0.3785854,0.6672016,0.027259,176.876,0.6411535,0.3787261,0.6674495,-0.1715899,-0.01270575,-0.282104,0.3304349,-0.4698733,-0.3967383,0.7001073,0.3628602,137.4481,-0.5042405,-0.4257563,0.7513142,0.0979685,-0.003973842,0.003034145,0.098096,-0.8009871,0.1400251,0.403785,0.4192498,130.4255,-0.8822698,0.1542346,0.4447604,0.01480148,1.063147,-0.02814066,1.063622,0.07389595,-0.04345448,0.07323325,-0.9936237,347.0526,0.6554109,-0.3854141,0.6495332,False,False,False,False
1773106357675,0.1296182,-0.0006005308,0.8996917,0.204454,0.9226305,-0.6584326,-0.4054837,-0.6321439,0.04943314,174.3331,-0.6592386,-0.4059801,-0.6329177,-0.1809775,0.7102497,0.2222637,0.7659038,0.4226511,0.4151065,-0.7165573,0.3682364,136.7862,0.4545946,0.4464798,-0.7707137,-0.04514379,1.012728,0.2587785,1.046242,-0.03292555,1.017435,0.3239253,1.068263,-0.06393483,1.006672,0.3255203,1.059924,-0.08636139,0.7480621,0.3087346,0.8138626,-0.06877153,0.7219407,0.3188707,0.7922161,-0.06558362,0.70185,0.3168082,0.7728273,0.1063966,-0.07756895,0.01936944,0.1330878,0.1638945,-0.0442609,0.01900785,0.1708266,0.1641823,-0.05487189,-0.01209331,0.173531,-0.1206513,0.04407928,-0.03687115,0.1336383,-0.1318056,0.06669439,-0.01545598,0.1485252,-0.1275575,0.07779872,0.00117832,0.1494153,0.1045569,-0.06875198,0.03886182,0.1310314,0.1550259,-0.04799644,0.02204894,0.1637768,0.1530436,-0.0569522,-0.006981891,0.1634461,-0.1157694,0.05624881,-0.0370345,0.1339329,-0.1195419,0.07379659,-0.01798572,0.1416322,-0.116593,0.08282078,-0.0003725539,0.1430152,0.1254992,-0.06232092,0.02392856,0.1421496,-0.2564199,0.8789274,-0.01814848,0.4017537,132.6243,-0.2800115,0.959792,-0.01981821,-0.116243,0.06794647,-0.02107248,0.1362835,-0.2843302,-0.1199019,-0.3422707,0.8874856,54.88207,-0.6169885,-0.2601838,-0.7427177,-0.04770803,1.004427,0.2965456,1.048375,-0.0287929,0.04619788,0.0281792,0.9981196,7.028484,-0.4697292,0.7536752,0.4597172,0.1359511,-0.05633051,0.004592844,0.1472309,0.64045,0.3736697,0.6703617,0.02845855,176.7384,0.6407095,0.3738211,0.6706333,-0.1694433,-0.01716558,-0.2837956,0.3309768,-0.4734221,-0.402512,0.6982173,0.3554546,138.3574,-0.5064999,-0.4306354,0.7470014,0.09770803,-0.004427195,0.003454447,0.09786926,-0.7972781,0.1417899,0.405123,0.4244039,129.7741,-0.8805101,0.156592,0.4474159,0.01495836,1.063213,-0.02809027,1.063689,0.0741253,-0.04309883,0.07327796,-0.9936188,347.0476,0.657194,-0.3821137,0.6496814,False,False,False,False
1773106357688,0.1436621,-0.0006403578,0.8993807,0.2051405,0.9224797,-0.6605355,-0.4058056,-0.6298554,0.04792795,174.5058,-0.6612955,-0.4062725,-0.6305801,-0.178705,0.7089186,0.2227705,0.7642825,0.4210368,0.4176955,-0.7182706,0.3637938,137.3333,0.4520086,0.4484216,-0.7711073,-0.0467183,1.010392,0.2607447,1.04454,-0.03271278,1.018002,0.3230684,1.068537,-0.06364165,1.007547,0.3251396,1.060621,-0.08342598,0.7455703,0.3089322,0.8113409,-0.06502942,0.7199638,0.3207474,0.7908575,-0.06236501,0.6995841,0.3164435,0.770353,0.106899,-0.07651941,0.01599898,0.1324333,0.1630824,-0.04532056,0.01889249,0.1703136,0.1637101,-0.05587704,-0.01206514,0.1734036,-0.1208408,0.04383939,-0.03634391,0.1335862,-0.1342072,0.06634761,-0.01516733,0.150478,-0.1278281,0.07781534,0.001226429,0.1496555,0.1047397,-0.06935825,0.03707732,0.1309798,0.1556548,-0.04778758,0.02180257,0.1642785,0.1538761,-0.05686828,-0.00737865,0.1642142,-0.1161652,0.05528023,-0.0369806,0.1338575,-0.1206865,0.07321518,-0.01776573,0.142272,-0.1174699,0.08243009,-0.0002477495,0.143506,0.1260292,-0.06255174,0.02279351,0.1425329,-0.2592376,0.8731806,-0.0163739,0.4124118,131.2871,-0.2845645,0.9584883,-0.01797359,-0.1168699,0.0671365,-0.02112563,0.1364264,-0.2909087,-0.115954,-0.3088879,0.8980618,52.19108,-0.6613528,-0.2636101,-0.7022266,-0.0471441,1.005311,0.2952642,1.048834,-0.03046919,0.03708276,0.02483295,0.9985389,6.195376,-0.5638431,0.6862295,0.4595425,0.1353647,-0.05710215,0.004556163,0.1469864,0.6402507,0.370508,0.6722212,0.03036037,176.5204,0.6405459,0.3706788,0.6725312,-0.1674167,-0.02130762,-0.2853874,0.3315544,-0.4756726,-0.4089202,0.6956937,0.3500432,139.0201,-0.5077993,-0.4365384,0.7426805,0.0971441,-0.005310535,0.004735857,0.09740434,-0.7999025,0.1487461,0.398777,0.4230928,129.94,-0.8828105,0.1641634,0.4401093,0.01514414,1.063256,-0.02806192,1.063734,0.07445644,-0.04274043,0.07342635,-0.9935985,347.027,0.6590885,-0.3783383,0.6499702,False,False,False,False
